Date,Open,High,Low,Close,Volume
2020-06-12,27.5,29.12,26.75,27.15,21832400
2020-06-15,26.74,29.5,26.3463,29.5,3226188
2020-06-16,30.0,30.5,28.56,29.7,4037949
2020-06-17,29.7,30.2,28.64,29.5,1360515
2020-06-18,29.44,30.3,28.95,30.23,3809467
2020-06-19,30.26,31.0,29.81,30.4,772421
2020-06-22,30.36,30.4,29.7,30.0,651861
2020-06-23,30.0,32.18,30.0,31.56,1009001
2020-06-24,30.67,31.33,30.5593,31.15,779337
2020-06-25,31.1,31.26,30.76,30.9,1223770
2020-06-26,30.63,31.04,30.39,31.0,426390
2020-06-29,30.95,33.45,30.48,32.12,982600
2020-06-30,32.12,32.2,31.2507,31.86,485143
2020-07-01,31.89,32.88,31.45,31.99,313815
2020-07-02,32.22,32.99,32.195,32.6,878849
2020-07-06,32.97,33.18,31.44,31.54,905942
2020-07-07,31.54,33.7499,31.54,32.25,466794
2020-07-08,32.15,32.33,30.52,31.84,588917
2020-07-09,31.71,32.74,31.35,32.0,454203
2020-07-10,31.8,32.0,30.67,31.1,403407
2020-07-13,31.0,32.0,30.5,30.87,481235
2020-07-14,30.57,31.4,30.5601,31.38,436396
2020-07-15,31.5,31.89,30.11,31.21,703707
2020-07-16,31.0,31.71,30.69,31.5,319689
2020-07-17,31.5,32.0686,31.15,31.93,299855
2020-07-20,31.76,32.6,31.51,32.14,337021
2020-07-21,32.3,32.69,31.34,32.03,318913
2020-07-22,31.95,32.38,31.46,31.98,194100
2020-07-23,31.69,33.24,31.69,32.82,866872
2020-07-24,32.85,33.66,32.07,32.4,376676
2020-07-27,32.35,34.74,32.17,34.17,706202
2020-07-28,34.17,36.19,33.64,34.0,831289
2020-07-29,35.1,35.88,32.92,33.56,695481
2020-07-30,33.37,34.96,33.18,34.4,343400
2020-07-31,34.6,35.27,33.31,34.5,677726
2020-08-03,34.41,35.315,33.78,34.11,458697
2020-08-04,34.35,34.48,32.42,34.2,835103
2020-08-05,34.54,35.87,34.37,35.25,580426
2020-08-06,35.24,36.18,35.0,35.28,371224
2020-08-07,35.34,35.64,34.47,34.9,368205
2020-08-10,35.31,35.31,33.75,34.2,521187
2020-08-11,34.51,34.96,33.23,33.47,420925
2020-08-12,33.19,34.24,32.9524,34.0,609914
2020-08-13,35.66,36.35,34.55,35.56,2273467
2020-08-14,36.29,38.0599,35.8594,37.62,1690778
2020-08-17,37.81,39.87,37.8007,38.69,951382
2020-08-18,39.5,40.43,38.36,40.05,779249
2020-08-19,40.45,42.16,39.8601,40.6,832799
2020-08-20,40.99,41.5,40.21,40.94,553094
2020-08-21,41.07,41.76,40.59,41.03,481562
2020-08-24,41.5,41.73,38.75,39.88,515831
2020-08-25,39.88,39.9885,38.56,38.76,710267
2020-08-26,38.36,39.62,38.06,38.58,507033
2020-08-27,38.91,39.0,38.42,38.42,208961
2020-08-28,38.85,39.0,38.195,38.91,335683
2020-08-31,38.83,40.44,38.74,39.48,521714
2020-09-01,39.64,41.4,39.07,41.23,483998
2020-09-02,41.68,41.85,40.04,40.76,313943
2020-09-03,40.48,40.5076,37.59,38.48,721003
2020-09-04,38.2,39.0,35.76,38.06,514560
2020-09-08,38.47,38.875,36.88,37.31,454951
2020-09-09,34.47,35.99,34.01,35.1,2407435
2020-09-10,35.28,35.42,33.64,34.15,2576957
2020-09-11,34.58,35.37,33.67,34.03,10653320
2020-09-14,34.59,35.17,34.0745,34.7,1706737
2020-09-15,34.7,34.825,33.79,33.94,1469935
2020-09-16,33.94,34.67,33.792,33.86,1679504
2020-09-17,33.5,34.09,32.8568,33.07,1100018
2020-09-18,33.12,33.59,31.95,32.39,5627819
2020-09-21,31.9,32.46,31.5,32.05,1155351
2020-09-22,32.2,32.55,31.4,32.28,1090338
2020-09-23,32.29,33.2,31.96,32.14,769973
2020-09-24,31.83,33.15,30.88,32.97,1252648
2020-09-25,32.62,33.635,32.5,33.57,2610035
2020-09-28,33.62,34.86,33.62,34.57,779431
2020-09-29,34.4,34.93,34.25,34.63,730517
2020-09-30,35.47,35.88,34.24,34.81,1340892
2020-10-01,34.89,35.76,34.82,35.37,1161899
2020-10-02,34.66,35.265,34.03,35.04,882922
2020-10-05,35.04,35.97,35.04,35.66,855009
2020-10-06,35.75,36.21,35.28,35.9,687239
2020-10-07,36.07,36.79,36.0275,36.39,883670
2020-10-08,36.59,37.19,36.38,36.94,551544
2020-10-09,37.25,37.61,36.93,37.4,615301
2020-10-12,37.97,37.97,37.15,37.54,595908
2020-10-13,37.18,37.67,36.76,36.85,532390
2020-10-14,37.22,37.74,36.35,36.75,353850
2020-10-15,36.48,37.86,36.45,37.79,364366
2020-10-16,37.67,38.53,37.43,38.06,520001
2020-10-19,38.2,38.88,37.6308,37.94,559834
2020-10-20,37.95,38.49,37.5901,38.04,363388
2020-10-21,38.24,38.77,37.21,37.27,530332
2020-10-22,37.4,37.89,36.15,36.19,430295
2020-10-23,36.19,37.22,36.19,37.22,374941
2020-10-26,36.85,37.05,34.75,35.26,715126
2020-10-27,35.27,36.33,35.04,35.98,793231
2020-10-28,35.3,35.77,34.21,34.74,815246
2020-10-29,34.59,35.02,33.93,34.18,744915
2020-10-30,33.85,34.1531,33.0,33.44,553039
2020-11-02,33.61,34.34,33.0,34.02,428607
2020-11-03,34.33,34.77,34.175,34.41,654648
2020-11-04,34.5,35.92,33.88,35.77,444611
2020-11-05,36.3,36.63,35.88,36.25,446511
2020-11-06,36.11,36.8,35.26,36.71,393745
2020-11-09,37.28,37.8381,33.41,33.45,1464310
2020-11-10,33.34,34.5,32.9316,33.97,666668
2020-11-11,34.29,35.73,34.0,35.47,747332
2020-11-12,34.36,35.37,34.18,34.57,685141
2020-11-13,34.58,35.5,34.58,35.1,491383
2020-11-16,35.19,35.54,34.54,34.76,420214
2020-11-17,34.5,34.82,33.72,33.97,626106
2020-11-18,34.0,34.82,33.99,34.48,594287
2020-11-19,34.22,35.29,33.73,35.06,467688
2020-11-20,35.14,35.4,34.61,34.65,355300
2020-11-23,34.5,34.9,34.06,34.46,745556
2020-11-24,34.64,34.86,33.55,33.9,833895
2020-11-25,34.0,34.67,33.75,34.42,480786
2020-11-27,34.36,35.91,34.3,34.32,319560
2020-11-30,36.0,36.5,34.4,35.72,2091357
2020-12-01,35.55,35.82,34.41,35.41,1074265
2020-12-02,35.41,35.85,35.0,35.64,1374224
2020-12-03,36.15,36.88,33.67,34.71,2628637
2020-12-04,36.32,36.45,34.01,34.27,1584340
2020-12-07,34.38,35.16,33.28,34.61,834776
2020-12-08,34.88,35.74,34.54,34.66,1046959
2020-12-09,34.15,35.11,33.925,34.73,1285014
2020-12-10,34.98,35.74,34.71,35.63,843737
2020-12-11,35.67,35.75,34.8509,35.06,612058
2020-12-14,37.14,37.18,36.1,37.0,3192681
2020-12-15,37.89,38.4,37.16,38.09,1300310
2020-12-16,38.11,38.98,37.9,38.44,1638436
2020-12-17,38.94,39.16,38.39,38.85,1408188
2020-12-18,39.0,39.5299,38.65,38.68,4834101
2020-12-21,38.0,38.97,37.2101,38.51,872065
2020-12-22,38.81,39.31,38.316,39.04,1025490
2020-12-23,39.46,39.46,38.72,38.72,811115
2020-12-24,38.67,39.43,38.58,39.25,353687
2020-12-28,39.42,39.53,38.4,38.43,527639
2020-12-29,38.36,38.5,37.28,38.12,529922
2020-12-30,38.28,39.01,38.28,38.92,489146
2020-12-31,38.88,38.89,38.4,38.45,411148
2021-01-04,38.29,38.6,37.36,37.6,564557
2021-01-05,37.43,38.2775,37.36,37.57,534233
2021-01-06,37.56,38.74,37.42,38.68,997029
2021-01-07,38.88,39.98,38.77,39.93,629758
2021-01-08,40.0,40.45,39.0,39.46,1019168
2021-01-11,39.05,40.48,38.87,40.44,710253
2021-01-12,40.4,41.0,39.73,40.57,670226
2021-01-13,40.65,40.83,39.51,40.29,758362
2021-01-14,40.79,41.52,39.91,41.33,842147
2021-01-15,41.06,41.66,40.2227,41.23,656987
2021-01-19,41.77,42.62,41.2801,42.25,934222
2021-01-20,42.0,42.5,41.12,41.65,1181795
2021-01-21,41.93,42.44,40.15,41.13,1005538
2021-01-22,40.5,42.37,40.11,41.7,10487116
2021-01-25,42.5,43.21,41.16,42.43,3431688
2021-01-26,42.39,43.38,40.52,40.65,2780592
2021-01-27,39.77,40.18,38.49,38.6,1446042
2021-01-28,39.63,39.65,37.94,39.04,1680945
2021-01-29,39.0,40.07,38.13,39.89,999867
2021-02-01,40.01,41.17,40.01,41.14,1226105
2021-02-02,41.89,42.97,41.59,41.82,812139
2021-02-03,42.12,42.48,41.46,42.19,527028
2021-02-04,42.25,42.5,41.82,42.13,509611
2021-02-05,42.0,42.64,41.66,42.3,809967
2021-02-08,42.51,43.6,42.51,43.3,757550
2021-02-09,43.0,43.51,42.88,43.51,498661
2021-02-10,44.11,44.63,42.53,42.86,664007
