Date,Open,High,Low,Close,Volume
2024-08-09,20.43,20.5,20.3,20.4217,5517
2024-08-12,20.58,20.6721,20.52,20.5405,2829
2024-08-13,20.61,20.72,20.54,20.574,64743
2024-08-14,20.51,20.51,20.26,20.3188,8100
2024-08-15,20.13,20.94,20.13,20.4474,29181
2024-08-16,20.82,21.0,20.78,20.9324,30535
2024-08-19,21.03,21.13,20.98,21.0765,83174
2024-08-20,20.95,20.955,20.8295,20.83,25679
2024-08-21,20.97,21.1199,20.97,21.0911,83691
2024-08-22,21.14,21.14,21.0,21.0439,32393
2024-08-23,21.22,21.2231,21.12,21.1484,29074
2024-08-26,20.51,20.51,20.08,20.33,77751
2024-08-27,20.3199,20.35,20.24,20.3099,6415
2024-08-28,20.055,20.13,19.81,19.8571,9381
2024-08-29,20.04,20.206,20.02,20.0931,5055
2024-08-30,20.43,20.53,20.331,20.52,45221
2024-09-03,20.45,20.48,20.31,20.3495,15284
2024-09-04,20.3301,20.54,20.3301,20.51,51135
2024-09-05,20.51,20.62,20.47,20.5655,12068
2024-09-06,19.8313,19.9105,19.67,19.6823,44317
2024-09-09,19.62,19.76,19.53,19.741,21660
2024-09-10,20.2,20.2,19.94,20.1954,31983
2024-09-11,20.2972,20.33,20.2,20.3295,4924
2024-09-12,20.4399,20.47,20.4001,20.4402,2174
2024-09-13,20.23,20.4988,20.23,20.4832,2695
2024-09-16,20.36,20.38,20.19,20.2315,9498
2024-09-17,20.56,20.6301,20.5052,20.5052,21660
2024-09-18,20.49,20.5538,20.33,20.4659,7807
2024-09-19,21.03,21.0521,20.9303,21.0521,5366
2024-09-20,21.13,21.17,21.0717,21.12,4764
2024-09-23,21.26,21.62,21.26,21.52,497349
2024-09-24,22.435,22.725,22.28,22.7001,21488
2024-09-25,22.12,22.44,21.98,22.3089,3312
2024-09-26,23.55,23.689,23.2,23.4622,23904
2024-09-27,23.58,23.72,23.56,23.6731,6291
2024-09-30,23.82,23.82,23.61,23.632,34153
2024-10-01,23.4,24.3867,23.27,24.3867,15586
2024-10-02,24.61,24.67,24.2,24.6686,16155
2024-10-03,24.09,24.63,24.04,24.4828,9926
2024-10-04,24.8154,25.0,24.72,24.8694,27048
2024-10-07,25.43,25.5299,24.81,25.4664,73320
2024-10-08,24.4,24.4,23.95,24.2379,36235
2024-10-09,23.67,24.0999,23.5,23.805,339181
2024-10-10,22.82,22.96,22.51,22.7895,58650
2024-10-11,22.39,22.99,22.39,22.8669,52659
