Date,Open,High,Low,Close,Volume
2022-12-14,25.99,25.99,25.6,25.705,3073
2022-12-15,24.5,24.5,23.455,23.455,205
2022-12-16,23.9101,23.9101,23.7691,23.7691,581
2022-12-19,23.7566,23.7566,23.7566,23.7566,319
2022-12-20,23.4899,23.4899,22.875,23.17,539
2022-12-21,24.06,24.06,24.06,24.06,187
2022-12-22,23.92,23.9847,23.92,23.9847,200
2022-12-23,23.05,23.05,23.05,23.05,600
2022-12-27,24.8,24.895,24.3,24.895,2647
2022-12-28,25.15,25.15,23.54,23.705,748
2022-12-29,23.96,24.96,23.96,24.6856,1320
2022-12-30,24.6399,24.6399,24.06,24.06,323
2023-01-03,26.05,26.66,26.02,26.02,1606
2023-01-04,27.69,31.9181,27.69,31.9181,3096
2023-01-05,32.13,32.97,30.6,32.349,2345
2023-01-06,32.42,33.88,31.46,33.73,2189
2023-01-09,35.85,36.15,34.92,35.6077,5673
2023-01-10,36.84,38.32,36.51,37.85,4759
2023-01-11,37.51,38.0,36.73,37.9483,6788
2023-01-12,36.72,36.94,36.4201,36.8598,2150
2023-01-13,38.4705,39.0118,38.4705,39.0118,1954
2023-01-17,39.49,39.49,37.42,37.958,4246
2023-01-18,37.52,37.52,36.52,36.7103,1163
2023-01-19,35.48,38.7599,35.48,38.7599,3204
2023-01-20,39.8012,40.72,39.8012,40.3959,6006
2023-01-23,39.37,40.414,39.37,40.335,2911
2023-01-24,40.55,40.62,39.9,40.185,1824
2023-01-25,40.24,40.79,40.24,40.595,977
2023-01-26,40.75,40.94,40.575,40.94,928
2023-01-27,40.3599,40.3599,39.0,39.5305,3549
2023-01-30,34.97,36.5099,34.9601,35.365,6894
2023-01-31,35.03,35.66,34.69,34.7797,4971
2023-02-01,36.02,36.52,34.7201,36.2679,9315
2023-02-02,34.3496,34.73,33.48,34.43,5377
2023-02-03,32.45,32.59,32.35,32.59,997
2023-02-06,31.53,32.52,31.16,32.1484,3150
2023-02-07,32.01,32.0929,31.4468,32.0929,1531
