Date,Open,High,Low,Close,Volume
2019-02-13,105.0,117.0,101.7,110.4,5672.2999943277
2019-02-14,110.4,123.3,109.2,112.8,2089.8999979101
2019-02-15,121.2,121.2,114.6,114.6,975.9666656907
2019-02-19,121.2,121.2,115.68,116.925,873.5333324598
2019-02-20,121.2,121.2,110.73,120.0,1821.0999981789
2019-02-21,123.3,123.3,120.0,123.0,918.5333324148
2019-02-22,120.885,123.0,116.1,120.903,666.333332667
2019-02-25,115.8,123.3,113.94,115.5,1925.4333314079
2019-02-26,117.474,120.0,117.234,119.7,211.4999997885
2019-02-27,119.7,119.7,114.39,118.5,217.5333331158
2019-02-28,117.0,121.497,112.5,117.0,201.1999997988
2019-03-01,119.7,119.7,112.5,112.725,249.6333330837
2019-03-04,115.5,119.4,102.3,102.303,982.0666656846
2019-03-05,96.6,103.8,96.48,96.48,56.5333332768
2019-03-06,96.3,96.483,78.3,81.6,1908.1666647585
2019-03-07,89.907,90.0,78.0,80.1,429.9333329034
2019-03-08,84.945,89.697,81.9,88.944,1051.999998948
2019-03-11,97.5,115.497,87.507,88.944,297.5333330358
2019-03-12,90.6,116.877,88.5,99.0,2233.5999977664
2019-03-13,112.2,112.2,90.6,91.2,430.7999995692
2019-03-14,103.5,116.073,91.8,93.0,605.0333327283
2019-03-15,94.8,102.0,89.625,93.6,739.333332594
2019-03-18,93.0,101.235,91.2,91.2,92.7333332406
2019-03-19,101.565,138.0,94.917,111.6,7944.7666587219
2019-03-20,121.5,138.0,105.6,112.5,5104.9666615617
2019-03-21,124.851,124.851,109.638,117.0,345.7333329876
2019-03-22,115.2,127.425,115.2,120.6,438.6999995613
2019-03-25,128.1,128.1,117.0,118.203,191.7666664749
2019-03-26,117.9,129.9,109.5,110.1,529.7666661369
2019-03-27,123.948,216.15,112.503,210.3,20583.166646083
2019-03-28,193.5,193.5,142.5,145.5,8589.7333247436
2019-03-29,144.0,163.014,135.0,150.0,1249.5666654171
2019-04-01,164.4,175.5,150.0,159.0,6136.999993863
2019-04-02,156.3,172.5,150.0,165.0,6695.7999933042
2019-04-03,165.0,168.0,157.5,168.0,1751.4999982485
2019-04-04,169.452,175.5,160.503,162.6,1882.0999981179
2019-04-05,165.0,169.5,162.0,163.5,786.9666658797
2019-04-08,168.0,168.0,152.592,161.283,1255.2666654114
2019-04-09,156.3,167.235,153.0,159.6,579.5333327538
2019-04-10,162.0,162.0,138.0,157.599,1050.7999989492
2019-04-11,156.954,166.5,147.432,150.0,1046.0666656206
2019-04-12,150.3,159.978,123.6,135.0,1463.8666652028
2019-04-15,141.9,153.3,138.0,139.8,199.0333331343
2019-04-16,140.1,140.352,109.503,127.05,1732.0333316013
2019-04-17,138.255,149.697,112.8,112.8,1857.6333314757
2019-04-18,120.9,128.535,113.103,124.5,531.7666661349
2019-04-22,130.2,130.728,118.8,128.1,444.5333328888
2019-04-23,120.0,131.958,120.0,130.185,166.5333331668
2019-04-24,129.048,131.976,128.145,131.976,22.8666666438
2019-04-25,132.6,142.104,132.6,138.6,679.1666659875
2019-04-26,127.5,139.5,127.5,133.452,625.4999993745
2019-04-29,129.6,134.583,120.0,120.6,619.333332714
2019-04-30,122.7,135.3,122.109,131.4,394.333332939
2019-05-01,129.756,129.819,120.633,129.819,44.4666666222
2019-05-02,122.7,126.567,120.0,124.857,290.0333330433
2019-05-03,123.0,128.04,121.95,128.04,115.0999998849
2019-05-06,123.45,125.616,122.958,122.958,108.9333332244
2019-05-07,124.5,126.984,119.7,121.701,591.8333327415
2019-05-08,120.0,120.6,117.0,120.6,169.5333331638
2019-05-09,121.26,121.8,118.5,119.553,95.3666665713
2019-05-10,118.2,118.41,118.2,118.41,18.3999999816
2019-05-13,111.0,120.597,108.0,119.4,636.3999993636
2019-05-14,117.771,118.131,117.771,118.131,20.0666666466
2019-05-15,123.6,132.6,121.134,130.059,503.2333328301
2019-05-16,134.994,135.0,120.9,126.591,222.8999997771
2019-05-17,128.46,128.46,124.8,126.3,67.1333332662
2019-05-20,132.0,132.0,120.126,130.8,30.8999999691
2019-05-21,129.954,129.954,120.903,128.097,74.1666665925
2019-05-23,128.955,130.107,120.9,120.9,46.2333332871
2019-05-24,126.0,129.861,121.506,121.506,241.666666425
2019-05-28,138.0,155.7,129.3,141.0,1746.9666649197
2019-05-29,144.0,165.0,132.0,144.342,2496.5666641701
2019-05-30,144.0,150.597,136.176,149.055,219.7666664469
2019-05-31,150.6,150.6,135.309,147.9,183.3666664833
2019-06-03,136.2,150.6,136.2,142.8,94.2999999057
2019-06-04,146.307,149.682,141.492,148.29,118.0333332153
2019-06-05,143.7,165.0,140.1,143.7,885.3666657813
2019-06-06,162.0,162.75,146.28,147.0,158.7333331746
2019-06-07,149.7,161.1,138.69,144.6,369.8666662968
2019-06-10,138.531,149.697,138.144,141.0,84.8333332485
2019-06-11,141.0,148.107,132.003,132.6,526.8333328065
2019-06-12,132.0,152.01,132.0,145.2,383.7666662829
2019-06-13,147.0,150.0,138.9,141.6,549.2333327841
2019-06-14,132.66,142.8,132.66,142.5,139.7666665269
2019-06-17,148.749,154.5,144.3,150.0,1330.1333320032
2019-06-18,152.28,153.0,144.0,149.4,116.6333332167
2019-06-19,144.0,150.0,127.503,141.0,745.7666659209
2019-06-20,138.3,138.3,129.6,137.1,398.0999996019
2019-06-21,136.5,136.5,120.9,120.9,520.0999994799
2019-06-24,130.5,130.5,114.0,123.927,526.7333328066
2019-06-25,116.1,120.96,114.0,114.057,332.4999996675
2019-06-26,114.0,117.585,114.0,114.0,77.4999999225
2019-06-27,122.7,128.25,114.0,117.6,57.1333332762
2019-06-28,124.2,124.2,117.0,119.7,71.1333332622
2019-07-01,126.861,132.0,126.0,132.0,252.4333330809
2019-07-02,126.0,131.4,126.0,126.0,166.0999998339
2019-07-05,128.934,129.891,126.0,128.754,91.9666665747
2019-07-08,137.7,138.0,126.0,126.0,174.2666664924
2019-07-09,126.0,138.0,115.5,125.421,189.1333331442
2019-07-10,117.0,125.1,117.0,125.1,86.9666665797
2019-07-11,121.692,124.815,115.5,115.5,162.2666665044
2019-07-12,120.615,125.643,98.043,106.842,466.7666661999
2019-07-15,112.5,118.857,112.254,112.254,55.0333332783
2019-07-16,119.784,119.784,108.3,112.5,163.0999998369
2019-07-17,108.0,111.0,106.8,108.3,68.999999931
2019-07-18,110.688,110.688,103.5,103.5,47.7999999522
2019-07-19,108.0,111.0,81.405,91.5,564.7333327686
2019-07-22,98.616,99.0,82.5,94.8,457.999999542
2019-07-23,94.887,98.7,84.9,98.7,179.4666664872
2019-07-24,97.8,105.0,90.3,103.551,223.6333331097
2019-07-25,108.6,108.6,96.3,99.9,130.0999998699
2019-07-26,96.0,105.0,96.0,105.0,262.0666664046
2019-07-29,98.7,133.5,98.7,114.3,318.5666663481
2019-07-30,113.79,131.4,106.8,126.0,518.1999994818
2019-07-31,120.0,126.0,115.8,119.952,277.0999997229
2019-08-01,120.0,126.645,103.5,105.0,386.2666662804
2019-08-02,116.1,130.5,115.5,126.0,83.1999999168
2019-08-05,115.5,132.591,115.5,127.827,125.2666665414
2019-08-06,120.0,132.0,116.403,120.0,378.666666288
2019-08-07,117.411,130.173,117.0,127.527,284.2333330491
2019-08-08,117.0,128.85,117.0,120.6,36.4666666302
2019-08-09,120.0,127.515,115.503,126.021,153.6999998463
2019-08-12,116.1,131.25,116.1,129.9,49.3999999506
2019-08-13,130.5,160.5,118.338,131.1,6368.4666602982
2019-08-14,131.1,131.1,108.726,110.1,1280.333332053
2019-08-15,110.103,116.076,105.0,105.6,260.5333330728
2019-08-16,114.0,148.2,114.0,118.842,2654.1999973458
2019-08-19,127.5,129.6,115.5,118.5,1094.7666655719
2019-08-20,113.085,126.927,113.085,126.0,279.9333330534
2019-08-21,125.397,125.397,118.812,124.8,39.2666666274
2019-08-22,123.69,125.1,118.8,123.3,384.0666662826
2019-08-23,118.5,121.5,118.5,120.9,178.8666664878
2019-08-26,118.5,120.9,118.5,120.9,39.8333332935
2019-08-27,119.49,120.9,112.5,114.0,385.8333329475
2019-08-28,117.081,119.1,113.946,117.3,258.1666664085
2019-08-29,122.136,122.7,117.9,122.4,17.999999982
2019-08-30,117.636,120.0,115.2,120.0,328.0333330053
2019-09-03,114.585,119.139,114.585,119.139,32.8666666338
2019-09-04,117.0,120.678,117.0,117.9,47.1999999528
2019-09-05,116.133,119.997,114.3,118.8,83.9666665827
2019-09-06,117.3,119.1,117.0,119.1,24.6999999753
2019-09-09,117.0,120.0,112.2,120.0,175.8666664908
2019-09-10,115.5,119.46,113.997,118.05,328.8999996711
2019-09-11,120.0,121.8,114.3,121.8,426.7999995732
2019-09-12,117.0,119.1,109.5,119.1,350.7333329826
2019-09-13,114.9,119.1,113.028,119.1,227.6333331057
2019-09-16,118.5,119.1,110.427,119.1,482.4666661842
2019-09-17,118.8,121.5,114.3,121.5,680.2999993197
2019-09-18,121.5,126.0,116.4,116.4,1414.5999985854
2019-09-19,117.6,127.5,106.5,109.5,819.0999991809
2019-09-20,115.8,120.0,111.3,115.8,1694.7333316386
2019-09-23,119.961,119.961,107.7,111.0,808.8999991911
2019-09-24,108.9,115.707,101.37,114.3,964.4999990355
2019-09-25,108.45,110.088,105.0,105.0,50.1333332832
2019-09-26,105.9,111.0,105.0,105.9,196.1333331372
2019-09-27,106.5,106.713,94.344,103.929,532.4666661342
2019-09-30,103.5,109.317,97.5,109.317,223.9333331094
2019-10-01,98.535,106.104,95.7,96.0,720.9333326124
2019-10-02,96.0,100.2,95.4,95.4,234.1333330992
2019-10-03,95.4,100.44,93.0,94.5,293.8999997061
2019-10-04,93.696,93.696,93.696,93.696,17.9666666487
2019-10-07,93.573,97.5,88.2,88.2,116.3666665503
2019-10-08,93.261,96.0,88.65,96.0,76.9333332564
