Date,Open,High,Low,Close,Volume
2020-11-04,24.93,25.08,24.93,25.04,518635
2020-11-05,25.09,25.47,25.09,25.41,1984712
2020-11-06,25.4,25.42,25.24,25.28,588621
2020-11-09,25.39,25.4,25.2,25.23,815661
2020-11-10,25.23,25.26,25.16,25.18,718117
2020-11-11,25.23,25.39,25.23,25.38,295467
2020-11-12,25.38,25.44,25.37,25.38,545626
2020-11-13,25.39,25.46,25.3515,25.4,313229
2020-11-16,25.48,25.69,25.45,25.65,656708
2020-11-17,25.59,25.95,25.53,25.86,255353
2020-11-18,25.85,25.9644,25.79,25.81,236207
2020-11-19,25.85,25.96,25.76,25.96,690967
2020-11-20,25.99,25.99,25.8801,25.93,192772
2020-11-23,25.99,26.03,25.9,25.97,307376
2020-11-24,26.0,26.06,25.92,26.03,311348
2020-11-25,26.04,26.155,25.93,26.07,503630
2020-11-27,26.03,26.31,26.03,26.12,1207115
2020-11-30,26.14,26.205,25.94,25.94,3637087
2020-12-01,25.95,26.01,25.89,25.95,1253584
2020-12-02,25.9,26.11,25.9,26.06,363262
2020-12-03,26.03,26.11,26.0,26.1,123055
2020-12-04,26.07,26.14,26.045,26.07,126495
2020-12-07,26.07,26.14,26.07,26.11,117726
2020-12-08,26.12,26.13,26.07,26.09,78127
2020-12-09,26.1,26.12,26.02,26.12,100278
2020-12-10,26.09,26.16,26.08,26.14,183598
2020-12-11,26.11,26.14,26.04,26.08,165276
2020-12-14,26.09,26.14,26.07,26.12,279574
2020-12-15,26.09,26.1723,26.09,26.14,243847
2020-12-16,26.11,26.25,26.1,26.22,357901
2020-12-17,26.21,26.44,26.21,26.41,89123
2020-12-18,26.44,26.44,26.2,26.42,315536
2020-12-21,26.3,26.5,26.27,26.43,135926
2020-12-22,26.5,26.5,26.22,26.37,131655
2020-12-23,26.37,26.39,26.25,26.35,107643
2020-12-24,26.31,26.39,26.28,26.39,36770
2020-12-28,26.39,26.48,26.32,26.45,156164
2020-12-29,26.33,26.46,26.33,26.43,78726
2020-12-30,26.38,26.5,26.31,26.45,169412
2020-12-31,26.47,26.69,26.44,26.55,87753
2021-01-04,26.54,26.66,26.26,26.34,68480
2021-01-05,26.33,26.46,26.15,26.28,66018
2021-01-06,26.29,26.29,25.5,25.7,146440
2021-01-07,25.68,25.69,25.224,25.44,363232
2021-01-08,25.44,25.56,25.4,25.45,254830
2021-01-11,25.37,25.45,25.14,25.17,227761
2021-01-12,25.19,25.195,24.945,25.09,346223
2021-01-13,25.14,25.54,25.14,25.49,144465
2021-01-14,25.25,25.46,25.1999,25.24,193243
2021-01-15,25.35,25.44,25.2,25.26,247900
2021-01-19,25.41,25.41,25.31,25.35,144635
2021-01-20,25.4,25.45,25.35,25.43,161158
2021-01-21,25.29,25.49,25.26,25.45,892132
2021-01-22,25.47,25.62,25.4,25.5,166037
2021-01-25,25.5,25.626,25.31,25.33,296120
2021-01-26,25.35,25.36,25.29,25.35,419198
2021-01-27,25.28,25.42,25.2,25.21,148739
2021-01-28,25.25,25.4,25.25,25.38,118822
2021-01-29,25.39,25.43,25.3,25.35,535577
2021-02-01,25.43,25.47,25.32,25.41,184070
2021-02-02,25.41,25.58,25.36,25.5,242793
2021-02-03,25.53,25.53,25.32,25.34,301231
2021-02-04,25.42,25.42,25.25,25.35,210575
2021-02-05,25.35,25.39,25.23,25.29,175398
2021-02-08,25.26,25.35,25.2539,25.35,77190
2021-02-09,25.35,25.4,25.3,25.35,200435
2021-02-10,25.47,25.72,25.35,25.66,332970
2021-02-11,25.66,25.66,25.43,25.47,87549
2021-02-12,25.37,25.44,25.27,25.37,265219
2021-02-16,25.26,25.32,25.0,25.0,168457
2021-02-17,25.05,25.17,24.9993,25.07,230484
2021-02-18,25.01,25.22,24.98,25.09,108817
2021-02-19,25.08,25.175,25.02,25.11,263806
2021-02-22,25.11,25.11,25.01,25.06,136224
2021-02-23,25.09,25.09,24.94,25.05,164857
2021-02-24,24.97,24.9917,24.84,24.88,163142
2021-02-25,24.92,24.92,24.53,24.68,188619
2021-02-26,24.8,24.8,24.35,24.7,549945
2021-03-01,24.8,24.96,24.72,24.74,222697
2021-03-02,24.86,25.07,24.771,25.07,271163
2021-03-03,24.97,24.97,24.75,24.88,292735
2021-03-04,24.9,24.93,24.65,24.82,221780
2021-03-05,24.83,24.86,24.68,24.84,150497
2021-03-08,24.89,24.89,24.65,24.72,173125
2021-03-09,24.87,24.97,24.78,24.92,220062
2021-03-10,24.96,24.99,24.76,24.99,264362
2021-03-11,24.98,25.2784,24.91,25.25,255236
2021-03-12,25.11,25.12,24.92,25.04,223854
2021-03-15,25.12,25.18,25.0277,25.135,149594
2021-03-16,25.16,25.24,25.105,25.1734,220180
2021-03-17,25.06,25.11,24.9,25.09,279524
2021-03-18,24.98,24.98,24.67,24.67,244618
2021-03-19,24.76,24.9392,24.6,24.84,172324
2021-03-22,24.94,25.05,24.92,24.96,171352
2021-03-23,24.99,25.03,24.93,24.99,782410
2021-03-24,24.96,25.04,24.92,24.995,661473
2021-03-25,25.0,25.08,24.98,25.0,376034
2021-03-26,25.03,25.1,24.98,25.0,409314
2021-03-29,25.05,25.05,24.79,24.83,284449
2021-03-30,24.85,24.98,24.79,24.94,241272
2021-03-31,24.98,25.08,24.93,25.0,803517
2021-04-01,25.11,25.26,25.08,25.175,196104
2021-04-05,25.24,25.28,25.14,25.16,571495
2021-04-06,25.22,25.42,25.1925,25.39,382647
2021-04-07,25.45,25.54,25.39,25.47,112073
2021-04-08,25.54,25.54,25.43,25.51,93232
2021-04-09,25.49,25.6014,25.45,25.49,133070
2021-04-12,25.55,25.55,25.43,25.5,94119
2021-04-13,25.5,25.63,25.42,25.6,152269
2021-04-14,25.39,25.4,25.26,25.32,110816
2021-04-15,25.39,25.48,25.32,25.48,114956
2021-04-16,25.48,25.62,25.4,25.55,161972
2021-04-19,25.51,25.56,25.4294,25.53,156399
2021-04-20,25.53,25.53,25.43,25.45,205369
2021-04-21,25.51,25.51,25.4,25.41,261495
2021-04-22,25.49,25.5,25.43,25.45,113037
2021-04-23,25.51,25.51,25.38,25.45,261829
2021-04-26,25.5,25.5,25.39,25.47,324497
2021-04-27,25.42,25.52,25.38,25.49,101776
2021-04-28,25.45,25.45,25.2281,25.37,225005
2021-04-29,25.36,25.36,25.15,25.25,306411
2021-04-30,25.27,25.4,25.17,25.39,416322
2021-05-03,25.37,25.45,25.26,25.4,115366
2021-05-04,25.39,25.54,25.37,25.54,357585
2021-05-05,25.56,25.56,25.42,25.43,51406
2021-05-06,25.44,25.51,25.34,25.42,85918
2021-05-07,25.46,25.48,25.398,25.47,127068
2021-05-10,25.49,25.49,25.28,25.3,138300
2021-05-11,25.23,25.3021,25.06,25.24,136727
2021-05-12,25.1,25.11,24.95,25.06,150146
2021-05-13,25.16,25.2,24.75,24.92,208317
2021-05-14,25.03,25.22,25.0,25.15,111750
2021-05-17,25.18,25.18,25.02,25.0673,100133
2021-05-18,25.13,25.1498,25.07,25.12,109358
2021-05-19,25.05,25.17,25.0,25.1214,184036
2021-05-20,25.16,25.28,25.12,25.25,194781
2021-05-21,25.25,25.3792,25.25,25.28,102196
2021-05-24,25.38,25.4623,25.34,25.355,109685
2021-05-25,25.4,25.4,25.28,25.32,87765
2021-05-26,25.36,25.43,25.306,25.365,79720
2021-05-27,25.34,25.41,25.33,25.38,76064
2021-05-28,25.4,25.52,25.375,25.43,150635
2021-06-01,25.43,25.57,25.43,25.5,204191
2021-06-02,25.61,25.6193,25.51,25.57,232481
2021-06-03,25.58,25.59,25.51,25.55,209974
2021-06-04,25.62,25.62,25.56,25.59,126058
2021-06-07,25.65,25.67,25.59,25.59,161197
2021-06-08,25.65,25.65,25.52,25.59,200239
