Date,Open,High,Low,Close,Volume
2024-11-20,25.62,25.62,25.0,25.1565,115565
2024-11-21,25.16,25.43,25.16,25.415,45479
2024-11-22,25.45,25.486,25.3968,25.486,539894
2024-11-25,25.67,25.74,25.59,25.7097,296335
2024-11-26,25.7,25.81,25.67,25.8098,492597
2024-11-27,25.79,25.81,25.72,25.745,373038
2024-11-29,25.7793,25.8899,25.7793,25.8503,181917
2024-12-02,25.91,25.94,25.86,25.9113,29952
2024-12-03,25.86,25.92,25.8499,25.9097,78301
2024-12-04,25.9826,26.03,25.98,26.03,42277
2024-12-05,26.01,26.01,25.8326,25.8326,12212
2024-12-06,25.91,25.95,25.855,25.9,220712
2024-12-09,25.92,25.92,25.78,25.7814,24978
2024-12-10,25.82,25.84,25.73,25.7412,25790
2024-12-11,25.96,25.99,25.95,25.9744,27597
2024-12-12,25.86,25.86,25.7892,25.7892,6207
2024-12-13,25.85,25.85,25.7108,25.7108,37315
2024-12-16,25.84,25.84,25.7567,25.7567,19838
2024-12-17,25.68,25.68,25.609,25.6413,131324
2024-12-18,25.65,25.75,24.9,24.9081,80376
2024-12-19,25.2,25.2,24.8884,24.8884,81767
2024-12-20,24.82,25.33,24.82,25.1605,81029
2024-12-23,25.2036,25.325,25.07,25.325,34671
2024-12-24,25.35,25.5528,25.35,25.5528,27301
2024-12-26,25.52,25.61,25.51,25.585,31517
2024-12-27,25.43,25.46,25.189,25.3176,83647
2024-12-30,25.0,25.17,24.899,25.0863,207679
2024-12-31,25.16,25.16,24.95,24.9547,49709
2025-01-02,25.25,25.259,24.87,24.9494,302627
2025-01-03,25.01,25.27,25.01,25.2198,459440
2025-01-06,25.47,25.59,25.391,25.391,12839
2025-01-07,25.44,25.47,25.205,25.205,52896
2025-01-08,25.2,25.27,25.13,25.2475,49893
2025-01-10,25.04,25.07,24.84,24.9184,87908
2025-01-13,24.74,24.9206,24.74,24.9206,78363
2025-01-14,25.0625,25.1,24.8887,25.0215,44107
2025-01-15,25.48,25.53,25.41,25.4783,78512
2025-01-16,25.55,25.58,25.4854,25.4854,129785
2025-01-17,25.66,25.74,25.65,25.6624,32884
2025-01-21,25.8399,25.95,25.83,25.9355,35028
2025-01-22,26.07,26.08,25.98,25.9903,17872
2025-01-23,26.09,26.1485,26.04,26.1485,28132
2025-01-24,26.19,26.2054,26.125,26.1509,14070
2025-01-27,25.83,26.0274,25.83,26.0274,49492
2025-01-28,26.0439,26.33,26.0439,26.315,21763
2025-01-29,26.26,26.29,26.2212,26.2212,57027
2025-01-30,26.42,26.515,26.34,26.445,51130
2025-01-31,26.62,26.63,26.31,26.3192,50472
2025-02-03,25.95,26.23,25.86,26.155,465084
2025-02-04,26.15,26.3,26.095,26.155,150723
2025-02-05,26.02,26.1583,26.0002,26.1583,30459
2025-02-06,26.3,26.3,26.1278,26.2412,30048
2025-02-07,26.2686,26.2686,25.92,25.9259,3198
