Date,Open,High,Low,Close,Volume
2024-11-25,18.5,18.55,18.255,18.255,1181
2024-11-26,17.75,17.9145,17.75,17.9145,902
2024-12-03,17.7,17.7,17.7,17.7,323
2024-12-04,17.7,17.7,17.7,17.7,1000
2024-12-05,17.6,17.61,17.6,17.61,682
2024-12-16,17.51,17.5741,17.5,17.5,1670
2024-12-17,17.37,17.43,16.25,16.25,14484
2024-12-19,16.21,16.23,16.18,16.2,683
2024-12-23,16.61,16.61,16.41,16.61,960
2024-12-24,16.04,16.98,16.04,16.675,2020
2024-12-26,16.9571,17.45,16.1439,17.45,1710
2024-12-27,18.0,18.0,17.85,17.85,5707
2024-12-30,18.04,18.04,17.5,17.98,1428
2024-12-31,18.1,18.48,18.1,18.47,3766
2025-01-02,19.3,19.45,18.75,19.45,3969
2025-01-03,19.64,20.0,17.65,18.49,5994
2025-01-06,18.2,19.84,18.2,19.7,7965
2025-01-07,20.89,22.0,19.0,20.0,12117
2025-01-08,19.75,20.95,17.95,19.2,15146
2025-01-10,19.61,20.02,17.95,18.5,1728
2025-01-13,18.85,18.98,18.85,18.98,229
2025-01-14,19.9,22.0,17.64,19.81,16499
2025-01-15,17.91,18.55,17.89,18.55,6554
2025-01-16,18.5,18.5,18.5,18.5,792
2025-01-17,18.5,19.0,18.0,18.98,2802
2025-01-22,19.3,22.41,18.38,18.38,18386
2025-01-23,18.05,18.24,17.85,17.87,3383
2025-01-24,17.75,18.87,17.75,17.75,4538
2025-01-27,18.56,18.955,17.75,18.295,13611
2025-01-28,18.13,18.13,17.5,17.5,4666
2025-01-29,18.0,18.0,17.17,18.0,247
2025-01-30,17.69,17.69,17.5001,17.5001,806
2025-01-31,17.0,18.18,15.81,17.7,19126
2025-02-03,16.725,16.95,16.2,16.2,1059
2025-02-04,15.93,16.85,15.0,15.0,8069
2025-02-05,14.76,14.76,14.76,14.76,773
2025-02-06,14.25,14.54,14.25,14.54,3419
2025-02-07,14.285,16.0,14.26,16.0,3618
