Date,Open,High,Low,Close,Volume
2023-03-23,4.21,4.54,4.17,4.42,1346500
2023-03-24,4.52,4.55,4.3804,4.41,136602
2023-03-27,4.55,7.0,4.51,6.13,834010
2023-03-28,6.35,8.5,6.21,6.81,903773
2023-03-29,7.35,10.0,7.35,9.21,2397162
2023-03-30,8.6,10.99,8.25,10.0,836070
2023-03-31,10.39,10.5,9.5,9.5,375413
2023-04-03,8.6,8.99,8.09,8.81,205933
2023-04-04,8.9,8.99,8.1,8.17,178365
2023-04-05,8.06,10.49,8.03,9.83,132876
2023-04-06,9.4,12.0,9.4,11.76,389222
2023-04-10,12.38,14.77,12.15,14.35,241279
2023-04-11,14.7,14.7,12.0801,12.81,110881
2023-04-12,12.91,14.334,12.91,13.87,77463
2023-04-13,14.79,18.9224,14.0485,18.35,380962
2023-04-14,18.01,20.9407,17.42,19.95,305372
2023-04-17,18.61,19.2,16.2,18.0,121401
2023-04-18,17.28,17.765,13.5501,14.2,119735
2023-04-19,14.14,15.44,14.04,14.47,71158
2023-04-20,14.36,14.99,11.3,12.92,1022854
2023-04-21,12.92,19.99,12.92,17.41,257918
2023-04-24,17.32,21.53,17.15,19.89,277473
2023-04-25,18.34,19.02,16.71,17.11,88161
2023-04-26,16.51,17.81,16.06,17.0,21920
2023-04-27,16.28,16.9892,15.16,16.8112,106035
2023-04-28,15.5042,16.51,14.21,14.65,93874
2023-05-01,14.0,14.04,3.2501,4.06,4527074
2023-05-02,3.54,3.88,2.3,3.19,1037125
2023-05-03,3.01,3.4,2.74,3.05,589894
2023-05-04,2.96,3.12,2.41,2.69,519602
2023-05-05,2.6,3.14,2.6,2.97,618359
2023-05-08,3.02,3.35,3.0,3.03,317583
2023-05-09,3.05,3.2,2.7,2.76,235658
2023-05-10,2.89,2.95,2.7,2.77,92286
2023-05-11,2.73,2.8797,2.6,2.6,169642
2023-05-12,2.6001,2.9,2.54,2.83,304845
2023-05-15,2.99,2.9972,2.43,2.61,182055
2023-05-16,2.55,2.59,2.32,2.41,127830
2023-05-17,2.44,2.48,2.3201,2.41,43359
2023-05-18,2.42,2.85,2.38,2.73,844673
2023-05-19,2.81,3.44,2.76,3.12,562514
2023-05-22,2.95,3.37,2.85,3.05,276915
2023-05-23,3.04,3.23,2.77,2.9,176866
2023-05-24,2.98,3.07,2.9161,2.99,104447
2023-05-25,2.92,2.98,2.7702,2.89,73402
2023-05-26,2.96,2.96,2.6,2.7101,95521
2023-05-30,2.7,2.89,2.6481,2.79,26998
2023-05-31,2.77,3.03,2.725,2.95,51354
2023-06-01,2.88,2.96,2.71,2.72,21266
2023-06-02,2.74,2.818,2.7,2.71,15309
