Date,Open,High,Low,Close,Volume
2021-06-03,3.0577,3.7,2.9001,3.19,147037
2021-06-04,3.38,3.59,3.14,3.3,106207
2021-06-07,3.6,3.75,3.31,3.69,114823
2021-06-08,3.58,3.605,3.35,3.4499,42037
2021-06-09,3.66,4.5,3.34,4.24,160918
2021-06-10,4.51,4.75,3.883,4.36,220198
2021-06-11,4.54,4.54,3.88,4.0999,54759
2021-06-14,4.04,4.155,3.78,3.91,27079
2021-06-15,3.83,3.83,3.43,3.43,38843
2021-06-16,3.43,3.74,3.43,3.47,44625
2021-06-17,3.65,3.65,3.41,3.41,46645
2021-06-18,3.41,4.24,3.2,3.58,127117
2021-06-21,3.62,3.62,3.22,3.4204,30040
2021-06-22,3.3,3.32,3.22,3.3,32756
2021-06-23,3.23,3.2899,3.18,3.1998,45929
2021-06-24,3.2,3.3199,3.0201,3.19,23800
2021-06-25,3.1,3.1,2.9,2.985,28984
2021-06-28,2.91,3.14,2.91,3.1,57171
2021-06-29,3.24,3.4799,3.2296,3.41,34671
2021-06-30,3.33,3.48,3.33,3.48,22184
2021-07-01,3.35,3.44,3.3,3.3448,7664
2021-07-02,3.25,3.2761,3.24,3.24,10493
2021-07-06,3.2,3.26,3.005,3.1,40086
2021-07-07,3.01,3.01,2.9,2.92,55937
2021-07-08,2.89,2.93,2.8369,2.91,14010
2021-07-09,2.98,3.0399,2.965,2.99,20011
2021-07-12,3.0,3.04,2.9,3.03,12561
2021-07-13,2.94,2.9501,2.82,2.82,26049
2021-07-14,2.82,2.86,2.56,2.61,44969
2021-07-15,2.55,2.7,2.41,2.5,125700
2021-07-16,2.51,2.51,2.27,2.27,77497
2021-07-19,2.25,2.51,2.11,2.35,48776
2021-07-20,2.35,2.35,2.1801,2.225,61965
2021-07-21,2.238,2.43,2.2101,2.35,25323
2021-07-22,2.37,2.4,2.24,2.33,22804
2021-07-23,2.4,2.4,2.21,2.36,33119
2021-07-26,2.35,2.47,2.33,2.4,31129
2021-07-27,2.35,2.36,2.23,2.33,40928
2021-07-28,2.33,2.39,2.25,2.3,23000
2021-07-29,2.4,2.4,2.1,2.14,86931
2021-07-30,2.1,2.1999,2.01,2.0397,141700
2021-08-02,2.0,2.21,2.0,2.21,35308
2021-08-03,2.09,2.16,2.05,2.12,24947
2021-08-04,2.1,2.315,2.1,2.3007,62029
2021-08-05,2.22,2.3601,2.1,2.31,10423
2021-08-06,2.38,2.5,2.31,2.41,19011
2021-08-09,2.32,2.63,2.3101,2.5,67417
2021-08-10,2.45,2.45,2.2,2.36,50131
2021-08-11,2.3,2.32,2.2399,2.31,5646
2021-08-12,2.35,2.35,2.22,2.33,35211
2021-08-13,2.28,2.28,2.2,2.2001,44257
2021-08-16,2.2,2.255,1.9,1.94,82772
2021-08-17,1.85,1.8801,1.78,1.83,56278
2021-08-18,1.8,1.8,1.68,1.75,47848
2021-08-19,1.64,1.86,1.64,1.72,85323
2021-08-20,1.75,1.8,1.69,1.7,15579
2021-08-23,1.75,1.84,1.64,1.69,22024
2021-08-24,1.75,1.8399,1.7499,1.75,25179
2021-08-25,1.802,1.99,1.802,1.9,40419
2021-08-26,1.84,1.9,1.75,1.8901,17015
2021-08-27,1.94,2.2,1.94,2.04,41743
2021-08-30,2.01,2.12,2.01,2.05,13662
2021-08-31,1.93,1.99,1.93,1.97,19512
2021-09-01,1.97,2.05,1.91,2.03,15820
2021-09-02,1.97,2.01,1.92,1.96,14267
2021-09-03,1.9695,2.02,1.9,2.02,112818
2021-09-07,2.02,2.02,1.85,1.8766,60666
2021-09-08,1.87,1.87,1.67,1.82,37358
2021-09-09,1.8001,1.93,1.79,1.93,22021
2021-09-10,1.87,1.8715,1.8,1.8,16284
2021-09-13,1.77,1.79,1.72,1.78,5077
2021-09-14,1.93,1.97,1.75,1.78,65848
2021-09-15,1.68,1.81,1.68,1.78,18911
