Date,Open,High,Low,Close,Volume
2021-10-14,1207.2,1229.45,1098.0,1104.0,942.05415724612
2021-10-15,1082.4,1128.0,1080.0,1099.2,399.3166626735
2021-10-18,1080.0,1129.63,1080.0,1080.0,154.099998459
2021-10-19,1094.4,1099.18,1080.0,1089.6,187.33749812663
2021-10-20,1096.8,1096.8,1080.0,1082.38,153.633331797
2021-10-21,1082.4,1107.84,1080.0,1080.0,152.866665138
2021-10-22,1082.42,1091.98,1077.6,1080.0,216.47499783525
2021-10-25,1080.0,1084.58,1056.0,1068.0,173.599998264
2021-10-26,1065.6,1068.0,1056.0,1065.6,91.89166574775
2021-10-27,1056.02,1222.15,1056.0,1116.0,572.14582761188
2021-10-28,1130.98,1142.09,1111.2,1118.4,47.629166190375
2021-10-29,1147.2,1224.0,1113.6,1200.0,1092.3958224094
2021-11-01,1248.31,1363.1,1221.6,1315.2,7358.4124264159
2021-11-02,1692.0,1709.26,1243.2,1293.6,25311.941413548
2021-11-03,1185.6,1199.98,1065.6,1080.0,1853.3749814662
2021-11-04,1046.4,1080.0,998.4,1014.05,1029.3083230402
2021-11-05,984.0,1080.0,976.032,1018.8,596.70416069963
2021-11-08,988.8,1020.0,981.6,993.6,328.13749671863
2021-11-09,996.0,1024.54,981.6,1010.4,275.60416391063
2021-11-10,996.0,1051.18,974.4,998.4,472.99166193675
2021-11-11,981.6,1012.8,928.8,931.2,474.59166192075
2021-11-12,928.8,960.0,852.0,854.4,316.866663498
2021-11-15,888.0,1552.8,854.424,914.4,35865.232974681
2021-11-16,859.2,1288.8,805.2,928.8,16321.895670114
2021-11-17,945.6,948.0,864.0,885.6,1355.3374864466
2021-11-18,876.0,1065.6,796.8,837.6,4903.4207842991
2021-11-19,847.2,914.4,847.2,888.0,844.2166582245
2021-11-22,849.6,1140.0,847.2,998.4,8588.4499141155
2021-11-23,983.112,1168.8,900.024,943.2,3925.2124607479
2021-11-24,960.0,1039.2,926.424,981.6,1628.6208170471
2021-11-26,960.0,1013.18,919.2,972.0,670.32082663012
2021-11-29,972.0,1005.94,960.0,986.4,542.9833279035
2021-11-30,960.0,986.4,861.6,871.2,885.1833244815
2021-12-01,876.0,1010.4,866.4,919.2,4438.6249556137
2021-12-02,931.2,1058.4,820.776,909.6,4044.3207928901
2021-12-03,890.4,912.0,840.0,868.8,417.966662487
2021-12-06,868.8,882.648,816.0,847.2,410.87082922463
2021-12-07,850.8,904.8,850.08,868.8,402.82916263838
2021-12-08,861.6,957.552,852.0,907.2,567.82499432175
2021-12-09,919.2,981.6,900.024,938.4,917.52915749138
2021-12-10,936.0,976.8,933.6,952.8,397.37082935963
2021-12-13,952.8,957.6,904.8,933.6,191.92083141412
2021-12-14,913.2,955.2,892.8,902.4,174.5499982545
2021-12-15,900.0,924.0,849.6,871.2,290.84583042487
2021-12-16,871.2,899.952,856.8,871.2,170.30833163025
2021-12-17,854.4,888.0,850.08,856.8,121.32499878675
2021-12-20,873.792,876.0,837.6,837.6,201.9833313135
2021-12-21,870.0,911.976,855.6,864.0,447.65416219013
2021-12-22,864.0,909.6,842.4,897.6,858.42082474913
2021-12-23,895.2,1008.0,876.0,952.8,3205.4499679455
2021-12-27,916.8,960.0,904.8,904.8,372.55416294113
2021-12-28,888.0,931.2,820.8,837.6,818.00415848662
2021-12-29,832.8,871.176,806.4,806.4,240.9499975905
2021-12-30,837.6,875.616,780.0,796.8,379.35416287313
2021-12-31,794.4,921.6,775.2,844.8,2032.4791463419
2022-01-03,842.4,885.6,816.0,864.0,261.69583071637
2022-01-04,864.024,878.4,808.8,820.8,259.82499740175
2022-01-05,842.4,854.4,825.624,847.2,151.03749848962
2022-01-06,840.0,900.0,816.0,844.8,388.3833294495
2022-01-07,830.4,849.576,811.2,823.2,111.72916554937
2022-01-10,924.0,1627.18,902.4,1293.6,279473.90137193
2022-01-11,1128.0,1168.8,969.6,1034.4,13691.491529751
2022-01-12,1000.8,1051.18,868.8,889.2,4698.9541196771
2022-01-13,888.0,890.4,789.6,806.4,2236.5416443013
2022-01-14,792.0,912.0,780.0,840.024,3148.5833018475
2022-01-18,840.0,840.0,746.4,758.4,1305.6791536099
2022-01-19,760.8,794.4,739.2,746.4,576.77499423225
2022-01-20,748.8,768.0,700.8,715.2,864.41249135587
2022-01-21,676.8,753.6,660.0,679.2,686.17915980487
2022-01-24,648.0,669.6,518.64,576.0,940.78749059212
2022-01-25,602.4,645.6,559.2,621.6,1392.0499860795
2022-01-26,592.8,595.2,535.08,542.4,886.34582446987
2022-01-27,549.6,616.8,535.68,556.8,1136.833321965
2022-01-28,540.0,573.6,468.0,494.952,1192.4583214087
2022-01-31,499.2,532.8,489.6,513.6,358.499996415
2022-02-01,504.0,523.2,485.28,511.2,200.98749799013
2022-02-02,528.0,528.0,501.6,504.0,213.50833119825
2022-02-03,511.2,516.0,482.4,496.8,111.6166655505
2022-02-04,511.2,513.6,480.0,492.0,196.28749803713
2022-02-07,492.0,511.2,481.2,504.0,454.95832878375
2022-02-08,489.6,528.0,480.0,513.6,808.70832524625
2022-02-09,513.6,624.0,499.2,614.208,4322.1832901115
2022-02-10,588.0,669.6,508.8,544.8,3616.9374638306
2022-02-11,544.8,561.192,492.0,525.6,762.17082571162
2022-02-14,504.0,542.4,497.184,528.0,301.86249698137
2022-02-15,528.0,554.4,508.704,525.6,143.80416522863
2022-02-16,523.2,523.2,508.8,513.6,116.72499883275
2022-02-17,501.6,525.6,492.0,492.0,296.21249703787
2022-02-18,488.592,515.952,482.4,484.8,175.30416491362
2022-02-22,487.608,504.0,480.0,501.6,301.75416364913
2022-02-23,499.2,501.6,480.0,494.4,55.8833327745
2022-02-24,472.8,475.2,432.0,463.2,582.66666084
2022-02-25,474.384,474.384,456.048,463.2,38.020832953125
2022-02-28,439.2,456.0,420.0,436.8,93.795832395375
2022-03-01,436.8,455.976,432.0,434.4,181.6166648505
2022-03-02,432.0,453.312,432.0,439.2,66.62499933375
2022-03-03,439.2,440.664,422.4,424.8,85.937499140625
2022-03-04,432.0,432.0,422.4,422.4,48.02499951975
2022-03-07,432.0,432.0,396.0,396.0,235.766664309
2022-03-08,393.6,395.664,352.8,355.2,218.83749781163
2022-03-09,372.24,528.672,372.24,465.6,7649.9374235006
2022-03-10,415.2,442.704,391.2,400.8,473.15832860175
2022-03-11,424.8,424.8,374.424,403.2,419.0166624765
2022-03-14,391.2,427.2,376.8,403.2,154.533331788
2022-03-15,405.6,444.0,405.6,436.8,170.86249829138
2022-03-16,424.8,429.6,408.024,420.0,70.179165964875
2022-03-17,451.2,552.0,427.68,520.8,2449.4499755055
2022-03-18,576.0,657.6,540.024,657.6,1401.5249859847
