Date,Open,High,Low,Close,Volume
2022-01-04,9.8367,9.8833,9.82,9.8416,10794
2022-01-05,9.9,9.93,9.84,9.865,177164
2022-01-06,9.84,9.87,9.84,9.84,48781
2022-01-07,9.8599,9.92,9.85,9.92,142189
2022-01-10,10.0,10.0,9.87,9.88,458761
2022-01-11,9.88,10.58,9.87,9.89,26517
2022-01-12,9.86,9.9,9.86,9.9,1020
2022-01-13,10.03,10.03,9.86,9.86,24094
2022-01-14,9.84,9.87,9.84,9.85,165473
2022-01-18,9.9,9.9,9.84,9.84,202772
2022-01-19,9.84,9.88,9.84,9.88,4810
2022-01-20,9.99,9.99,9.82,9.86,55575
2022-01-21,9.86,9.87,9.79,9.87,60164
2022-01-25,9.84,9.87,9.84,9.84,6972
2022-01-26,9.84,9.84,9.84,9.84,26112
2022-01-27,9.84,9.855,9.84,9.8401,75789
2022-01-28,9.8699,9.8699,9.8699,9.8699,171
2022-01-31,9.84,9.87,9.84,9.86,104149
2022-02-01,9.87,9.88,9.84,9.84,125766
2022-02-02,9.84,9.87,9.84,9.87,694
2022-02-09,9.85,9.85,9.85,9.85,222
2022-02-10,9.85,9.8746,9.84,9.8746,17682
2022-02-16,9.8577,9.8577,9.8431,9.85,1356
2022-02-17,9.8576,9.8576,9.8576,9.8576,206
2022-02-22,9.85,9.85,9.85,9.85,2386
2022-02-23,9.85,9.85,9.85,9.85,56326
2022-02-24,9.84,9.88,9.84,9.85,102326
2022-02-25,9.85,9.85,9.85,9.85,907
2022-02-28,9.88,9.88,9.88,9.88,1130
2022-03-01,9.84,9.88,9.84,9.87,43525
2022-03-03,9.88,9.88,9.88,9.88,133
2022-03-04,9.87,9.87,9.87,9.87,1061
2022-03-07,9.88,9.88,9.86,9.88,159128
2022-03-08,9.86,9.88,9.855,9.87,228071
2022-03-09,9.87,9.9181,9.87,9.89,195195
2022-03-11,9.95,9.95,9.89,9.89,77770
2022-03-14,9.89,9.89,9.87,9.87,8335
2022-03-15,9.88,9.88,9.86,9.88,47830
2022-03-16,9.86,9.88,9.85,9.88,168580
2022-03-17,9.8678,9.923,9.86,9.89,19577
2022-03-21,9.885,9.9,9.87,9.87,5766
2022-03-22,9.8844,9.92,9.87,9.9148,1709
2022-03-23,9.87,9.87,9.87,9.87,380
2022-03-24,9.9,9.9,9.9,9.9,382
2022-03-28,9.9,9.92,9.9,9.9199,13485
2022-03-31,9.925,9.93,9.925,9.93,446
2022-04-01,9.95,9.95,9.92,9.93,5775
2022-04-05,9.95,9.95,9.95,9.95,3864
2022-04-06,9.91,9.94,9.91,9.932,1375
2022-04-07,9.96,9.96,9.96,9.96,233
2022-04-11,9.92,9.92,9.92,9.92,3840
2022-04-12,9.96,9.96,9.911,9.95,722
2022-04-13,9.96,9.96,9.935,9.935,230
2022-04-14,9.97,9.97,9.97,9.97,203
2022-04-18,9.98,9.98,9.94,9.97,541625
2022-04-19,9.97,9.97,9.95,9.95,1766
2022-04-21,9.951,9.951,9.95,9.95,600789
2022-04-22,9.93,9.97,9.93,9.97,6707
2022-04-25,9.95,9.95,9.95,9.95,71146
2022-04-27,9.96,9.96,9.96,9.96,225
2022-04-28,9.95,9.95,9.95,9.95,210
2022-05-02,9.97,9.97,9.97,9.97,13193
2022-05-03,10.0,10.0,9.98,10.0,2020
2022-05-05,9.97,9.97,9.97,9.97,120
2022-05-06,10.0,10.0,9.96,9.96,114181
2022-05-09,9.95,9.9545,9.95,9.95,4024
2022-05-10,9.98,9.98,9.94,9.94,21015
2022-05-11,9.93,9.98,9.93,9.955,4028
2022-05-12,9.92,9.97,9.92,9.96,6327
2022-05-13,9.94,9.94,9.93,9.93,663
2022-05-16,9.94,9.95,9.94,9.95,425
2022-05-17,9.96,9.96,9.96,9.96,240
2022-05-18,9.95,9.95,9.95,9.95,1808
2022-05-20,9.9,9.96,9.9,9.935,1024752
2022-05-23,9.96,9.96,9.96,9.96,212
2022-05-24,9.92,9.92,9.9,9.9,35154
2022-05-25,9.91,9.94,9.91,9.93,6057
2022-05-26,9.92,9.92,9.92,9.92,430
2022-05-27,9.96,9.97,9.9,9.9,4756
2022-05-31,9.93,9.93,9.92,9.92,3996
2022-06-01,9.93,9.94,9.93,9.94,29967
2022-06-02,9.93,9.94,9.92,9.94,183232
2022-06-06,9.97,9.97,9.97,9.97,422
2022-06-07,9.97,9.97,9.9381,9.97,1135
2022-06-08,9.93,9.94,9.92,9.92,35807
2022-06-09,9.93,9.97,9.93,9.97,1639
2022-06-10,9.94,9.94,9.94,9.94,181
2022-06-13,9.94,9.94,9.92,9.94,62724
2022-06-14,9.94,9.94,9.93,9.94,69133
2022-06-15,9.94,9.94,9.925,9.93,144905
2022-06-16,9.93,9.97,9.93,9.97,1535
2022-06-21,9.94,9.94,9.92,9.92,27696
2022-06-23,9.93,9.93,9.93,9.93,857
2022-06-24,9.93,9.93,9.93,9.93,197
2022-06-28,9.96,9.96,9.92,9.92,26697
2022-06-29,9.9339,9.9339,9.9339,9.9339,551
2022-06-30,9.92,9.92,9.92,9.92,213
2022-07-05,9.92,9.945,9.92,9.93,190453
2022-07-06,9.95,9.95,9.95,9.95,400099
2022-07-07,9.96,9.96,9.925,9.925,48375
2022-07-12,9.94,9.94,9.94,9.94,349
2022-07-14,9.94,9.94,9.94,9.94,101
2022-07-15,9.97,9.97,9.97,9.97,1654
2022-07-18,9.99,9.99,9.94,9.945,12387
2022-07-19,9.96,9.96,9.94,9.94,116256
2022-07-20,9.97,9.975,9.97,9.975,125226
2022-07-21,10.01,10.01,9.99,9.99,170427
2022-07-22,9.99,9.99,9.99,9.99,170029
2022-07-25,9.965,9.98,9.955,9.97,94385
2022-07-26,9.97,10.0,9.96,10.0,193391
2022-07-27,9.98,9.995,9.97,9.97,1428
2022-07-28,9.995,9.995,9.995,9.995,803
2022-07-29,10.0,10.0,9.99,9.9962,522
2022-08-01,9.98,9.99,9.97,9.99,13051
2022-08-02,9.99,9.99,9.99,9.99,1714
2022-08-03,10.01,10.01,9.98,9.99,122012
2022-08-04,10.01,10.01,10.01,10.01,9322
2022-08-05,10.005,10.01,10.0,10.01,14240
2022-08-08,10.005,10.025,10.005,10.02,101956
2022-08-09,10.0,10.0,10.0,10.0,10665
2022-08-10,10.0001,10.0001,10.0,10.0,945
2022-08-11,10.02,10.02,10.0,10.01,48303
2022-08-12,10.02,10.03,10.015,10.03,520230
2022-08-15,10.03,10.03,10.02,10.02,26015
2022-08-16,10.02,10.03,10.02,10.02,3637
2022-08-17,10.02,10.03,9.995,9.995,631587
2022-08-18,10.02,10.02,10.0,10.0,12312
2022-08-19,10.02,10.03,10.015,10.02,40476
2022-08-22,10.06,10.06,10.01,10.02,5248
2022-08-23,10.015,10.03,10.01,10.03,11530
2022-08-24,10.02,10.02,10.02,10.02,901
2022-08-25,10.03,10.03,10.03,10.03,214
2022-08-29,10.097,10.097,10.03,10.03,3553
2022-09-01,10.03,10.03,10.0,10.0,15842
2022-09-02,10.0,10.025,9.98,9.98,2633
2022-09-08,10.08,10.08,10.08,10.08,226
2022-09-13,10.04,10.04,10.02,10.04,5702
2022-09-14,10.04,10.04,10.03,10.03,697
2022-09-15,10.03,10.04,10.03,10.04,1119
2022-09-16,10.04,10.04,10.04,10.04,1741
2022-09-19,10.035,10.04,10.035,10.04,6312
2022-09-20,10.04,10.05,10.04,10.05,6694
2022-09-21,10.05,10.06,10.05,10.06,256586
2022-09-22,10.05,10.06,10.05,10.06,1052
2022-09-23,10.07,10.07,10.07,10.07,259
2022-09-26,9.99,10.06,9.99,10.06,4905
2022-09-27,10.1,10.1,10.03,10.07,6003
2022-09-28,10.1,10.1,10.04,10.07,40545
2022-09-29,10.07,10.09,10.07,10.08,20060
2022-10-03,10.08,10.08,10.08,10.08,47393
2022-10-04,10.0973,10.0973,10.0973,10.0973,316
2022-10-05,10.0,10.0,10.0,10.0,910
2022-10-06,10.09,10.09,10.06,10.06,15384
2022-10-10,10.07,10.07,10.06,10.06,20009
2022-10-11,10.05,10.05,10.05,10.05,2045
2022-10-13,10.06,10.06,10.06,10.06,3646
2022-10-14,10.09,10.09,10.005,10.05,507002
2022-10-17,10.09,10.09,10.05,10.05,608
2022-10-18,10.09,10.09,10.07,10.07,3504
2022-10-19,10.08,10.08,10.08,10.08,112
2022-10-20,10.095,10.1,10.095,10.1,14517
2022-10-21,10.1,10.105,10.1,10.1,3473
2022-10-25,10.1,10.1,10.1,10.1,236
2022-10-26,10.18,10.18,10.1,10.1,540
2022-10-28,10.13,10.13,10.13,10.13,1425
2022-11-01,10.15,10.15,10.13,10.13,14808
2022-11-04,10.14,10.14,10.14,10.14,575
2022-11-07,10.15,10.15,10.15,10.15,50572
2022-11-08,10.16,10.16,10.14,10.14,159287
2022-11-10,10.1536,10.1594,10.12,10.15,5554
2022-11-11,10.11,10.11,10.11,10.11,445
2022-11-14,10.12,10.12,10.11,10.11,4109
2022-11-16,10.12,10.15,10.12,10.13,785232
2022-11-18,10.132,10.16,10.13,10.155,124491
2022-11-21,10.17,10.17,10.17,10.17,4249
2022-11-23,10.18,10.18,10.18,10.18,216
2022-11-28,10.23,10.23,10.2,10.2,11508
2022-11-30,10.18,10.2,10.18,10.2,2973
2022-12-01,10.18,10.2,10.18,10.2,165353
2022-12-02,10.21,10.22,10.21,10.22,1673
2022-12-05,10.21,10.21,10.21,10.21,75088
2022-12-06,10.21,10.21,10.21,10.21,75134
2022-12-07,10.2,10.2,10.2,10.2,207
2022-12-08,10.2,10.2,10.2,10.2,1868
2022-12-09,10.205,10.21,10.2,10.21,10382
2022-12-13,10.2101,10.2101,10.21,10.21,983
2022-12-14,10.22,10.22,10.22,10.22,157
2022-12-15,10.21,10.225,10.21,10.225,5674
2022-12-16,10.22,10.235,10.22,10.23,15922
2022-12-19,10.28,10.28,10.26,10.265,1990
2022-12-21,10.23,10.23,10.23,10.23,198
2022-12-22,10.27,10.27,10.27,10.27,2965
2022-12-27,10.255,10.255,10.23,10.24,27614
2022-12-28,10.24,10.26,10.24,10.24,58406
2022-12-29,10.24,10.25,10.24,10.24,1255531
2023-01-03,10.29,10.29,10.26,10.27,6242
2023-01-04,10.285,10.285,10.27,10.275,2858
2023-01-05,10.27,10.32,10.27,10.31,5112857
2023-01-06,10.32,10.7,10.3,10.31,947418
2023-01-09,10.295,10.32,10.295,10.32,702337
2023-01-10,10.3083,10.3083,10.3,10.3,5963
2023-01-11,10.32,10.33,10.26,10.28,82406
2023-01-12,10.27,10.27,10.27,10.27,214
2023-01-13,10.322,10.35,10.322,10.35,1927
2023-01-17,10.5,10.5,10.31,10.4,1490
2023-01-18,10.32,10.35,10.3,10.3,4228
2023-01-19,10.3,10.31,10.3,10.305,1012
2023-01-20,10.31,10.31,10.29,10.29,533
2023-01-23,10.31,10.31,10.29,10.29,2779
2023-01-24,10.3,10.3,10.3,10.3,355
2023-01-25,10.19,10.24,10.18,10.23,895
2023-01-26,10.19,10.19,10.17,10.17,950
2023-01-30,10.61,11.4,10.22,10.27,21607
2023-01-31,10.65,12.8,10.35,10.47,178191
2023-02-01,10.35,11.9,10.35,11.0,98943
2023-02-02,10.55,11.64,10.4,11.0002,975009
2023-02-03,10.61,10.82,10.2,10.36,26615
2023-02-06,10.72,10.93,10.17,10.2105,8110
2023-02-07,10.45,10.6,10.3,10.37,1624
2023-02-08,10.26,10.3,10.26,10.27,7893
2023-02-09,10.29,10.3,10.22,10.22,9461
2023-02-10,10.22,10.22,10.22,10.22,1142
2023-02-13,10.22,10.2202,10.22,10.22,6288
2023-02-14,10.22,10.22,10.22,10.22,307
