Date,Open,High,Low,Close,Volume
2021-02-24,63.6,63.6,51.0,58.5,169681.73341817
2021-02-25,58.2,59.25,53.25,55.5,65062.666699198
2021-02-26,54.75,55.725,49.8,51.0,177415.13342204
2021-03-01,57.75,58.8,54.15,57.75,196534.86676493
2021-03-02,53.7,57.0,49.95,52.8,89534.400044767
2021-03-03,54.75,57.75,50.7,53.1,61991.933364329
2021-03-04,51.9,52.05,43.5,47.25,45561.800022781
2021-03-05,49.5,50.0985,43.35,48.3,51078.200025539
2021-03-08,48.45,50.55,46.2,47.25,30974.200015487
2021-03-09,50.4,53.55,47.25,51.1485,48728.533357698
2021-03-10,52.2,53.7,48.9,51.45,28585.86668096
2021-03-11,52.65,57.6,50.25,55.65,61860.266697597
2021-03-12,53.1,56.8485,52.8,56.1,32159.666682747
2021-03-15,59.25,63.45,56.55,60.15,102370.00005119
2021-03-16,59.25,61.2,55.65,57.75,61578.666697456
2021-03-17,57.75,62.55,55.8,60.15,49157.400024579
2021-03-18,60.0,60.75,57.0,58.2,23019.933344843
2021-03-19,57.6,59.25,54.0,58.95,30183.666681758
2021-03-22,58.5,58.8,56.25,58.704,13227.733339947
2021-03-23,57.75,58.65,55.95,56.25,16860.40000843
2021-03-24,55.2,55.95,49.5,51.0,23789.066678561
2021-03-25,46.35,51.0,44.4,50.25,32568.066682951
2021-03-26,52.05,56.25,50.7015,52.2,35187.06668426
2021-03-29,51.75,54.9,50.4,53.25,16335.666674834
2021-03-30,51.9,54.6,50.4,53.5185,13230.066673282
2021-03-31,54.6,58.95,54.15,57.9,36852.466685093
2021-04-01,57.15,57.75,54.75,57.0,19744.733343206
2021-04-05,58.65,65.25,57.75,63.45,132128.86673273
2021-04-06,63.6,68.55,63.6,65.4,121585.40006079
2021-04-07,66.9,66.9,61.8,64.95,67765.86670055
2021-04-08,65.586,69.747,60.3,65.7,188075.4667607
2021-04-09,67.2,78.15,66.0,78.15,469527.3335681
2021-04-12,79.515,80.25,54.6,58.8,863616.66709848
2021-04-13,53.1,57.0,51.15,54.15,134926.86673413
2021-04-14,52.5,53.55,47.55,48.0,112030.86672268
2021-04-15,48.9,50.55,47.4,48.6,50662.200025331
2021-04-16,48.6,49.7235,46.65,48.9,37424.066685379
2021-04-19,49.05,49.35,45.3,46.8,29228.133347947
2021-04-20,46.05,46.35,42.2235,43.35,37516.266685425
2021-04-21,42.75,46.2,42.6015,45.45,36054.400018027
2021-04-22,46.35,46.5,43.95,44.55,39439.333353053
2021-04-23,45.15,49.65,44.25,49.2,40536.533353602
2021-04-26,51.0,51.75,49.65,51.45,38735.666686034
2021-04-27,53.5125,55.05,51.0,52.95,33085.066683209
2021-04-28,52.5,55.407,49.5,54.45,61747.26669754
2021-04-29,55.35,55.35,51.0,51.975,22494.000011247
2021-04-30,52.35,59.25,50.4,55.35,265311.26679932
2021-05-03,58.5,60.0,55.5,57.3,97450.066715392
2021-05-04,55.5,57.0,50.25,51.6,42634.13335465
2021-05-05,52.8,53.73,49.65,50.85,19598.733343133
2021-05-06,50.55,50.8485,46.65,47.25,30275.800015138
2021-05-07,48.45,50.85,48.0,49.5,18625.000009313
2021-05-10,49.65,50.3985,47.25,47.775,13587.866673461
2021-05-11,46.95,49.5,45.45,48.45,18635.600009318
2021-05-12,47.85,49.6485,47.4,48.15,13240.20000662
2021-05-13,48.15,50.079,45.9165,46.2,17090.866675212
2021-05-14,46.5,48.3,46.5,47.4,18144.066675739
2021-05-17,47.25,48.75,45.9,47.25,17499.466675416
2021-05-18,46.5,47.4975,45.9,46.2,21913.93334429
2021-05-19,44.1,45.45,42.3,44.55,26086.66667971
2021-05-20,44.4,47.85,43.95,46.8,19055.600009528
2021-05-21,47.1,48.0,45.45,46.2,21355.133344011
2021-05-24,46.2,47.1,45.0,46.5,21825.933344246
2021-05-25,46.95,47.7,45.15,47.25,21605.800010803
2021-05-26,47.25,47.4,46.2,47.1,17942.933342305
2021-05-27,47.4,48.3,46.368,47.4,16573.266674953
2021-05-28,49.2,50.1,47.4,49.05,11971.066672652
2021-06-01,48.75,49.8375,47.1,47.7,17223.600008612
2021-06-02,99.15,135.0,84.9,92.7,9784183.4715588
2021-06-03,94.35,112.5,82.8,90.75,881589.93377413
2021-06-04,87.15,87.45,75.0,77.25,272415.60013621
2021-06-07,78.75,85.2,77.4,83.55,186477.53342657
2021-06-08,83.85,87.0,75.0,77.25,146348.20007317
2021-06-09,78.8415,95.85,76.65,87.6,494945.93358081
2021-06-10,88.95,91.95,83.1,86.85,194033.66676368
2021-06-11,89.1,89.7,82.05,85.8,128446.26673089
2021-06-14,86.85,86.85,80.25,82.95,94952.93338081
2021-06-15,82.2,93.3,81.282,90.45,142762.53340471
2021-06-16,99.45,113.7,94.95,98.55,1318424.0006592
2021-06-17,86.325,89.7,81.0,84.75,167128.06675023
2021-06-18,83.1,86.1,81.9,82.2,45520.20002276
2021-06-21,82.2,85.35,75.15,75.9,98719.333382693
2021-06-22,76.8,80.9115,76.5,79.2,30429.066681881
2021-06-23,81.0,84.0,78.3,82.8,49506.600024753
2021-06-24,84.6,89.1,83.25,89.1,71318.600035659
2021-06-25,83.1,84.0,78.75,80.55,128938.60006447
2021-06-28,82.5,84.0,80.25,80.85,54866.4666941
2021-06-29,82.2,83.55,78.0,78.6,69678.866701506
2021-06-30,79.5,85.5,77.4,79.95,83468.466708401
2021-07-01,80.25,80.7,73.35,74.25,87121.133376894
2021-07-02,74.364,76.5,69.15,75.0,100680.00005034
2021-07-06,75.6,78.45,71.4,72.9,87983.466710658
2021-07-07,70.5,78.75,69.3,78.0,93336.266713335
2021-07-08,77.25,77.7,69.9,71.4,87266.600043633
2021-07-09,74.55,96.6,73.5,84.45,505545.93358611
2021-07-12,83.25,88.95,81.0,87.3,164072.00008204
2021-07-13,89.4,102.0,83.4,87.75,751425.20037571
2021-07-14,87.75,90.6,75.0,79.35,135863.13340126
2021-07-15,77.85,79.2,71.25,73.65,87828.333377248
2021-07-16,72.6,76.35,69.9,71.4,64309.466698821
2021-07-19,70.65,73.35,65.4,67.65,65535.533366101
2021-07-20,67.8,68.25,64.65,68.1,52886.400026443
2021-07-21,66.9,70.5,66.216,69.75,25686.400012843
2021-07-22,68.4,70.2,64.5,66.0,49278.933357973
2021-07-23,67.05,67.116,63.75,66.75,35580.80001779
2021-07-26,66.0,73.35,66.0,70.95,45088.733355878
2021-07-27,69.6,71.739,66.15,66.45,29242.266681288
2021-07-28,67.53,76.2,65.55,73.95,67119.40003356
2021-07-29,73.35,83.7,73.338,82.35,178406.66675587
2021-07-30,81.0,81.0,73.8,76.2,89032.400044516
