Date,Open,High,Low,Close,Volume
2018-12-07,24.72,25.02,24.557,24.9,181496
2018-12-10,24.9083,24.95,23.364,24.74,114515
2018-12-11,24.75,24.93,24.74,24.93,87869
2018-12-12,24.97,24.998,24.67,24.95,95891
2018-12-13,24.99,25.18,24.945,25.1546,123155
2018-12-14,25.0332,25.039,24.9,24.9,12829
2018-12-17,25.1,25.1,24.7,24.89,48233
2018-12-18,25.05,25.05,24.5,24.51,34384
2018-12-19,24.73,25.05,23.55,24.3168,70424
2018-12-20,23.83,24.19,23.65,23.9,25234
2018-12-21,23.7965,23.9,22.04,23.35,127216
2018-12-24,23.45,23.45,23.03,23.34,7405
2018-12-26,23.4,23.4,22.85,23.4,30274
2018-12-27,23.25,23.5,22.89,22.9,22895
2018-12-28,22.5,23.5,22.5,23.06,103302
2018-12-31,23.21,23.8,22.71,23.6501,76007
2019-01-02,23.79,24.4683,23.734,24.385,58150
2019-01-03,24.39,24.5,24.055,24.48,23805
2019-01-04,24.5,24.8364,24.28,24.44,44131
2019-01-07,24.7,24.828,24.5627,24.69,44941
2019-01-08,24.88,25.0,24.8678,24.9501,45108
2019-01-09,25.0,25.068,24.89,25.0,98436
2019-01-10,25.0325,25.16,24.85,25.02,62929
2019-01-11,25.04,25.08,25.0024,25.0024,18111
2019-01-14,25.1,25.1,25.0,25.0,21388
2019-01-15,25.17,25.17,25.04,25.07,31536
2019-01-16,25.2,25.2,24.94,25.07,31641
2019-01-17,25.148,25.4,25.02,25.1,38729
2019-01-18,25.15,25.21,25.05,25.05,34880
2019-01-22,25.19,25.19,25.05,25.085,43622
2019-01-23,25.25,25.25,25.071,25.2,18355
2019-01-24,25.2,25.4241,25.2,25.2,33289
2019-01-25,25.27,25.4199,25.2001,25.4,16538
2019-01-28,25.44,25.44,25.255,25.4,16382
2019-01-29,25.4999,25.56,25.23,25.3,23953
2019-01-30,25.3,25.59,25.3,25.41,18876
2019-01-31,25.5799,25.6,25.3,25.6,56012
2019-02-01,25.55,25.59,25.4527,25.5899,8682
2019-02-04,25.5842,25.75,25.56,25.6007,18251
2019-02-05,25.74,25.74,25.54,25.54,11161
2019-02-06,25.6668,25.6668,25.25,25.3271,10649
2019-02-07,25.5042,25.58,25.35,25.4504,8734
2019-02-08,25.36,25.49,25.3515,25.4,10553
2019-02-11,25.4834,25.4834,25.35,25.35,8696
2019-02-12,25.5,25.97,25.5,25.95,21465
2019-02-13,25.97,26.0,25.75,25.95,10193
2019-02-14,25.82,26.2428,25.8,25.8,24615
2019-02-15,25.8,26.2,25.8,26.2,9083
2019-02-19,26.2,26.2,25.55,25.64,26799
2019-02-20,25.62,25.963,25.54,25.58,31303
2019-02-21,25.59,25.8,25.5601,25.62,15840
2019-02-22,25.7231,26.17,25.629,26.17,16104
2019-02-25,26.17,26.17,25.54,25.84,67886
2019-02-26,25.7613,25.84,25.7001,25.82,12919
2019-02-27,25.73,25.82,25.7201,25.76,23446
2019-02-28,25.7947,26.14,25.77,26.08,61934
2019-03-01,26.0,26.1,25.71,26.08,18829
2019-03-04,25.9179,26.42,25.9179,26.29,7740
2019-03-05,26.15,26.15,25.85,26.05,19929
2019-03-06,26.19,26.19,25.9,25.9,34850
2019-03-07,25.83,25.998,25.79,25.81,33786
2019-03-08,25.99,25.99,25.75,25.81,19147
2019-03-11,25.81,25.81,25.61,25.655,74667
2019-03-12,25.65,25.7799,25.65,25.77,24697
2019-03-13,25.7698,25.92,25.7,25.92,94065
2019-03-14,25.82,25.95,25.77,25.84,29316
2019-03-15,25.81,25.84,25.75,25.79,31051
2019-03-18,25.78,25.7995,25.7,25.77,33212
2019-03-19,25.78,25.78,25.5605,25.58,30611
2019-03-20,25.61,25.7177,25.59,25.71,27802
2019-03-21,25.7,25.79,25.692,25.76,28529
2019-03-22,25.78,25.8,25.67,25.78,32733
2019-03-25,25.731,25.79,25.72,25.78,20206
2019-03-26,25.72,25.91,25.72,25.89,40379
2019-03-27,25.91,25.94,25.86,25.93,16732
2019-03-28,25.95,26.0905,25.93,26.08,47699
2019-03-29,25.69,25.89,25.69,25.75,83116
2019-04-01,25.75,25.78,25.64,25.78,26950
2019-04-02,25.78,25.79,25.61,25.75,25588
2019-04-03,25.75,25.85,25.6702,25.8,32520
2019-04-04,25.8,25.86,25.7501,25.84,24632
2019-04-05,25.8241,25.97,25.81,25.97,29502
2019-04-08,25.91,25.97,25.848,25.8936,13168
2019-04-09,25.92,25.92,25.78,25.78,10869
2019-04-10,25.8,25.86,25.7801,25.86,13619
2019-04-11,25.88,26.175,25.81,25.93,41479
2019-04-12,25.93,25.98,25.87,25.92,24931
2019-04-15,25.98,26.05,25.95,25.99,10942
2019-04-16,26.0378,26.09,25.9301,25.99,21282
2019-04-17,25.9639,26.0399,25.92,26.0399,11619
2019-04-18,25.957,26.06,25.9104,26.06,19787
2019-04-22,25.97,26.0363,25.86,25.97,20049
2019-04-23,25.98,26.06,25.9507,25.98,47911
2019-04-24,26.01,26.16,25.9725,26.14,28618
2019-04-25,26.15,26.15,26.02,26.12,12639
2019-04-26,26.14,26.15,26.101,26.1305,5075
2019-04-29,26.16,26.185,26.07,26.16,7533
2019-04-30,26.16,26.24,26.03,26.16,49549
2019-05-01,26.04,26.18,26.03,26.08,8616
2019-05-02,26.1479,26.16,26.06,26.11,7621
2019-05-03,26.1316,26.19,26.05,26.07,15367
2019-05-06,26.04,26.1898,26.01,26.1,19117
2019-05-07,26.15,26.15,26.0405,26.07,10595
2019-05-08,26.1,26.1,25.88,25.96,9900
2019-05-09,25.96,26.0461,25.88,25.96,10223
2019-05-10,26.0,26.0399,25.96,26.03,9122
2019-05-13,25.9935,26.02,25.86,25.9,11850
2019-05-14,25.9001,26.02,25.9001,26.01,9618
2019-05-15,26.01,26.07,25.9,26.0597,16566
2019-05-16,26.05,26.15,26.05,26.12,11945
2019-05-17,26.14,26.2096,25.99,26.07,27792
2019-05-20,26.05,26.081,25.89,25.99,42119
2019-05-21,25.98,25.99,25.7925,25.87,63371
2019-05-22,25.92,26.0,25.87,25.99,26608
2019-05-23,25.99,26.0,25.93,25.98,15298
2019-05-24,25.98,26.05,25.9741,26.05,16808
2019-05-28,26.08,26.08,25.95,25.99,14207
2019-05-29,26.03,26.03,25.9458,25.99,5397
2019-05-30,25.9892,26.0186,25.9648,26.0,12935
2019-05-31,26.0083,26.07,25.89,25.89,32121
2019-06-03,25.9469,25.9721,25.9,25.93,4279
2019-06-04,25.95,26.07,25.95,26.02,15912
2019-06-05,26.1222,26.18,26.11,26.11,4321
2019-06-06,26.0942,26.12,26.07,26.115,4909
2019-06-07,26.15,26.21,26.054,26.21,14592
2019-06-10,26.1002,26.17,26.1002,26.17,1675
2019-06-11,26.1333,26.16,26.1,26.16,8265
2019-06-12,26.1587,26.1999,26.097,26.1,9295
2019-06-13,26.122,26.1492,26.04,26.08,22190
2019-06-14,26.19,26.1985,26.0694,26.07,19266
2019-06-17,26.16,26.24,26.1,26.21,10668
2019-06-18,26.23,26.29,26.1501,26.29,41147
2019-06-19,26.26,26.39,26.25,26.25,19259
2019-06-20,26.3512,26.44,26.3,26.41,23239
2019-06-21,26.3616,26.49,26.33,26.35,14653
2019-06-24,26.35,26.49,26.35,26.4399,13068
2019-06-25,26.4427,26.49,26.35,26.35,15290
2019-06-26,26.42,26.45,26.21,26.23,19899
2019-06-27,26.23,26.41,26.23,26.26,21669
2019-06-28,25.94,26.1,25.905,26.1,40844
2019-07-01,26.0475,26.0513,25.97,26.0,10723
2019-07-02,26.1,26.1,26.0,26.09,2865
2019-07-03,26.1,26.1724,26.03,26.05,26638
2019-07-05,26.0501,26.09,26.0,26.01,10596
2019-07-08,26.041,26.15,26.0,26.09,19041
2019-07-09,26.13,26.22,26.095,26.16,25795
2019-07-10,26.19,26.2199,26.07,26.09,22474
2019-07-11,26.1507,26.2,26.1166,26.1455,6457
2019-07-12,26.19,26.19,26.1675,26.19,5414
2019-07-15,26.19,26.38,26.19,26.3,27545
2019-07-16,26.249,26.365,26.22,26.34,212126
2019-07-17,26.2897,26.39,26.25,26.39,17185
2019-07-18,26.345,26.45,26.345,26.44,29491
2019-07-19,26.38,26.46,26.38,26.45,14701
2019-07-22,26.45,26.46,26.19,26.26,19329
2019-07-23,26.22,26.39,26.2,26.38,21562
2019-07-24,26.315,26.45,26.24,26.45,17103
2019-07-25,26.3,26.45,26.3,26.44,4937
2019-07-26,26.32,26.44,26.32,26.42,10753
2019-07-29,26.44,26.5,26.3503,26.49,21017
2019-07-30,26.32,26.6,26.32,26.6,14467
2019-07-31,26.6,26.8,26.5673,26.77,48522
2019-08-01,26.69,26.88,26.69,26.78,14630
2019-08-02,26.77,26.84,26.636,26.84,4131
2019-08-05,26.861,26.861,26.4,26.49,11979
2019-08-06,26.59,26.655,26.43,26.65,5518
2019-08-07,26.5181,26.66,26.5181,26.66,7912
2019-08-08,26.71,26.71,26.609,26.7,7843
2019-08-09,26.6885,26.7,26.623,26.7,4425
2019-08-12,26.7,26.7,26.61,26.68,9716
2019-08-13,26.6916,26.97,26.6916,26.95,12220
2019-08-14,27.0016,27.05,26.7801,27.05,7547
2019-08-15,27.06,27.23,27.06,27.21,8034
2019-08-16,27.21,27.35,27.19,27.25,5326
2019-08-19,27.11,27.31,27.11,27.31,15480
2019-08-20,27.25,27.38,27.18,27.37,4176
2019-08-21,27.32,27.37,27.21,27.25,10623
