Date,Open,High,Low,Close,Volume
2023-05-12,25.34,25.34,25.09,25.09,13482
2023-05-16,25.12,25.12,25.12,25.12,51
2023-05-17,25.2,25.2,25.1706,25.1706,148
2023-05-18,25.2504,25.2504,25.2504,25.2504,213
2023-05-19,25.2289,25.24,25.2289,25.24,431
2023-05-22,25.27,25.27,25.2254,25.2254,7000
2023-05-23,25.1964,25.1964,25.1964,25.1964,60
2023-05-24,25.1999,25.1999,25.1999,25.1999,60
2023-05-25,25.3581,25.3581,25.3581,25.3581,5
2023-05-26,25.43,25.43,25.43,25.43,60
2023-05-30,25.48,25.48,25.4327,25.4327,103
2023-05-31,25.39,25.39,25.39,25.39,1
2023-06-01,25.46,25.46,25.46,25.46,5
2023-06-02,25.4908,25.4908,25.49,25.49,140
2023-06-05,25.502,25.502,25.502,25.502,46
2023-06-06,25.5008,25.5008,25.5008,25.5008,2
2023-06-07,25.5,25.5,25.42,25.42,1000
2023-06-08,25.4702,25.4702,25.4702,25.4702,35
2023-06-09,25.473,25.473,25.473,25.473,2
2023-06-12,25.5,25.5,25.5,25.5,2
2023-06-13,25.5113,25.5113,25.5113,25.5113,59
2023-06-14,25.49,25.53,25.49,25.53,721
2023-06-15,25.5998,25.6,25.57,25.58,1782
2023-06-16,25.61,25.61,25.56,25.56,799
2023-06-20,25.58,25.62,25.56,25.56,104033
2023-06-21,25.51,25.5408,25.51,25.5408,178
2023-06-22,25.52,25.61,25.52,25.5884,1343
2023-06-23,25.57,25.57,25.57,25.57,16
2023-06-26,25.57,25.57,25.54,25.54,284
2023-06-27,25.58,25.58,25.58,25.58,1
2023-06-28,25.5769,25.5769,25.5769,25.5769,59
2023-06-29,25.54,25.5795,25.54,25.5795,447
2023-06-30,25.55,25.59,25.55,25.59,1028
2023-07-03,25.59,25.59,25.59,25.59,14
2023-07-05,25.66,25.7,25.6397,25.6397,28523
2023-07-06,25.57,25.67,25.57,25.62,45952
2023-07-07,25.61,25.61,25.61,25.61,10
2023-07-10,25.6071,25.6071,25.6071,25.6071,2
2023-07-11,25.64,25.65,25.57,25.613,1451
2023-07-12,25.65,25.65,25.65,25.65,4
2023-07-13,25.7012,25.71,25.65,25.7,1109
2023-07-14,25.44,25.74,25.44,25.675,515
2023-07-17,25.6872,25.6872,25.6872,25.6872,4
2023-07-18,25.71,25.76,25.66,25.6997,54601
2023-07-19,25.69,25.715,25.69,25.715,29867
2023-07-20,25.68,25.73,25.67,25.695,1895
2023-07-21,25.69,25.6901,25.66,25.685,930
2023-07-24,25.68,25.73,25.68,25.7015,1989
2023-07-25,25.69,25.78,25.69,25.73,26300
2023-07-26,25.77,25.77,25.725,25.725,868
2023-07-27,25.74,25.81,25.72,25.7342,9663
2023-07-28,25.74,25.8,25.74,25.7743,2375
2023-07-31,25.52,25.8,25.52,25.7759,1706
2023-08-01,25.765,25.765,25.765,25.765,6
2023-08-02,25.7,25.7001,25.69,25.69,747
2023-08-03,25.71,25.7282,25.71,25.7282,1007
2023-08-04,25.74,25.7401,25.725,25.725,269
2023-08-07,25.755,25.755,25.755,25.755,60
2023-08-08,25.7343,25.7343,25.7343,25.7343,1
2023-08-09,25.7,25.71,25.7,25.71,969
2023-08-10,25.46,25.77,25.46,25.74,340
2023-08-11,25.74,25.74,25.74,25.74,162
2023-08-14,25.78,25.78,25.78,25.78,15
2023-08-15,25.78,25.79,25.71,25.75,16458
2023-08-16,25.72,25.74,25.72,25.74,101
2023-08-17,25.69,25.74,25.69,25.73,587
2023-08-18,25.67,25.72,25.67,25.72,243
2023-08-21,25.75,25.75,25.73,25.73,278
2023-08-22,25.71,25.75,25.7,25.75,1434
2023-08-23,25.765,25.765,25.765,25.765,119
2023-08-24,25.73,25.7442,25.72,25.7336,2024
2023-08-25,25.73,25.73,25.72,25.7247,1045
2023-08-28,25.74,25.8,25.74,25.8,803
2023-08-29,25.79,26.63,25.79,25.87,32681
2023-08-30,25.9,25.9,25.9,25.9,17
2023-08-31,25.92,25.92,25.84,25.9,1227
2023-09-01,25.88,25.94,25.83,25.94,34992
2023-09-05,25.81,25.96,25.81,25.92,47608
2023-09-06,25.81,25.84,25.81,25.84,2440
2023-09-07,25.74,25.8,25.69,25.8,856
2023-09-08,25.83,25.83,25.41,25.77,20074
2023-09-11,25.74,25.85,25.74,25.8,2317
2023-09-12,25.83,25.83,25.76,25.76,687
2023-09-13,25.81,25.81,25.73,25.77,1101
2023-09-14,25.87,25.92,25.85,25.92,446
2023-09-15,25.76,25.76,25.76,25.76,43
2023-09-18,25.78,25.79,25.69,25.76,11055
2023-09-19,25.73,25.73,25.73,25.73,4
2023-09-20,25.77,25.77,25.58,25.58,593
2023-09-21,25.4,25.45,25.37,25.39,431
2023-09-22,25.48,25.48,25.31,25.38,39653
2023-09-25,25.44,25.44,25.44,25.44,10
2023-09-26,25.26,25.26,25.19,25.26,29125
2023-09-27,25.32,25.32,25.2822,25.2822,104
2023-09-28,25.345,25.5,25.345,25.4244,2567
2023-09-29,25.59,25.59,25.3938,25.3938,685
2023-10-02,25.26,25.44,25.26,25.44,1617
2023-10-03,25.15,25.15,25.15,25.15,40
