Date,Open,High,Low,Close,Volume
2024-08-02,18.5,18.5654,18.44,18.5654,6214
2024-08-05,18.12,18.23,18.0765,18.0765,2192
2024-08-06,18.47,18.47,18.2659,18.2659,6417
2024-08-07,18.1565,18.1565,18.1565,18.1565,51
2024-08-08,18.43,18.46,18.43,18.4324,731
2024-08-09,18.543,18.543,18.543,18.543,1
2024-08-12,18.54,18.5513,18.51,18.5179,4300
2024-08-13,18.75,18.75,18.7484,18.7484,223
2024-08-14,18.875,18.875,18.875,18.875,10000
2024-08-15,18.96,19.04,18.9399,19.04,839
2024-08-16,19.0227,19.05,19.0227,19.0266,1301
2024-08-19,19.04,19.114,19.04,19.114,1242
2024-08-20,19.15,19.16,19.1438,19.1438,248
2024-08-21,19.25,19.2723,19.25,19.2723,102
2024-08-22,19.18,19.1801,19.18,19.1801,170
2024-08-23,19.32,19.37,19.32,19.3625,310
2024-08-26,19.4,19.4,19.3748,19.3748,203
2024-08-27,19.4155,19.4155,19.4155,19.4155,5
2024-08-28,19.3801,19.3801,19.32,19.3325,204
2024-08-29,19.46,19.46,19.3365,19.3365,100
2024-08-30,19.5184,19.5184,19.5184,19.5184,190
2024-09-03,19.34,19.34,19.2338,19.2338,10198
2024-09-04,19.3,19.3,19.25,19.2806,1228
2024-09-05,19.22,19.22,19.07,19.135,405
2024-09-06,19.02,19.06,18.917,18.917,10899
2024-09-09,19.0,19.075,19.0,19.075,212
2024-09-10,19.1833,19.1833,19.1833,19.1833,4
2024-09-11,19.02,19.2753,18.9,19.2753,2307
2024-09-12,19.23,19.3875,19.23,19.3875,1902
2024-09-13,19.51,19.5271,19.5,19.5271,2032
2024-09-16,19.54,19.6322,19.54,19.6322,381
2024-09-17,19.57,19.59,19.56,19.5857,300
2024-09-18,19.64,19.65,19.5196,19.5196,3330
2024-09-19,19.68,19.6959,19.68,19.6959,1001
2024-09-20,19.76,19.76,19.7396,19.7396,302
2024-09-23,19.8002,19.8002,19.8002,19.8002,4
2024-09-24,19.7419,19.75,19.7419,19.7425,810
2024-09-25,19.72,19.7343,19.72,19.7343,142
2024-09-26,19.84,19.84,19.79,19.8188,1345
2024-09-27,19.79,19.8,19.7717,19.7717,577
2024-09-30,19.772,19.87,19.75,19.87,243
2024-10-01,19.74,19.77,19.7336,19.743,18825
2024-10-02,19.7483,19.7483,19.7483,19.7483,20
2024-10-03,19.7,19.7,19.6668,19.69,1844
2024-10-04,19.68,19.7572,19.68,19.7572,3695
2024-10-07,19.7,19.7,19.5823,19.5823,1043
2024-10-08,19.76,19.7734,19.76,19.7734,249
2024-10-09,19.94,19.94,19.94,19.94,52
2024-10-10,19.8642,19.8642,19.8642,19.8642,33
2024-10-11,19.9911,19.9911,19.9911,19.9911,2
2024-10-14,20.1392,20.1736,20.1392,20.1736,128
2024-10-15,20.08,20.08,20.029,20.029,151
2024-10-16,20.16,20.16,20.16,20.16,31
2024-10-17,20.18,20.18,20.1648,20.1648,102
2024-10-18,20.2232,20.2232,20.2232,20.2232,6
2024-10-21,20.11,20.11,20.0907,20.0907,360
2024-10-22,20.1299,20.1299,20.1299,20.1299,25
2024-10-23,20.053,20.053,20.053,20.053,89
2024-10-24,20.0544,20.0544,20.0544,20.0544,46
2024-10-25,19.933,19.933,19.933,19.933,44
2024-10-28,20.04,20.04,20.0112,20.0112,1709
2024-10-29,19.9646,19.9646,19.9646,19.9646,3
2024-10-30,19.7912,19.7912,19.7912,19.7912,1
2024-10-31,19.6,19.61,19.5543,19.5543,311
2024-11-01,19.7,19.7,19.62,19.62,8675
2024-11-04,19.55,19.55,19.4876,19.4876,3016
2024-11-05,19.68,19.7118,19.6798,19.7118,1028
2024-11-06,20.0,20.1,19.97,20.0605,7158
2024-11-07,20.15,20.22,20.15,20.1773,2460
2024-11-08,20.385,20.385,20.3338,20.3338,126
2024-11-14,20.26,20.26,20.1769,20.1769,103
2024-11-15,20.04,20.04,20.03,20.0316,2509
2024-11-18,20.13,20.13,20.13,20.13,840
2024-11-19,19.9818,20.06,19.9818,20.0386,4679
2024-11-20,19.99,20.11,19.99,20.1,3710
2024-11-21,20.3384,20.3384,20.33,20.33,755
2024-11-22,20.32,20.3776,20.32,20.3776,5917
2024-11-25,20.46,20.4935,20.4552,20.4935,656
2024-11-26,20.62,20.66,20.62,20.6482,939
2024-11-27,20.6502,20.6502,20.5478,20.5478,1598
2024-11-29,20.65,20.675,20.65,20.675,534
2024-12-02,20.59,20.62,20.585,20.6089,11205
2024-12-03,20.55,20.6,20.55,20.5894,2338
