Date,Open,High,Low,Close,Volume
2023-03-28,1388.0,1650.0,800.0,992.0,15813.229
2023-03-29,1059.2,1140.0,840.2,950.2,4891.832
2023-03-30,864.4,920.0,810.0,843.4,2356.8525
2023-03-31,782.0,840.0,601.0,780.0,4582.457
2023-04-03,750.0,750.0,578.0,600.0,3646.444
2023-04-04,543.2,608.2,501.0,555.8,3462.0295
2023-04-05,650.0,700.0,597.2,639.8,6533.6065
2023-04-06,600.0,600.0,521.0,573.8,2903.382
2023-04-10,542.0,569.8,515.0,524.0,1595.022
2023-04-11,520.0,596.0,520.0,558.0,1709.194
2023-04-12,563.4,586.0,480.4,506.8,2913.385
2023-04-13,520.8,556.6,508.0,540.0,993.197
2023-04-14,540.0,540.0,380.0,495.8,3053.4685
2023-04-17,477.8,635.0,456.8,542.4,5587.385
2023-04-18,520.0,580.0,520.0,567.0,1416.4145
2023-04-19,544.2,600.0,524.0,566.6,1663.466
2023-04-20,530.2,570.0,530.2,559.6,748.2595
2023-04-21,548.2,580.4,526.2,548.8,628.676
2023-04-24,538.0,540.4,501.2,530.0,704.982
2023-04-25,522.0,528.0,466.4,480.2,703.498
2023-04-26,499.4,536.0,456.0,519.8,693.4965
2023-04-27,520.0,534.6,472.0,483.6,417.3785
2023-04-28,479.4,487.998,442.0,452.4,575.8805
2023-05-01,480.0,480.0,400.0,439.4,910.079
2023-05-02,440.0,440.0,384.0,404.0,980.012
2023-05-03,436.8,484.0,404.8,437.0,1486.6755
2023-05-04,437.2,448.0,404.0,410.2,474.0475
2023-05-05,402.2,455.0,402.2,429.8,286.8135
2023-05-08,430.0,490.0,426.0,443.882,579.55
2023-05-09,458.0,512.8,444.0,475.0,874.5355
2023-05-10,466.0,520.0,442.0,489.0,745.352
2023-05-11,491.6,516.0,461.2,473.198,316.676
2023-05-12,498.8,498.8,452.6,479.198,278.255
2023-05-15,480.0,484.0,453.0,453.0,258.4745
2023-05-16,458.0,487.398,444.0,453.4,437.322
2023-05-17,455.2,470.0,453.4,459.982,356.144
2023-05-18,490.0,509.8,375.2,420.0,4237.4505
2023-05-19,414.8,440.0,388.0,398.0,545.833
2023-05-22,402.0,408.0,379.0,379.6,428.2705
2023-05-23,390.0,397.98,380.0,389.8,206.7695
2023-05-24,278.0,300.0,256.0,263.6,2819.1555
2023-05-25,258.8,271.0,250.0,263.0,957.3605
2023-05-26,270.0,271.8,242.0,263.202,611.1205
2023-05-30,269.6,279.8,260.0,271.2,2328.2255
2023-05-31,181.0,182.4,160.0,168.0,8988.779
