Date,Open,High,Low,Close,Volume
2024-06-21,30.14,30.2169,30.14,30.2169,2215
2024-06-24,30.2229,30.49,30.0669,30.0669,41302
2024-06-25,30.06,30.33,30.06,30.33,6947
2024-06-26,30.13,30.2621,30.13,30.2621,13450
2024-06-27,30.1801,30.1942,30.1708,30.1708,1455
2024-06-28,30.1395,30.15,30.115,30.125,5957
2024-07-01,30.05,30.05,29.6758,29.8229,26916
2024-07-02,29.79,29.9967,29.78,29.9967,449
2024-07-03,30.0,30.134,30.0,30.134,462
2024-07-05,30.4533,30.53,30.4533,30.5104,2137
2024-07-08,30.48,30.48,30.37,30.3966,4522
2024-07-09,30.21,30.21,30.1688,30.1688,374
2024-07-10,30.21,30.4829,30.21,30.4829,2248
2024-07-11,30.52,30.52,30.1143,30.1143,633
2024-07-12,30.14,30.4552,30.14,30.2159,2711
2024-07-15,30.31,30.3223,30.1462,30.1462,2371
2024-07-16,30.21,30.265,30.21,30.225,674
2024-07-17,29.76,29.76,29.41,29.4284,1516
2024-07-18,29.39,29.39,28.93,28.9772,19626
2024-07-19,29.11,29.11,28.868,28.868,864
2024-07-22,29.3,29.4956,29.3,29.4956,4057
2024-07-23,29.6216,29.6216,29.4156,29.4156,4896
2024-07-24,28.995,29.05,28.487,28.487,4933
2024-07-25,28.4341,28.74,28.1328,28.1328,3977
2024-07-26,28.5276,28.64,28.525,28.525,9670
2024-07-29,28.56,28.7,28.5481,28.5481,3028
2024-07-30,28.61,28.61,28.5144,28.5144,216
2024-07-31,28.85,28.993,28.85,28.993,262
2024-08-01,29.08,29.28,28.6162,28.6162,10464
2024-08-02,28.51,28.51,27.69,27.9067,2322
2024-08-05,26.75,27.41,26.7,27.1945,7279
2024-08-06,27.75,27.95,27.75,27.7581,2798
2024-08-07,28.17,28.17,27.4119,27.4119,220
2024-08-08,27.54,28.3321,27.54,28.3321,524
2024-08-09,28.39,28.5746,28.39,28.5746,152
2024-08-12,28.41,28.535,28.41,28.4646,226
2024-08-13,28.7,28.9497,28.7,28.9497,613
2024-08-14,28.92,28.9612,28.79,28.9612,586
2024-08-15,29.23,29.48,29.21,29.4739,9113
2024-08-16,29.34,29.35,29.28,29.35,461
2024-08-19,29.41,29.5831,29.41,29.5831,327
2024-08-20,29.69,29.69,29.5859,29.5859,113
2024-08-21,29.69,29.7791,29.69,29.7791,806
2024-08-22,29.84,29.84,29.4752,29.4752,983
2024-08-23,29.43,29.5611,29.36,29.5611,479
2024-08-26,29.3041,29.3041,29.3041,29.3041,88
2024-08-27,28.87,30.15,28.87,29.447,195263
2024-08-28,29.47,29.47,29.1701,29.22,2608
2024-08-29,29.35,29.66,29.33,29.3353,2865
2024-08-30,29.6,29.6659,29.51,29.6659,22018
2024-09-03,29.65,29.65,28.72,28.7716,1527
2024-09-04,28.66,28.7454,28.62,28.7454,1820
2024-09-05,28.67,28.67,28.43,28.5172,3486
2024-09-06,28.1285,28.1285,28.1285,28.1285,176
2024-09-09,28.45,28.45,28.34,28.3778,433
2024-09-10,28.54,28.5458,28.38,28.5458,968
2024-09-11,28.5,29.0857,28.5,29.0857,272
2024-09-12,29.03,29.2836,29.03,29.2836,490
2024-09-13,29.5047,29.5047,29.5047,29.5047,49
2024-09-16,29.5791,29.6587,29.56,29.6587,3176
2024-09-17,29.66,29.7226,29.66,29.7226,1463
2024-09-18,29.66,29.66,29.5337,29.5337,860
2024-09-19,30.164,30.2782,30.164,30.2557,2118
2024-09-20,29.9,30.01,29.89,29.9759,474
2024-09-23,30.045,30.045,29.9866,29.9866,510
2024-09-24,29.84,30.03,29.84,29.9931,4828
2024-09-25,30.12,30.16,30.02,30.0563,960
2024-09-26,30.4,30.4,30.25,30.3027,4954
2024-09-27,30.23,30.23,30.14,30.14,793
2024-09-30,30.02,30.21,30.02,30.21,235
2024-10-01,29.92,29.92,29.92,29.92,180
2024-10-02,29.75,30.0,29.695,30.0,2140
2024-10-03,29.8275,29.8275,29.8275,29.8275,163
2024-10-04,30.0186,30.0186,30.0186,30.0186,153
2024-10-07,29.81,29.81,29.75,29.75,410
2024-10-08,30.03,30.1043,30.03,30.1043,3221
2024-10-09,30.13,30.27,30.13,30.27,165
2024-10-10,30.0747,30.16,30.04,30.0795,1021
2024-10-11,30.25,30.32,30.25,30.32,418
2024-10-14,30.52,30.5544,30.52,30.5544,320
2024-10-15,30.14,30.14,30.14,30.14,425
