Date,Open,High,Low,Close,Volume
2024-03-28,25.0,25.08,24.975,24.99,421896
2024-04-01,25.01,25.012,24.91,25.01,166841
2024-04-02,24.98,25.05,24.86,24.99,83483
2024-04-03,24.93,24.99,24.92,24.97,52117
2024-04-04,25.03,25.03,24.98,25.02,93401
2024-04-05,25.01,25.07,24.9,25.04,117867
2024-04-08,24.995,25.05,24.995,25.05,38449
2024-04-09,25.05,25.06,24.97,25.04,201896
2024-04-10,24.91,25.14,24.9001,25.14,140276
2024-04-11,25.0,25.25,24.99,25.14,62792
2024-04-12,24.99,25.17,24.99,25.17,43886
2024-04-15,25.125,25.17,24.87,24.98,125089
2024-04-16,24.97,25.0,24.76,24.88,117976
2024-04-17,24.975,25.16,24.82,25.13,198526
2024-04-18,25.0,25.12,24.8002,24.85,70698
2024-04-19,24.8,25.08,24.8,25.04,20256
2024-04-22,25.09,25.13,24.93,24.99,221216
2024-04-23,25.055,25.13,25.0001,25.01,64129
2024-04-24,24.9,25.23,24.9,25.01,68906
2024-04-25,24.94,25.0,24.85,24.86,24933
2024-04-26,24.91,25.0,24.83,24.85,34101
2024-04-29,24.88,24.93,24.84,24.86,280214
2024-04-30,24.82,24.93,24.73,24.83,719596
2024-05-01,24.83,24.93,24.78,24.92,50934
2024-05-02,24.94,25.08,24.94,25.0,22351
2024-05-03,25.04,25.17,25.03,25.1,25028
2024-05-06,25.03,25.06,24.92,25.06,29212
2024-05-07,25.06,25.09,24.97,25.06,26898
2024-05-08,25.025,25.08,24.9707,25.06,22854
2024-05-09,25.06,25.06,25.04,25.04,7773
2024-05-10,25.04,25.05,24.95,25.03,9220
2024-05-13,25.03,25.04,25.0,25.04,35693
2024-05-14,25.06,25.06,25.03,25.06,3176
2024-05-15,25.05,25.15,24.9805,25.15,113949
2024-05-16,25.09,25.09,25.04,25.06,28523
2024-05-17,25.06,25.08,24.95,25.08,11283
2024-05-20,25.0483,25.17,24.9916,25.17,24189
2024-05-21,25.168,25.17,25.06,25.06,27807
2024-05-22,25.08,25.08,25.05,25.08,11991
2024-05-23,25.08,25.08,25.0,25.08,11450
2024-05-24,25.08,25.35,25.08,25.35,33985
2024-05-28,25.44,25.44,25.185,25.35,28707
2024-05-29,25.16,25.185,25.0,25.08,65246
2024-05-30,25.06,25.14,25.01,25.01,36954
2024-05-31,25.15,25.38,25.15,25.38,21263
2024-06-03,25.2,25.34,25.165,25.34,9754
2024-06-04,25.34,25.48,25.34,25.48,42640
2024-06-05,25.48,25.7,25.23,25.7,31278
2024-06-06,25.69,25.7187,25.42,25.57,24316
2024-06-07,25.29,25.505,25.2,25.5,10944
2024-06-10,25.58,25.58,25.21,25.34,26209
2024-06-11,25.33,25.44,25.22,25.36,28801
2024-06-12,25.4,25.48,25.31,25.37,29094
2024-06-13,25.4,25.5899,25.3101,25.39,10260
2024-06-14,25.33,25.65,25.33,25.65,13559
2024-06-17,25.6,25.65,25.43,25.65,10285
2024-06-18,25.6,25.68,25.5611,25.65,11686
2024-06-20,25.72,25.72,25.51,25.61,10756
2024-06-21,25.61,25.7,25.5774,25.7,16980
2024-06-24,25.72,25.75,25.41,25.55,24077
2024-06-25,25.58,25.8,25.51,25.8,26956
2024-06-26,25.55,25.68,25.5201,25.68,9673
2024-06-27,25.75,25.75,25.54,25.65,27244
2024-06-28,25.59,25.85,25.46,25.5,136956
2024-07-01,25.47,25.51,25.3,25.45,16403
2024-07-02,25.51,25.51,25.42,25.5,16664
2024-07-03,25.4982,25.68,25.4982,25.56,32216
2024-07-05,25.6,25.68,25.6,25.65,10318
2024-07-08,25.65,25.65,25.36,25.41,15825
2024-07-09,25.41,25.535,25.4,25.44,12012
2024-07-10,25.3,25.48,25.22,25.35,33328
2024-07-11,25.26,25.46,25.26,25.4,15859
2024-07-12,25.35,25.53,25.35,25.46,6678
2024-07-15,25.09,25.09,24.92,25.07,9054
2024-07-16,25.2899,25.29,25.0,25.0,15502
2024-07-17,24.92,25.0999,24.92,25.07,9748
2024-07-18,24.93,24.96,24.83,24.95,5309
2024-07-19,24.92,24.9889,24.81,24.81,15102
2024-07-22,24.87,24.9,24.76,24.9,5007
2024-07-23,24.78,24.83,24.65,24.78,11481
2024-07-24,24.82,24.82,24.62,24.81,24520
2024-07-25,24.801,24.96,24.801,24.9,7065
2024-07-26,24.85,25.0,24.84,25.0,6400
2024-07-29,24.92,24.92,24.92,24.92,897
2024-07-30,24.82,25.02,24.8148,25.01,6605
2024-07-31,25.06,25.17,25.0,25.1,14918
2024-08-01,25.1,25.2103,24.974,25.12,12508
2024-08-02,25.26,25.38,24.99,25.0,8366
2024-08-05,24.8158,25.05,24.51,24.78,19123
2024-08-06,24.91,25.0,24.78,24.93,8337
2024-08-07,24.77,24.92,24.74,24.9,6831
2024-08-08,24.91,24.91,24.7,24.85,4237
2024-08-09,24.85,25.18,24.85,24.97,6446
2024-08-12,24.95,25.1,24.95,24.96,11515
2024-08-13,24.95,25.185,24.95,25.05,19169
2024-08-14,25.17,25.19,25.05,25.17,8707
2024-08-15,25.01,25.19,24.99,25.01,11954
2024-08-16,25.17,25.27,25.05,25.17,12318
2024-08-19,25.195,25.38,25.13,25.38,3644
2024-08-20,25.38,25.6,25.38,25.42,9319
2024-08-21,25.34,25.666,25.08,25.3,15495
2024-08-22,25.41,25.4399,25.345,25.39,2553
2024-08-23,25.35,25.48,25.35,25.37,5036
2024-08-26,25.41,25.42,25.4,25.415,1647
2024-08-27,25.45,25.46,25.42,25.42,5749
2024-08-28,25.46,25.46,25.34,25.41,4262
2024-08-29,25.31,25.45,25.24,25.325,20519
2024-08-30,25.3262,25.42,25.26,25.26,4696
2024-09-03,25.36,25.51,25.26,25.37,4228
2024-09-04,25.5985,25.5985,25.515,25.52,1519
2024-09-05,25.6,25.81,25.45,25.58,28859
2024-09-06,25.54,25.54,25.36,25.36,4865
2024-09-09,25.45,25.65,25.435,25.46,13678
2024-09-10,25.48,25.68,25.43,25.6,15888
2024-09-11,25.69,25.76,25.55,25.75,16353
2024-09-12,25.75,25.75,25.65,25.66,4870
2024-09-13,25.76,25.76,25.43,25.45,19061
2024-09-16,25.59,25.75,25.45,25.46,17190
2024-09-17,25.57,25.57,25.36,25.5,6179
2024-09-18,25.48,25.74,25.48,25.73,3514
2024-09-19,25.75,25.88,25.55,25.73,7076
2024-09-20,25.59,25.9,25.48,25.7731,3264
2024-09-23,25.95,25.96,25.66,25.66,13238
2024-09-24,25.7,25.92,25.48,25.82,16230
2024-09-25,25.88,25.95,25.51,25.73,3821
2024-09-26,25.5679,25.7899,25.5679,25.77,6088
2024-09-27,25.76,25.77,25.53,25.5301,19511
2024-09-30,25.56,25.69,25.49,25.52,46023
2024-10-01,25.76,25.77,25.6,25.77,7311
2024-10-02,25.85,25.85,25.59,25.76,26837
2024-10-03,25.6,25.85,25.6,25.8,5089
