Date,Open,High,Low,Close,Volume
2022-02-08,9.8499,9.8499,9.8499,9.8499,515
2022-02-09,9.93,9.93,9.7538,9.86,3122
2022-02-10,9.8599,9.89,9.7998,9.8,115572
2022-02-11,9.81,9.87,9.81,9.8247,18318
2022-02-14,9.87,9.87,9.8,9.84,1560
2022-02-15,9.84,9.84,9.84,9.84,625
2022-02-16,9.84,9.84,9.82,9.83,68138
2022-02-17,9.8301,9.89,9.82,9.88,30101
2022-02-18,9.89,9.89,9.8,9.86,10764
2022-02-22,9.86,9.86,9.86,9.86,114
2022-02-23,9.85,9.85,9.81,9.815,1699
2022-02-24,9.76,9.83,9.76,9.83,12474
2022-02-25,9.85,9.85,9.81,9.81,5818
2022-02-28,9.84,9.84,9.84,9.84,275
2022-03-01,9.86,9.86,9.85,9.85,2839
2022-03-02,9.84,9.86,9.84,9.85,107047
2022-03-03,9.85,9.88,9.85,9.87,93207
2022-03-04,9.89,9.89,9.89,9.89,230
2022-03-07,9.89,9.89,9.88,9.88,2899
2022-03-08,9.89,9.89,9.85,9.88,4202
2022-03-09,9.89,9.89,9.8899,9.8899,5619
2022-03-10,9.89,9.89,9.88,9.89,5268
2022-03-11,9.89,9.89,9.87,9.89,175524
2022-03-14,9.93,9.93,9.88,9.91,300365
2022-03-15,9.865,9.91,9.865,9.9,2738
2022-03-16,9.9,9.9,9.845,9.89,35007
2022-03-17,9.92,9.92,9.895,9.895,1266
2022-03-18,9.9,9.9,9.9,9.9,1089
2022-03-21,9.92,9.92,9.89,9.91,9992
2022-03-22,9.8,9.91,9.8,9.9,5616
2022-03-23,10.0,10.0,9.9,9.9,10220
2022-03-24,9.96,10.01,9.91,9.915,713993
2022-03-25,9.87,9.92,9.87,9.915,25247
2022-03-28,10.01,10.01,9.9,9.92,25957
2022-03-29,10.01,10.01,9.89,9.89,25903
2022-03-30,9.91,9.91,9.88,9.91,118143
2022-03-31,9.93,9.93,9.88,9.905,22773
2022-04-01,9.91,9.91,9.91,9.91,155
2022-04-04,9.91,9.91,9.91,9.91,161
2022-04-05,9.93,9.93,9.91,9.91,6203
2022-04-06,9.92,9.92,9.9,9.91,5564
2022-04-07,9.88,9.92,9.88,9.92,1415
2022-04-08,9.94,9.94,9.91,9.91,60419
2022-04-11,9.94,9.94,9.93,9.93,17774
2022-04-12,9.93,9.94,9.909,9.9399,11931
2022-04-13,9.93,9.94,9.929,9.93,51310
2022-04-14,9.93,9.95,9.926,9.95,17428
2022-04-18,9.96,9.96,9.92,9.96,15711
2022-04-19,9.97,9.97,9.93,9.95,68783
2022-04-21,9.95,9.95,9.92,9.95,2673
2022-04-22,9.95,9.95,9.94,9.94,5231
2022-04-25,9.94,9.94,9.94,9.94,200014
2022-04-26,9.98,9.98,9.92,9.92,2091
2022-04-27,9.92,9.93,9.915,9.93,4380
2022-04-28,9.98,9.98,9.94,9.94,2322
2022-04-29,9.92,10.175,9.91,9.91,6073
2022-05-02,9.93,9.94,9.92,9.94,257260
2022-05-03,9.97,9.97,9.95,9.95,302329
2022-05-04,9.94,9.94,9.94,9.94,727
2022-05-05,9.98,9.98,9.9385,9.95,6606
2022-05-06,9.99,9.99,9.93,9.93,109462
2022-05-09,9.92,9.94,9.92,9.93,3508
2022-05-10,9.96,9.96,9.9,9.9,30481
2022-05-11,9.8999,9.91,9.89,9.89,16448
2022-05-12,9.88,9.89,9.88,9.89,370685
2022-05-13,9.96,9.96,9.89,9.89,42841
2022-05-16,9.87,9.8899,9.87,9.87,69005
2022-05-19,9.89,9.9137,9.89,9.89,3466
2022-05-20,9.95,9.95,9.89,9.89,102612
2022-05-23,9.95,9.95,9.88,9.89,3862
2022-05-24,9.95,9.95,9.87,9.87,3539
2022-05-25,9.87,9.9082,9.87,9.89,111942
2022-05-26,9.895,9.895,9.89,9.89,1010032
2022-05-27,9.94,9.94,9.9,9.9,119627
2022-05-31,9.87,9.89,9.87,9.89,5798
2022-06-01,9.89,9.94,9.89,9.9,223101
2022-06-06,9.95,9.95,9.9,9.92,1286183
2022-06-07,9.92,9.9245,9.9,9.9245,87072
2022-06-08,9.92,9.945,9.92,9.92,3705
2022-06-09,9.93,9.95,9.93,9.9345,21104
2022-06-10,9.9327,9.9327,9.92,9.92,11115
2022-06-13,9.93,9.93,9.92,9.92,12285
2022-06-14,9.92,9.93,9.92,9.93,220
2022-06-15,9.97,9.97,9.97,9.97,124
2022-06-16,9.92,9.93,9.92,9.92,3354
2022-06-21,9.96,9.96,9.91,9.92,910
2022-06-22,9.9,9.91,9.9,9.91,8339
2022-06-23,9.91,9.92,9.9,9.92,18677
2022-06-27,10.155,10.41,9.9,9.91,2615
2022-06-28,9.91,10.0413,9.91,9.91,2706
2022-06-29,9.9101,10.1327,9.91,9.91,2727
2022-06-30,9.925,9.94,9.91,9.94,25688
2022-07-01,9.91,9.91,9.91,9.91,211
2022-07-06,9.91,9.94,9.91,9.93,244204
2022-07-07,9.91,9.94,9.91,9.93,3579
2022-07-08,9.94,9.94,9.94,9.94,723
2022-07-11,9.95,9.95,9.93,9.93,1708
2022-07-12,9.9301,10.175,9.93,9.93,5345
2022-07-13,9.93,9.93,9.93,9.93,125
2022-07-14,9.93,9.93,9.92,9.93,35364
2022-07-15,9.93,9.93,9.925,9.93,1406
2022-07-18,9.96,9.96,9.93,9.93,553
2022-07-19,9.93,9.9364,9.93,9.93,465
2022-07-20,9.93,9.935,9.92,9.935,6400
2022-07-21,9.935,9.935,9.935,9.935,201
2022-07-22,9.935,9.95,9.935,9.95,5223
2022-07-25,10.01,10.01,9.97,9.985,975
2022-07-26,9.95,9.97,9.95,9.965,250335
2022-07-27,9.93,9.95,9.93,9.95,375
2022-07-28,9.97,9.97,9.93,9.93,1216
2022-07-29,9.95,9.97,9.93,9.93,353800
2022-08-01,9.94,9.96,9.94,9.96,2497
2022-08-02,9.97,9.98,9.95,9.96,11716
2022-08-03,9.97,9.97,9.97,9.97,5414
2022-08-04,9.95,9.95,9.95,9.95,345001
2022-08-05,9.94,9.99,9.94,9.99,10648
2022-08-08,9.96,9.96,9.96,9.96,196
2022-08-09,9.96,9.98,9.96,9.96,29912
2022-08-10,10.0,10.0,9.975,9.98,37704
2022-08-11,10.0,10.0,9.975,9.98,3547
2022-08-12,9.94,9.94,9.94,9.94,103
2022-08-15,9.94,9.9921,9.94,9.98,18602
2022-08-16,9.98,9.98,9.98,9.98,130
2022-08-17,9.95,10.0,9.95,9.98,350325
2022-08-18,10.01,10.01,10.01,10.01,106
2022-08-19,10.01,10.01,9.98,10.01,414512
2022-08-22,10.0,10.0,10.0,10.0,847
2022-08-23,9.98,9.98,9.98,9.98,363
2022-08-24,9.94,9.99,9.94,9.99,624
2022-08-25,9.98,9.99,9.98,9.99,1945
2022-08-26,9.99,9.99,9.99,9.99,1784
2022-08-29,10.03,10.03,9.99,9.99,497
2022-08-30,9.99,10.0,9.99,10.0,56135
2022-08-31,10.0,10.01,9.98,10.01,22936
2022-09-01,10.02,10.02,10.01,10.01,5142
2022-09-02,10.02,10.02,10.01,10.02,42721
2022-09-06,10.01,10.02,10.01,10.02,17460
2022-09-07,10.03,10.04,10.03,10.04,148054
2022-09-08,10.03,10.05,10.03,10.04,212133
2022-09-09,10.06,10.06,10.06,10.06,211
2022-09-12,10.06,10.06,10.01,10.03,3542
2022-09-13,10.02,10.04,10.02,10.035,197866
2022-09-14,10.05,10.05,10.04,10.045,15083
2022-09-15,10.05,10.05,10.04,10.05,73376
2022-09-16,10.04,10.05,10.04,10.05,22765
2022-09-19,10.02,10.05,10.02,10.04,1265339
2022-09-20,10.03,10.06,10.03,10.06,12916
2022-09-21,10.07,10.07,10.045,10.045,1038
2022-09-22,10.02,10.06,10.02,10.06,138412
2022-09-23,10.0736,10.0736,10.05,10.05,150513
2022-09-26,10.08,10.08,10.05,10.05,521
2022-09-27,10.05,10.0501,10.05,10.05,2134
2022-09-28,10.09,10.09,10.05,10.07,112898
