Date,Open,High,Low,Close,Volume
2021-02-17,9.5,14.4,8.95,13.7,698885
2021-02-18,13.75,16.66,10.12,14.4,583777
2021-02-19,15.5,15.68,13.02,13.43,374301
2021-02-22,13.0,13.12,10.86,11.56,614618
2021-02-23,10.36,10.36,6.66,9.02,537207
2021-02-24,9.6,10.62,9.03,9.95,338572
2021-02-25,9.9,9.97,7.0,7.5,551510
2021-02-26,7.25,8.25,6.2453,7.43,801598
2021-03-01,7.85,8.19,7.44,7.98,273231
2021-03-02,8.18,8.18,6.6,7.07,256512
2021-03-03,7.25,7.25,6.1,6.45,343036
2021-03-04,6.12,6.75,5.12,6.08,477272
2021-03-05,5.9,6.4,4.7004,6.2,421082
2021-03-08,6.0,6.7,5.4,6.0895,369084
2021-03-09,6.29,7.3,6.25,6.99,292384
2021-03-10,7.47,7.6,6.8101,7.52,170684
2021-03-11,7.69,8.8,7.685,8.64,226422
2021-03-12,8.0,8.14,7.7,7.73,113774
2021-03-15,7.6,8.38,7.04,7.5,159878
2021-03-16,7.0,7.15,6.5,6.72,269023
2021-03-17,6.32,7.35,6.32,6.99,122869
2021-03-18,7.25,7.59,6.82,6.93,236937
2021-03-19,7.44,7.934,7.0,7.45,81219
2021-03-22,8.09,8.87,8.01,8.5,221353
2021-03-23,8.36,8.36,7.38,7.69,71626
2021-03-24,8.2,8.2,7.5,7.76,97025
2021-03-25,6.85,7.62,6.56,7.15,139742
2021-03-26,7.33,7.65,6.885,7.35,53598
2021-03-29,7.35,7.71,7.13,7.31,80549
2021-03-30,6.26,6.8,5.3277,6.6394,284842
2021-03-31,6.65,7.01,6.1,6.45,323788
2021-04-01,6.62,6.84,6.31,6.36,142337
2021-04-05,6.5,6.81,6.12,6.65,48085
2021-04-06,6.76,6.95,6.6,6.69,107099
2021-04-07,6.95,6.95,6.55,6.55,97945
2021-04-08,6.95,6.95,6.24,6.24,63484
2021-04-09,6.56,6.56,6.18,6.24,59081
2021-04-12,6.25,6.25,5.56,5.98,68200
2021-04-13,6.0,6.09,5.64,5.94,193375
2021-04-14,5.82,6.3,5.82,6.09,91489
2021-04-15,6.61,6.61,5.6001,5.69,81007
2021-04-16,5.56,5.84,5.35,5.65,159452
2021-04-19,5.45,5.475,4.75,4.95,165488
2021-04-20,4.7,4.7501,4.04,4.31,124796
2021-04-21,4.2272,4.74,4.09,4.7,242691
2021-04-22,4.75,5.0,4.65,4.67,71196
2021-04-23,4.55,5.15,4.55,4.99,35658
2021-04-26,4.83,5.39,4.83,5.3699,38791
2021-04-27,5.21,5.38,5.0,5.08,53962
2021-04-28,5.01,5.1,4.81,5.1,60076
2021-04-29,4.92,5.12,4.9001,5.1,26385
2021-04-30,4.94,5.87,4.83,5.14,99079
2021-05-03,5.11,5.331,5.02,5.29,52943
2021-05-04,4.93,4.93,4.36,4.7684,112461
2021-05-05,4.64,4.77,4.55,4.65,13406
2021-05-06,4.53,4.53,3.73,3.9899,196062
2021-05-07,3.95,4.39,3.95,4.05,39498
2021-05-10,4.05,4.05,3.39,3.4907,100920
2021-05-11,3.27,3.31,2.95,3.24,92828
2021-05-12,3.4,3.7,3.13,3.48,91267
2021-05-13,3.75,3.75,2.29,2.67,365099
2021-05-14,2.76,2.95,2.5,2.9,48701
2021-05-17,2.86,3.0,2.46,2.5501,69743
2021-05-18,2.81,2.97,2.7,2.79,47131
2021-05-19,2.7,2.89,2.65,2.78,31490
2021-05-20,2.9,3.05,2.585,2.78,70947
2021-05-21,2.87,3.0,2.75,2.85,16591
2021-05-24,2.93,3.12,2.91,2.91,41091
2021-05-25,3.19,3.21,2.95,2.95,33767
2021-05-26,2.9,3.2,2.9,3.04,62302
2021-05-27,3.2,3.38,3.2,3.35,59213
2021-05-28,3.66,3.75,3.4,3.48,53059
2021-06-01,3.78,3.99,3.6,3.77,61574
2021-06-02,3.9599,4.0,3.7,4.0,45306
2021-06-03,3.9001,4.35,3.71,4.0,76147
2021-06-04,4.15,4.3,3.9363,4.24,39212
2021-06-07,4.16,4.95,4.16,4.8,117198
2021-06-08,4.52,5.25,4.31,5.1,102963
2021-06-09,5.01,5.07,4.6609,4.8701,61265
2021-06-10,5.0,5.05,4.6,4.98,79594
2021-06-11,4.74,5.04,4.6101,4.91,59384
2021-06-14,4.8,4.91,4.68,4.8199,46335
