Date,Open,High,Low,Close,Volume
2024-12-17,25.07,25.07,24.9485,25.0152,3761
2024-12-18,24.6068,24.6068,24.3556,24.3556,133
2024-12-20,24.6,24.6,24.3605,24.3605,4317
2024-12-23,24.465,24.613,24.46,24.613,30449
2024-12-24,24.755,24.814,24.75,24.814,3901
2024-12-26,24.897,24.897,24.85,24.884,1107
2024-12-27,24.75,24.75,24.635,24.7065,4164
2024-12-30,24.33,24.53,24.2836,24.4658,41686
2024-12-31,24.52,24.52,24.3879,24.3879,1300
2025-01-02,24.63,24.63,24.385,24.395,2881
2025-01-03,24.49,24.66,24.455,24.5991,26862
2025-01-06,24.67,24.71,24.47,24.507,14743
2025-01-07,24.59,24.59,24.4181,24.4181,12092
2025-01-08,24.4,24.5611,24.4,24.5611,3755
2025-01-10,24.4,24.48,24.21,24.213,80291
2025-01-13,24.24,24.36,24.23,24.36,6542
2025-01-14,24.36,24.4175,24.3599,24.4175,2339
2025-01-15,24.74,24.74,24.661,24.661,66327
2025-01-16,24.85,24.9859,24.85,24.9692,9309
2025-01-17,25.12,25.12,25.035,25.035,5659
2025-01-21,25.26,25.3367,25.23,25.3367,6840
2025-01-22,25.37,25.39,25.2493,25.2493,5940
2025-01-23,25.23,25.3607,25.23,25.3607,342
2025-01-24,25.448,25.5,25.44,25.4637,6311
2025-01-27,25.16,25.21,25.0157,25.1886,2577
2025-01-28,25.12,25.12,25.0483,25.0483,4282
2025-01-29,25.14,25.14,24.98,24.9831,5424
2025-01-30,25.33,25.4,25.21,25.3601,9956
2025-01-31,25.35,25.53,25.2757,25.2757,1414
2025-02-03,25.26,25.29,25.0,25.24,13942
2025-02-04,25.2,25.24,25.17,25.1965,5811
2025-02-05,25.37,25.44,25.3099,25.414,6776
2025-02-06,25.45,25.45,25.29,25.42,2721
2025-02-07,25.4,25.4,25.205,25.205,1924
