Date,Open,High,Low,Close,Volume
2021-10-01,248.5,253.221,205.1,211.75,19632.942876776
2021-10-04,217.7,255.5,217.7,226.8,20933.88573522
2021-10-05,224.0,245.0,221.55,223.3,11907.428583336
2021-10-06,219.45,221.55,192.5,219.1,14823.371443395
2021-10-07,219.1,228.9,209.65,226.1,6199.142863342
2021-10-08,225.05,231.0,219.45,228.55,4227.14286137
2021-10-11,228.9,232.05,225.05,229.95,4840.7714334122
2021-10-12,228.9,253.05,228.9,237.65,8300.5142940148
2021-10-13,240.45,247.8,237.3,243.6,5989.0285774176
2021-10-14,245.0,250.25,243.6,245.0,4769.9142904842
2021-10-15,245.0,246.05,238.0,239.4,6535.857149393
2021-10-18,237.3,237.3,214.55,219.1,6925.4000069254
2021-10-19,214.9,225.225,210.0,215.95,6866.7428640096
2021-10-20,218.75,227.15,217.7,218.75,7086.000007086
2021-10-21,223.65,227.5,214.55,222.95,9589.2285810178
2021-10-22,223.3,230.3,222.95,228.2,5885.0571487422
2021-10-25,236.25,236.25,224.7,226.8,7943.0857222288
2021-10-26,229.6,230.65,217.0,218.75,4875.7428620186
2021-10-27,217.0,222.25,213.5,221.2,6549.0857208348
2021-10-28,220.5,223.65,210.0,210.0,3876.3142895906
2021-10-29,210.0,218.4,210.0,211.05,3112.2000031122
2021-11-01,215.25,215.25,203.0,212.45,4494.0857187798
2021-11-02,214.55,220.5,209.475,215.95,3308.9428604518
2021-11-03,217.7,217.7,213.5,215.25,2807.857145665
2021-11-04,215.25,227.15,215.25,223.65,4288.2000042882
2021-11-05,224.0,245.175,223.65,236.25,11995.457154853
2021-11-08,238.0,245.35,230.65,241.5,6595.142863738
2021-11-09,243.25,264.25,241.503,263.55,9575.6571524328
2021-11-10,262.5,278.25,257.25,266.0,12337.371440909
2021-11-11,267.4,269.381,260.753,266.35,10054.114295768
2021-11-12,268.45,273.574,262.5,264.95,7232.000007232
2021-11-15,259.0,273.35,250.6,266.7,8711.0857229968
2021-11-16,265.3,268.1,258.65,263.9,9338.2000093382
2021-11-17,263.55,266.0,254.1,261.1,6628.3142923426
2021-11-18,261.8,262.85,256.2,260.05,7963.1142936774
2021-11-19,260.75,262.85,257.6,262.5,4551.4000045514
2021-11-22,262.5,264.25,257.95,259.0,6695.0285781236
2021-11-23,258.3,259.707,208.25,213.5,11423.200011423
2021-11-24,213.85,230.3,213.85,228.55,11743.542868886
2021-11-26,225.05,247.8,224.56,246.05,5632.9428627758
2021-11-29,244.65,255.5,237.65,247.8,12353.857155211
2021-11-30,246.75,252.7,241.5,244.65,11208.657154066
2021-12-01,247.1,256.9,243.95,244.3,8052.0571509092
2021-12-02,240.1,248.5,228.55,237.65,8843.5428659864
2021-12-03,236.25,240.1,212.8,223.65,8190.3428653332
2021-12-06,227.85,249.2,221.9,246.4,20159.200020159
2021-12-07,247.45,258.65,244.125,245.7,20050.114305764
2021-12-08,245.7,259.35,245.7,254.1,16840.171445412
2021-12-09,255.15,262.5,254.8,258.65,22288.828593717
2021-12-10,257.95,262.5,257.95,259.35,18225.51430394
2021-12-13,254.45,262.5,254.45,256.55,19468.97144804
2021-12-14,254.8,262.15,242.2,242.55,14190.228585619
2021-12-15,242.9,266.7,242.9,259.0,30774.68574506
2021-12-16,259.0,263.55,236.95,241.85,19720.714305435
2021-12-17,238.0,261.1,233.8,248.5,218271.94307541
2021-12-20,243.95,270.2,243.95,258.3,18147.028589576
2021-12-21,260.05,278.25,260.05,267.05,17348.057160205
2021-12-22,270.55,273.7,263.9,268.45,6207.3142919216
2021-12-23,267.4,267.4,261.45,263.9,5763.142862906
2021-12-27,263.9,266.0,257.95,265.65,12760.457155618
2021-12-28,261.45,269.5,260.75,265.3,6138.142863281
2021-12-29,264.25,264.25,250.953,259.0,4752.2000047522
2021-12-30,259.0,262.5,247.1,252.0,5445.285719731
2021-12-31,251.3,256.9,241.5,255.15,8127.000008127
2022-01-03,255.5,265.475,251.65,261.8,12372.057155229
2022-01-04,262.5,265.65,246.05,258.3,8651.3428657942
2022-01-05,259.35,264.25,246.75,249.9,9052.5142947668
2022-01-06,249.9,253.05,239.4,240.45,6708.000006708
2022-01-07,241.5,244.65,230.3,232.4,5359.4857196452
2022-01-10,231.0,238.0,198.275,198.8,18019.171446591
