Date,Open,High,Low,Close,Volume
2022-09-01,8.4,15.55,7.52,8.3,10754069
2022-09-02,10.07,12.82,6.96,7.05,16406593
2022-09-06,6.34,6.59,5.08,5.39,2095847
2022-09-07,7.0,7.78,5.6,5.75,12971784
2022-09-08,5.51,6.4,5.33,5.63,2380449
2022-09-09,5.5,5.5899,4.65,4.78,1177670
2022-09-12,4.42,4.6897,4.36,4.59,1082643
2022-09-13,4.46,4.56,4.06,4.14,683426
2022-09-14,5.7,6.8,4.71,4.86,48561436
2022-09-15,4.63,5.38,4.37,4.74,5126098
2022-09-16,4.45,4.63,4.05,4.3,620470
2022-09-19,4.18,4.2857,3.78,3.81,342032
2022-09-20,3.64,3.9,3.5499,3.67,437591
2022-09-21,3.67,3.67,3.3,3.32,460313
2022-09-22,3.24,3.32,2.6801,2.72,364321
2022-09-23,2.55,2.5991,2.09,2.11,539237
2022-09-26,2.15,2.49,2.0214,2.12,602492
2022-09-27,2.12,2.39,2.1,2.12,458857
2022-09-28,3.6,4.23,2.79,2.92,50954743
2022-09-29,2.88,3.11,2.75,3.0,1419200
2022-09-30,2.8,3.07,2.8,2.91,393039
2022-10-03,2.9,2.9615,2.51,2.51,311688
2022-10-04,2.52,2.9879,2.52,2.94,259588
2022-10-05,2.93,2.96,2.63,2.76,134035
2022-10-06,2.73,3.05,2.6501,2.9,222825
2022-10-07,2.87,3.1499,2.7963,2.95,185383
2022-10-10,2.84,2.95,2.67,2.78,191372
2022-10-11,2.77,2.85,2.67,2.8,90171
2022-10-12,2.8,2.875,2.61,2.79,158317
2022-10-13,2.62,2.7865,2.51,2.66,92535
2022-10-14,2.63,2.6892,2.55,2.62,74205
2022-10-17,2.62,3.0,2.5626,2.89,163282
2022-10-18,3.2,3.25,3.0,3.14,493317
2022-10-19,3.13,3.17,2.74,2.9,218014
2022-10-20,2.74,2.95,2.7,2.8,146523
2022-10-21,2.75,2.88,2.55,2.61,193020
2022-10-24,2.66,2.73,2.55,2.65,91626
2022-10-25,2.73,2.98,2.56,2.71,170913
2022-10-26,2.65,2.93,2.6101,2.86,136106
2022-10-27,2.76,2.89,2.62,2.75,139922
2022-10-28,2.76,2.9,2.6701,2.8,103284
2022-10-31,2.84,2.88,2.77,2.85,58797
2022-11-01,2.79,2.86,2.78,2.8,52395
2022-11-02,2.78,2.89,2.78,2.89,68120
2022-11-03,2.89,2.95,2.62,2.89,89200
2022-11-04,2.87,2.98,2.62,2.63,44543
2022-11-07,2.63,2.715,2.55,2.65,45140
2022-11-08,2.6453,2.7834,2.568,2.62,20397
2022-11-09,2.6,2.8599,2.35,2.385,173416
2022-11-10,2.41,2.76,2.41,2.56,81500
2022-11-11,2.56,2.9999,2.46,2.83,113725
2022-11-14,2.75,2.8,2.64,2.75,47053
2022-11-15,2.6378,2.81,2.55,2.81,42085
2022-11-16,2.658,2.7772,2.54,2.6,28694
2022-11-17,2.54,2.7,2.52,2.6494,23789
2022-11-18,2.6901,2.6901,2.53,2.56,19792
2022-11-21,2.5192,2.65,2.3001,2.6,79880
2022-11-22,2.57,2.65,2.535,2.65,52913
2022-11-23,2.4919,2.65,2.4919,2.64,36293
2022-11-25,2.57,2.62,2.565,2.6,24592
2022-11-28,2.54,2.8,2.515,2.64,71813
2022-11-29,2.59,2.71,2.5738,2.6,16837
2022-11-30,2.8,2.84,2.6501,2.7,75579
2022-12-01,2.734,2.79,2.675,2.77,39661
2022-12-02,2.6715,2.95,2.66,2.94,33238
2022-12-05,2.96,3.1941,2.88,3.05,40257
2022-12-06,2.97,3.17,2.86,3.02,26580
2022-12-07,2.8,3.0,2.52,2.65,36981
2022-12-08,2.76,2.76,2.55,2.55,49016
2022-12-09,2.5,2.6,1.92,2.02,206131
2022-12-12,2.02,2.05,1.955,2.0001,36087
2022-12-13,2.0,2.05,1.96,2.0,29593
2022-12-14,2.0153,2.02,1.98,2.01,50379
2022-12-15,1.97,2.06,1.96,2.01,48169
2022-12-16,1.96,2.02,1.95,1.97,190405
2022-12-19,1.97,2.08,1.74,1.88,141714
2022-12-20,1.88,1.88,1.71,1.73,60455
2022-12-21,1.78,1.89,1.66,1.69,20618
2022-12-22,1.615,1.92,1.55,1.81,28024
2022-12-23,1.6201,2.17,1.6201,1.85,42858
2022-12-27,1.85,2.072,1.705,1.78,57522
2022-12-28,1.72,1.9,1.6368,1.72,17097
2022-12-29,1.71,1.72,1.6,1.68,45886
2022-12-30,1.63,1.78,1.31,1.6,121840
2023-01-03,1.8,1.8,1.4501,1.56,28313
2023-01-04,1.78,1.7801,1.49,1.65,70709
2023-01-05,1.7,1.7031,1.51,1.63,55351
2023-01-06,1.94,1.94,1.52,1.6,23336
2023-01-09,1.7,1.79,1.6101,1.64,31569
2023-01-10,1.7,1.93,1.61,1.8,48887
2023-01-11,1.87,1.9707,1.75,1.86,53566
2023-01-12,1.89,2.07,1.85,1.9,50246
2023-01-13,1.85,1.91,1.63,1.6601,88465
2023-01-17,1.7,1.72,1.58,1.61,40679
2023-01-18,1.61,1.61,1.5,1.53,51798
2023-01-19,1.56,1.65,1.51,1.6,50819
2023-01-20,1.53,1.57,1.5,1.52,73774
2023-01-23,1.48,1.62,1.48,1.59,44648
2023-01-24,1.91,3.99,1.7,2.79,68813356
2023-01-25,2.56,2.86,2.35,2.62,2403602
2023-01-26,2.69,3.67,2.62,3.06,5489156
2023-01-27,2.87,3.24,2.7,2.8725,838356
2023-01-30,2.79,3.06,2.63,2.77,247950
2023-01-31,2.76,2.7963,2.58,2.61,202701
2023-02-01,2.66,2.7999,2.5,2.6,192551
2023-02-02,2.54,2.69,2.45,2.55,102644
2023-02-03,2.52,2.52,2.36,2.38,95790
2023-02-06,2.49,2.49,2.36,2.4,84891
