Date,Open,High,Low,Close,Volume
2024-06-11,25.07,25.1,25.015,25.03,70266
2024-06-12,25.1,25.18,25.05,25.06,190989
2024-06-13,25.05,25.09,25.02,25.08,220063
2024-06-14,25.08,25.1275,24.9,25.04,117426
2024-06-17,24.95,25.02,24.89,25.0,116271
2024-06-18,25.0,25.08,24.9,25.0,105152
2024-06-20,25.0,25.0,24.95,25.0,15265
2024-06-21,25.0,25.07,24.99,24.99,37036
2024-06-24,25.08,25.08,24.98,25.0,65351
2024-06-25,24.96,25.05,24.96,25.0,28167
2024-06-26,24.985,25.04,24.975,24.98,93507
2024-06-27,24.96,25.05,24.92,25.0,72065
2024-06-28,25.05,25.09,24.95,24.95,732185
2024-07-01,24.95,24.99,24.95,24.99,27902
2024-07-02,24.99,25.1,24.97,25.1,23451
2024-07-03,25.08,25.13,25.08,25.13,20303
2024-07-05,25.2,25.2,25.05,25.14,31961
2024-07-08,25.19,25.19,25.0,25.09,15462
2024-07-09,25.18,25.18,25.03,25.08,39582
2024-07-10,25.08,25.11,25.06,25.11,27100
2024-07-11,25.22,25.33,25.11,25.33,67785
2024-07-12,25.37,25.49,25.31,25.49,36416
2024-07-15,25.5,25.51,25.0531,25.45,38933
2024-07-16,25.58,25.58,25.306,25.4,53774
2024-07-17,25.49,25.49,25.34,25.4,23034
2024-07-18,25.5,25.5,25.3,25.46,19066
2024-07-19,25.5,25.5,25.38,25.5,14647
2024-07-22,25.5,25.5,25.44,25.5,21772
2024-07-23,25.5,25.5,25.35,25.42,20984
2024-07-24,25.4,25.418,25.32,25.4,17001
2024-07-25,25.5,25.5,25.291,25.42,19913
2024-07-26,25.5,25.5,25.3301,25.4,12194
2024-07-29,25.43,25.43,25.02,25.06,35533
2024-07-30,25.1,25.15,24.84,24.89,72908
2024-07-31,24.97,25.25,24.9,25.25,55321
2024-08-01,25.29,25.3,25.2011,25.25,133891
2024-08-02,25.2711,25.2711,25.25,25.25,10718
2024-08-05,24.8339,25.35,24.7129,25.22,19800
2024-08-06,25.11,25.31,25.11,25.31,1485
2024-08-07,25.1952,25.35,25.05,25.29,15013
2024-08-08,25.16,25.3,25.135,25.24,3901
2024-08-09,25.35,25.35,25.28,25.28,954
2024-08-12,25.34,25.34,25.15,25.22,4559
2024-08-13,25.15,25.35,25.15,25.26,15105
2024-08-14,25.32,25.47,25.32,25.46,5948
2024-08-15,25.5,25.5,25.29,25.43,1115
2024-08-16,25.5,25.5,25.28,25.47,6159
2024-08-19,25.41,25.41,25.35,25.35,35574
2024-08-20,25.43,25.5,25.37,25.47,15635
2024-08-21,25.5,25.5,25.45,25.47,10377
2024-08-22,25.5,25.5,25.47,25.47,8775
2024-08-23,25.5,25.5,25.4102,25.5,10666
2024-08-26,25.5,25.5,25.4731,25.5,13876
2024-08-27,25.5,25.5,25.448,25.49,5414
2024-08-28,25.5,25.5,25.455,25.49,9067
2024-08-29,25.43,25.5,25.33,25.45,13425
2024-08-30,25.47,25.5,25.25,25.25,25832
2024-09-03,25.32,25.4299,25.2855,25.4,10046
2024-09-04,25.43,25.59,25.32,25.59,83982
2024-09-05,25.63,25.73,25.5,25.73,6172
2024-09-06,25.7,25.7,25.505,25.56,5973
2024-09-09,25.58,25.82,25.5,25.82,12950
2024-09-10,25.75,25.93,25.75,25.93,8494
2024-09-11,25.9,25.9,25.68,25.89,9578
2024-09-12,25.87,26.0,25.87,26.0,5821
2024-09-13,25.41,25.41,25.245,25.29,24145
2024-09-16,25.32,25.32,25.04,25.2,95398
2024-09-17,25.2,25.3792,25.16,25.27,21904
2024-09-18,25.27,25.3399,25.21,25.33,26655
2024-09-19,25.37,25.465,25.28,25.4,16018
2024-09-20,25.3,25.45,25.26,25.38,15301
2024-09-23,25.38,25.48,25.2601,25.48,19734
2024-09-24,25.47,25.5,25.41,25.5,19111
2024-09-25,25.5,25.6,25.45,25.58,20563
2024-09-26,25.66,25.72,25.63,25.63,27944
2024-09-27,25.7,25.75,25.66,25.74,58292
2024-09-30,25.78,25.89,25.67,25.76,121461
2024-10-01,25.8,25.819,25.625,25.75,13859
2024-10-02,25.62,25.64,25.55,25.57,21175
2024-10-03,25.68,25.68,25.6,25.62,5186
2024-10-04,25.67,25.67,25.48,25.5,11680
2024-10-07,25.45,25.45,25.31,25.339,5613
2024-10-08,25.35,25.58,25.305,25.5,8293
2024-10-09,25.41,25.55,25.35,25.37,12670
2024-10-10,25.4333,25.48,25.21,25.25,23419
2024-10-11,25.4,25.4,25.21,25.34,26605
2024-10-14,25.32,25.35,25.13,25.28,16207
2024-10-15,25.28,25.38,25.26,25.31,29515
2024-10-16,25.38,25.41,25.26,25.4,16487
2024-10-17,25.44,25.49,25.32,25.41,13112
2024-10-18,25.42,25.48,25.38,25.3814,7604
2024-10-21,25.44,25.44,25.22,25.3,34605
2024-10-22,25.4,25.4801,25.21,25.46,11369
2024-10-23,25.48,25.48,25.25,25.29,1760
2024-10-24,25.16,25.37,25.16,25.35,2122
2024-10-25,25.42,25.44,25.4,25.4,3251
2024-10-28,25.3439,25.48,25.3439,25.46,5145
2024-10-29,25.4499,25.45,25.26,25.37,7667
2024-10-30,25.47,25.47,25.405,25.41,11797
2024-10-31,25.46,25.46,25.391994,25.42,28197
2024-11-01,25.48,25.48,25.36,25.3705,6141
2024-11-04,25.48,25.54,25.03,25.45,34231
2024-11-05,25.54,25.55,25.27,25.45,24554
2024-11-06,25.34,25.54,25.33,25.38,8034
2024-11-07,25.48,25.57,25.38,25.49,8978
2024-11-08,25.35,25.74,25.33,25.68,26152
2024-11-11,25.67,25.88,25.67,25.88,16519
2024-11-12,25.87,25.9,25.73,25.82,11875
