Date,Open,High,Low,Close,Volume
2024-03-21,10.15,10.16,10.14,10.15,7144723
2024-03-22,10.14,10.16,10.14,10.15,402975
2024-03-25,10.1541,10.16,10.13,10.13,151717
2024-03-26,10.15,10.15,10.13,10.14,138704
2024-03-27,10.1576,10.1576,10.14,10.15,3947
2024-04-01,10.17,10.17,10.15,10.15,3071
2024-04-02,10.16,10.17,10.155,10.16,113191
2024-04-03,10.17,10.17,10.1601,10.1699,9779
2024-04-04,10.17,10.17,10.17,10.17,419
2024-04-05,10.16,10.17,10.16,10.17,25749
2024-04-08,10.1799,10.1799,10.1799,10.1799,2008
2024-04-09,10.18,10.18,10.1799,10.18,3134
2024-04-10,10.16,10.16,10.16,10.16,1146
2024-04-11,10.18,10.18,10.1699,10.1699,2658
2024-04-12,10.18,10.19,10.16,10.19,23570
2024-04-15,10.19,10.19,10.19,10.19,24775
2024-04-16,10.2,10.2,10.1901,10.1901,2905
2024-04-17,10.19,10.2,10.19,10.19,2065
2024-04-18,10.2,10.2,10.2,10.2,3782
2024-04-22,10.2,10.23,10.2,10.2,2146
2024-04-24,10.22,10.931,10.22,10.25,15036
2024-04-26,10.26,10.6954,10.26,10.28,1099
2024-04-29,10.29,10.3,10.29,10.3,11198
2024-04-30,10.29,10.29,10.29,10.29,145
2024-05-01,10.29,10.3,10.29,10.3,5077
2024-05-06,10.3,10.3,10.3,10.3,258
2024-05-07,10.31,10.31,10.31,10.31,105
2024-05-08,10.32,10.32,10.32,10.32,5102
2024-05-13,10.35,10.37,10.32,10.37,1767
2024-05-15,10.31,10.3763,10.29,10.29,2127
2024-05-16,10.29,10.32,10.29,10.3001,35946
2024-05-17,10.29,10.32,10.29,10.32,5398
2024-05-20,10.3,10.3,10.3,10.3,544
2024-05-21,10.29,10.32,10.27,10.27,11226
2024-05-23,10.33,10.33,10.25,10.25,600
2024-05-24,10.35,10.35,10.35,10.35,137
2024-05-28,10.35,10.35,10.26,10.26,1109
2024-05-29,10.32,10.32,10.32,10.32,137
2024-06-05,10.3,10.3,10.3,10.3,361
2024-06-06,10.32,10.32,10.32,10.32,326
2024-06-11,10.08,10.08,10.08,10.08,50101
2024-06-12,10.26,10.34,10.26,10.3,5168
2024-06-13,10.32,10.32,10.32,10.32,19110
2024-06-14,10.25,10.25,10.25,10.25,100
2024-06-17,10.32,10.32,10.32,10.32,143
2024-06-20,10.32,10.32,10.26,10.26,600
2024-06-27,10.31,10.32,10.31,10.3196,2025
2024-06-28,10.33,10.33,10.32,10.32,204922
2024-07-03,10.35,10.35,10.35,10.35,1044
2024-07-05,10.55,10.9,10.55,10.9,713
2024-07-08,10.35,10.35,10.35,10.35,601
2024-07-10,10.35,10.35,10.33,10.35,660
2024-07-18,10.3427,10.35,10.3427,10.35,3523
2024-07-25,10.35,10.35,10.35,10.35,2187
2024-07-29,10.4,10.4,10.4,10.4,305
2024-08-01,10.4,10.4,10.35,10.35,715
2024-08-06,10.36,10.36,10.36,10.36,75000
2024-08-16,10.41,10.5501,10.37,10.37,1900
2024-08-26,10.51,10.51,10.51,10.51,300
2024-08-28,10.55,10.59,10.55,10.59,3500
2024-09-03,10.38,10.38,10.38,10.38,106
2024-09-04,11.4,12.21,11.0,11.13,9046
2024-09-19,10.43,10.55683,10.43,10.55683,939
2024-10-04,10.61,10.61,10.61,10.61,215
2024-10-16,10.49,10.5,10.44,10.44,874
2024-10-22,10.44,10.44,10.44,10.44,115
2024-10-25,10.49,10.5,10.49,10.5,300
2024-11-01,10.48,11.89,10.48,10.48,14019
2024-11-05,10.51,10.51,10.51,10.51,859
2024-11-08,10.51,10.51,10.5,10.5,207
2024-11-20,10.51,11.0,10.49,11.0,1358
2024-11-25,10.52,10.52,10.49,10.49,422
2024-12-03,10.52,10.52,10.5,10.5,500
2024-12-18,10.5,10.5,10.49,10.49,1200
2024-12-19,10.7,10.7,10.5,10.614,1700
2025-01-14,10.59,10.59,10.58,10.58,285
2025-01-23,10.58,10.58,10.58,10.58,200
2025-01-29,10.65,10.65,10.64,10.64,700
2025-02-03,10.69,10.69,10.68,10.68,300
