Date,Open,High,Low,Close,Volume
2024-09-26,18.55,18.88,17.99,18.0,6063300
2024-09-27,18.2,18.78,18.0,18.05,1522217
2024-09-30,18.39,18.46,18.0,18.29,1042979
2024-10-01,18.12,18.245,18.0,18.07,690969
2024-10-02,18.1,18.39,17.91,18.16,1094294
2024-10-03,18.1,18.17,17.97,18.01,841825
2024-10-04,18.14,18.14,18.01,18.05,268983
2024-10-07,18.1,18.14,18.005,18.01,140542
2024-10-08,18.05,18.055,17.99,18.0,334860
2024-10-09,18.14,18.14,18.005,18.06,161380
2024-10-10,18.05,18.14,18.0,18.09,178948
2024-10-11,17.99,18.3899,17.98,18.19,188454
2024-10-14,18.54,18.54,18.0,18.02,184978
2024-10-15,18.0,18.08,17.95,18.0,217798
2024-10-16,18.03,18.45,17.9,18.31,313231
2024-10-17,18.35,18.37,18.15,18.24,175514
2024-10-18,18.15,18.54,18.0,18.45,591896
2024-10-21,18.55,18.83,18.47,18.49,287712
2024-10-22,18.6,18.63,18.23,18.36,138347
2024-10-23,18.16,18.27,18.11,18.23,193177
2024-10-24,18.2624,18.28,18.0,18.19,392292
2024-10-25,18.2,18.355,18.04,18.05,153220
2024-10-28,18.07,18.1,17.61,17.71,131711
2024-10-29,17.57,18.16,17.39,18.06,374470
2024-10-30,18.11,18.38,17.915,18.25,177585
2024-10-31,18.08,18.25,17.985,18.04,131767
2024-11-01,18.21,18.345,17.62,17.64,131301
2024-11-04,17.72,18.135,17.6401,17.87,52243
2024-11-05,17.91,18.11,17.91,18.11,74311
2024-11-06,18.29,19.078,18.29,18.82,374652
2024-11-07,18.74,19.81,18.57,19.29,91894
2024-11-08,19.12,19.6,19.12,19.5,129375
2024-11-11,19.605,21.07,19.48,20.63,528365
2024-11-12,20.01,21.15,19.885,20.7,347866
2024-11-13,20.7833,21.11,20.47,20.49,145428
2024-11-14,20.615,21.32,20.4601,21.32,300963
2024-11-15,21.4,21.565,20.27,20.61,327952
2024-11-18,20.625,20.94,20.18,20.52,195904
2024-11-19,20.645,20.95,20.45,20.95,205192
2024-11-20,20.81,21.3,20.5,21.19,189697
2024-11-21,21.52,22.16,21.28,21.54,476965
2024-11-22,21.51,21.95,21.105,21.93,468371
2024-11-25,21.955,22.5,21.0,21.42,486797
2024-11-26,21.55,21.9699,21.505,21.74,297700
2024-11-27,21.7,22.0,21.45,21.78,274618
2024-11-29,21.94,22.28,21.75,21.96,217758
2024-12-02,22.159,22.159,21.13,21.61,279618
2024-12-03,21.675,21.83,21.26,21.76,234880
2024-12-04,21.91,22.38,21.61,21.61,323803
2024-12-05,21.72,22.26,21.5,22.01,428874
2024-12-06,21.96,22.025,21.535,21.67,313181
2024-12-09,21.93,22.05,21.5554,21.58,457170
2024-12-10,21.66,22.22,21.33,21.94,355746
2024-12-11,22.1642,23.56,22.15,23.23,662790
2024-12-12,22.97,24.03,22.96,23.41,470362
2024-12-13,23.325,23.78,22.6185,23.25,309204
2024-12-16,23.32,23.72,23.0,23.0,539301
2024-12-17,22.77,23.24,22.57,23.1,363359
2024-12-18,23.0,23.385,21.98,22.13,410006
2024-12-19,22.51,22.93,21.7474,21.82,522420
2024-12-20,21.55,22.35,21.51,21.69,3358972
2024-12-23,21.455,21.97,21.1937,21.97,225979
2024-12-24,22.21,22.59,21.86,22.55,69231
2024-12-26,22.26,22.76,22.26,22.66,260861
2024-12-27,22.4437,22.95,22.43,22.53,278826
2024-12-30,23.03,23.77,22.725,23.77,248148
2024-12-31,23.94,23.94,23.43,23.78,400112
2025-01-02,24.04,24.32,23.31,23.5,414285
2025-01-03,23.735,24.19,23.43,23.68,310451
2025-01-06,23.795,23.93,23.43,23.52,213923
2025-01-07,23.575,23.67,23.27,23.42,128359
2025-01-08,23.48,23.9414,22.7205,23.92,473475
2025-01-10,24.07,24.935,23.7999,24.45,784124
2025-01-13,24.73,24.87,23.79,23.87,635709
2025-01-14,23.865,24.44,23.75,24.09,314803
2025-01-15,24.345,24.605,24.07,24.4,793641
2025-01-16,24.42,24.68,24.25,24.34,270576
2025-01-17,24.74,24.75,24.26,24.38,288705
2025-01-21,24.24,25.02,24.04,24.86,440313
2025-01-22,24.965,25.975,24.85,25.56,765340
2025-01-23,25.565,26.78,25.565,26.45,1207963
2025-01-24,26.57,26.68,25.47,26.49,495983
2025-01-27,26.26,26.47,23.93,24.31,762482
2025-01-28,24.5,24.97,24.26,24.9,328415
2025-01-29,24.9823,25.2,24.62,25.2,742459
2025-01-30,25.67,26.235,24.82,24.92,457846
2025-01-31,24.79,25.14,24.4,24.5,283286
2025-02-03,24.455,24.79,24.2011,24.49,252365
2025-02-04,23.8611,24.71,23.77,24.22,488552
2025-02-05,24.43,24.51,23.85,24.35,345924
2025-02-06,24.36,24.46,23.78,23.99,287152
2025-02-07,24.1,24.32,23.82,24.08,250692
2025-02-10,24.3,24.84,24.3,24.58,295643
