Date,Open,High,Low,Close,Volume
2022-10-06,41.176,41.176,41.176,41.176,2
2022-10-07,40.2118,40.2118,40.2118,40.2118,2
2022-10-10,39.8775,39.8775,39.8775,39.8775,2
2022-10-11,39.5778,39.5778,39.5778,39.5778,2
2022-10-12,39.1,39.1,39.1,39.1,2
2022-10-13,39.8115,39.8115,39.8115,39.8115,1
2022-10-14,39.2509,39.2509,39.2509,39.2509,2
2022-10-17,40.6091,40.6091,40.6091,40.6091,1
2022-10-18,41.0441,41.0441,41.0441,41.0441,2
2022-10-19,40.2922,40.2922,40.2922,40.2922,1
2022-10-20,39.8675,39.8675,39.8675,39.8675,2
2022-10-21,40.2408,40.2408,40.2408,40.2408,2
2022-10-24,40.6869,40.6869,40.6869,40.6869,2
2022-10-25,42.1275,42.1275,42.1275,42.1275,2
2022-10-26,42.7882,42.7882,42.7882,42.7882,2
2022-10-27,43.0123,43.0123,43.0123,43.0123,2
2022-10-28,43.5328,43.5328,43.5328,43.5328,2
2022-10-31,43.0605,43.0605,43.0605,43.0605,1
2022-11-01,43.4277,43.4277,43.4277,43.4277,1
2022-11-02,42.5234,42.5234,42.5234,42.5234,28
2022-11-03,42.3369,42.3369,42.3369,42.3369,2
2022-11-04,43.418,43.418,43.418,43.418,22
2022-11-07,43.5923,43.5923,43.5923,43.5923,2
2022-11-08,44.18,44.18,44.18,44.18,8
2022-11-09,43.6322,43.6322,43.6322,43.6322,8
2022-11-10,46.6466,46.6466,46.6466,46.6466,8
2022-11-11,46.8743,46.8743,46.8743,46.8743,3
2022-11-14,46.2057,46.2057,46.2057,46.2057,2
2022-11-15,46.5291,46.5291,46.5291,46.5291,4
2022-11-16,46.481,46.481,46.481,46.481,1
2022-11-17,46.26,46.26,46.1845,46.1845,546
2022-11-18,46.5888,46.5888,46.5888,46.5888,51
2022-11-21,46.4066,46.4066,46.4066,46.4066,5
2022-11-22,46.765,46.765,46.765,46.765,1
2022-11-23,47.1134,47.1134,47.1134,47.1134,1
2022-11-25,47.4713,47.4713,47.4713,47.4713,1
2022-11-28,46.4495,46.4495,46.4495,46.4495,1
2022-11-29,46.4836,46.5034,46.4836,46.5034,422
2022-11-30,47.5461,47.5461,47.5461,47.5461,8
2022-12-01,47.9066,47.9066,47.9066,47.9066,2
2022-12-02,47.8298,47.8298,47.8298,47.8298,1
2022-12-05,47.4174,47.4174,47.4174,47.4174,1
2022-12-06,46.9463,46.9463,46.9463,46.9463,1
2022-12-08,47.2737,47.2737,47.2737,47.2737,1
2022-12-09,47.0508,47.0508,47.0508,47.0508,1
2022-12-12,47.25,47.585,47.25,47.5324,554
2022-12-13,48.94,48.94,48.2435,48.2435,158
2022-12-14,48.4418,48.4418,48.4418,48.4418,3
2022-12-15,47.3275,47.3275,47.3275,47.3275,6
2022-12-16,46.4163,46.4163,46.4163,46.4163,1
2022-12-19,46.1344,46.1344,46.1344,46.1344,6
2022-12-20,45.6253,45.6253,45.6253,45.6253,104
2022-12-21,46.0165,46.1734,46.0165,46.1734,650
2022-12-22,45.6691,45.8016,45.6691,45.8016,100
2022-12-23,45.9312,45.9312,45.9312,45.9312,53
2022-12-27,45.9051,45.9051,45.9051,45.9051,1
2022-12-28,45.3173,45.3173,45.3173,45.3173,10
2022-12-29,46.1011,46.1011,46.1011,46.1011,10
2022-12-30,45.729,45.729,45.729,45.729,10
2023-01-03,46.0151,46.0151,46.0151,46.0151,200
2023-01-04,46.735,46.735,46.735,46.735,200
2023-01-05,46.1,46.1,45.8379,45.8379,451
2023-01-06,47.0287,47.0287,47.0287,47.0287,200
2023-01-09,47.2132,47.2132,47.2132,47.2132,12
2023-01-10,47.378,47.378,47.378,47.378,5
2023-01-11,48.2809,48.2809,48.2809,48.2809,3
2023-01-12,48.915,48.915,48.915,48.915,7
2023-01-13,48.92,49.16,48.92,49.0147,1284
2023-01-17,49.4,49.4,49.16,49.162,308
2023-01-18,49.39,49.39,48.615,48.615,292
2023-01-19,48.3,48.3,48.0697,48.0697,490
2023-01-20,48.3,48.5995,48.23,48.5995,332
2023-01-23,48.7528,48.7528,48.7528,48.7528,21
2023-01-24,48.81,48.81,48.7351,48.7351,248
2023-01-25,48.5122,48.5122,48.5122,48.5122,100
2023-01-26,48.6207,48.6207,48.6207,48.6207,1
2023-01-27,48.795,48.795,48.795,48.795,1
2023-01-30,48.3427,48.3427,48.3427,48.3427,61
2023-01-31,48.8267,48.8267,48.8267,48.8267,50
2023-02-01,49.3775,49.3775,49.3775,49.3775,10
2023-02-02,49.9,49.9369,49.9,49.9369,287
2023-02-03,49.0655,49.0655,49.0655,49.0655,86
2023-02-06,48.6923,48.6923,48.6923,48.6923,124
2023-02-07,48.6865,48.8388,48.6865,48.8388,310
2023-02-08,48.646,48.646,48.646,48.646,21
2023-02-09,48.1896,48.1896,48.1896,48.1896,40
2023-02-10,48.2056,48.2056,48.2056,48.2056,53
2023-02-13,48.74,48.74,48.74,48.74,30
2023-02-14,48.6865,48.6865,48.6383,48.6383,32
2023-02-15,48.59,48.59,48.59,48.59,5
2023-02-16,48.1094,48.1094,48.1094,48.1094,18
2023-02-17,48.1573,48.1573,48.1573,48.1573,2
2023-02-21,47.2441,47.2441,47.2441,47.2441,77
2023-02-22,46.8215,46.8215,46.8215,46.8215,21
