Date,Open,High,Low,Close,Volume
2014-04-16,1200.0,1200.0,1200.0,1200.0,2.75
2014-05-15,420.0,420.0,420.0,420.0,2.1
2014-06-10,456.0,456.0,456.0,456.0,444.15
2014-07-10,696.0,696.0,696.0,696.0,0.85
2014-07-14,780.0,780.0,780.0,780.0,4.15
2014-07-15,900.0,900.0,900.0,900.0,1.65
2014-07-16,900.0,900.0,900.0,900.0,1.9
2014-07-25,900.0,900.0,900.0,900.0,0.85
2014-07-28,960.0,960.0,960.0,960.0,2.1
2014-07-31,900.0,900.0,900.0,900.0,3.9
2014-08-05,780.0,780.0,780.0,780.0,0.25
2014-08-06,720.0,720.0,720.0,720.0,2.9
2014-08-11,804.0,804.0,804.0,804.0,0.85
2014-08-29,720.0,720.0,720.0,720.0,0.85
2014-09-17,780.0,780.0,780.0,780.0,16.25
2014-09-29,660.0,660.0,660.0,660.0,1.65
2014-10-01,552.0,552.0,552.0,552.0,2.1
2014-10-03,540.0,540.0,540.0,540.0,8.35
2014-10-06,480.0,480.0,480.0,480.0,0.85
2014-11-04,504.0,504.0,504.0,504.0,2.1
2014-11-07,481.2,481.2,481.2,481.2,62.5
2014-11-11,480.0,480.0,480.0,480.0,954.15
2014-11-12,600.0,600.0,600.0,600.0,277.5
2014-11-13,600.0,600.0,600.0,600.0,123.6
2014-11-17,600.0,600.0,600.0,600.0,1.0
2014-11-18,720.0,720.0,720.0,720.0,9.3
2014-11-21,696.0,696.0,696.0,696.0,2.5
2014-12-01,684.0,684.0,684.0,684.0,0.1
2014-12-03,720.0,720.0,720.0,720.0,0.85
2014-12-05,960.0,960.0,960.0,960.0,1.65
2014-12-08,960.0,960.0,960.0,960.0,0.85
2014-12-09,1200.0,1200.0,1200.0,1200.0,0.1
2014-12-10,1212.0,1212.0,1212.0,1212.0,1.25
2014-12-11,1260.0,1260.0,1260.0,1260.0,0.1
2014-12-12,1368.0,1368.0,1368.0,1368.0,0.6
2014-12-15,1980.0,1980.0,1980.0,1980.0,2.3
2014-12-18,2160.0,2160.0,2160.0,2160.0,0.9
2014-12-19,2520.0,2520.0,2520.0,2520.0,2.3
2014-12-23,2460.0,2460.0,2460.0,2460.0,1.35
2015-01-05,2400.0,2400.0,2400.0,2400.0,0.4
2015-01-09,2256.0,2256.0,2256.0,2256.0,0.4
2015-01-12,2376.0,2376.0,2376.0,2376.0,0.4
2015-01-13,2460.0,2460.0,2460.0,2460.0,0.4
2015-01-16,2520.0,2520.0,2520.0,2520.0,0.3
2015-01-20,2460.0,2460.0,2460.0,2460.0,1.8
2015-01-22,2460.0,2460.0,2460.0,2460.0,3.0
2015-02-05,2280.0,2280.0,2280.0,2280.0,7.0
2015-02-06,2220.0,2220.0,2220.0,2220.0,3.5
2015-02-13,2220.0,2220.0,2220.0,2220.0,2.25
2015-02-17,2280.0,2280.0,2280.0,2280.0,0.2
2015-02-19,2124.0,2124.0,2124.0,2124.0,0.1
2015-02-24,2208.0,2208.0,2208.0,2208.0,1.05
2015-02-25,2400.0,2400.0,2400.0,2400.0,2.7
2015-02-26,2340.0,2340.0,2340.0,2340.0,7.4
2015-02-27,2400.0,2400.0,2400.0,2400.0,1.5
2015-03-02,2268.0,2268.0,2268.0,2268.0,0.5
2015-03-03,2400.0,2400.0,2400.0,2400.0,1.45
2015-03-05,2376.0,2376.0,2376.0,2376.0,0.1
2015-03-06,2280.0,2280.0,2280.0,2280.0,0.4
2015-03-10,2280.0,2280.0,2280.0,2280.0,1.8
2015-03-11,2442.0,2442.0,2442.0,2442.0,0.1
2015-03-17,2460.0,2460.0,2460.0,2460.0,0.5
2015-03-18,2280.0,2280.0,2280.0,2280.0,2.7
2015-03-19,2220.0,2220.0,2220.0,2220.0,2.1
2015-03-20,2268.0,2268.0,2268.0,2268.0,1.9
2015-03-23,2160.0,2160.0,2160.0,2160.0,0.8
2015-03-24,2100.0,2100.0,2100.0,2100.0,1.85
2015-03-26,2460.0,2460.0,2460.0,2460.0,0.35
2015-03-27,2460.0,2460.0,2460.0,2460.0,0.45
2015-04-01,2400.0,2400.0,2400.0,2400.0,0.9
2015-04-06,2100.0,2100.0,2100.0,2100.0,0.4
2015-04-14,2100.0,2100.0,2100.0,2100.0,4.75
2015-04-15,2100.0,2100.0,2100.0,2100.0,0.1
2015-04-20,2040.0,2040.0,2040.0,2040.0,0.15
2015-04-29,2040.0,2040.0,2040.0,2040.0,0.6
2015-05-04,2436.0,2436.0,2436.0,2436.0,1.65
2015-05-11,2436.0,2436.0,2436.0,2436.0,0.75
2015-05-12,2400.0,2400.0,2400.0,2400.0,0.9
2015-05-14,2160.0,2160.0,2160.0,2160.0,1.25
2015-05-15,2160.0,2160.0,2160.0,2160.0,0.25
2015-05-18,1860.0,1860.0,1860.0,1860.0,1.15
2015-05-19,1860.0,1860.0,1860.0,1860.0,0.6
2015-05-20,1860.0,1860.0,1860.0,1860.0,0.1
2015-05-21,1848.0,1848.0,1848.0,1848.0,0.1
2015-05-27,2016.0,2016.0,2016.0,2016.0,5.1
2015-05-28,2016.0,2016.0,2016.0,2016.0,3.5
2015-05-29,2040.0,2040.0,2040.0,2040.0,3.9
2015-06-01,2040.0,2040.0,2040.0,2040.0,1.5
2015-06-02,2196.0,2196.0,2196.0,2196.0,18.9
2015-06-03,2220.0,2220.0,2220.0,2220.0,16.0
2015-06-04,2220.0,2220.0,2220.0,2220.0,13.25
2015-06-05,2292.0,2292.0,2292.0,2292.0,17.5
2015-06-08,2328.0,2328.0,2328.0,2328.0,5.6
2015-06-09,2340.0,2340.0,2340.0,2340.0,3.9
2015-06-10,2388.0,2388.0,2388.0,2388.0,18.2
2015-06-11,2352.0,2352.0,2352.0,2352.0,9.6
2015-06-12,2388.0,2388.0,2388.0,2388.0,7.0
2015-06-15,2388.0,2388.0,2388.0,2388.0,16.15
2015-06-16,2400.0,2400.0,2400.0,2400.0,4.25
2015-06-17,2388.0,2388.0,2388.0,2388.0,7.65
2015-06-18,2448.0,2448.0,2448.0,2448.0,24.1
2015-06-19,2352.0,2352.0,2352.0,2352.0,9.75
2015-06-22,2412.0,2412.0,2412.0,2412.0,14.65
2015-06-23,2424.0,2424.0,2424.0,2424.0,24.6
2015-06-24,2436.0,2436.0,2436.0,2436.0,19.7
2015-06-25,2400.0,2400.0,2400.0,2400.0,29.85
2015-06-26,2448.0,2448.0,2448.0,2448.0,12.3
2015-06-29,2484.0,2484.0,2484.0,2484.0,4.2
2015-06-30,2460.0,2460.0,2460.0,2460.0,18.8
2015-07-01,2460.0,2460.0,2460.0,2460.0,52.45
2015-07-02,2472.0,2472.0,2472.0,2472.0,9.35
2015-07-06,2520.0,2520.0,2520.0,2520.0,18.1
2015-07-07,2472.0,2472.0,2472.0,2472.0,47.05
2015-07-08,2460.0,2460.0,2460.0,2460.0,31.1
2015-07-09,2496.0,2496.0,2496.0,2496.0,44.4
2015-07-10,2496.0,2496.0,2496.0,2496.0,109.65
2015-07-13,2556.0,2556.0,2556.0,2556.0,44.75
2015-07-14,2568.0,2568.0,2568.0,2568.0,46.8
2015-07-15,2676.0,2676.0,2676.0,2676.0,30.9
2015-07-16,2640.0,2640.0,2640.0,2640.0,51.65
2015-07-17,2568.0,2568.0,2568.0,2568.0,466.5
2015-07-20,2556.0,2556.0,2556.0,2556.0,65.7
2015-07-21,2340.0,2340.0,2340.0,2340.0,54.35
2015-07-22,1440.0,1440.0,1440.0,1440.0,646.3
2015-07-23,2160.0,2160.0,2160.0,2160.0,155.85
2015-07-24,2400.0,2400.0,2400.0,2400.0,56.65
2015-07-27,2460.0,2460.0,2460.0,2460.0,112.0
2015-07-28,2400.0,2400.0,2400.0,2400.0,159.8
2015-07-29,2148.0,2148.0,2148.0,2148.0,48.9
2015-07-30,2340.0,2340.0,2340.0,2340.0,75.65
2015-07-31,2340.0,2340.0,2340.0,2340.0,11.9
2015-08-03,2376.0,2376.0,2376.0,2376.0,20.7
2015-08-04,2280.0,2280.0,2280.0,2280.0,25.15
2015-08-05,2136.0,2136.0,2136.0,2136.0,99.2
2015-08-06,2028.0,2028.0,2028.0,2028.0,36.35
2015-08-07,1740.0,1740.0,1740.0,1740.0,12.4
2015-08-10,1212.0,1212.0,1212.0,1212.0,51.15
2015-08-11,1440.0,1440.0,1440.0,1440.0,34.5
2015-08-12,1440.0,1440.0,1440.0,1440.0,64.1
2015-08-13,1380.0,1380.0,1380.0,1380.0,9.8
2015-08-14,1380.0,1380.0,1380.0,1380.0,10.55
2015-08-17,1260.0,1260.0,1260.0,1260.0,8.35
2015-08-18,1140.0,1140.0,1140.0,1140.0,21.6
2015-08-20,1068.0,1068.0,1068.0,1068.0,6.75
2015-08-21,1044.0,1044.0,1044.0,1044.0,3.35
2015-08-24,900.0,900.0,900.0,900.0,8.7
2015-08-25,948.0,948.0,948.0,948.0,12.45
2015-08-26,864.0,864.0,864.0,864.0,9.15
2015-08-27,864.0,864.0,864.0,864.0,69.95
2015-08-28,1170.0,1170.0,1170.0,1170.0,12.0
2015-08-31,1170.0,1170.0,1170.0,1170.0,0.15
2015-09-02,1380.0,1380.0,1380.0,1380.0,27.3
