Date,Open,High,Low,Close,Volume
2024-08-06,25.7943,25.7943,25.7943,25.7943,106
2024-08-07,25.675,25.675,25.675,25.675,106
2024-08-08,25.5203,25.5203,25.5203,25.5203,106
2024-08-09,25.63,25.64,25.63,25.64,134
2024-08-12,25.695,25.695,25.695,25.695,5
2024-08-13,25.76,25.8,25.76,25.8,132
2024-08-14,25.875,25.875,25.865,25.865,150
2024-08-15,25.715,25.715,25.715,25.715,3
2024-08-16,25.7802,25.7802,25.7802,25.7802,12
2024-08-19,25.825,25.825,25.825,25.825,2
2024-08-20,25.92,25.92,25.92,25.92,1
2024-08-21,25.975,25.975,25.975,25.975,3
2024-08-22,25.835,25.835,25.835,25.835,14
2024-08-23,25.955,25.955,25.955,25.955,1
2024-08-26,25.9338,25.9338,25.9338,25.9338,1
2024-08-27,25.92,25.92,25.92,25.92,1
2024-08-28,25.895,25.895,25.895,25.895,1
2024-08-29,25.86,25.86,25.86,25.86,1
2024-08-30,25.7726,25.7726,25.7726,25.7726,1
2024-09-03,25.93,25.93,25.93,25.93,4
2024-09-04,26.0962,26.0962,26.0962,26.0962,1
2024-09-05,26.165,26.165,26.165,26.165,9
2024-09-06,26.2,26.2,26.2,26.2,1
2024-09-09,26.235,26.235,26.235,26.235,1
2024-09-10,26.34,26.34,26.34,26.34,1
2024-09-11,26.23,26.23,26.23,26.23,2
2024-09-12,26.18,26.18,26.18,26.18,2
2024-09-13,26.245,26.245,26.245,26.245,4
2024-09-16,26.33,26.33,26.33,26.33,2
2024-09-17,26.2752,26.2752,26.2752,26.2752,2
2024-09-18,26.155,26.155,26.155,26.155,2
2024-09-19,26.125,26.125,26.125,26.125,1
2024-09-20,26.1298,26.1298,26.1298,26.1298,2
2024-09-23,26.095,26.095,26.095,26.095,2
2024-09-24,26.1116,26.1116,26.1116,26.1116,6
2024-09-25,26.015,26.015,26.015,26.015,5
2024-09-26,25.995,25.995,25.995,25.995,5
2024-09-27,26.0853,26.0853,26.0853,26.0853,5
2024-10-01,26.105,26.105,26.105,26.105,5
2024-10-02,26.03,26.03,26.03,26.03,229841
2024-10-03,25.915,25.915,25.915,25.915,7
2024-10-04,25.695,25.695,25.695,25.695,1
2024-10-07,25.595,25.595,25.595,25.595,4
2024-10-08,25.5488,25.5488,25.5488,25.5488,3
2024-10-09,25.475,25.475,25.475,25.475,2
2024-10-10,25.455,25.455,25.455,25.455,3
2024-10-11,25.46,25.46,25.46,25.46,5
2024-10-14,25.4178,25.4178,25.4178,25.4178,7
2024-10-15,25.5327,25.565,25.5327,25.565,2371
2024-10-16,25.61,25.615,25.595,25.595,300
2024-10-17,25.45,25.4554,25.44,25.4554,300
2024-10-18,25.49,25.4905,25.49,25.4905,101
2024-10-21,25.34,25.34,25.285,25.285,201
2024-10-22,25.26,25.265,25.26,25.265,100
2024-10-23,25.22,25.22,25.2073,25.2073,101
2024-10-24,25.28,25.28,25.27,25.27,200
2024-10-25,25.27,25.28,25.2,25.2,3300
2024-10-28,25.18,25.18,25.14,25.165,200
2024-10-29,25.1,25.185,25.08,25.185,200
2024-10-30,25.23,25.23,25.1698,25.1698,200
2024-10-31,25.1,25.2,25.1,25.1671,300
2024-11-01,25.09,25.09,25.05,25.05,301
2024-11-04,25.17,25.17,25.17,25.17,18
2024-11-05,25.2063,25.2063,25.2063,25.2063,9
2024-11-06,24.9422,24.9422,24.9422,24.9422,9
2024-11-07,25.0391,25.0391,25.0391,25.0391,2
2024-11-08,25.1103,25.1103,25.1103,25.1103,1
2024-12-18,24.79,24.79,24.6931,24.6931,100
2024-12-19,24.6,24.6,24.5943,24.5943,100
2024-12-20,24.7,24.7,24.655,24.655,100
2024-12-23,24.6,24.6,24.57,24.57,102
2024-12-26,24.55,24.6135,24.55,24.6135,101
2025-01-02,24.6,24.635,24.6,24.635,101
