Date,Open,High,Low,Close,Volume
2016-08-29,3.0,3.1771,2.7,2.97,9724
2016-08-30,2.8,2.8792,2.8,2.8792,3485
2016-08-31,2.9226,2.9226,2.9,2.9,260
2016-09-01,2.9,3.0,2.652,2.78,19834
2016-09-02,2.65,2.8,2.5216,2.79,29577
2016-09-06,2.79,2.79,2.6216,2.7,17870
2016-09-07,2.8,2.8,2.6,2.6001,19716
2016-09-08,2.6,2.6601,2.6,2.6,7763
2016-09-09,2.7,2.7,2.6,2.6,1651
2016-09-12,2.652,2.79,2.652,2.71,4209
2016-09-13,2.6,2.7499,2.6,2.7499,1043
2016-09-14,2.6101,2.75,2.6101,2.6876,5888
2016-09-15,2.75,2.75,2.638,2.638,764
2016-09-16,2.74,2.7499,2.56,2.56,3800
2016-09-19,2.74,2.75,2.6201,2.74,5626
2016-09-20,2.74,2.75,2.7,2.75,4341
2016-09-21,2.6636,2.75,2.6636,2.75,16296
2016-09-22,2.75,2.77,2.75,2.77,760
2016-09-23,2.75,2.91,2.75,2.76,10502
2016-09-26,2.7601,2.97,2.76,2.83,3922
2016-09-27,2.91,2.91,2.85,2.85,1201
2016-09-28,2.8001,2.82,2.6934,2.79,3862
2016-09-29,2.8,2.8,2.52,2.68,15600
2016-09-30,2.6685,2.7601,2.54,2.61,35069
2016-10-03,2.54,3.0,2.49,2.8799,51836
2016-10-04,2.65,2.787,2.65,2.73,5858
2016-10-05,2.79,2.79,2.48,2.68,18210
2016-10-06,2.58,2.705,2.58,2.63,6000
2016-10-07,2.49,2.85,2.4899,2.63,24912
2016-10-10,2.84,2.84,2.66,2.66,7464
2016-10-11,2.78,2.78,2.61,2.61,305
2016-10-12,2.6001,2.69,2.6,2.69,3336
2016-10-13,2.69,2.6901,2.6101,2.6101,1571
2016-10-14,2.6702,2.79,2.6,2.7,20842
2016-10-17,2.79,2.79,2.6,2.6244,2500
2016-10-18,2.6,2.62,2.6,2.62,1027
2016-10-19,2.7318,2.79,2.6,2.79,24705
2016-10-20,2.7301,2.8,2.6,2.63,51762
2016-10-21,2.6201,2.7,2.61,2.7,5021
2016-10-24,2.75,2.87,2.65,2.74,16146
2016-10-25,2.7,2.8,2.6951,2.79,10200
2016-10-26,2.7,2.74,2.53,2.74,17852
2016-10-27,2.74,2.85,2.6069,2.62,10660
2016-10-28,2.67,2.7332,2.5,2.5,4105
2016-10-31,2.57,2.6001,2.52,2.6,4154
2016-11-01,2.61,2.6135,2.2593,2.4499,45208
2016-11-02,2.4,2.5864,2.39,2.5,24090
2016-11-03,2.5,2.55,2.01,2.01,38672
2016-11-04,2.29,2.48,1.6,1.9899,58320
2016-11-07,1.84,2.0337,1.84,1.91,18124
2016-11-08,1.98,2.0038,1.651,1.75,13745
2016-11-09,1.53,1.87,1.53,1.87,3980
2016-11-10,1.99,1.99,1.86,1.89,10054
2016-11-11,1.87,2.0,1.87,1.88,4343
2016-11-14,1.94,2.0,1.94,1.95,4596
2016-11-15,1.95,2.1,1.91,2.1,13209
2016-11-16,1.96,2.2001,1.93,2.08,30951
2016-11-17,2.235,2.261,1.93,2.08,67480
2016-11-18,2.27,2.27,1.9432,2.1,32701
2016-11-21,2.1286,2.13,1.99,2.1,6469
2016-11-22,2.12,2.3,2.0499,2.3,14466
2016-11-23,2.3,2.3,2.11,2.19,1772
2016-11-25,2.12,2.12,2.03,2.03,18540
2016-11-28,2.0432,2.15,1.9671,2.15,22478
2016-11-29,2.09,2.3,2.03,2.3,37318
2016-11-30,2.3,2.3,2.05,2.11,3578
2016-12-01,2.07,2.21,1.9999,2.21,15108
2016-12-02,2.13,2.25,1.92,2.11,50114
2016-12-05,2.11,2.96,2.11,2.9,209386
2016-12-06,2.95,2.95,2.59,2.77,43012
2016-12-07,2.79,2.83,2.6301,2.77,23117
2016-12-08,2.81,2.94,2.658,2.7,5253
2016-12-09,2.66,2.694,2.49,2.6,7484
2016-12-12,2.6,2.99,2.49,2.99,60562
2016-12-13,2.92,2.99,2.67,2.95,20079
2016-12-14,2.8102,2.99,2.7928,2.91,17351
2016-12-15,2.9,2.9,2.6406,2.84,16656
2016-12-16,2.74,2.74,2.31,2.31,57617
2016-12-19,2.33,2.4092,2.1586,2.22,10686
2016-12-20,2.25,2.31,2.16,2.17,8031
2016-12-21,2.13,2.39,2.05,2.08,24131
2016-12-22,2.16,2.31,2.1499,2.18,22792
2016-12-23,2.282,2.334,2.12,2.12,10177
2016-12-27,2.1,2.32,2.1,2.15,34517
2016-12-28,2.08,2.2,1.95,1.96,18647
2016-12-29,1.97,2.34,1.97,2.34,21208
2016-12-30,2.3,2.3855,2.12,2.3,27809
2017-01-03,2.2572,2.3,2.15,2.16,10053
2017-01-04,2.23,2.26,2.13,2.17,26079
2017-01-05,2.1,2.73,2.1,2.15,62189
2017-01-06,2.15,2.3,2.15,2.3,28706
2017-01-09,2.34,2.45,2.3001,2.45,6741
2017-01-10,2.4,2.41,2.21,2.26,20243
2017-01-11,2.24,2.33,2.21,2.21,22674
2017-01-12,2.23,2.34,2.17,2.17,11370
2017-01-13,2.2,2.34,2.1774,2.3,11622
2017-01-17,2.41,2.41,2.29,2.37,20343
2017-01-18,2.4,2.85,2.29,2.32,35821
2017-01-19,2.33,2.462,2.31,2.37,26263
2017-01-20,2.37,2.57,2.3699,2.57,24355
2017-01-23,2.46,2.7,2.4098,2.45,11084
2017-01-24,2.46,2.83,2.38,2.6,41181
2017-01-25,2.48,2.8732,2.48,2.83,51471
2017-01-26,2.9,2.9,2.6501,2.82,24323
2017-01-27,2.7501,2.8038,2.64,2.75,29152
2017-01-30,2.6337,2.65,2.6,2.6401,7025
2017-01-31,2.6,2.76,2.48,2.76,36088
2017-02-01,2.79,2.86,2.56,2.59,38788
2017-02-02,2.876,2.876,2.59,2.6064,6101
2017-02-03,2.6069,2.64,2.6,2.64,1908
2017-02-06,2.65,2.75,2.47,2.75,23767
2017-02-07,2.7,2.74,2.61,2.65,19697
2017-02-08,2.6998,2.6998,2.55,2.55,3640
2017-02-09,2.53,2.63,2.5251,2.5251,16957
2017-02-10,2.58,2.6015,2.49,2.53,4340
2017-02-13,2.51,2.6928,2.501,2.51,5363
2017-02-14,2.5526,2.5776,2.516,2.516,8733
2017-02-15,2.48,2.7063,2.48,2.5,16143
2017-02-16,2.6,2.65,2.47,2.65,29382
2017-02-17,2.65,2.76,2.5,2.57,23896
2017-02-21,2.65,2.65,2.5025,2.54,5721
2017-02-22,2.5379,2.5611,2.47,2.54,10508
2017-02-23,2.58,2.62,2.45,2.56,23686
2017-02-24,2.55,2.57,2.51,2.52,11383
2017-02-27,2.45,2.53,2.44,2.53,33318
2017-02-28,2.52,2.56,2.41,2.46,33595
2017-03-01,2.51,2.59,2.45,2.52,19912
2017-03-02,2.35,2.47,2.3,2.31,18553
2017-03-03,2.31,2.4143,2.27,2.29,33405
2017-03-06,2.35,2.35,2.2101,2.29,33717
2017-03-07,2.3,2.48,2.3,2.35,65167
2017-03-08,2.3785,2.38,2.27,2.2753,2047
2017-03-09,2.25,2.25,2.15,2.17,20062
2017-03-10,2.14,2.25,2.14,2.18,9378
2017-03-13,2.219,2.219,2.15,2.16,12597
2017-03-14,2.16,2.2,1.93,2.19,61603
2017-03-15,2.11,2.17,1.99,2.03,18153
2017-03-16,2.08,2.08,2.0184,2.02,2143
2017-03-17,2.026,2.14,2.026,2.03,9438
2017-03-20,2.04,2.13,2.0231,2.08,21939
2017-03-21,2.08,2.12,2.01,2.03,20662
2017-03-22,2.0229,2.03,1.99,1.99,9346
2017-03-23,2.0281,2.0281,1.97,1.97,1121
2017-03-24,1.96,2.0386,1.96,2.0,8610
2017-03-27,1.99,2.05,1.97,2.05,6486
2017-03-28,2.0161,2.07,1.97,1.99,19747
2017-03-29,2.0364,2.04,1.961,2.0,2911
2017-03-30,1.9898,1.9898,1.98,1.98,1705
2017-03-31,1.98,2.19,1.98,2.19,25303
2017-04-03,2.18,2.23,2.1,2.23,28975
2017-04-04,2.02,2.24,2.02,2.13,12912
2017-04-05,2.1,2.17,2.06,2.12,18480
2017-04-06,2.1728,2.2111,2.04,2.21,22608
2017-04-07,2.05,2.23,2.05,2.2,36043
2017-04-10,2.24,2.3179,2.24,2.3,17463
2017-04-11,2.2501,2.3118,2.2501,2.29,1379
2017-04-12,2.33,2.64,2.33,2.4899,21128
2017-04-13,2.3301,2.3424,2.33,2.33,2398
2017-04-17,2.33,2.34,2.12,2.29,14329
2017-04-18,2.2601,2.28,2.26,2.26,1067
2017-04-19,2.28,2.409,2.26,2.3018,9150
2017-04-20,2.3,2.35,2.2825,2.34,6591
2017-04-21,2.4,2.55,2.37,2.38,19492
2017-04-25,2.301,2.39,2.25,2.39,13120
2017-04-26,2.3,2.6,2.3,2.46,32338
2017-04-27,2.35,2.6,2.35,2.56,3873
2017-05-01,2.69,2.69,2.43,2.49,20311
2017-05-02,2.48,2.53,2.4289,2.5,17549
2017-05-03,2.53,2.68,2.53,2.53,13626
2017-05-04,2.5426,2.57,2.43,2.45,17485
2017-05-05,2.63,2.63,2.52,2.54,12926
2017-05-08,2.5,2.551,2.5,2.5,6519
2017-05-09,2.66,2.66,2.55,2.591,15841
2017-05-10,2.54,2.58,2.53,2.53,900
2017-05-11,2.54,2.55,2.53,2.53,2000
2017-05-12,2.53,2.56,2.5,2.54,3568
2017-05-15,2.578,2.6,2.578,2.6,566
2017-05-16,2.5315,2.63,2.5315,2.63,2400
2017-05-17,2.57,2.6349,2.5283,2.5928,14872
2017-05-18,2.63,2.68,2.5999,2.68,27725
2017-05-19,2.6059,2.68,2.6059,2.63,1443
2017-05-22,2.65,2.65,2.6094,2.6094,3320
2017-05-23,2.6,2.75,2.6,2.74,43752
2017-05-24,2.6741,2.7,2.63,2.64,6100
2017-05-25,2.692,2.7053,2.6036,2.6953,3903
2017-05-26,2.64,2.6556,2.63,2.63,2573
2017-05-30,2.59,2.6203,2.59,2.6203,201
2017-05-31,2.57,2.69,2.45,2.5,4612
2017-06-01,2.4328,2.54,2.41,2.41,2899
2017-06-02,2.5868,2.6,2.45,2.52,29715
2017-06-05,2.48,2.68,2.45,2.52,7897
2017-06-06,2.51,2.68,2.51,2.65,53967
2017-06-07,2.46,2.65,2.46,2.52,14794
2017-06-08,2.5688,2.5688,2.43,2.43,6296
2017-06-09,2.55,2.55,2.55,2.55,3121
2017-06-12,2.5,2.54,2.5,2.51,4286
2017-06-13,2.5688,2.6,2.43,2.56,35084
2017-06-14,2.5,2.53,2.3823,2.45,13665
2017-06-15,2.46,2.46,2.35,2.44,11882
2017-06-16,2.3999,2.3999,2.3,2.31,6955
2017-06-19,2.3,2.5,2.3,2.42,50014
2017-06-20,2.42,2.54,2.4183,2.54,35241
2017-06-21,2.4009,2.55,2.4009,2.55,13455
2017-06-22,2.4,2.4769,2.39,2.4384,2287
