Date,Open,High,Low,Close,Volume
2025-01-21,50.5009,50.63,50.5009,50.63,5095
2025-01-22,50.64,50.66,50.62,50.62,2452
2025-01-23,50.69,50.7,50.62,50.66,15086
2025-01-24,50.675,50.71,50.66,50.6805,2174
2025-01-27,50.66,50.785,50.65,50.785,4804
2025-01-28,50.7563,50.77,50.7075,50.77,2321
2025-01-29,50.795,50.8,50.78,50.795,3958
2025-01-30,50.45,50.5,50.445,50.5,5112
2025-01-31,50.48,50.48,50.405,50.405,2407
2025-02-03,50.29,50.34,50.2805,50.3282,3617
2025-02-04,50.3134,50.3816,50.3134,50.38,2616
2025-02-05,50.355,50.5,50.355,50.5,6796
2025-02-06,50.5,50.535,50.46,50.46,5347
2025-02-07,50.35,50.41,50.35,50.365,1489
2025-02-10,50.43,50.46,50.41,50.46,1175
