Date,Open,High,Low,Close,Volume
2018-09-21,6000.0,6000.0,3748.8,4194.0,10.71500002143
2018-09-24,4266.0,4794.0,3900.0,3951.42,40.66833341467
2018-09-25,3924.0,4200.0,3306.6,3786.0,28.99333339132
2018-09-26,3762.0,4169.94,3744.0,3919.5,8.9333333512
2018-09-27,4104.0,5183.1,3804.0,4950.0,117.24166690115
2018-09-28,5100.0,5100.0,4343.46,4777.8,35.04500007009
2018-10-01,4740.0,5100.0,4565.76,4584.96,11.26333335586
2018-10-02,4458.0,4761.24,4380.0,4578.0,11.65666668998
2018-10-03,4398.0,4428.0,4356.0,4356.0,7.12500001425
2018-10-04,4236.0,4388.7,4050.0,4100.4,25.83500005167
2018-10-05,4050.0,4123.02,4050.0,4104.0,13.25833335985
2018-10-08,3900.0,4200.0,3900.0,3919.5,21.12000004224
2018-10-09,4050.0,4194.0,3900.0,4164.0,29.11000005822
2018-10-10,4260.0,4260.0,3900.0,3945.0,19.23500003847
2018-10-11,3900.0,4062.0,3900.0,4062.0,6.69000001338
2018-10-12,4380.0,4380.0,3900.0,4167.3,3.33500000667
2018-10-15,4110.0,4110.0,3919.5,3919.5,1.13666666894
2018-10-16,4050.0,4050.0,3979.5,4041.42,1.333333336
2018-10-17,4194.0,4194.0,3930.06,4170.0,8.49500001699
2018-10-18,4180.32,4180.32,4140.0,4140.0,0.95333333524
2018-10-19,4086.0,4200.0,3900.0,4176.0,18.22833336979
2018-10-22,4094.82,4200.0,3900.0,3940.5,7.17833334769
2018-10-23,3822.0,4027.5,3780.0,3780.0,43.79000008758
2018-10-24,3810.0,3854.52,3750.0,3750.0,7.86833334907
2018-10-25,3810.0,3900.0,3750.0,3900.0,5.44166667755
2018-10-26,4021.08,4021.08,3780.0,3828.0,8.09166668285
2018-10-29,3840.0,4192.8,3840.0,4077.6,16.48666669964
2018-10-31,4050.0,4050.0,3870.0,3870.0,2.10333333754
2018-11-01,4030.02,4030.02,4030.02,4030.02,0.48833333431
2018-11-02,3990.0,4182.0,3990.0,4182.0,0.86833333507
2018-11-05,4302.0,4439.94,4260.0,4272.24,11.42833335619
2018-11-06,4494.0,4621.62,4353.6,4434.0,4.79833334293
2018-11-07,4451.34,4499.94,4260.0,4314.72,10.14000002028
2018-11-08,4312.2,4350.0,4080.0,4170.0,13.38833336011
2018-11-09,3756.0,4134.0,3756.0,4110.0,2.35166667137
2018-11-12,4200.0,4479.0,3906.0,4182.0,8.29166668325
2018-11-13,4230.0,4230.0,3989.1,4170.0,3.97500000795
2018-11-14,4020.0,4194.0,4020.0,4194.0,1.1500000023
2018-11-15,4134.0,4212.0,4134.0,4212.0,7.14166668095
2018-11-16,4097.46,4350.0,4097.46,4320.0,4.42166667551
2018-11-19,4491.06,4491.06,4050.0,4206.0,4.55666667578
2018-11-20,4182.0,4182.0,4164.0,4164.0,0.8166666683
2018-11-21,4152.0,4152.0,4067.4,4080.0,0.98833333531
2018-11-26,4080.0,4215.0,3900.0,3900.0,2.80833333895
2018-11-27,3900.0,4200.0,3900.0,3972.0,9.05333335144
2018-11-28,4088.76,4230.0,3918.0,4230.0,7.50833334835
2018-11-29,4290.0,4290.0,4290.0,4290.0,0.90500000181
2018-11-30,4260.0,4260.0,4080.0,4194.0,1.46333333626
2018-12-03,4170.0,4194.0,4140.0,4194.0,2.42833333819
2018-12-04,4094.82,4094.82,3961.2,4080.0,1.166666669
2018-12-06,3979.68,4080.0,3900.0,3900.0,2.40500000481
2018-12-07,3966.0,3966.0,3905.94,3905.94,1.42333333618
2018-12-10,4002.0,4002.0,3900.0,3900.0,2.55666667178
2018-12-11,3894.0,3900.0,3894.0,3894.0,1.81166667029
2018-12-12,3899.94,3900.0,3834.0,3900.0,4.85166667637
2018-12-14,3906.0,3906.0,3840.0,3869.94,60.27333345388
2018-12-17,3900.0,4800.0,3900.0,4056.0,26.88666672044
2018-12-18,4470.0,4470.0,4134.0,4134.0,28.1333333896
2018-12-19,4170.0,4350.0,3906.0,3906.0,49.49333343232
2018-12-20,4050.0,4320.0,3930.0,3930.0,36.93000007386
2018-12-21,3900.0,4008.0,3030.0,3072.0,42.04500008409
2018-12-24,3336.0,3336.0,3057.0,3057.0,3.76333334086
2018-12-26,3405.3,3405.3,2556.0,3000.0,17.07500003415
2018-12-27,3000.0,3001.8,2406.0,3000.0,12.8000000256
2018-12-28,3294.0,3294.0,2940.0,2940.0,2.1833333377
2018-12-31,2916.0,3174.0,2916.0,3144.0,4.7500000095
2019-01-04,3084.0,3084.0,2466.0,3012.0,1.17000000234
