Date,Open,High,Low,Close,Volume
2022-07-06,0.1275,0.1275,0.1275,0.1275,6559
2022-07-11,0.125,0.13,0.11,0.1178,137920
2022-07-12,0.1106,0.122,0.1106,0.122,394
2022-07-22,0.0806,0.0806,0.0806,0.0806,100
2022-08-02,0.07,0.07,0.07,0.07,25938
2022-08-05,0.065,0.065,0.065,0.065,900
2022-08-08,0.065,0.065,0.065,0.065,25569
2022-08-09,0.0626,0.0626,0.0626,0.0626,800
2022-08-10,0.0611,0.0611,0.0611,0.0611,210
2022-08-11,0.0611,0.0611,0.0551,0.0551,37811
2022-08-12,0.0526,0.0526,0.0526,0.0526,200
2022-08-15,0.0526,0.0526,0.0526,0.0526,200
2022-08-16,0.0525,0.0526,0.0401,0.042601,53739
2022-08-22,0.059299,0.059299,0.059299,0.059299,800
2022-08-31,0.0451,0.047501,0.0451,0.0451,7000
2022-09-01,0.045,0.045,0.045,0.045,353
2022-09-14,0.055,0.0594,0.055,0.0594,56000
2022-09-22,0.055,0.055,0.055,0.055,3100
2022-09-27,0.055,0.1334,0.0453,0.07,120101
2022-09-29,0.07,0.0725,0.0669,0.07,59105
2022-10-06,0.07,0.07,0.07,0.07,10000
2022-10-12,0.06,0.06,0.06,0.06,9209
2022-10-20,0.06,0.06,0.06,0.06,3799
2022-10-25,0.065,0.0989,0.0611,0.078401,93400
2022-10-28,0.085,0.085,0.0764,0.0764,18218
2022-11-07,0.075,0.075,0.0698,0.07,33730
2022-11-08,0.0675,0.1094,0.0675,0.1094,300
2022-11-16,0.0725,0.109,0.07,0.109,30410
2022-11-29,0.06,0.1334,0.06,0.075,132468
2022-11-30,0.0751,0.0804,0.075,0.0804,1594400
2022-12-01,0.085,0.09,0.085,0.09,45500
2022-12-02,0.085,0.085,0.08,0.08,55600
2022-12-14,0.086,0.086,0.085,0.085,125000
2022-12-15,0.0858,0.0858,0.0858,0.0858,5001
2022-12-19,0.085,0.085,0.085,0.085,1010
2022-12-27,0.085,0.085,0.085,0.085,5000
2022-12-28,0.085,0.08501,0.085,0.085,25100
2023-01-05,0.0851,0.7284,0.0851,0.1293,24355
2023-01-06,0.19,0.557,0.15,0.15,17113
2023-01-09,0.095,0.196,0.095,0.14,10579
2023-01-10,0.0865,0.13,0.0865,0.13,3145
2023-01-11,0.0775,0.1299,0.0775,0.1299,706
2023-01-12,0.13,0.1569,0.13,0.155,8207
2023-01-13,0.155,0.18,0.155,0.1624,7808
2023-01-17,0.1795,0.2933,0.12,0.1795,16828
2023-01-20,0.28,0.2949,0.1096,0.1247,66231
2023-01-23,0.1794,0.1794,0.1385,0.1467,2135
2023-01-24,0.1567,0.1567,0.1567,0.1567,102
2023-01-25,0.1696,0.1775,0.111,0.1658,71361
2023-01-26,0.1659,0.1659,0.1659,0.1659,253
2023-01-30,0.12,0.15,0.12,0.15,265
2023-02-01,0.16,0.16,0.159899,0.159899,3000
2023-02-07,0.148,0.148,0.148,0.148,312
