Date,Open,High,Low,Close,Volume
2021-02-16,507.5,512.5,505.0,508.5,7501.54
2021-02-17,509.5,509.5,507.5,507.5,6984.22
2021-02-18,507.5,515.5,507.5,510.5,2235.4
2021-02-19,514.0,518.5,510.0,512.0,5315.5
2021-02-22,514.5,514.5,509.0,510.0,2223.42
2021-02-23,508.5,512.5,505.5,509.0,2535.82
2021-02-24,509.0,521.0,507.5,518.5,4389.46
2021-02-25,515.225,519.5,509.0,511.0,1405.62
2021-02-26,512.5,512.5,504.5,510.5,2577.68
2021-03-01,513.0,513.0,506.0,506.5,623.58
2021-03-02,506.5,507.0,503.0,505.0,2315.96
2021-03-03,506.5,506.5,495.5,500.0,2110.68
2021-03-04,502.0,502.0,497.5,499.0,2147.2
2021-03-05,504.0,504.0,490.5,496.0,2559.04
2021-03-08,498.0,502.0,492.5,493.5,2445.54
2021-03-09,495.0,496.0,493.5,495.5,303.02
2021-03-10,495.0,496.0,491.5,496.0,3533.76
2021-03-11,494.0,496.0,494.0,496.0,265.46
2021-03-12,495.0,497.0,492.5,495.0,5250.04
2021-03-16,493.0,493.0,492.5,493.0,518.76
2021-03-17,495.5,495.5,490.0,492.5,1594.5
2021-03-18,492.5,493.5,490.0,493.0,3072.86
2021-03-19,491.0,493.0,490.0,490.0,127.42
2021-03-22,490.0,492.5,490.0,491.5,164.54
2021-03-23,490.0,491.75,485.0,488.5,2224.92
2021-03-24,485.5,485.5,481.5,483.0,2764.24
2021-03-25,480.5,484.0,480.5,484.0,323.24
2021-03-26,484.5,490.0,482.5,488.5,525.34
2021-03-29,485.0,487.75,480.5,485.0,106.08
2021-03-30,491.495,491.495,491.495,491.495,5.92
2021-03-31,486.25,505.0,483.5,494.5,8371.8
2021-04-01,499.0,499.0,490.88,494.0,839.22
2021-04-05,497.0,497.0,491.5,492.5,1694.08
2021-04-06,492.5,494.25,491.5,491.5,1706.86
2021-04-07,491.5,491.5,489.0,489.0,318.3
2021-04-08,490.0,496.5,490.0,496.5,521.32
2021-04-09,493.61,496.75,492.5,496.5,825.02
2021-04-12,493.25,493.25,488.005,491.75,35.44
2021-04-13,492.5,495.25,492.5,495.25,511.6
2021-04-14,493.0,495.0,492.5,495.0,72.3
2021-04-15,493.56,497.0,493.0,493.0,175.08
2021-04-16,492.5,493.5,490.5,493.0,156.96
2021-04-19,490.5,492.5,490.0,492.5,327.54
2021-04-20,493.455,493.455,488.5,488.5,84.58
2021-04-21,489.0,490.5,488.5,490.5,1316.12
2021-04-22,490.49,496.5,490.49,492.5,393.04
2021-04-23,492.5,495.25,489.5,494.0,402.74
2021-04-26,491.0,491.75,491.0,491.75,12.26
2021-04-27,492.5,492.5,484.5,485.0,9430.84
2021-04-28,486.0,487.5,486.0,487.5,3580.58
2021-04-29,489.5,490.0,486.5,490.0,670.58
2021-04-30,491.85,494.5,491.85,493.0,63.16
2021-05-03,488.5,494.0,488.0,491.0,375.52
2021-05-04,486.5,490.0,486.0,489.5,5322.26
2021-05-05,488.5,492.0,488.5,491.5,476.3
2021-05-06,490.0,492.5,490.0,492.0,3982.56
2021-05-07,488.5,493.0,488.0,493.0,567.66
2021-05-10,493.5,493.5,488.63,493.0,4847.64
2021-05-11,492.0,492.5,487.5,490.0,2788.58
2021-05-12,489.5,492.0,488.5,491.5,992.94
2021-05-13,488.0,491.5,488.0,491.0,821.24
2021-05-14,489.0,491.42,488.5,490.0,1202.18
2021-05-17,490.0,490.0,489.0,490.0,621.52
2021-05-19,489.1,490.0,489.0,489.0,27.66
2021-05-20,487.5,488.885,487.5,488.115,53.5
2021-05-21,486.5,490.0,486.5,490.0,1119.06
2021-05-24,487.035,487.5,487.035,487.5,7.48
2021-05-25,488.75,488.75,487.0,488.5,68.42
2021-05-26,489.5,489.5,487.005,488.0,51.04
2021-05-27,488.0,488.0,486.62,486.62,37.52
2021-05-28,486.5,488.0,486.5,488.0,271.92
2021-06-01,488.0,488.0,486.5,486.5,32.86
2021-06-02,487.25,487.25,486.5,486.5,16.58
2021-06-03,486.775,487.0,486.5,487.0,24.8
2021-06-04,487.5,487.5,487.5,487.5,4.46
2021-06-07,487.5,490.515,486.75,488.5,135.64
2021-06-08,486.5,486.53,486.5,486.53,7.58
2021-06-09,490.5,490.5,487.5,487.5,9.94
2021-06-10,488.005,490.5,488.0,489.5,470.74
2021-06-11,490.0,490.5,488.5,488.5,272.44
2021-06-14,489.55,490.0,486.0,487.0,799.98
2021-06-15,486.505,486.505,485.0,486.5,35.64
2021-06-16,486.5,486.5,486.5,486.5,8.12
2021-06-17,486.5,487.0,486.5,487.0,37.96
2021-06-18,487.5,487.5,487.0,487.0,376.18
2021-06-21,487.0,487.0,487.0,487.0,4.76
2021-06-22,486.5,491.0,486.5,487.51,650.12
2021-06-24,488.75,489.655,487.5,488.75,40.24
2021-06-25,487.5,489.0,486.75,487.5,94.66
2021-06-28,487.0,487.5,484.0,486.0,112.36
2021-06-29,487.75,487.75,484.5,485.5,33.36
2021-06-30,484.0,484.5,484.0,484.0,217.34
2021-07-01,486.25,486.25,484.0,484.0,52.78
2021-07-02,485.0,485.0,484.0,484.0,31.8
2021-07-06,485.0,485.75,484.0,484.0,100.5
2021-07-07,485.0,485.5,484.0,484.5,84.12
2021-07-08,484.0,484.0,484.0,484.0,23.36
2021-07-09,484.0,484.5,484.0,484.5,216.64
2021-07-12,484.5,484.5,484.0,484.0,13.4
2021-07-13,485.5,485.5,484.0,484.5,48.06
2021-07-14,485.5,485.5,484.0,485.005,26.52
2021-07-16,484.5,485.5,484.5,484.5,59.18
2021-07-19,484.325,485.5,484.0,484.0,104.24
2021-07-20,484.0,484.0,483.0,484.0,63.36
2021-07-21,484.0,485.5,483.5,485.0,144.6
2021-07-22,486.0,486.0,484.0,484.0,17.84
2021-07-23,485.0,486.19,485.0,485.0,13.08
2021-07-26,484.0,484.0,483.0,484.0,80.9
2021-07-27,486.0,486.0,486.0,486.0,3.3
2021-07-28,484.5,484.5,484.5,484.5,3.08
2021-07-29,484.5,485.75,484.5,484.505,84.12
2021-07-30,485.75,485.94,484.5,485.335,49.44
2021-08-02,481.5,485.5,481.5,485.0,47.02
2021-08-03,486.0,486.0,485.0,485.5,20.08
2021-08-04,483.86,483.86,483.5,483.5,21.16
2021-08-05,484.0,484.5,484.0,484.5,174.04
2021-08-06,490.0,490.0,489.5,489.5,10.46
2021-08-09,484.0,484.0,484.0,484.0,4.14
2021-08-11,488.995,488.995,488.995,488.995,6.4
2021-08-12,487.995,487.995,487.995,487.995,2.04
2021-08-13,487.0,489.0,483.5,489.0,18.48
2021-08-16,489.0,489.0,482.5,482.5,34.9
2021-08-17,481.5,482.0,480.5,481.5,36.04
2021-08-18,481.5,481.5,481.5,481.5,4.74
2021-08-19,484.5,484.5,483.25,484.0,90.36
2021-08-20,485.0,487.0,485.0,485.0,332.78
2021-08-23,481.5,481.5,481.5,481.5,97.96
2021-08-24,484.0,484.0,484.0,484.0,2.84
2021-08-25,486.5,486.5,486.5,486.5,1664.96
2021-08-26,487.995,487.995,487.14,487.14,22.42
2021-08-30,482.75,482.75,482.5,482.5,25.0
2021-08-31,482.995,488.5,482.995,487.5,36.88
