Date,Open,High,Low,Close,Volume
2022-02-23,9.85,9.85,9.85,9.85,844
2022-02-24,9.85,9.85,9.82,9.82,256589
2022-02-25,9.81,9.82,9.81,9.81,4055
2022-02-28,9.85,9.85,9.82,9.85,6228
2022-03-01,9.82,9.88,9.8001,9.87,115944
2022-03-02,9.87,9.87,9.82,9.83,100498
2022-03-03,9.82,9.88,9.82,9.88,780372
2022-03-04,9.88,9.88,9.875,9.875,5491
2022-03-07,9.875,9.88,9.87,9.88,95133
2022-03-08,9.86,9.89,9.86,9.89,81921
2022-03-09,9.89,9.89,9.87,9.89,5173
2022-03-14,9.9,9.9,9.9,9.9,239
2022-03-15,9.86,9.87,9.86,9.87,269338
2022-03-17,9.89,9.89,9.89,9.89,1507
2022-03-31,9.89,9.9,9.89,9.9,14904
2022-04-01,9.89,9.89,9.89,9.89,2206
2022-04-07,9.91,9.91,9.9,9.9,289286
2022-04-12,9.94,9.94,9.94,9.94,405
2022-04-13,9.94,9.94,9.94,9.94,476
2022-04-14,9.92,9.94,9.92,9.93,4479
2022-04-19,9.94,9.94,9.94,9.94,900
2022-04-21,9.94,10.026,9.912,9.96,5138
2022-04-22,9.91,10.45,9.9,9.92,3362
2022-04-27,9.92,9.96,9.91,9.91,60389
2022-04-28,9.92,9.92,9.9,9.92,52993
2022-04-29,9.92,9.92,9.92,9.92,1022
2022-05-02,9.92,10.01,9.92,9.97,16952
2022-05-04,9.92,9.92,9.92,9.92,8012
2022-05-05,9.92,9.932,9.92,9.932,308
2022-05-10,9.9,10.435,9.9,9.9,3504
2022-05-11,9.9,9.9,9.9,9.9,4613
2022-05-13,9.89,9.89,9.89,9.89,2726
2022-06-02,9.89,9.89,9.88,9.88,33200
2022-06-08,9.92,9.92,9.92,9.92,10023
2022-06-09,9.92,9.96,9.92,9.94,5013
2022-06-10,9.97,9.97,9.97,9.97,116
2022-06-15,9.92,9.92,9.92,9.92,125
2022-06-23,9.93,9.93,9.93,9.93,310
2022-06-24,9.91,9.91,9.91,9.91,1500
2022-06-27,9.93,9.93,9.93,9.93,201
2022-06-28,9.93,9.93,9.93,9.93,2100
2022-06-29,10.43,10.43,9.95,9.95,1804
2022-07-05,9.945,9.96,9.93,9.93,74630
2022-07-27,9.96,9.96,9.96,9.96,300
2022-07-28,9.95,9.95,9.95,9.95,1104
2022-07-29,9.95,9.965,9.95,9.965,1210
2022-08-08,9.98,9.98,9.97,9.97,3240
2022-08-09,9.98,9.98,9.98,9.98,56312
2022-08-10,9.99,9.99,9.99,9.99,109
2022-08-11,9.97,9.97,9.97,9.97,173
2022-08-12,9.99,9.99,9.99,9.99,401
2022-08-19,9.99,10.0,9.99,10.0,11994
2022-08-24,9.98,9.98,9.98,9.98,450
2022-09-01,10.0,10.0,10.0,10.0,3903
2022-09-02,10.0,10.0,10.0,10.0,1102
2022-09-07,10.0,10.02,10.0,10.02,10462
2022-09-08,10.02,10.02,10.02,10.02,1002
2022-09-09,10.02,10.025,10.0,10.02,607201
2022-09-13,10.02,10.02,10.02,10.02,249864
2022-09-14,10.01,10.01,10.01,10.01,5141
2022-09-15,10.0,10.0,10.0,10.0,4552
2022-09-19,10.01,10.01,10.01,10.01,3491
2022-09-21,10.01,10.02,10.01,10.02,15393
