Date,Open,High,Low,Close,Volume
2021-01-19,525.0,531.0,515.5,523.0,8337.32
2021-01-20,527.0,527.0,520.0,526.5,3451.72
2021-01-21,529.0,532.5,525.5,529.0,2266.98
2021-01-22,529.0,534.5,529.0,533.5,2745.96
2021-01-25,545.0,556.5,534.5,551.5,5556.76
2021-01-26,538.5,600.0,535.0,535.0,4249.94
2021-01-27,539.0,539.0,512.5,514.995,3907.58
2021-01-28,522.5,544.0,518.5,527.5,1629.12
2021-01-29,536.5,536.5,517.5,521.0,1118.74
2021-02-01,521.0,537.5,520.0,529.0,1443.18
2021-02-02,529.0,535.0,521.0,521.0,3079.28
2021-02-03,527.5,537.0,527.5,530.0,1760.18
2021-02-04,535.0,535.0,527.5,534.25,2596.84
2021-02-05,543.5,544.0,529.5,536.5,3862.98
2021-02-08,539.0,541.0,533.505,539.5,2300.32
2021-02-09,542.5,548.5,534.5,538.0,2365.22
2021-02-10,582.0,585.5,545.0,583.5,261955.42
2021-02-11,595.0,622.5,582.5,600.0,107230.58
2021-02-12,599.5,607.0,566.37,574.0,34169.2
2021-02-16,580.0,580.5,535.0,545.0,51220.14
2021-02-17,550.0,557.5,535.0,557.5,47160.0
2021-02-18,587.5,633.5,566.0,612.5,160304.98
2021-02-19,699.5,861.5,692.5,702.5,394649.44
2021-02-22,800.0,910.0,758.0,777.0,321408.7
2021-02-23,717.5,744.0,605.0,665.5,159682.22
2021-02-24,715.0,787.0,675.0,702.0,124528.02
2021-02-25,653.0,692.0,592.0,632.0,132586.34
2021-02-26,638.0,649.5,587.005,633.5,64391.8
2021-03-01,653.5,671.0,626.44,634.0,58485.0
2021-03-02,620.5,645.0,596.0,604.5,60869.96
2021-03-03,597.0,611.25,544.0,566.5,82218.16
2021-03-04,547.0,606.5,525.5,558.0,87014.84
2021-03-05,557.5,600.0,506.5,594.5,96456.92
2021-03-08,586.5,612.5,551.0,577.5,50743.16
2021-03-09,575.5,594.5,561.0,568.0,49862.22
2021-03-10,567.0,577.5,543.0,556.0,55591.9
2021-03-11,556.0,572.0,548.5,562.0,35679.96
2021-03-12,555.0,588.5,555.0,585.5,32490.64
2021-03-15,582.5,599.5,576.0,584.0,25132.74
2021-03-16,579.5,581.5,551.0,562.0,35613.46
2021-03-17,546.5,560.25,540.5,547.0,28651.76
2021-03-18,543.0,555.0,534.5,539.5,29443.74
2021-03-19,537.5,539.0,525.5,533.0,27173.48
2021-03-22,541.0,545.0,529.0,536.5,18356.42
2021-03-23,531.0,534.5,516.0,517.5,28601.24
2021-03-24,520.0,521.5,500.5,505.5,43891.7
2021-03-25,496.0,512.5,486.0,507.0,45931.8
2021-03-26,505.0,532.5,501.5,512.5,22854.92
2021-03-29,508.5,522.5,504.25,515.5,25863.98
2021-03-30,508.5,516.5,504.5,505.5,21911.3
2021-03-31,510.0,510.5,502.5,506.0,40494.54
2021-04-01,506.5,509.0,500.0,503.0,58675.48
2021-04-05,503.0,507.0,501.0,505.5,29407.52
2021-04-06,505.0,505.5,500.5,501.5,34969.32
2021-04-07,502.5,504.0,499.75,500.5,32939.16
