Date,Open,High,Low,Close,Volume
2021-06-24,63.0,105.3,62.9,72.0,538150.0
2021-06-25,71.4,84.9,69.2,75.0,146030.0
2021-06-28,69.8,71.7,63.1,68.9,58975.8
2021-06-29,67.6,83.899,65.5,79.0,52697.1
2021-06-30,77.5,89.298,67.1,68.5,102731.8
2021-07-01,68.5,75.0,68.5,74.6,15826.8
2021-07-02,73.9,81.5,72.2,80.5,19973.4
2021-07-06,86.6,120.0,85.1,101.8,120904.5
2021-07-07,102.9,176.0,102.9,113.0,398513.2
2021-07-08,99.963,117.5,93.4,113.6,64810.6
2021-07-09,113.8,120.8,93.501,94.2,32260.3
2021-07-12,96.6,102.974,90.1,92.0,22679.5
2021-07-13,91.9,96.2,89.0,89.0,13203.4
2021-07-14,90.1,144.9,80.16,118.9,405575.1
2021-07-15,118.1,134.199,115.0,128.7,53518.6
2021-07-16,131.1,159.799,131.1,153.1,145798.2
2021-07-19,148.4,162.0,146.1,148.9,42720.7
2021-07-20,149.4,153.5,110.801,122.0,39654.7
2021-07-21,120.5,134.654,113.18,122.0,5225.6
2021-07-22,120.7,123.599,120.3,123.0,2676.2
2021-07-23,120.0,122.2,110.5,116.2,10169.6
2021-07-26,114.6,114.6,104.701,111.5,5755.0
2021-07-27,113.5,120.9,113.5,116.3,2406.7
2021-07-28,120.6,123.5,113.201,123.0,8014.1
2021-07-29,141.2,151.0,134.5,143.9,18406.4
2021-07-30,141.2,145.41,137.735,142.0,2952.8
2021-08-02,140.2,140.2,125.6,130.7,2948.8
2021-08-03,130.6,141.2,125.7,132.1,10727.1
2021-08-04,134.4,138.8,126.1,130.0,15765.8
2021-08-05,129.0,139.299,123.284,132.0,5174.0
2021-08-06,125.324,132.95,124.1,128.0,6853.3
2021-08-09,127.5,136.0,125.0,133.1,17958.0
2021-08-10,132.5,138.619,127.306,127.5,10701.3
2021-08-11,129.0,129.5,122.004,123.4,14377.6
2021-08-12,125.25,127.799,120.3,122.9,1650.3
2021-08-13,124.711,124.79,116.633,119.5,3692.7
2021-08-16,117.65,125.2,101.8,102.1,10368.6
2021-08-17,131.1,135.0,105.0,116.8,526511.2
2021-08-18,113.5,115.988,109.0,109.1,21930.8
2021-08-19,111.1,114.6,106.459,108.2,5983.4
2021-08-20,106.1,112.5,106.1,109.8,7313.7
2021-08-23,109.2,114.135,108.9,112.5,7128.5
2021-08-24,112.5,113.3,101.3,103.6,11380.3
2021-08-25,102.4,103.0,94.7,98.9,27482.3
2021-08-26,96.6,101.1,94.3,98.2,7896.4
2021-08-27,100.3,109.1,99.4,107.3,10495.9
2021-08-30,104.5,110.0,101.8,108.8,7354.3
2021-08-31,108.7,109.6,103.0,108.304,9714.6
2021-09-01,109.1,112.0,104.607,105.95,6776.7
2021-09-02,105.8,105.8,97.5,97.5,6549.0
2021-09-03,97.2,108.2,96.1,105.2,6728.1
2021-09-07,103.9,108.9,100.1,106.6,8714.1
2021-09-08,107.5,109.3,102.5,109.0,7544.3
2021-09-09,108.6,125.7,102.5,119.0,13147.0
2021-09-10,120.2,125.3,111.1,114.0,5595.4
2021-09-13,115.8,118.0,111.9,114.0,4225.6
2021-09-14,112.0,117.999,110.742,116.3,4381.5
2021-09-15,117.9,117.9,107.0,108.8,6310.1
2021-09-16,109.6,114.0,106.0,106.0,6623.3
2021-09-17,107.0,109.5,97.1,99.3,5353.1
2021-09-20,98.4,102.8,95.964,101.0,4139.8
2021-09-21,105.0,111.4,98.8,100.6,6424.3
2021-09-22,102.8,109.7,96.2,97.8,5841.3
2021-09-23,98.8,100.0,91.4,95.372,4362.8
2021-09-24,92.8,94.0,85.4,89.0,4763.4
2021-09-27,87.8,97.2,85.3,85.9,4539.4
2021-09-28,83.6,86.25,80.0,81.0,1829.2
2021-09-29,79.4,85.382,74.5,78.0,3862.2
2021-09-30,76.3,84.7,72.3,84.7,4777.3
2021-10-01,82.0,82.0,73.054,77.9,1502.5
2021-10-04,78.1,79.0,74.001,77.5,455.6
2021-10-05,76.7,82.7,73.1,73.1,1716.5
2021-10-06,77.5,77.5,68.1,68.1,2119.3
2021-10-07,70.0,71.0,61.2,66.8,5504.3
2021-10-08,67.1,67.1,59.74,65.9,2611.8
2021-10-11,63.7,69.0,63.7,66.0,586.4
2021-10-12,64.7,64.7,62.0,62.0,1601.1
2021-10-13,62.9,63.7,57.1,57.1,2050.4
2021-10-14,57.5,59.9,55.1,56.2,1931.6
2021-10-15,57.9,60.7,56.6,60.5,1169.3
2021-10-18,60.9,60.9,58.1,59.3,400.8
2021-10-19,61.2,77.3,61.1,68.6,26101.0
2021-10-20,76.304,97.7,67.5,73.4,194706.2
2021-10-21,71.8,81.399,70.477,79.8,33544.1
2021-10-22,79.8,79.8,71.75,78.9,10317.8
2021-10-25,73.9,78.717,68.0,70.1,5815.8
2021-10-26,74.3,74.3,68.1,68.2,2576.3
2021-10-27,67.7,68.1,58.1,61.8,11735.3
2021-10-28,60.001,60.9,58.05,59.4,4984.4
2021-10-29,59.575,62.5,59.001,60.0,1554.8
2021-11-01,60.5,71.0,60.4,66.4,19976.8
2021-11-02,67.0,69.5,61.7,61.7,7988.1
2021-11-03,63.1,65.7,61.3,61.8,5045.7
2021-11-04,63.4,66.8,63.4,64.55,1055.8
2021-11-05,64.1,68.9,64.1,66.3,2033.2
2021-11-08,66.0,70.0,66.0,66.0,1264.6
2021-11-09,66.5,68.6,62.1,62.6,2531.0
2021-11-10,63.8,64.0,61.8,61.8,1036.0
2021-11-11,64.078,64.2,57.0,60.0,2743.7
2021-11-12,59.5,63.699,59.348,60.4,1202.8
2021-11-15,61.0,67.1,60.6,63.9,1445.8
2021-11-16,62.4,62.6,59.8,60.5,1063.9
2021-11-17,60.4,61.5,58.0,58.1,1762.4
2021-11-18,58.6,58.6,55.302,56.0,1505.3
2021-11-19,56.9,57.9,50.0,57.5,2813.1
2021-11-22,57.1,58.058,52.3,52.5,2325.0
2021-11-23,51.6,52.4,47.1,52.1,3240.0
2021-11-24,52.1,53.7,51.501,53.1,1061.9
2021-11-26,51.8,55.0,50.109,51.2,1032.4
2021-11-29,50.4,53.499,49.59,53.3,1438.2
2021-11-30,51.6,55.0,49.376,52.5,2053.3
2021-12-01,52.5,52.5,48.8,50.591,1552.1
2021-12-02,50.0,50.5,48.101,49.5,1381.8
2021-12-03,50.378,50.9,45.55,49.85,1419.5
2021-12-06,49.2,50.8,47.1,49.5,1452.8
2021-12-07,44.98,51.95,44.98,49.4,5248.7
2021-12-08,49.6,52.9,48.6,48.6,473.6
2021-12-09,50.3,50.3,48.05,48.9,636.1
2021-12-10,49.2,49.2,46.8,47.758,1021.8
2021-12-13,46.5,48.8,44.6,48.3,3899.9
2021-12-14,48.3,49.15,48.3,48.518,525.5
2021-12-15,48.207,48.3,45.101,48.0,683.6
2021-12-16,47.0,47.9,45.2,47.9,840.2
2021-12-17,47.5,50.0,47.0,48.0,490.9
2021-12-20,47.3,49.0,46.6,48.2,1369.4
2021-12-21,48.4,48.4,44.0,46.442,2112.4
2021-12-22,47.3,47.9,45.1,45.1,609.7
2021-12-23,47.9,49.0,46.3,47.2,1160.4
2021-12-27,45.5,47.45,44.95,46.9,1316.5
2021-12-28,46.3,46.9,46.0,46.9,420.5
2021-12-29,46.001,46.5,45.2,45.6,585.4
2021-12-30,46.2,46.2,44.6,45.4,898.9
2021-12-31,45.433,46.2,40.1,44.5,1393.8
2022-01-03,44.6,47.5,41.501,44.5,3188.0
2022-01-04,41.52,44.25,34.7,43.8,2230.7
2022-01-05,42.4,43.8,38.4,41.6,2928.6
2022-01-06,37.3,40.95,37.3,40.0,1630.1
2022-01-07,41.7,42.0,38.472,40.3,1805.5
2022-01-10,39.3,39.3,32.6,36.6,3743.9
2022-01-11,37.043,38.3,32.8,35.1,4292.0
2022-01-12,34.9,37.699,34.42,36.399,2092.0
2022-01-13,35.3,35.3,33.3,34.0,1984.3
2022-01-14,34.82,34.82,30.2,32.468,2472.5
2022-01-18,31.9,32.0,30.7,31.9,413.6
2022-01-19,30.7,32.6,30.7,32.5,1637.4
2022-01-20,31.592,32.8,30.9,32.3,631.8
2022-01-21,32.2,45.1,32.2,35.2,1304251.9
2022-01-24,27.4,35.8,26.2,34.7,62945.7
2022-01-25,32.4,35.0,30.1,34.8,11785.1
2022-01-26,34.6,37.5,31.5,35.7,19712.6
2022-01-27,37.0,37.199,33.001,34.2,12713.9
2022-01-28,34.4,34.8,32.1,32.3,3427.9
2022-01-31,32.3,35.0,31.0,33.2,5496.7
2022-02-01,33.9,34.0,32.9,33.1,1703.4
2022-02-02,32.3,33.8,32.0,33.65,44024.7
2022-02-03,40.2,43.299,38.1,40.7,1160743.9
2022-02-04,39.6,43.5,39.5,40.9,69074.0
2022-02-07,41.0,43.0,40.5,41.2,16052.9
2022-02-08,41.3,42.2,37.6,39.1,27197.2
2022-02-09,38.8,40.9,37.2,38.9,8316.0
2022-02-10,38.8,40.1,38.2,39.4,5363.2
2022-02-11,38.9,39.9,38.0,39.3,4571.2
2022-02-14,40.2,40.3,37.5,38.8,7692.7
2022-02-15,39.8,39.9,38.392,39.1,1352.2
2022-02-16,38.7,39.1,36.9,38.6,4882.7
2022-02-17,39.2,40.7,38.4,39.1,8142.5
2022-02-18,39.2,39.2,37.1,38.6,1932.8
2022-02-22,36.935,38.9,36.935,38.9,720.1
2022-02-23,38.9,39.7,37.7,37.9,1715.2
2022-02-24,37.9,39.2,37.6,37.6,1889.9
2022-02-25,37.6,39.2,37.5,39.2,3299.8
2022-02-28,39.5,42.1,38.8,39.1,2494.9
2022-03-01,39.1,41.7,39.1,40.2,1502.0
2022-03-02,38.803,40.8,37.601,39.85,3278.2
2022-03-03,38.6,41.299,35.2,40.0,11510.8
2022-03-04,40.8,47.6,40.8,47.6,22887.6
2022-03-07,47.3,48.083,40.98,43.4,7687.1
2022-03-08,42.2,42.5,37.6,39.4,7250.5
2022-03-09,38.4,42.0,37.5,38.0,2004.6
2022-03-10,39.575,45.75,38.2,38.9,31767.0
2022-03-11,41.8,41.8,37.6,38.3,6674.0
2022-03-14,38.3,40.0,35.6,35.9,10250.6
2022-03-15,36.155,36.155,29.0,29.5,8903.6
2022-03-16,31.8,34.8,31.4,33.0,3615.4
2022-03-17,32.3,35.7,32.3,35.2,2195.0
2022-03-18,37.3,40.0,34.8,38.0,7695.2
2022-03-21,38.1,39.1,35.482,36.0,2908.0
2022-03-22,36.2,36.2,33.7,36.2,3404.4
2022-03-23,34.95,35.46,34.6,34.6,202.0
2022-03-24,35.4,37.994,34.55,37.3,2039.0
2022-03-25,35.031,35.9,33.102,33.6,3392.0
2022-03-28,38.0,38.0,33.0,34.0,3855.8
2022-03-29,33.0,37.0,32.4,35.7,2012.0
2022-03-30,36.2,38.0,35.1,37.7,2522.5
2022-03-31,36.1,37.6,36.1,36.1,1082.9
2022-04-01,37.7,37.7,32.8,33.1,5865.9
2022-04-04,35.1,36.6,32.701,33.5,1139.7
2022-04-05,34.0,35.5,32.1,32.2,1764.1
2022-04-06,30.8,33.216,30.6,31.7,991.5
2022-04-07,32.2,32.4,31.5,32.4,933.2
2022-04-08,32.0,32.7,30.9,32.5,3829.9
2022-04-11,31.9,31.9,31.4,31.7,1099.4
2022-04-12,32.5,32.5,29.3,30.3,7724.9
2022-04-13,32.0,32.1,30.6,31.2,4253.0
2022-04-14,31.4,35.0,30.5,34.75,5538.6
