Date,Open,High,Low,Close,Volume
2024-04-22,25.09,25.13,25.09,25.13,1000
2024-04-23,25.27,25.31,25.27,25.31,200
2024-04-24,25.91,25.91,25.67,25.6721,497
2024-04-25,25.26,25.5453,25.24,25.5453,211
2024-04-26,25.55,25.8647,25.55,25.8647,500
2024-04-29,25.95,26.0569,25.95,26.0569,179
2024-04-30,26.12,26.1643,25.7936,25.7936,244
2024-05-01,25.64,25.64,25.37,25.4766,455
2024-05-02,25.85,25.917,25.85,25.917,136
2024-05-03,26.48,26.48,26.3289,26.3289,252
2024-05-06,26.74,26.8269,26.74,26.8269,108
2024-05-07,26.86,27.0,26.8152,26.8152,558
2024-05-08,26.76,26.96,26.76,26.9204,406
2024-05-09,27.04,27.04,26.8965,26.8965,2339
2024-05-10,27.09,27.09,26.93,26.9542,962
2024-05-13,27.04,27.04,26.8724,26.8724,832
2024-05-14,26.94,27.0273,26.94,27.0273,555
2024-05-15,27.285,27.6444,27.285,27.6444,102
2024-05-16,27.59,27.59,27.4415,27.4415,215
2024-05-17,27.48,27.48,27.2894,27.2894,138
2024-05-20,27.48,27.5497,27.48,27.5497,306
2024-05-21,27.29,27.3687,27.29,27.3687,217
2024-05-22,27.45,27.45,27.2097,27.2823,561
2024-05-23,27.7,27.7,27.1151,27.1151,5523
2024-05-24,27.31,27.4486,27.31,27.4486,707
2024-05-28,27.65,27.72,27.525,27.6291,702
2024-05-29,27.12,27.12,27.0304,27.0304,421
2024-05-30,27.18,27.31,27.18,27.2913,962
2024-05-31,27.04,27.2756,27.0,27.2756,479
2024-06-03,27.0,27.0725,26.87,27.0725,2993
2024-06-04,27.1,27.1,26.9249,26.9249,710
2024-06-05,27.4378,27.4378,27.4378,27.4378,7
2024-06-06,27.37,27.37,27.2704,27.2704,137
2024-06-07,26.9,26.9,26.8391,26.8391,132
2024-06-10,26.85,27.1133,26.85,27.1133,137
2024-06-11,26.84,26.8691,26.84,26.8691,201
2024-06-12,27.68,27.68,27.5034,27.5034,104
2024-06-13,27.59,27.59,27.3716,27.3716,106
2024-06-14,27.07,27.08,26.9101,27.0138,4303
2024-06-17,27.09,27.2471,27.09,27.2471,166
2024-06-18,27.25,27.3373,27.25,27.3373,108
2024-06-20,27.41,27.41,27.0695,27.0695,801
2024-06-21,26.91,26.91,26.676,26.8236,866
2024-06-24,26.78,26.78,26.61,26.61,1694
2024-06-25,26.65,26.75,26.65,26.7426,554
2024-06-26,26.56,26.6778,26.56,26.6778,1006
2024-06-27,26.85,26.86,26.8303,26.8303,311
2024-06-28,27.18,27.18,27.0547,27.0547,100
2024-07-01,27.21,27.21,26.83,26.9872,216
2024-07-02,27.01,27.1147,27.01,27.1147,125
2024-07-03,27.33,27.3996,27.33,27.3996,131
2024-07-05,27.64,27.64,27.61,27.6312,1132
2024-07-08,27.7,27.801,27.7,27.801,340
2024-07-09,27.83,27.83,27.6376,27.6376,196
2024-07-10,27.82,27.9323,27.82,27.9323,145
2024-07-11,28.16,28.16,27.9291,27.9291,230
2024-07-12,28.32,28.32,28.165,28.165,146
2024-07-15,28.18,28.2801,28.14,28.1559,1414
2024-07-16,28.26,28.5288,28.26,28.5288,105
2024-07-17,28.12,28.12,27.5473,27.5473,180
2024-07-18,27.75,27.75,27.2718,27.2718,150
2024-07-19,27.31,27.31,26.9642,26.9642,802
2024-07-22,27.39,27.5376,27.24,27.5376,413
2024-07-23,27.47,27.47,27.315,27.315,302
2024-07-24,27.0,27.0,26.3704,26.3704,148
2024-07-25,26.17,26.17,25.8351,25.8351,1189
2024-07-26,26.31,26.42,26.31,26.3571,264
2024-07-29,26.45,26.45,26.2544,26.2544,258
2024-07-30,26.55,26.55,26.1081,26.1081,1229
2024-07-31,26.91,26.9414,26.83,26.9414,503
2024-08-01,26.33,26.42,25.56,25.56,587
2024-08-02,24.64,24.64,24.26,24.5,5161
2024-08-05,23.04,23.7,23.04,23.5696,437
2024-08-06,23.99,24.2699,23.92,24.06,714
2024-08-07,24.89,24.89,24.0859,24.0859,509
2024-08-08,24.54,24.95,24.54,24.95,118
2024-08-09,24.74,24.83,24.74,24.83,116
2024-08-12,24.93,24.93,24.917,24.917,101
2024-08-13,25.32,26.15,25.32,26.13,1888
2024-08-14,25.8,25.8,25.71,25.71,142
2024-08-15,26.11,26.4826,26.11,26.4826,120
2024-08-16,26.41,26.66,26.41,26.5925,930
2024-08-19,26.528,26.8743,26.528,26.8743,132
2024-08-20,26.78,26.78,26.7563,26.7563,122
2024-08-21,26.91,27.38,26.91,27.38,154
2024-08-22,27.37,27.37,26.82,26.82,122
2024-08-23,27.04,27.45,27.04,27.45,143
2024-08-26,27.23,27.23,27.0,27.0,127
2024-08-27,27.01,27.27,27.01,27.27,110
2024-08-28,27.18,27.18,27.0,27.0,107
2024-08-29,27.23,27.34,27.23,27.34,104
2024-08-30,27.69,27.77,27.69,27.77,155
2024-09-03,27.32,27.32,26.32,26.32,126
2024-09-04,26.07,26.21,26.07,26.21,152
2024-09-05,26.0,26.0,25.94,25.94,155
2024-09-06,25.85,25.85,24.98,24.98,1235
2024-09-09,25.33,25.48,25.33,25.48,281
2024-09-10,25.37,25.44,25.37,25.44,134
2024-09-11,25.444,26.08,25.16,26.08,661
2024-09-12,25.87,26.28,25.87,26.12,296
2024-09-13,26.34,26.51,26.34,26.51,102
2024-09-16,26.33,26.35,26.33,26.35,123
2024-09-17,26.49,26.49,26.43,26.43,127
2024-09-18,26.57,26.57,26.53,26.53,111
2024-09-19,27.26,27.53,27.26,27.53,104
2024-09-20,27.33,27.33,27.21,27.21,142
2024-09-23,27.28,27.29,27.28,27.29,123
2024-09-24,27.41,27.62,27.41,27.62,103
2024-09-25,27.67,27.77,27.67,27.77,104
2024-09-26,28.567,28.8,28.567,28.8,120
2024-09-27,28.469,28.469,28.19,28.19,365
2024-09-30,28.19,28.31,28.19,28.31,145
2024-10-01,27.827,27.91,27.827,27.91,102
2024-10-02,27.79,28.0442,27.79,28.0442,159
2024-10-03,27.63,27.65,27.63,27.65,104
2024-10-04,28.09,28.31,28.06,28.31,202
2024-10-07,28.01,28.01,28.0,28.0,102
2024-10-08,27.96,28.01,27.89,27.97,1161
2024-10-09,28.06,28.06,28.0,28.0,109
2024-10-10,27.79,28.0064,27.79,28.0064,145
2024-10-11,27.88,28.16,27.88,28.16,242
2024-10-14,28.19,28.25,28.19,28.25,107
2024-10-15,28.12,28.12,27.6223,27.6223,101
2024-10-16,27.7,27.86,27.7,27.86,103
2024-10-17,27.84,27.84,27.63,27.63,259
2024-10-18,27.87,27.94,27.87,27.94,109
2024-10-21,27.81,27.81,27.74,27.74,128
2024-10-22,27.43,27.48,27.43,27.48,194
2024-10-23,27.318,27.318,27.2911,27.2911,187
2024-10-24,27.06,27.2671,27.06,27.2671,131
2024-10-25,27.598,27.598,27.4586,27.4586,136
2024-10-28,27.79,27.92,27.79,27.92,115
2024-10-29,28.046,28.43,28.046,28.43,102
2024-10-30,27.93,27.93,27.78,27.78,143
2024-10-31,27.066,27.066,26.9096,26.9096,300
2024-11-01,26.99,26.99,26.99,26.99,123
2024-11-04,27.1,27.1,27.05,27.05,193
2024-11-05,27.214,27.38,27.214,27.38,154
2024-11-06,27.78,28.1028,27.78,28.05,2491
2024-11-07,28.526,28.83,28.526,28.83,227
2024-11-08,28.4,28.44,28.4,28.44,211
2024-11-11,28.58,28.58,28.2871,28.2871,300
2024-11-12,28.1,28.1,27.6761,27.8678,356
2024-11-13,27.62,27.62,27.4,27.4,318
2024-11-14,27.35,27.35,27.29,27.29,125
2024-11-15,26.66,26.66,26.63,26.63,148
2024-11-18,26.47,26.63,26.47,26.63,107
2024-11-19,26.78,27.02,26.78,27.02,231
2024-11-20,26.677,26.81,26.677,26.81,108
2024-11-21,27.23,27.49,27.23,27.49,182
2024-11-22,27.568,27.6702,27.568,27.6702,159
2024-11-25,28.09,28.14,28.09,28.14,178
2024-11-26,28.15,28.16,28.09,28.09,331
2024-12-05,29.65,29.65,29.25,29.25,151
2024-12-06,29.57,29.64,29.51,29.64,765
2024-12-09,29.62,29.62,29.2787,29.2787,1312
2024-12-17,29.5,29.5,28.9808,28.9808,511
2024-12-18,29.02,29.02,28.0587,28.0587,143
2024-12-19,28.19,28.19,28.0073,28.0073,118
2024-12-20,28.56,28.56,28.1848,28.1848,542
2024-12-26,28.3,28.3,28.2221,28.2221,310
2024-12-27,27.8,27.9759,27.77,27.9759,2352
2024-12-30,27.64,27.81,27.6141,27.6141,600
2025-01-03,27.95,28.09,27.95,28.09,338
2025-01-06,28.93,28.93,28.654,28.654,2360
2025-01-07,28.77,28.77,28.3739,28.3739,1007
2025-01-13,27.26,27.51,27.26,27.51,204
2025-01-14,27.81,27.81,27.7236,27.7236,161
2025-01-16,28.33,28.53,28.18,28.18,586
2025-01-17,28.87,28.87,28.63,28.63,431
2025-01-23,29.89,29.89,29.81,29.81,580
2025-01-24,29.71,29.76,29.71,29.76,249
2025-01-27,28.32,28.32,28.0065,28.0065,295
2025-01-28,28.34,28.3644,28.09,28.3644,778
2025-01-29,28.4,28.4,28.3253,28.3253,215
2025-02-03,28.23,28.23,27.98,27.98,315
2025-02-04,28.02,28.54,28.02,28.39,1026
2025-02-06,28.68,28.68,28.6,28.6,243
