Date,Open,High,Low,Close,Volume
2024-05-23,23.0,24.27,22.14,23.8,3335800
2024-05-24,24.26,26.15,23.98,25.7,990400
2024-05-28,25.85,26.88,25.075,26.48,555135
2024-05-29,26.44,26.49,25.501,26.29,302723
2024-05-30,27.21,27.21,25.5001,26.14,200902
2024-05-31,26.49,26.99,25.1,26.8,198784
2024-06-03,27.0,27.49,25.85,26.64,283494
2024-06-04,26.13,26.9,25.2,25.23,169763
2024-06-05,25.16,25.9,24.37,25.36,348397
2024-06-06,25.4,26.2,25.17,25.42,99978
2024-06-07,25.79,26.2999,25.0,25.37,102547
2024-06-10,25.39,26.57,25.2545,26.43,87815
2024-06-11,26.1,26.9099,25.915,25.98,113471
2024-06-12,26.24,26.89,25.8901,26.33,132488
2024-06-13,25.6825,26.24,25.24,25.37,58581
2024-06-14,25.57,26.07,25.4501,25.69,41338
2024-06-17,25.12,27.0,24.7,26.02,115097
2024-06-18,26.23,26.8897,26.1378,26.47,107759
2024-06-20,26.93,26.93,24.76,25.6,165681
2024-06-21,25.3,25.6,24.46,24.5,157103
2024-06-24,24.5,24.975,24.1,24.18,167635
2024-06-25,24.06,24.75,24.06,24.39,181413
2024-06-26,24.2,24.6099,23.695,24.11,201380
2024-06-27,24.14,25.34,24.085,25.31,394288
2024-06-28,25.5,26.54,25.21,25.34,349197
2024-07-01,25.34,25.525,24.61,25.1,468113
2024-07-02,24.77,26.13,24.77,25.84,221969
2024-07-03,25.88,26.01,24.99,24.99,23943
2024-07-05,25.0,25.22,24.41,24.8,94847
2024-07-08,24.61,26.05,24.61,26.05,41898
2024-07-09,26.11,26.37,25.64,25.99,38003
2024-07-10,25.74,25.97,24.8,25.65,152901
2024-07-11,25.57,26.76,25.11,26.51,340400
2024-07-12,26.78,27.21,25.96,25.97,30183
2024-07-15,26.19,27.44,25.81,27.12,51498
2024-07-16,27.39,28.315,26.74,27.04,178158
2024-07-17,27.0,27.2,26.05,26.62,144710
2024-07-18,26.66,26.9,26.001,26.41,55130
2024-07-19,26.7,26.7,25.79,26.47,99884
2024-07-22,26.24,28.09,26.078,27.38,169348
2024-07-23,27.6,29.1,27.46,27.97,92897
2024-07-24,27.76,28.185,27.15,27.35,49886
2024-07-25,27.61,27.61,26.63,27.11,53364
2024-07-26,27.49,28.3,27.14,27.97,76854
2024-07-29,28.33,29.2999,27.72,27.87,50172
2024-07-30,28.16,28.16,27.43,27.84,32934
2024-07-31,28.27,29.33,27.6,28.03,86096
2024-08-01,28.25,28.25,26.61,27.21,84176
2024-08-02,26.67,27.99,26.25,27.48,92094
2024-08-05,26.6,27.24,24.7969,27.08,152159
2024-08-06,28.65,28.65,25.83,26.98,127544
2024-08-07,27.42,27.5,26.98,27.11,121643
2024-08-08,27.49,27.49,26.63,26.95,80138
2024-08-09,27.05,27.345,26.619,27.0,61705
2024-08-12,26.93,27.21,26.578,27.02,52056
2024-08-13,27.38,27.6,26.79,26.89,95746
2024-08-14,27.03,28.68,26.56,27.08,50222
2024-08-15,27.61,27.6568,26.88,26.9,148144
2024-08-16,26.7,27.81,26.7,26.95,210066
2024-08-19,27.18,28.13,27.0,27.84,291079
2024-08-20,27.84,28.88,27.835,28.87,193338
2024-08-21,29.07,30.71,28.94,30.39,98363
2024-08-22,30.63,31.2289,29.68,30.01,71565
2024-08-23,30.18,30.98,30.17,30.98,60261
2024-08-26,31.0,32.5499,30.685,30.75,115258
2024-08-27,30.38,31.39,30.1186,30.6,59031
2024-08-28,30.29,31.05,30.19,30.21,67123
2024-08-29,30.57,31.945,30.37,31.32,71917
2024-08-30,31.63,32.2559,30.87,30.98,169143
2024-09-03,30.58,31.06,30.17,30.69,72732
2024-09-04,30.764,31.65,30.54,31.49,87926
2024-09-05,31.77,32.41,30.99,31.09,75746
2024-09-06,30.78,31.68,30.42,31.14,89296
2024-09-09,31.38,32.165,30.75,31.16,100422
2024-09-10,31.08,31.27,30.0,30.16,71198
2024-09-11,30.07,30.09,29.01,29.07,64552
2024-09-12,29.38,29.43,28.65,28.7,70293
2024-09-13,28.64,28.95,28.34,28.64,78816
2024-09-16,28.82,28.88,27.87,27.95,122416
2024-09-17,28.13,29.51,28.06,29.25,221451
2024-09-18,29.24,30.15,28.76,28.89,143715
2024-09-19,29.1,29.5244,28.06,28.55,173227
2024-09-20,28.26,28.88,27.7465,28.3,1705274
2024-09-23,28.37,28.91,27.78,27.82,257495
2024-09-24,27.83,28.235,27.07,27.79,179800
2024-09-25,27.73,28.11,27.585,28.03,96250
2024-09-26,28.45,28.94,27.71,27.76,112007
2024-09-27,27.88,28.55,27.485,27.69,106025
2024-09-30,27.685,28.01,27.37,28.01,110177
2024-10-01,28.1,29.375,27.61,29.29,152027
2024-10-02,29.21,29.37,28.25,28.47,95782
