Date,Open,High,Low,Close,Volume
2024-12-20,100.22,100.22,100.14,100.14,231
2024-12-26,99.87,99.87,99.8414,99.8414,1865
2024-12-30,99.84,100.0851,99.8,100.0851,5300
2024-12-31,100.15,100.15,100.0497,100.0497,202
2025-01-02,100.28,100.28,100.052,100.052,179
2025-01-06,99.9,99.9076,99.7721,99.9076,451
2025-01-07,99.64,99.675,99.4636,99.4636,3366
2025-01-08,99.6,99.6451,99.6,99.6451,101
2025-01-10,99.41,99.49,99.2101,99.2101,683
2025-01-13,99.07,99.1,98.9734,98.9734,200
2025-01-21,100.2299,100.2309,100.21,100.2309,4080
2025-01-22,99.94,100.14,99.94,100.0407,1039
2025-01-28,100.56,100.56,100.5066,100.5066,101
2025-01-29,100.51,100.52,100.4,100.4904,668
2025-01-30,100.5925,100.61,100.54,100.603,2520
2025-01-31,100.71,100.71,100.3148,100.3148,596
2025-02-03,100.48,100.48,100.32,100.4472,1172
2025-02-04,100.28,100.6536,100.28,100.6186,1384
2025-02-05,101.0,101.1,101.0,101.083,2555
2025-02-07,100.82,100.82,100.73,100.73,4144
2025-02-10,100.83,100.83,100.83,100.83,250
