Date,Open,High,Low,Close,Volume
2017-11-30,73.36,73.36,63.7,63.92,2350.25
2017-12-01,63.2,63.2,55.04,55.04,613.375
2017-12-04,56.2848,60.56,55.04,58.5928,468.625
2017-12-05,58.56,58.56,54.4,55.2,1468.0
2017-12-06,55.44,58.56,55.44,57.992,1089.75
2017-12-07,58.24,58.24,56.932,57.2,345.0
2017-12-08,57.2,57.2,52.0,52.0,518.0
2017-12-11,55.92,55.92,52.0008,52.0008,94.125
2017-12-12,52.08,52.32,52.0,52.0,49.375
2017-12-13,54.0,54.0,46.24,52.0,155.25
2017-12-14,46.4808,46.4808,46.4808,46.4808,341.0
2017-12-15,45.9,45.9,45.9,45.9,66.375
2017-12-18,46.0,46.3104,46.0,46.3104,83.375
2017-12-20,46.0,46.0,46.0,46.0,127.125
2017-12-21,47.3944,47.3944,46.3072,46.3072,41.375
2018-01-02,40.08,40.08,40.08,40.08,46.875
2018-01-03,42.48,46.0,42.4,45.9192,789.0
2018-01-04,48.0,48.0,46.08,46.4,507.5
2018-01-05,47.6,48.0,47.6,48.0,56.625
2018-01-08,48.0,48.0,46.0008,48.0,713.5
2018-01-09,46.8,48.0,46.8,48.0,304.625
2018-01-10,48.0,48.0,46.48,46.88,2062.875
2018-01-11,46.96,51.92,46.0008,51.6,239.5
2018-01-12,56.0,56.0,55.2584,55.7672,258.25
2018-01-16,50.96,50.96,48.208,48.208,42.75
2018-01-17,46.08,46.4,44.0,44.0,221.75
2018-01-18,44.16,52.0,44.16,48.8008,319.875
2018-01-19,46.18,46.18,44.8,44.944,140.625
2018-01-22,48.64,48.64,48.64,48.64,22.625
2018-01-23,48.56,48.56,48.0,48.08,271.75
2018-01-24,48.0,48.0,48.0,48.0,52.5
2018-01-26,45.5288,45.5288,45.5288,45.5288,13.25
2018-02-01,45.2008,45.2008,44.0,45.0952,150.0
2018-02-05,40.2376,40.2376,40.2376,40.2376,222.75
2018-02-06,39.6,43.6,39.6,43.6,1.5
