Date,Open,High,Low,Close,Volume
2021-07-16,13.3428,14.6163,13.0631,14.5515,9140145.820423
2021-07-19,14.0951,14.5515,13.6813,14.0865,540132.48563025
2021-07-20,13.5187,14.9233,13.4826,14.6818,904052.84129062
2021-07-21,14.6913,14.8949,14.0865,14.6913,824844.07932774
2021-07-22,14.8768,14.8768,14.4117,14.7836,2076162.5008174
2021-07-23,14.7836,14.8672,14.2768,14.737,422151.6082821
2021-07-26,14.6999,14.8853,14.505,14.7836,234593.74769615
2021-07-27,14.8768,14.9233,14.6999,14.8302,323945.3194387
2021-07-28,14.8207,14.8768,14.4774,14.505,504146.85644818
2021-07-29,14.5696,14.6439,14.3194,14.6076,268973.72992262
2021-07-30,14.505,14.7836,13.8915,14.6533,202658.5127989
2021-08-02,14.8016,14.8768,14.5515,14.7094,154596.35756255
2021-08-03,14.737,14.8672,14.0589,14.3841,343162.6107028
2021-08-04,14.31,14.8588,14.2719,14.5887,400233.00265723
2021-08-05,14.5515,14.7655,14.4583,14.5602,426268.24733326
2021-08-06,14.505,14.9233,14.4774,14.5791,445575.96796093
2021-08-09,14.6439,14.8768,14.5887,14.8302,441138.62012036
2021-08-10,14.8302,15.5463,14.7276,15.3418,1086374.210823
2021-08-11,15.6205,16.4574,15.5739,16.0856,1366162.6617268
2021-08-12,15.7137,16.7551,15.7137,16.3185,893708.14269923
2021-08-13,16.4117,17.5434,16.3185,16.9871,470388.31322024
2021-08-16,16.6532,17.5272,16.6248,17.3865,262615.28385816
2021-08-17,17.4056,17.5634,16.3738,17.0156,292540.04267218
2021-08-18,17.0156,17.378,16.8758,17.2943,132702.98803914
2021-08-19,17.2201,17.3408,17.0156,17.1449,145452.47679911
2021-08-20,17.2286,17.4341,16.95,17.2011,204885.59875302
2021-08-23,17.2106,17.5178,17.2106,17.378,137428.44803809
2021-08-24,17.1735,17.5634,17.1545,17.2762,141822.68420535
2021-08-25,17.3408,17.8335,17.164,17.7042,231379.29927229
2021-08-26,17.6661,18.1873,17.6375,17.7403,290969.09535611
2021-08-27,17.6756,18.0104,17.6205,17.9077,217299.65766437
2021-08-30,18.1406,18.1406,17.4846,17.8982,264657.30506822
2021-08-31,17.8524,17.9637,17.6205,17.6756,173190.10681967
2021-09-01,17.7593,17.8524,17.4797,17.7042,220680.24375619
2021-09-02,17.9637,18.0845,17.3865,17.4702,411632.35998892
2021-09-03,17.4341,17.7042,17.0708,17.3865,104110.48508152
2021-09-07,17.573,17.804,17.3219,17.5444,212593.12474151
2021-09-08,17.4056,17.7212,17.3598,17.611,99439.703302406
2021-09-09,17.4797,17.5919,17.1174,17.2011,115111.32231095
2021-09-10,17.3408,17.4778,16.9224,16.9319,52729.782502783
2021-09-13,16.9224,17.0527,16.1512,16.5126,274160.80027749
2021-09-14,16.4574,16.5962,16.0199,16.4194,210585.80317097
2021-09-15,16.3357,16.7636,16.3357,16.5877,294618.8665302
2021-09-16,16.2709,16.5411,16.1596,16.309,194632.38102943
2021-09-17,16.2709,16.2709,15.0262,15.1744,1118045.5181591
2021-09-20,14.7836,15.007,14.6628,14.8492,334992.42285415
2021-09-21,14.7836,15.165,14.737,14.7655,200938.2518825
2021-09-22,14.8207,15.4996,14.737,15.3789,179807.22292412
2021-09-23,15.3876,15.5558,15.2487,15.3608,103659.38976787
2021-09-24,15.2952,15.2952,14.7465,15.0356,143844.72683507
2021-09-27,14.9425,15.5368,14.8207,15.4902,183793.47545105
2021-09-28,15.3608,15.7137,15.1099,15.6946,139010.96190067
2021-09-29,15.7318,16.0941,15.5929,16.0856,128284.56727466
2021-09-30,16.253,16.7369,16.0759,16.4289,180652.63232314
2021-10-01,16.328,16.4774,15.6576,15.9181,213576.28119434
2021-10-04,15.862,15.9552,15.2391,15.3608,99109.53097493
2021-10-05,15.8344,16.3452,15.5739,15.825,103529.00324364
2021-10-06,15.8344,16.0047,15.3514,15.7041,105307.09689257
2021-10-07,15.6766,15.9923,15.2105,15.5272,112806.42504399
2021-10-08,15.63,15.9001,15.203,15.825,92722.694296328
2021-10-11,15.9648,16.058,15.6766,15.9743,80486.339599439
2021-10-12,16.2443,16.4022,16.0104,16.2063,99147.385127126
2021-10-13,16.1778,16.3642,15.4351,15.7783,222810.59132136
2021-10-14,15.9457,15.9923,15.3608,15.4445,88519.831898505
2021-10-15,15.3608,16.0018,15.3608,15.7507,96956.050316752
2021-10-18,15.6205,15.9001,15.4626,15.7689,62938.837048808
2021-10-19,15.7603,15.9648,15.5739,15.825,132207.72954792
2021-10-20,15.9457,16.309,15.7603,16.1226,118095.49130896
2021-10-21,16.0856,16.4764,16.0856,16.4478,49470.119397141
2021-10-22,16.4117,16.4574,16.2443,16.3452,64420.406505534
2021-10-25,16.3452,17.2762,16.328,17.0337,123520.20161928
2021-10-26,17.0156,17.4236,16.8293,17.0061,66315.217123717
2021-10-27,17.0156,17.2923,16.6904,17.0156,150961.30744765
2021-10-28,16.969,17.5634,16.969,17.4797,77513.737147939
