Date,Open,High,Low,Close,Volume
2023-01-27,5.0,5.4,3.7,4.82,846500
2023-01-30,3.4,3.7923,2.81,3.24,496498
2023-01-31,3.13,3.13,2.48,2.58,260455
2023-02-01,2.57,3.0592,2.25,2.93,367486
2023-02-02,2.8201,3.0027,2.7,3.0,90104
2023-02-03,2.87,2.92,2.73,2.75,60069
2023-02-06,2.8,2.9,2.3101,2.86,41504
2023-02-07,2.63,2.88,2.63,2.65,34891
2023-02-08,2.64,2.8,2.33,2.35,107982
2023-02-09,2.35,2.9299,2.33,2.38,397102
2023-02-10,2.33,2.97,2.33,2.82,257746
2023-02-13,2.93,3.33,2.76,3.15,86880
2023-02-14,3.33,3.6534,2.8,3.36,89312
2023-02-15,3.64,3.742,2.7646,2.88,106873
2023-02-16,2.81,3.04,2.34,2.6,80236
2023-02-17,2.52,2.7199,2.52,2.7,48645
2023-02-21,2.87,2.88,2.5011,2.88,44265
2023-02-22,2.98,3.01,2.575,2.72,43278
2023-02-23,2.65,2.825,2.65,2.8,19563
2023-02-24,2.9,2.9,2.7,2.85,21783
2023-02-27,2.9,3.1499,2.75,2.9576,28746
2023-02-28,3.5,3.65,2.85,2.97,52490
2023-03-01,2.9,3.01,2.27,2.95,47681
2023-03-02,2.84,3.4,2.8,2.97,62596
2023-03-03,2.97,3.29,2.7,3.24,36078
2023-03-06,3.23,3.23,2.8299,2.93,29500
2023-03-07,2.84,3.0,2.675,2.9501,10344
2023-03-08,3.0,3.15,2.9,2.9167,4100
2023-03-09,2.95,3.33,2.95,3.18,9033
2023-03-10,3.65,3.65,3.0,3.1,16975
2023-03-13,3.25,3.25,3.065,3.22,2867
2023-03-14,3.1,3.45,2.7,2.7,50484
2023-03-15,2.73,3.19,2.55,3.0,34045
2023-03-16,2.9,3.1,2.849,3.05,34629
2023-03-17,2.95,3.24,2.95,3.15,23212
2023-03-20,3.0,3.2,3.0,3.18,20922
2023-03-21,3.19,3.53,3.15,3.47,17863
2023-03-22,3.64,3.65,3.25,3.54,28310
2023-03-23,3.64,3.8599,3.5,3.73,22332
2023-03-24,3.56,3.97,3.56,3.95,9248
2023-03-27,3.97,3.98,3.6,3.95,4998
2023-03-28,3.97,3.97,3.55,3.55,11203
2023-03-29,3.65,3.82,3.65,3.66,7538
2023-03-30,3.94,3.94,3.5501,3.61,6846
2023-03-31,3.5632,3.57,3.15,3.15,3017
2023-04-03,3.72,3.98,3.72,3.75,8180
2023-04-04,3.94,3.94,3.5,3.62,3037
2023-04-05,3.7,3.98,3.48,3.98,20749
2023-04-06,3.98,3.98,3.75,3.75,1451
2023-04-10,3.98,4.23,3.96,3.97,12220
2023-04-11,4.0,4.3,3.66,4.2,10857
2023-04-12,4.2189,4.2189,3.76,3.8,8054
2023-04-13,3.71,4.05,3.71,4.05,5910
