Date,Open,High,Low,Close,Volume
2024-12-12,25.0,25.0,24.55,24.62,41962
2024-12-13,24.82,24.82,24.4,24.5,18095
2024-12-16,24.65,24.65,24.141,24.25,39565
2024-12-17,24.18,24.3,23.87,24.25,58370
2024-12-18,24.43,24.53,23.24,23.27,59240
2024-12-19,23.92,23.9999,23.53,23.55,23909
2024-12-20,23.4,24.42,22.65,23.97,79833
2024-12-23,23.94,24.03,23.5244,24.03,33495
2024-12-24,24.16,24.51,24.0,24.51,16312
2024-12-26,24.39,24.5335,24.31,24.5,46564
2024-12-27,24.57,24.65,24.0,24.26,45450
2024-12-30,24.08,24.08,23.49,23.77,32821
2024-12-31,23.78,23.91,23.641,23.91,15372
2025-01-02,24.18,24.19,23.471,23.63,36892
2025-01-03,23.8,23.93,23.56,23.88,24765
2025-01-06,23.98,24.09,23.53,23.64,68633
2025-01-07,23.66,24.09,23.66,23.81,18928
2025-01-08,23.9,23.9,23.41,23.67,9264
2025-01-10,23.58,23.58,22.44,22.68,32915
2025-01-13,22.48,22.85,22.48,22.82,7091
2025-01-14,22.99,23.4,22.83,23.4,7652
2025-01-15,24.0,24.34,23.795,24.28,68332
2025-01-16,24.45,24.74,24.25,24.7,63911
2025-01-17,24.83,25.57,24.665,25.21,40360
2025-01-21,25.58,25.76,25.2,25.33,41553
2025-01-22,25.35,25.35,23.85,24.42,66271
2025-01-23,24.5662,24.79,24.29,24.37,45715
2025-01-24,24.1,24.77,24.0915,24.66,33102
2025-01-27,24.76,25.85,24.76,25.85,47446
2025-01-28,25.89,25.89,25.36,25.42,29378
2025-01-29,25.3432,25.81,25.22,25.22,20054
2025-01-30,25.54,25.8,25.28,25.7,30230
2025-01-31,25.71,25.71,25.01,25.13,40370
2025-02-03,24.18,24.82,23.735,24.82,38375
2025-02-04,24.8,25.11,24.66,25.08,17360
2025-02-05,25.19,25.77,25.19,25.75,20197
2025-02-06,25.76,26.12,25.67,26.11,30714
2025-02-07,26.21,26.21,25.5308,25.6,19079
2025-02-10,25.7299,25.7299,25.23,25.26,26494
