Date,Open,High,Low,Close,Volume
2024-09-19,25.11,25.11,25.11,25.11,1
2024-09-23,25.13,25.13,25.13,25.13,1
2024-09-26,25.1,25.115,25.1,25.115,1213
2024-09-30,25.2,25.21,25.155,25.155,3609
2024-10-02,25.22,25.22,25.22,25.22,1
2024-10-03,25.22,25.22,25.18,25.18,210
2024-10-07,24.99,24.99,24.99,24.99,1
2024-10-08,24.96,25.05,24.96,24.9819,3066
2024-10-09,24.8895,24.895,24.8895,24.895,149
2024-10-10,24.895,24.895,24.895,24.895,3
2024-10-11,24.93,24.94,24.9182,24.9182,438
2024-10-14,24.825,24.825,24.825,24.825,1
2024-10-15,24.94,24.955,24.94,24.955,441
2024-10-16,24.96,24.995,24.96,24.995,43590
2024-10-17,24.939,24.939,24.915,24.915,4331
2024-10-18,24.92,24.9244,24.92,24.9244,1210
2024-10-21,24.735,24.735,24.735,24.735,10
2024-10-22,24.65,24.65,24.65,24.65,96
2024-10-23,24.5049,24.5049,24.42,24.43,2202
2024-10-24,24.49,24.49,24.49,24.49,7
2024-10-25,24.57,24.57,24.535,24.535,274
2024-10-28,24.55,24.56,24.55,24.56,200
2024-10-29,24.61,24.61,24.5301,24.5301,5911
2024-10-30,24.5,24.535,24.5,24.535,100
2024-10-31,24.49,24.525,24.49,24.525,100
2024-11-01,24.58,24.58,24.515,24.515,74481
2024-11-04,24.61,24.68,24.61,24.645,9748
2024-11-05,24.6463,24.67,24.6463,24.67,137
2024-11-06,24.3066,24.3066,24.285,24.285,163
2024-11-07,24.45,24.46,24.45,24.46,218
2024-11-08,24.65,24.725,24.65,24.725,299
2024-11-11,24.71,24.71,24.71,24.71,1843
2024-11-12,24.68,24.6981,24.635,24.635,2477
2024-11-13,24.69,24.69,24.6391,24.64,3663
2024-11-14,24.685,24.7138,24.655,24.655,2412
2024-11-15,24.67,24.76,24.67,24.74,1446
2024-11-19,24.7063,24.73,24.7063,24.715,635
2024-11-20,24.71,24.73,24.65,24.6841,7356
2024-11-21,24.68,24.69,24.68,24.69,654
2024-11-22,24.71,24.75,24.7092,24.72,1606
2024-11-25,24.88,24.88,24.8538,24.8538,262
2024-11-26,24.8294,24.84,24.79,24.84,6223
2024-11-27,24.964,24.964,24.92,24.92,1915
2024-11-29,24.99,25.025,24.99,25.025,1779
2024-12-02,25.01,25.12,25.01,25.095,2800
2024-12-03,25.13,25.13,25.08,25.08,15825
2024-12-04,25.1242,25.14,25.1242,25.14,344
2024-12-05,25.12,25.21,25.095,25.095,18846
2024-12-06,25.12,25.145,25.11,25.145,8016
2024-12-09,25.0948,25.1,25.075,25.075,77399
2024-12-11,25.07,25.08,24.975,24.975,4265
2024-12-12,24.895,24.9199,24.81,24.8734,4689
2024-12-13,24.83,24.83,24.77,24.7849,4776
2024-12-16,24.87,24.87,24.83,24.83,885
2024-12-17,24.76,24.8496,24.73,24.74,6273
2024-12-18,24.71,24.71,24.52,24.52,16267
2024-12-19,24.33,24.41,24.32,24.41,7874
2024-12-20,24.47,24.53,24.46,24.46,12940
2024-12-23,24.43,24.47,24.399,24.4,50615
2024-12-24,24.36,24.425,24.35,24.425,8415
2024-12-26,24.41,24.54,24.405,24.46,13045
2024-12-27,24.445,24.459,24.42,24.435,7023
2024-12-30,24.53,24.6,24.5,24.535,45216
2024-12-31,24.58,24.58,24.49,24.49,40750
2025-01-02,24.59,24.61,24.56,24.59,5188
2025-01-03,24.61,24.62,24.53,24.545,17644
2025-01-06,24.5686,24.69,24.56,24.69,21082
2025-01-07,24.5,24.53,24.5,24.51,9823
2025-01-08,24.51,24.51,24.385,24.41,21838
2025-01-10,24.29,24.365,24.29,24.345,18648
2025-01-13,24.34,24.34,24.215,24.25,21420
2025-01-14,24.2037,24.2037,24.18,24.18,2686
2025-01-15,24.365,24.39,24.34,24.34,9468
2025-01-16,24.33,24.375,24.32,24.375,1547
2025-01-17,24.46,24.46,24.44,24.455,6341
2025-01-21,24.45,24.49,24.435,24.465,1743
2025-01-22,24.5,24.5,24.485,24.485,1528
2025-01-23,24.4086,24.42,24.395,24.395,9850
2025-01-24,24.4,24.45,24.39,24.44,10238
2025-01-27,24.55,24.59,24.55,24.59,834
2025-01-28,24.55,24.5643,24.5402,24.5643,16521
2025-01-29,24.525,24.55,24.49,24.49,6379
2025-01-30,24.5771,24.5771,24.56,24.565,2306
2025-01-31,24.55,24.59,24.5,24.5129,9232
2025-02-03,24.6299,24.6299,24.52,24.55,7951
2025-02-04,24.56,24.62,24.555,24.62,2958
2025-02-05,24.73,24.76,24.73,24.735,19218
2025-02-06,24.73,24.74,24.73,24.73,54861
2025-02-07,24.67,24.67,24.645,24.645,6217
2025-02-10,24.69,24.7,24.675,24.68,10064
