Date,Open,High,Low,Close,Volume
2023-09-29,24.52,24.52,24.44,24.44,1000
2023-10-02,24.3,24.3,24.3,24.3,700
2023-10-03,24.2,24.2,24.17,24.17,1200
2023-10-06,24.06,24.08,24.03,24.03,1700
2023-10-09,24.23,24.27,24.205,24.205,900
2023-10-10,24.32,24.335,24.32,24.335,1000
2023-10-11,24.5,24.53,24.455,24.455,1400
2023-10-13,24.75,24.75,24.47,24.605,200
2023-10-18,24.2,24.315,24.2,24.315,1010
2023-10-19,24.18,24.18,24.08,24.08,1300
2023-10-25,23.94,23.94,23.94,23.94,100
2023-10-26,23.94,23.96,23.92,23.92,3050
2023-10-30,23.97,23.975,23.97,23.975,100
2023-10-31,23.96,23.96,23.95,23.95,9040
2023-11-01,24.12,24.12,24.04,24.04,30557
2023-11-02,24.2,24.365,24.2,24.365,6734
2023-11-03,24.47,24.68,24.47,24.625,24228
2023-11-06,24.2936,24.43,24.2936,24.43,448
2023-11-07,24.74,24.76,24.67,24.67,2488
2023-11-08,24.77,24.82,24.77,24.77,6412
2023-11-09,24.81,24.81,24.69,24.69,5386
2023-11-10,24.7138,24.79,24.7138,24.75,3935
2023-11-13,24.76,24.78,24.76,24.78,1309
2023-11-14,25.04,25.3311,25.04,25.04,2648
2023-11-15,25.06,25.06,24.98,24.98,3551
2023-11-16,25.1,25.12,25.09,25.09,10155
2023-11-17,25.09,26.315,25.09,26.315,14727
2023-11-20,26.8,26.8,25.02,25.16,6977
2023-11-21,25.13,25.2,25.11,25.1459,7338
2023-11-22,25.26,25.26,25.26,25.26,55
2023-11-24,25.15,25.18,25.115,25.115,1197
2023-11-27,25.3306,25.35,25.305,25.305,4440
2023-11-28,25.41,25.41,25.41,25.41,2
2023-11-29,25.65,25.65,25.61,25.645,25225
2023-11-30,25.65,25.675,25.65,25.675,492
2023-12-01,25.79,25.96,25.79,25.84,11565
2023-12-04,25.86,25.86,25.755,25.765,14340
2023-12-05,25.8699,27.52,25.85,25.95,30714
2023-12-06,25.9782,26.01,25.9782,25.98,31334
2023-12-07,26.01,26.04,26.0099,26.015,10187
2023-12-08,26.0,26.02,25.985,25.985,2479
2023-12-11,26.07,26.08,25.975,25.975,21640
2023-12-12,26.24,26.24,25.995,25.995,2906
2023-12-13,26.06,26.2,26.06,26.16,29823
2023-12-14,26.3,26.375,26.3,26.375,307
2023-12-15,26.49,26.49,26.445,26.445,625
2023-12-18,26.3321,26.36,26.315,26.315,18904
2023-12-19,26.4799,26.4799,26.43,26.43,3551
2023-12-20,26.44,26.48,26.39,26.41,3651
2023-12-21,26.58,26.61,26.545,26.56,7224
2023-12-22,26.58,26.58,26.53,26.53,6269
2023-12-26,26.61,26.61,26.55,26.55,7464
2023-12-27,26.6,26.62,26.6,26.615,2831
2023-12-28,26.62,26.63,26.583,26.59,4066
2023-12-29,26.67,26.67,26.63,26.63,1274
2024-01-02,26.57,26.59,26.54,26.54,11132
2024-01-03,26.5494,26.6,26.495,26.565,83354
2024-01-04,26.5199,26.54,26.485,26.495,6673
2024-01-05,26.56,26.625,26.56,26.625,239
2024-01-08,26.66,26.67,26.615,26.615,4724
2024-01-09,26.7099,26.71,26.66,26.6684,23563
2024-01-10,26.64,26.68,26.635,26.635,8869
2024-01-11,26.67,26.67,26.545,26.545,317092
2024-01-12,26.65,26.6899,26.6073,26.68,2022
2024-01-16,26.6199,26.62,26.56,26.59,10590
2024-01-17,26.5199,26.52,26.44,26.45,3491
2024-01-18,26.46,26.46,26.32,26.345,1279
2024-01-19,26.3095,26.3095,26.27,26.27,839
2024-01-22,26.3199,26.325,26.29,26.29,8635
2024-01-23,26.219,26.22,26.19,26.19,88319
2024-01-24,26.25,26.25,26.2,26.2172,6010
2024-01-25,26.22,26.2392,26.21,26.21,13218
2024-01-26,26.22,26.24,26.195,26.195,10957
2024-01-29,26.31,26.37,26.215,26.37,54326
2024-01-30,26.41,26.44,26.39,26.39,5434
2024-01-31,26.52,26.55,26.47,26.55,10310
2024-02-01,26.64,26.75,26.605,26.735,14806
2024-02-02,26.4799,26.51,26.3806,26.475,6759
2024-02-05,26.49,26.59,26.37,26.37,2070
2024-02-06,26.25,26.38,26.25,26.375,5887
2024-02-07,26.38,26.39,26.37,26.38,4991
2024-02-08,26.41,26.4197,26.39,26.4,6549
2024-02-09,26.535,26.5799,26.44,26.4804,11196
2024-02-12,26.42,26.42,26.38,26.39,1117
2024-02-13,26.28,26.28,26.205,26.205,1082
2024-02-14,26.27,26.4899,26.22,26.345,2146
2024-02-15,26.355,26.39,26.321,26.355,4119
2024-02-16,26.31,26.339,26.28,26.31,5018
2024-02-20,26.34,26.35,26.25,26.34,44705
2024-02-21,26.38,26.38,26.31,26.325,18734
2024-02-22,26.33,27.5911,25.78,27.5911,39315
2024-02-23,26.3,26.7599,26.15,26.33,29277
2024-02-26,26.5,26.5,26.295,26.39,8404
2024-02-27,26.35,26.3784,26.3,26.31,5144
2024-02-28,26.57,26.62,26.31,26.43,4035
