Date,Open,High,Low,Close,Volume
2024-10-18,50.1,50.91,50.1,50.5077,3081
2024-10-21,50.83,53.15,49.33,50.2306,13506
2024-10-22,49.7,50.23,49.67,50.12,4886
2024-10-23,49.82,49.82,47.456,48.1012,9484
2024-10-24,48.95,50.56,48.95,49.25,16101
2024-10-25,49.2,49.69,48.0,48.3403,26804
2024-10-28,50.27,50.38,49.5455,50.18,17131
2024-10-29,51.18,52.28,51.1233,52.1543,5196
2024-10-30,52.0,52.2,51.42,51.5893,9525
2024-10-31,51.75,51.75,50.29,50.29,12904
2024-11-01,50.29,50.8799,49.01,49.01,19823
2024-11-04,48.86,49.07,48.05,48.05,19110
2024-11-05,48.99,50.24,48.98,49.44,8627
2024-11-06,54.38,54.38,52.3791,53.636,16610
2024-11-07,53.45,54.4,53.02,53.855,39043
2024-11-08,53.855,54.37,53.56,54.1,12080
2024-11-11,57.11,60.48,55.56,59.58,51891
2024-11-12,59.03,60.83,58.95,60.77,17328
2024-11-13,61.47,62.18,60.76,60.7966,23411
2024-11-14,61.63,61.63,59.73,59.73,8403
2024-11-15,60.065,61.3323,60.02,61.3323,10411
2024-11-18,61.27,62.0,61.0,61.64,20809
2024-11-19,61.77,62.7499,61.58,62.0,16592
2024-11-20,61.609,61.7,61.0,61.47,26809
2024-11-21,62.93,63.31,61.87,62.8612,23870
2024-11-22,62.81,63.39,62.5004,63.24,23710
2024-11-25,63.2,67.3,61.44,61.6,65852
2024-11-26,60.8014,61.57,60.0962,60.21,69024
2024-11-27,61.86,62.62,61.35,62.5,17281
2024-11-29,63.14,64.0,62.65,62.85,14822
2024-12-02,62.31,63.01,61.59,62.0692,34694
2024-12-03,61.3,62.3,60.9,61.8606,16689
2024-12-04,62.44,64.02,61.5723,63.5925,27690
2024-12-05,66.25,66.43,63.305,63.82,20001
2024-12-06,63.52,65.5,63.52,65.2999,19234
2024-12-09,63.8483,64.8295,62.15,62.15,48163
2024-12-10,63.2634,63.436,61.19,62.325,24985
2024-12-11,64.0932,64.9,63.19,64.9,17511
2024-12-12,64.9,65.1221,63.675,64.76,25052
2024-12-13,64.2575,65.78,64.16,65.78,39495
2024-12-16,66.945,68.04,66.35,67.11,96807
2024-12-17,67.865,68.36,67.13,67.6,71828
2024-12-18,66.75,66.75,64.24,64.63,76637
2024-12-19,66.76,66.77,61.7035,62.11,64361
2024-12-20,62.6,62.94,61.14,62.3,49623
2024-12-23,61.44,61.72,60.01,60.2,82287
2024-12-24,61.1822,62.33,60.79,61.995,18981
2024-12-26,60.57,60.9651,60.22,60.42,43964
2024-12-27,60.815,60.925,59.1,59.77,49744
2024-12-30,59.155,60.1,57.98,59.52,38890
2024-12-31,60.72,60.72,59.08,59.08,62532
2025-01-02,61.66,61.66,60.69,61.28,48696
2025-01-03,61.63,62.4099,61.1519,62.05,47040
2025-01-06,62.72,64.31,62.37,64.27,70460
2025-01-07,63.36,63.44,60.86,61.43,49843
2025-01-08,60.2894,60.8919,59.21,59.71,58639
2025-01-10,60.47,60.9,59.025,60.595,45354
2025-01-13,58.55,59.8,57.48,59.8,77643
2025-01-14,61.3673,61.8146,60.75,61.28,32706
2025-01-15,62.8,63.47,62.555,63.045,28301
2025-01-16,63.01,63.48,62.0,63.39,33858
2025-01-17,64.2371,66.56,64.195,65.55,47634
2025-01-21,66.06,67.0199,64.88,66.29,184323
2025-01-22,64.42,64.56,63.6,64.54,117747
2025-01-23,63.37,65.0,63.0,63.59,101240
2025-01-24,64.82,65.55,64.51,64.77,110945
2025-01-27,64.04,64.4,61.59,63.14,129301
2025-01-28,63.79,64.2894,63.0,63.69,58532
2025-01-29,63.56,64.37,62.45,64.35,79716
2025-01-30,64.935,65.63,64.84,64.84,44586
2025-01-31,64.875,65.425,63.13,63.82,95266
2025-02-03,59.77,63.7512,59.6,63.14,115606
2025-02-04,62.25,63.16,61.45,61.8,56948
2025-02-05,61.585,62.11,60.56,60.985,56127
2025-02-06,62.24,62.27,60.21,60.77,45995
2025-02-07,62.36,62.6525,60.0501,60.21,60332
2025-02-10,61.465,61.9099,60.8929,61.06,67221
