Date,Open,High,Low,Close,Volume
2021-08-26,16.8,18.3,13.8,17.46,262450.0005249
2021-08-27,18.3,18.6,17.4,18.12,36833.333407
2021-08-30,18.12,19.68,17.7474,18.72,76728.166820123
2021-08-31,18.6,20.0556,18.3,19.68,62706.833458747
2021-09-01,19.8,20.0994,18.42,18.9,64244.333461822
2021-09-02,18.96,20.34,18.96,18.96,55125.00011025
2021-09-03,19.56,19.794,18.78,18.78,22132.833377599
2021-09-07,19.08,19.4436,17.52,17.94,30677.666728022
2021-09-08,18.24,19.32,17.4,17.5308,13536.000027072
2021-09-09,18.0,18.9594,17.994,18.9,26154.833385643
2021-09-10,18.9,19.5,18.9,19.14,16996.500033993
2021-09-13,19.44,19.4586,18.9804,19.08,4252.666675172
2021-09-14,19.44,20.7,19.2,19.38,57288.666781244
2021-09-15,19.8,21.36,19.3584,20.46,81838.833497011
2021-09-16,20.94,21.954,19.56,20.7,95134.833523603
2021-09-17,20.76,20.94,18.66,19.56,40909.833415153
2021-09-20,18.9,19.8,17.8206,18.24,38828.833410991
2021-09-21,18.48,19.6194,18.24,18.9,19357.500038715
2021-09-22,19.14,19.4292,18.24,18.6,18895.00003779
2021-09-23,18.6,19.5,18.6,18.99,37762.833408859
2021-09-24,19.02,19.44,18.6672,18.72,10513.33335436
2021-09-27,18.84,19.32,18.72,18.78,10161.833353657
2021-09-28,18.6,19.2,18.0,18.18,21680.833376695
2021-09-29,18.06,18.5394,17.82,17.94,11845.166690357
2021-09-30,17.88,18.0,16.8,17.6406,27046.333387426
2021-10-01,17.4,17.874,17.0334,17.46,6503.500013007
2021-10-04,17.22,17.46,17.1,17.1,10618.833354571
2021-10-05,16.5,16.92,16.02,16.2,34199.833401733
2021-10-06,15.96,16.7976,15.6,16.56,16809.166700285
2021-10-07,17.7,19.74,17.7,18.54,97124.666860916
2021-10-08,18.6,19.5,17.4,17.58,44520.166755707
2021-10-11,17.76,18.78,17.622,18.3,24766.6667162
2021-10-12,18.48,18.96,17.4,18.48,22625.166711917
2021-10-13,18.66,19.134,17.7,18.9,30254.500060509
2021-10-14,19.14,19.194,17.91,18.42,28047.833389429
2021-10-15,18.24,18.9168,18.0,18.06,23862.166714391
2021-10-18,17.82,18.5712,17.82,18.0,17379.666701426
2021-10-19,18.06,19.02,18.06,18.66,21613.500043227
2021-10-20,18.66,19.5,18.66,18.66,33328.000066656
2021-10-21,20.64,23.7,20.1,20.85,367595.16740186
2021-10-22,22.08,25.92,21.36,25.44,367566.6674018
2021-10-25,24.0474,25.8384,23.52,25.74,188438.16704354
2021-10-26,25.92,26.7,23.64,26.1,116161.50023232
2021-10-27,26.1,26.22,24.0,24.06,64935.333463204
2021-10-28,24.54,25.2,24.0,25.05,59358.000118716
2021-10-29,25.08,25.8,24.54,25.14,60704.333454742
2021-11-01,25.2,28.08,25.14,27.18,106514.33354636
2021-11-02,26.88,27.6,25.9746,26.94,39186.833411707
2021-11-03,26.76,28.5,26.2266,27.9,66579.666799826
2021-11-04,28.32,29.94,24.24,25.02,147628.33362859
2021-11-05,24.6,26.28,24.312,25.44,52894.500105789
2021-11-08,25.86,25.95,22.56,23.88,80496.833494327
2021-11-09,24.0,26.28,24.0,25.32,56260.833445855
2021-11-10,25.08,28.41,24.96,25.56,92892.333519118
2021-11-11,25.92,26.82,25.92,26.46,32432.166731531
2021-11-12,26.7,26.88,24.54,25.2,31556.66672978
2021-11-15,25.74,26.4,24.3,24.9,42976.000085952
2021-11-16,25.14,25.2,24.0,24.96,24728.666716124
2021-11-17,24.9,25.74,24.3,25.2,26649.333386632
2021-11-18,25.5,25.68,24.12,24.84,35517.833404369
2021-11-19,24.42,24.6978,22.86,23.22,45540.166757747
2021-11-22,23.52,24.66,22.1202,23.16,65162.333463658
2021-11-23,23.46,24.36,22.35,23.16,20851.166708369
2021-11-24,23.22,25.4388,22.8798,25.26,39642.666745952
2021-11-26,24.42,25.44,22.92,25.44,23230.166713127
2021-11-29,24.9,25.32,24.0,24.3,39807.500079615
2021-11-30,24.06,24.9,24.0,24.18,31987.833397309
2021-12-01,24.48,25.38,24.0,24.54,35023.166736713
2021-12-02,24.66,25.2,23.4,24.96,27014.666720696
2021-12-03,24.9,24.9,23.1,23.94,34352.666735372
2021-12-06,23.88,25.5,23.1366,25.02,97336.500194673
2021-12-07,25.08,26.6412,24.18,25.26,78235.666823138
2021-12-08,25.38,26.4,25.32,25.8,54827.833442989
2021-12-09,25.98,27.6,25.98,26.58,62970.500125941
2021-12-10,26.46,27.9,26.13,27.48,52060.666770788
2021-12-13,27.6,28.8,25.44,28.02,76268.500152537
2021-12-14,27.54,28.74,24.0,24.24,114343.00022869
2021-12-15,24.24,27.9,24.24,26.88,106246.16687916
2021-12-16,27.6,27.9,25.02,25.86,103058.83353945
2021-12-17,25.32,26.1,23.226,24.06,381306.66742928
2021-12-20,23.82,25.08,23.1498,25.08,88001.833509337
2021-12-21,26.28,26.28,23.34,23.76,95798.33352493
2021-12-22,23.52,24.1794,23.1,23.4,16463.500032927
2021-12-23,23.58,24.2406,22.8,24.18,43092.166752851
2021-12-27,24.6,27.0,24.6,26.04,73425.333480184
2021-12-28,26.82,31.8,24.6,26.34,526252.66771917
2021-12-29,25.74,27.48,25.62,26.64,38251.166743169
2021-12-30,26.7,26.76,25.5,25.98,28019.166722705
2021-12-31,25.26,25.98,23.88,23.88,61360.833456055
2022-01-03,23.76,24.6,23.7,24.18,39746.166746159
2022-01-04,24.18,24.18,23.46,23.64,32493.166731653
2022-01-05,23.382,23.9148,22.56,22.74,47930.666762528
2022-01-06,22.74,22.95,21.0,21.78,66132.333465598
