Date,Open,High,Low,Close,Volume
2024-07-12,24.6019,25.08,24.6019,25.08,2610
2024-07-15,20.53,20.76,19.94,20.2,11154
2024-07-16,20.325,20.325,19.1677,19.1677,1151
2024-07-17,19.2694,19.83,19.13,19.4021,2743
2024-07-18,19.38,20.13,19.38,19.96,6366
2024-07-19,19.0195,19.0401,17.6546,17.6546,10211
2024-07-22,17.77,17.95,17.19,17.22,6527
2024-07-23,18.0,18.6334,18.0,18.6334,6096
2024-07-24,17.91,18.5443,17.83,18.5443,7940
2024-07-25,19.44,19.859,18.97,19.13,30611
2024-07-26,17.46,17.6387,17.1517,17.1517,2463
2024-07-29,16.4198,17.7237,16.4198,17.5407,9533
2024-07-30,17.93,18.339,17.93,18.2244,2259
2024-07-31,17.77,18.6247,17.77,18.6247,3797
2024-08-01,18.78,20.29,18.78,19.71,29071
2024-08-02,18.671,20.319,18.361,20.28,26721
2024-08-05,29.68,29.68,24.84,26.13,30427
2024-08-06,24.27,24.441,22.68,22.78,31468
2024-08-07,22.46,24.47,22.289,24.47,10359
2024-08-08,22.07,22.0999,19.85,20.325,33040
2024-08-09,19.8938,20.21,19.2529,19.445,16136
2024-08-12,20.13,21.13,19.51,20.53,18212
2024-08-13,20.371,20.4,18.76,19.2456,18909
2024-08-14,19.66,20.529,19.66,20.4407,13167
2024-08-15,20.3484,21.905,19.87,21.72,12084
2024-08-16,20.65,21.049,19.58,19.7231,6869
2024-08-19,20.57,20.79,20.111,20.1443,23283
2024-08-20,19.03,20.4484,18.97,19.8651,48670
2024-08-21,19.95,19.95,18.4859,18.4859,22927
2024-08-22,19.17,19.37,19.04,19.2905,25760
2024-08-23,18.875,18.875,17.01,17.15,27389
2024-08-26,17.14,17.354,17.0,17.354,6262
2024-08-27,17.905,18.289,17.89,18.083,8298
2024-08-28,19.17,20.42,19.17,19.7175,15004
2024-08-29,18.93,19.66,18.5,19.65,26583
2024-08-30,19.83,20.52,19.2,19.9727,12128
2024-09-03,20.179,20.761,20.149,20.5058,22987
2024-09-04,21.58,21.75,20.24,20.4465,12157
2024-09-05,21.49,22.07,21.12,21.9575,15834
2024-09-06,21.355,24.03,21.355,23.8973,35773
2024-09-09,22.2,22.6186,20.6,20.6,24639
2024-09-10,20.8,21.02,19.96,19.96,8891
2024-09-11,21.1,21.68,20.15,20.2406,13747
2024-09-12,20.1304,20.434,19.72,19.7248,9444
2024-09-13,19.9392,20.01,18.62,18.797,12137
2024-09-16,19.68,20.17,19.68,19.9839,39711
2024-09-17,19.01,19.13,17.66,18.59,20905
2024-09-18,18.6301,18.8925,17.949,18.39,23401
2024-09-19,16.5904,16.8225,16.179,16.53,127630
2024-09-20,16.69,16.98,16.44,16.76,16987
2024-09-23,16.5103,16.65,16.329,16.54,19945
2024-09-24,16.419,16.745,15.97,15.98,105923
2024-09-25,16.35,16.6747,16.215,16.55,7471
2024-09-26,15.98,16.01,15.19,15.77,26449
2024-09-27,15.29,15.4,14.835,15.32,32380
2024-09-30,16.16,16.55,16.03,16.38,33053
2024-10-01,16.77,17.48,16.6,17.27,36286
2024-10-02,17.76,18.23,16.98,18.0351,20392
2024-10-03,18.0208,18.23,17.56,17.56,18286
2024-10-04,17.3,17.74,16.75,16.8078,26931
2024-10-07,16.46,16.51,15.67,16.32,13167
2024-10-08,16.5303,17.1,16.53,16.8749,12353
2024-10-09,17.11,17.65,16.84,17.59,30076
2024-10-10,17.49,18.78,17.49,18.3236,29307
2024-10-11,17.3,17.3,16.0665,16.21,33478
2024-10-14,15.33,15.4,14.569,14.76,40327
2024-10-15,14.73,15.1999,13.8697,14.25,59862
2024-10-16,13.87,14.1403,13.7999,13.98,34280
2024-10-17,14.311,14.39,14.05,14.33,42582
2024-10-18,13.9,13.9,13.38,13.58,28450
2024-10-21,13.941,14.25,13.88,13.95,59341
2024-10-22,14.29,14.29,14.04,14.05,8412
2024-10-23,14.47,14.895,14.3502,14.52,35002
2024-10-24,13.96,14.09,13.64,13.64,49387
2024-10-25,13.81,14.3,13.46,14.295,49069
2024-10-28,13.301,13.5363,12.95,13.03,19560
2024-10-29,12.48,12.579,11.5596,11.98,50503
2024-10-30,12.21,12.305,11.9801,12.24,20988
2024-10-31,12.18,12.9099,12.15,12.89,27717
2024-11-01,12.68,13.27,12.2671,13.13,49342
2024-11-04,13.4697,13.91,13.3531,13.89,36974
2024-11-05,12.8764,13.29,12.58,13.03,40524
2024-11-06,11.12,11.43,10.3143,10.41,75780
2024-11-07,10.75,10.83,10.28,10.32,42587
2024-11-08,10.41,10.56,10.11,10.29,88770
2024-11-11,8.91,8.94,7.4,7.5,323643
2024-11-12,7.72,7.81,7.02,7.1,278273
2024-11-13,7.02,7.12,6.4791,7.09,407305
2024-11-14,6.87,7.49,6.7319,7.48,226799
2024-11-15,7.11,7.38,6.7301,6.74,249487
2024-11-18,6.8301,7.0,6.57,6.72,180201
2024-11-19,6.77,6.77,6.3301,6.57,501573
2024-11-20,6.28,6.485,6.22,6.33,488403
2024-11-21,5.9297,6.16,5.69,5.81,833135
2024-11-22,5.88,5.93,5.62,5.7,536346
2024-11-25,5.92,6.26,5.9001,6.2,638011
2024-11-26,6.5726,6.7551,6.2,6.72,484583
2024-11-27,6.17,6.21,5.745,5.86,284604
2024-11-29,5.77,5.82,5.57,5.82,157050
2024-12-02,5.9069,6.12,5.758,5.96,229065
2024-12-03,6.17,6.24,5.8877,5.98,332206
2024-12-04,5.96,6.0933,5.515,5.55,296908
2024-12-05,5.125,5.68,5.02,5.57,1217118
2024-12-06,5.52,5.6,5.21,5.29,817955
2024-12-09,5.53,5.8673,5.39,5.85,775795
2024-12-10,5.61,6.07,5.5801,5.82,453884
2024-12-11,5.54,5.56,5.1601,5.22,313125
2024-12-12,5.215,5.445,5.0901,5.365,773901
2024-12-13,5.33,5.385,5.15,5.18,494509
2024-12-16,4.9,4.91,4.56,4.76,1251805
2024-12-17,4.6,4.7701,4.54,4.68,555476
2024-12-18,4.85,5.29,4.8401,5.23,893549
2024-12-19,5.04,5.77,4.9902,5.68,971786
2024-12-20,5.835,5.84,5.5,5.66,727224
2024-12-23,5.78,6.1453,5.7703,6.07,797750
2024-12-24,5.58,5.5999,5.2599,5.295,260990
2024-12-26,5.6304,5.7001,5.5301,5.65,326595
2024-12-27,5.575,5.9399,5.575,5.8,580850
2024-12-30,5.98,6.2088,5.7399,5.81,1217558
2024-12-31,5.6479,5.96,5.58,5.94,1118378
2025-01-02,5.511,5.58,5.34,5.42,809496
2025-01-03,5.45,5.485,5.2199,5.295,209358
2025-01-06,5.24,5.24,4.8319,4.885,450630
2025-01-07,5.03,5.48,5.03,5.46,633416
2025-01-08,5.59,5.9,5.5,5.74,906040
2025-01-10,5.69,5.94,5.48,5.63,947360
2025-01-13,6.1,6.299,5.75,5.76,614679
2025-01-14,5.365,5.5596,5.31,5.42,582247
2025-01-15,5.16,5.17,4.9334,5.07,510031
2025-01-16,5.09,5.29,4.9514,4.99,398772
2025-01-17,4.7328,4.77,4.4102,4.54,815891
2025-01-21,4.5101,4.7299,4.325,4.425,724109
2025-01-22,4.55,4.665,4.505,4.58,544620
2025-01-23,4.74,4.75,4.355,4.675,3412516
2025-01-24,4.48,4.54,4.3101,4.52,1932407
2025-01-27,4.89,5.06,4.753,4.84,1079757
2025-01-28,4.685,4.855,4.61,4.855,510496
2025-01-29,4.7518,4.835,4.5,4.56,1205501
2025-01-30,4.51,4.53,4.3501,4.5,1495415
2025-01-31,4.52,4.805,4.3997,4.8,2543151
2025-02-03,5.43,5.465,4.731,4.82,1007684
2025-02-04,5.0,5.13,4.855,5.06,553132
2025-02-05,5.0518,5.2952,5.005,5.21,2375381
2025-02-06,5.105,5.3768,5.035,5.25,692940
2025-02-07,4.94,5.39,4.8825,5.39,636918
2025-02-10,5.165,5.2599,5.12,5.21,220172
