Date,Open,High,Low,Close,Volume
2024-10-18,20.58,21.0337,20.51,20.9228,36109
2024-10-21,20.89,20.9,20.33,20.6171,41571
2024-10-22,20.62,20.7299,20.4501,20.7142,33795
2024-10-23,20.51,20.51,19.8,20.1196,22641
2024-10-24,20.74,20.9,20.44,20.87,34307
2024-10-25,20.7,21.0,20.21,20.41,15539
2024-10-28,21.11,21.39,21.0,21.34,28305
2024-10-29,21.91,22.77,21.85,22.47,53045
2024-10-30,22.47,22.47,22.1899,22.34,55565
2024-10-31,22.33,22.33,21.32,21.38,37032
2024-11-01,21.48,21.86,20.92,21.01,16476
2024-11-04,21.0,21.0,20.5,20.51,68951
2024-11-05,21.0,21.39,20.97,21.16,41535
2024-11-06,22.04,22.64,21.75,22.6,52524
2024-11-07,22.58,23.185,22.34,23.07,100019
2024-11-08,23.07,23.11,22.68,22.95,119255
2024-11-11,24.0,25.61,23.92,25.43,86473
2024-11-12,25.43,26.04,24.87,25.95,51515
2024-11-13,26.24,27.08,25.62,25.75,60609
2024-11-14,26.02,26.19,25.02,25.06,30469
2024-11-15,25.25,26.07,25.18,26.07,41090
2024-11-18,26.2,26.889,26.028,26.61,36705
2024-11-19,26.83,27.56,26.74,27.14,33268
2024-11-20,27.85,27.9884,27.45,27.8,51713
2024-11-21,28.86,29.2798,28.4215,29.14,80440
2024-11-22,29.14,29.9002,29.0,29.74,77838
2024-11-25,28.76,28.76,27.37,27.52,122929
2024-11-26,27.0,27.47,26.3,26.39,98044
2024-11-27,27.7,28.29,27.58,28.06,54179
2024-11-29,28.52,28.92,28.4301,28.45,37910
2024-12-02,27.99,28.29,27.3599,27.67,46347
2024-12-03,27.6,27.86,27.2408,27.68,35419
2024-12-04,27.93,28.86,27.5601,28.85,25853
2024-12-05,29.91,30.1,28.35,28.52,57041
2024-12-06,28.67,29.52,28.5006,29.35,36712
2024-12-09,29.02,29.41,28.0,28.0,44272
2024-12-10,28.57,29.085,27.9249,28.58,40201
2024-12-11,29.54,30.5889,29.35,30.42,71049
2024-12-12,30.09,30.1,29.1709,29.28,62817
2024-12-13,29.28,29.61,29.09,29.47,29814
2024-12-16,30.38,31.325,30.34,30.83,87315
2024-12-17,31.16,31.34,30.5,30.77,61354
2024-12-18,30.32,30.32,28.17,28.43,99746
2024-12-19,28.96,29.02,27.05,27.2,71343
2024-12-20,27.02,27.9517,27.02,27.54,57403
2024-12-23,27.15,27.15,26.17,26.33,48238
2024-12-24,27.37,28.19,27.34,28.14,84775
2024-12-26,27.3,27.4943,27.0815,27.4,26767
2024-12-27,27.4,27.4,26.28,26.68,95257
2024-12-30,26.18,26.6,25.49,26.48,27291
2024-12-31,26.68,27.0,26.31,26.36,20083
2025-01-02,27.39,28.0,27.39,27.85,36456
2025-01-03,27.68,28.0959,27.59,27.94,24674
2025-01-06,28.0,29.14,27.9,28.96,42461
2025-01-07,28.88,28.88,27.32,27.45,26888
2025-01-08,27.21,27.46,26.51,26.86,38761
2025-01-10,27.45,27.81,26.9,27.48,35706
2025-01-13,26.12,26.76,25.73,26.76,47689
2025-01-14,27.39,27.86,27.2945,27.64,25482
2025-01-15,28.65,29.155276,28.5405,28.97,20315
2025-01-16,28.97,29.48,28.55,29.41,20388
2025-01-17,29.49,30.951,29.49,30.58,48880
2025-01-21,30.8,31.5598,30.23,31.17,45605
2025-01-22,30.9,30.9,30.58449,30.75,24376
2025-01-23,30.04,31.33,29.87,30.4,40256
2025-01-24,31.26,31.72,31.04,31.04,51431
2025-01-27,29.52,29.96,28.8,29.67,111570
2025-01-28,30.15,30.51,29.88,29.99,67047
2025-01-29,30.17,30.8236,29.76,30.69,28572
2025-01-30,31.4,31.85,31.4,31.49,36441
2025-01-31,31.38,31.84,30.16,30.23,87300
2025-02-03,28.45,30.65,28.45,30.4,85178
2025-02-04,30.0,30.33,29.66,29.83,40528
2025-02-05,29.89,30.109,29.285,29.43,25147
2025-02-06,29.81,29.872,28.93,29.36,32049
2025-02-07,30.3,30.54,28.99,29.03,37566
2025-02-10,30.11,30.11,29.835,30.09,32632
