Date,Open,High,Low,Close,Volume
2019-08-15,135.0,149.7,133.5,134.091,2459.066642076
2019-08-16,130.8,144.831,130.8,135.0,3221.799967782
2019-08-19,131.4,140.1,131.4,136.5,3741.733295916
2019-08-20,136.2,141.0,132.0,132.0,3863.933294694
2019-08-21,131.1,141.291,131.1,136.2,4340.399956596
2019-08-22,135.9,141.0,135.6,136.5,4020.066626466
2019-08-23,140.7,140.7,129.0,134.1,3963.966627027
2019-08-26,133.5,135.6,125.4,134.1,3927.833294055
2019-08-27,132.0,146.4,131.7,141.3,4061.966626047
2019-08-28,140.4,149.67,132.0,138.9,3002.933303304
2019-08-29,134.1,142.56,134.1,142.5,3990.399960096
2019-08-30,138.0,148.977,135.6,145.5,3477.866631888
2019-09-03,144.0,150.0,138.0,148.5,4522.099954779
2019-09-04,147.0,147.0,135.6,141.0,3446.499965535
2019-09-05,139.5,143.4,124.35,141.6,2837.33330496
2019-09-06,139.5,147.0,135.3,146.286,4109.399958906
2019-09-09,138.3,146.1,132.258,144.0,3468.833298645
2019-09-10,141.3,142.5,127.8,138.0,3483.166631835
2019-09-11,139.146,140.7,131.4,132.0,2702.33330631
2019-09-12,131.1,132.6,126.63,132.0,3106.933302264
2019-09-13,129.3,134.1,127.2,133.8,4094.233292391
2019-09-16,133.8,142.5,133.8,141.9,3838.133294952
2019-09-17,138.3,144.0,134.1,143.7,3117.466635492
2019-09-18,141.0,148.8,140.4,148.2,4411.966622547
2019-09-19,147.0,147.0,141.9,143.4,2513.366641533
2019-09-20,142.2,147.0,138.0,147.0,3066.599969334
2019-09-23,142.581,144.3,141.6,144.3,3061.366636053
2019-09-24,141.75,147.0,141.6,144.6,3221.966634447
2019-09-25,144.0,150.0,142.5,147.3,3574.299964257
2019-09-26,146.4,149.7,137.1,140.1,2941.866637248
2019-09-27,141.0,141.6,136.5,136.5,2297.533310358
2019-09-30,140.1,141.0,138.0,139.2,3272.166633945
2019-10-01,138.3,141.6,135.0,141.6,3801.099961989
2019-10-02,138.0,142.2,129.0,136.5,2697.033306363
2019-10-03,131.4,136.5,131.1,131.1,2777.133305562
2019-10-04,130.8,139.2,130.8,134.7,3250.933300824
2019-10-07,133.8,135.3,132.9,133.2,3190.766634759
2019-10-08,133.2,133.2,124.5,124.5,3438.899965611
2019-10-09,126.9,129.3,124.8,127.5,3222.99996777
2019-10-10,126.681,132.3,126.0,132.3,3048.966636177
2019-10-11,127.5,127.8,124.5,124.5,3636.233296971
2019-10-14,122.7,133.5,120.15,132.6,1334.133319992
2019-10-15,131.7,136.5,130.05,132.9,2811.633305217
2019-10-16,132.0,136.2,129.0,132.0,1913.166647535
2019-10-17,136.2,146.4,133.5,133.5,2381.33330952
2019-10-18,135.0,147.0,126.0,130.5,3656.133296772
2019-10-21,132.0,138.0,132.0,132.0,2299.366643673
2019-10-22,130.8,142.5,130.8,135.0,3916.299960837
2019-10-23,136.323,143.1,135.0,135.0,2487.599975124
2019-10-24,136.5,140.7,135.75,136.2,2265.099977349
2019-10-25,135.0,138.3,129.3,129.3,5178.33328155
2019-10-28,129.9,135.897,129.9,132.9,1798.833315345
2019-10-29,132.3,134.997,128.7,130.5,3784.399962156
2019-10-30,129.9,135.0,129.9,135.0,1380.33331953
2019-10-31,133.5,135.0,130.2,132.6,3462.699965373
2019-11-01,132.3,138.0,130.2,130.2,3402.899965971
2019-11-04,130.5,136.05,128.1,128.1,2095.66664571
2019-11-05,128.7,133.5,126.9,132.6,5601.133277322
2019-11-06,132.9,133.5,128.4,132.9,2472.166641945
2019-11-07,130.5,134.7,127.65,128.4,2266.766643999
2019-11-08,131.7,133.197,125.4,125.4,3821.366628453
2019-11-11,124.53,130.797,124.5,128.7,1437.633318957
2019-11-12,126.222,130.5,123.0,123.3,1812.433315209
2019-11-13,126.9,128.4,121.5,122.4,1822.699981773
2019-11-14,126.0,128.4,123.3,123.3,523.799994762
2019-11-15,124.5,126.0,121.23,125.097,510.899994891
2019-11-18,126.0,130.35,121.515,122.4,1131.733322016
2019-11-19,124.8,127.2,122.4,126.9,1293.633320397
2019-11-20,126.9,127.5,123.0,123.6,1230.966654357
2019-11-21,124.8,126.636,124.2,126.519,1240.833320925
2019-11-22,127.5,127.5,123.75,126.15,1109.099988909
2019-11-25,126.0,126.9,123.75,124.2,838.533324948
2019-11-26,125.1,126.6,120.3,122.4,539.499994605
2019-11-27,125.7,126.0,122.7,122.7,429.933329034
2019-11-29,124.5,126.6,121.47,123.0,591.899994081
2019-12-02,124.2,124.2,105.3,116.928,2363.099976369
2019-12-03,115.8,121.5,114.0,119.7,2064.833312685
2019-12-04,119.7,121.2,115.2,120.9,1680.266649864
2019-12-05,120.6,122.319,117.9,120.6,1314.033320193
2019-12-06,118.515,121.5,117.9,121.2,1218.966654477
2019-12-09,121.2,121.719,117.0,118.8,2031.466646352
2019-12-10,119.7,120.0,117.9,120.0,1922.633314107
2019-12-11,119.7,120.0,117.0,120.0,1757.566649091
2019-12-12,117.6,120.0,117.0,118.5,1710.366649563
2019-12-13,117.6,119.7,116.7,116.7,1833.466648332
2019-12-16,116.55,128.4,116.55,125.1,2509.733308236
2019-12-17,125.1,126.6,121.5,123.0,2145.899978541
2019-12-18,124.5,126.0,121.5,122.4,1772.833315605
2019-12-19,123.0,124.2,120.6,123.9,1709.899982901
2019-12-20,122.1,125.85,120.3,125.85,2841.899971581
2019-12-23,124.5,125.85,121.5,123.3,2002.133313312
2019-12-24,123.0,124.5,121.5,121.8,1903.99998096
2019-12-26,122.4,124.5,121.5,121.5,2303.833310295
2019-12-27,122.7,125.85,119.4,121.8,2781.833305515
2019-12-30,121.5,122.85,117.0,117.0,2160.833311725
2019-12-31,120.0,120.6,117.0,117.0,2161.599978384
2020-01-02,117.6,120.0,115.5,118.5,2184.299978157
2020-01-03,117.9,120.894,114.0,114.0,1952.266647144
2020-01-06,114.9,119.4,111.6,115.2,2393.399976066
2020-01-07,117.9,118.8,110.4,111.6,2161.299978387
2020-01-08,114.0,117.297,112.2,116.085,2114.366645523
2020-01-09,115.719,117.9,111.9,117.9,2309.499976905
2020-01-10,117.0,117.0,112.2,116.7,3279.833300535
2020-01-13,115.8,116.4,112.2,114.9,3331.833300015
2020-01-14,114.3,119.997,112.5,119.1,3324.099966759
2020-01-15,116.1,122.4,115.5,120.0,4632.366620343
2020-01-16,120.0,124.2,120.0,122.4,3871.933294614
2020-01-17,123.3,126.6,123.3,123.9,3362.366633043
2020-01-21,123.9,128.4,123.75,126.0,3841.099961589
2020-01-22,126.0,126.0,119.1,119.1,4120.866625458
2020-01-23,120.6,123.6,115.8,116.4,3494.933298384
2020-01-24,118.251,118.356,112.5,112.5,3840.966628257
2020-01-27,113.7,114.6,109.8,109.8,4082.266625844
2020-01-28,112.5,117.0,111.0,115.5,3110.99996889
2020-01-29,114.3,116.4,108.9,111.0,3747.099962529
2020-01-30,114.0,114.9,105.0,108.0,3342.266633244
2020-01-31,108.6,112.2,104.7,111.9,4892.266617744
2020-02-03,111.0,113.7,104.7,109.5,4339.499956605
2020-02-04,109.5,111.6,107.4,111.3,4726.299952737
2020-02-05,110.4,112.2,108.6,109.8,4144.499958555
2020-02-06,138.0,142.197,79.8,87.9,37950.732953826
2020-02-07,81.9,85.8,78.0,85.8,3542.133297912
2020-02-10,83.7,86.7,78.3,84.6,4052.266626144
2020-02-11,83.1,83.1,75.9,78.0,2522.33330811
2020-02-12,78.0,78.3,71.7,75.0,1790.766648759
2020-02-13,75.0,78.9,72.36,78.0,1275.066653916
2020-02-14,78.0,80.7,74.4,80.277,3189.133301442
2020-02-18,81.0,83.1,75.0,79.5,1008.099989919
2020-02-19,77.4,81.3,76.5,81.3,1753.099982469
2020-02-20,81.0,81.0,76.2,77.4,619.133327142
2020-02-21,79.5,94.8,78.9,92.1,9776.766568899
2020-02-24,91.8,106.8,83.1,106.2,15197.766514689
2020-02-25,106.5,111.3,84.0,84.0,3654.399963456
2020-02-26,83.7,91.5,83.4,87.45,5102.566615641
2020-02-27,92.4,93.273,74.4,77.1,4728.399952716
2020-02-28,80.097,80.097,65.1,65.7,3680.433296529
2020-03-02,64.731,77.7,63.903,75.9,2701.833306315
2020-03-03,69.0,76.8,66.0,75.0,2991.833303415
2020-03-04,76.5,76.5,69.462,69.9,2262.166644045
2020-03-05,69.36,73.2,64.8,69.9,2535.766641309
2020-03-06,69.3,74.7,69.0,71.7,1709.199982908
2020-03-09,69.0,72.9,65.7,69.9,1808.866648578
2020-03-10,66.9,75.0,65.7,68.7,4491.066621756
2020-03-11,62.7,72.0,62.7,70.5,1926.599980734
2020-03-12,67.5,67.5,39.0,45.0,4412.66662254
2020-03-13,43.707,51.6,41.4,43.8,2355.866643108
2020-03-16,42.0,48.3,39.9,45.792,3223.966634427
2020-03-17,50.1,53.628,42.0,42.3,4544.733287886
2020-03-18,46.2,62.4,42.0,46.8,19508.066471586
2020-03-19,43.5,47.034,39.603,45.0,3819.933295134
2020-03-20,46.5,46.5,36.6,39.3,2098.199979018
2020-03-23,33.3,41.4,33.3,41.4,1201.799987982
2020-03-24,41.4,43.5,39.0,42.603,1136.799988632
2020-03-25,43.2,60.0,37.02,52.5,13789.699862103
2020-03-26,57.9,118.8,57.15,64.8,48940.566177261
