Date,Open,High,Low,Close,Volume
2023-12-14,35.1899,35.1899,35.15,35.15,305
2023-12-15,35.177,35.177,35.177,35.177,2
2023-12-18,35.24,35.24,35.215,35.215,1505
2023-12-19,35.2,35.28,35.2,35.245,18806
2023-12-20,35.36,35.36,35.1495,35.1495,818
2023-12-21,35.25,35.25,35.235,35.235,4005
2023-12-22,35.31,35.31,35.275,35.275,6408
2023-12-26,35.36,35.36,35.32,35.32,5822
2023-12-27,35.36,35.36,35.3217,35.3217,74191
2023-12-28,35.4,35.4,35.355,35.355,12824
2023-12-29,35.27,35.37,35.26,35.35,31684
2024-01-02,35.32,35.32,35.295,35.295,3007
2024-01-03,35.3,35.31,35.25,35.25,20316
2024-01-04,35.3,35.3,35.21,35.21,4851
2024-01-05,35.25,35.26,35.25,35.26,6273
2024-01-08,35.39,35.39,35.38,35.38,149353
2024-01-09,35.41,35.41,35.37,35.37,23517
2024-01-10,35.46,35.47,35.42,35.42,764
2024-01-11,35.42,35.5,35.42,35.4586,4617
2024-01-12,35.47,35.47,35.45,35.45,3057
2024-01-16,35.43,35.43,35.41,35.41,10614
2024-01-17,35.38,35.38,35.36,35.36,263
2024-01-18,35.47,35.47,35.45,35.4561,4863
2024-01-19,35.495,35.61,35.495,35.59,18144
2024-01-22,35.63,35.68,35.62,35.6381,11547027
2024-01-23,35.69,35.69,35.58,35.6536,365338
2024-01-24,35.75,35.75,35.61,35.61,49280
2024-01-25,35.72,35.73,35.62,35.65,33031
2024-01-26,35.79,35.79,35.66,35.66,92075
2024-01-29,35.66,35.78,35.66,35.77,37964
2024-01-30,35.8,35.8,35.77,35.77,67015
2024-01-31,35.7055,35.76,35.655,35.655,25716
2024-02-01,35.72,35.78,35.7,35.77,11339
2024-02-02,35.81,35.87,35.81,35.82,24616
2024-02-05,35.775,35.87,35.77,35.77,26694
2024-02-06,35.9,35.9,35.8,35.8,2044
2024-02-07,35.82,35.92,35.82,35.83,186912
2024-02-08,35.93,35.94,35.88,35.885,17475
2024-02-09,35.86,35.96,35.86,35.95,3183
2024-02-12,35.88,35.97,35.85,35.85,125568
2024-02-13,35.82,35.88,35.8,35.88,17255
2024-02-14,35.94,35.95,35.86,35.86,194278
2024-02-15,35.98,35.98,35.9,35.9,72625
2024-02-16,36.02,36.02,36.0,36.0,47115
2024-02-20,36.01,36.01,35.95,35.96,22755
2024-02-21,35.87,35.96,35.86,35.96,23758
2024-02-22,36.07,36.07,36.02,36.02,818
2024-02-23,35.99,36.0,35.99,36.0,5938
2024-02-26,36.0,36.0,35.96,35.96,9228
2024-02-27,35.96,35.97,35.96,35.96,15352
2024-02-28,36.07,36.07,36.03,36.03,17396
2024-02-29,36.01,36.1,35.96,36.03,23228
2024-03-01,36.07,36.21,36.07,36.16,2567
2024-03-04,36.22,36.22,36.14,36.15,32110
2024-03-05,36.07,36.08,36.0,36.02,18830
2024-03-06,36.09,36.16,36.09,36.13,362121
2024-03-07,36.15,36.26,36.15,36.22,65469
2024-03-08,36.28,36.28,36.17,36.19,17670
2024-03-11,36.1,36.19,36.1,36.19,16112
2024-03-12,36.33,36.33,36.3,36.3,17059
2024-03-13,36.2435,36.33,36.21,36.22,43470
2024-03-14,36.27,36.3,36.1612,36.2,40577
2024-03-15,36.17,36.2699,36.125,36.22,67737
2024-03-18,36.31,36.33,36.28,36.28,8335
2024-03-19,36.31,36.36,36.195,36.35,29650
2024-03-20,36.28,36.44,36.22,36.44,48365
2024-03-21,36.51,36.51,36.35,36.4,34472
2024-03-22,36.49,36.49,36.38,36.43,38551
2024-03-25,36.41,36.41,36.38,36.38,41336
2024-03-26,36.41,36.51,36.335,36.43,13879
2024-03-27,36.52,36.53,36.27,36.5,90912
2024-03-28,36.46,36.53,36.41,36.51,55452
2024-04-01,36.54,36.54,36.43,36.46,69853
2024-04-02,36.5,36.5,36.35,36.4,39822
2024-04-03,36.38,36.52,36.38,36.41,22172
2024-04-04,36.6,36.6,36.29,36.29,7289
2024-04-05,36.43,36.48,36.39,36.46,18774
2024-04-08,36.42,36.51,36.4,36.44,286528
2024-04-09,36.45,36.45,36.41,36.44,22139
2024-04-10,36.49,36.49,36.35,36.4047,170305
2024-04-11,36.37,36.54,36.35,36.48,15371
2024-04-12,36.41,36.42,36.29,36.29,119653
2024-04-15,36.32,36.33,36.16,36.2,27712
2024-04-16,36.27,36.2735,36.13,36.15,55387
2024-04-17,36.21,36.21,36.1491,36.1491,27349
2024-04-18,36.2,36.2,36.06,36.06,27304
2024-04-19,36.07,36.07,35.97,36.04,15483
2024-04-22,36.18,36.19,35.96,36.06,53038
2024-04-23,36.131,36.22,36.131,36.19,40333
2024-04-24,36.27,36.27,36.14,36.19,17632
2024-04-25,36.1133,36.24,36.1133,36.15,20264
2024-04-26,36.23,36.39,36.23,36.32,24561
2024-04-29,36.33,36.39,36.26,36.37,28939
2024-04-30,36.24,36.37,36.17,36.17,22524
2024-05-01,36.12,36.28,36.07,36.07,18185
2024-05-02,36.17,36.26,36.08,36.23,95595
2024-05-03,36.45,36.45,36.35,36.35,3891
2024-05-06,36.44,36.57,36.43,36.5,17911
2024-05-07,36.65,36.65,36.53,36.53,26785
2024-05-08,36.6,36.63,36.42,36.57,43127
2024-05-09,36.54,36.6718,36.53,36.6718,10647
2024-05-10,36.66,36.76,36.53,36.68,17315
2024-05-13,36.71,36.75,36.62,36.64,125467
2024-05-14,36.8,36.83,36.67,36.8,49398
2024-05-15,36.9484,37.01,36.9152,36.93,137837
2024-05-16,37.05,37.05,36.93,36.98,48430
2024-05-17,37.1,37.1,36.97,37.03,5761
2024-05-20,36.97,37.07,36.97,37.05,22921
2024-05-21,36.96,37.09,36.96,37.08,61046
2024-05-22,37.0,37.06,36.98,36.98,25403
2024-05-23,37.07,37.07,36.89,36.9,11021
2024-05-24,36.95,37.09,36.95,37.06,27069
2024-05-28,37.03,37.08,36.98,37.07,248020
2024-05-29,36.64,37.28,36.54,37.0,17750
2024-05-30,37.02,37.02,36.87,36.905,55459
2024-05-31,36.89,37.05,36.8411,37.05,33714
2024-06-03,37.01,37.03,36.95,37.0,75663
2024-06-04,36.96,37.1,36.96,37.07,43260
2024-06-05,37.09,37.2,37.09,37.2,12510
2024-06-06,37.21,37.21,36.98,37.2,132374
2024-06-07,37.15,37.24,37.15,37.21,85994
2024-06-10,37.23,37.25,37.21,37.21,8028
2024-06-11,37.1735,37.28,37.1735,37.27,76332
2024-06-12,37.5,37.5,37.28,37.37,12615
2024-06-13,37.31,37.41,37.29,37.32,13283
2024-06-14,37.29,37.41,37.29,37.34,13292
2024-06-17,37.32,37.51,37.32,37.4594,17345
2024-06-18,37.45,37.51,37.4397,37.51,14455
2024-06-20,37.45,37.55,37.4213,37.48,7071
2024-06-21,37.52,37.52,37.41,37.41,12878
2024-06-24,37.42,37.52,37.41,37.47,45323
2024-06-25,37.41,37.52,37.34,37.5,32074
2024-06-26,37.54,37.54,37.4792,37.5,38104
2024-06-27,37.55,37.56,37.47,37.54,8568
2024-06-28,37.52,37.59,37.52,37.54,21043
2024-07-01,37.5,37.57,37.49,37.55,34588
2024-07-02,37.57,37.64,37.5112,37.61,41030
2024-07-03,37.7,37.7,37.62,37.6563,8195
2024-07-05,37.75,37.75,37.67,37.69,34282
2024-07-08,37.74,37.74,37.71,37.71,35792
2024-07-09,37.72,37.78,37.69,37.73,30770
2024-07-10,37.7501,37.8,37.71,37.8,30191
2024-07-11,37.741,37.78,37.74,37.76,15222
2024-07-12,37.84,37.87,37.75,37.76,51326
2024-07-15,37.89,37.89,37.7876,37.84,34035
2024-07-16,37.88,37.88,37.81,37.86,22300
2024-07-17,37.75,37.79,37.7217,37.79,10455
2024-07-18,37.8,37.8,37.66,37.72,32250
2024-07-19,37.62,37.7,37.62,37.62,8697
2024-07-22,37.69,37.81,37.69,37.78,33991
2024-07-23,37.73,37.82,37.73,37.79,25544
2024-07-24,37.6035,37.62,37.49,37.49,45477
2024-07-25,37.58,37.58,37.49,37.49,41505
2024-07-26,37.63,37.66,37.58,37.64,33052
2024-07-29,37.5614,37.64,37.5614,37.64,21318
2024-07-30,37.72,37.72,37.53,37.53,13374
2024-07-31,37.65,37.81,37.65,37.76,67396
2024-08-01,37.6434,37.6434,37.57,37.585,75448
2024-08-02,37.54,37.54,37.3,37.42,129501
