Date,Open,High,Low,Close,Volume
2024-12-12,34.87,34.9,34.81,34.81,301
2024-12-16,34.83,34.83,34.7552,34.7552,1123
2024-12-23,34.34,34.39,34.34,34.39,379
2024-12-27,34.58,34.58,34.505,34.505,2922
2025-01-10,34.41,34.41,34.37,34.37,195
2025-01-13,34.31,34.355,34.31,34.355,201
2025-01-16,34.69,34.69,34.68,34.68,422
2025-01-21,35.0,35.0,35.0,35.0,2092
2025-01-22,35.02,35.02,34.97,34.97,1416
2025-01-27,35.18,35.2,35.18,35.2,2828
2025-01-28,35.18,35.18,35.16,35.16,155
2025-01-29,35.2,35.2,35.145,35.145,1436
2025-01-30,35.4,35.4,35.31,35.31,3875
2025-01-31,35.22,35.22,35.165,35.165,285010
2025-02-03,35.05,35.09,35.0047,35.0047,9485
2025-02-04,35.1118,35.22,35.1118,35.19,1923
2025-02-05,35.31,35.325,35.31,35.325,490
2025-02-06,35.42,35.42,35.405,35.405,125
2025-02-10,35.4,35.4,35.29,35.3,432
