Date,Open,High,Low,Close,Volume
2024-06-03,19.97,19.97,19.97,19.97,400
2024-06-04,19.87,19.87,19.82,19.841,633
2024-06-05,20.0099,20.0099,20.0099,20.0099,17
2024-06-06,19.9396,19.9396,19.9302,19.9302,194
2024-06-07,19.76,19.83,19.76,19.8112,2946
2024-06-10,19.86,19.86,19.832,19.832,1213
2024-06-11,19.7979,19.7979,19.7979,19.7979,9
2024-06-12,20.082,20.082,19.98,19.9934,2448
2024-06-13,19.8894,19.8894,19.8894,19.8894,9
2024-06-14,19.6799,19.69,19.6799,19.6843,13845
2024-06-17,19.65,19.8053,19.6499,19.794,8909
2024-06-18,19.806,19.84,19.806,19.8174,1402
2024-06-20,19.8123,19.818,19.74,19.78,6292
2024-06-21,19.79,19.79,19.77,19.7881,5458
2024-06-24,19.83,19.93,19.83,19.863,3935
2024-06-25,19.83,19.84,19.7763,19.8089,10938
2024-06-26,19.76,19.789,19.741,19.789,2863
2024-06-27,19.86,19.9022,19.7951,19.9022,2238
2024-06-28,19.8902,19.9539,19.8902,19.9539,1665
2024-07-01,19.98,19.98,19.86,19.88,121709
2024-07-02,19.9,19.91,19.84,19.9019,1851
2024-07-03,19.9085,19.95,19.902,19.902,4495
2024-07-05,19.862,19.862,19.862,19.862,82
2024-07-08,19.96,19.96,19.9352,19.9352,3244
2024-07-09,19.8655,19.93,19.8655,19.8779,2133
2024-07-10,19.95,20.03,19.901,20.03,9036
2024-07-11,20.2497,20.43,20.2497,20.4198,10112
2024-07-12,20.6,20.6,20.5257,20.5257,425
2024-07-15,20.6592,20.72,20.6592,20.69,2419
2024-07-16,20.88,20.97,20.85,20.9606,6199
2024-07-17,20.985,20.985,20.8738,20.8738,13614
2024-07-18,20.95,20.95,20.6643,20.7094,2535
2024-07-19,20.65,20.65,20.6309,20.6309,581
2024-07-22,20.63,20.84,20.63,20.8223,1767
2024-07-23,20.79,20.925,20.79,20.8875,3018
2024-07-24,20.84,20.88,20.69,20.69,2935
2024-07-25,20.75,20.86,20.75,20.7791,3406
2024-07-26,20.9183,20.9202,20.9183,20.9202,1229
2024-07-29,20.84,20.86,20.82,20.8539,9273
2024-07-30,20.89,20.89,20.86,20.8791,7898
2024-07-31,20.94,20.97,20.895,20.9452,1296
2024-08-01,20.96,20.96,20.59,20.6371,10773
2024-08-02,20.192,20.3,20.192,20.2705,701
2024-08-05,19.495,19.99,19.495,19.838,7522
2024-08-06,19.89,20.2,19.89,20.0363,108425
2024-08-07,20.165,20.165,19.8746,19.8746,29630
2024-08-08,20.13,20.1799,20.08,20.155,2794
2024-08-09,20.155,20.19,20.1091,20.1767,5574
2024-08-12,20.14,20.14,20.06,20.11,46925
2024-08-13,20.17,20.34,20.15,20.32,14084
2024-08-14,20.24,20.27,20.22,20.27,3616
2024-08-15,20.47,20.63,20.4699,20.5485,11643
2024-08-16,20.65,20.68,20.5851,20.6001,8197
2024-08-19,20.64,20.74,20.6399,20.72,13535
2024-08-20,20.64,20.66,20.5861,20.6313,16978
2024-08-21,20.6596,20.745,20.6509,20.745,3798
2024-08-22,20.7,20.73,20.6439,20.6439,3863
2024-08-23,20.92,20.97,20.9096,20.953,2494
2024-08-26,21.05,21.05,20.955,20.97,13378
2024-08-27,20.88,20.92,20.855,20.9092,6739
2024-08-28,20.89,20.91,20.8292,20.8292,14737
2024-08-29,20.99,20.99,20.923,20.93,3334
2024-08-30,20.8942,21.0,20.8942,21.0,9145
2024-09-03,20.91,20.91,20.66,20.66,28205
2024-09-04,20.65,20.71,20.64,20.67,19629
2024-09-05,20.59,20.65,20.5899,20.5956,7283
2024-09-06,20.59,20.59,20.39,20.407,24393
2024-09-09,20.51,20.5209,20.4485,20.4485,16477
2024-09-10,20.415,20.47,20.32,20.4366,19893
2024-09-11,20.42,20.64,20.25,20.52,53587
2024-09-12,20.533,20.64,20.47,20.64,18877
2024-09-13,20.75,20.86,20.75,20.85,14112
2024-09-16,20.8431,20.9,20.84,20.8893,9014
2024-09-17,21.0099,21.05,20.9429,20.9429,4533
2024-09-18,20.95,21.04,20.94,20.9675,5203
2024-09-19,21.07,21.2,21.03,21.1832,41031
2024-09-20,21.15,21.19,21.0946,21.0946,30355
2024-09-23,21.17,21.17,21.0552,21.11,17389
2024-09-24,21.13,21.15,21.07,21.14,17116
2024-09-25,21.05,21.1099,21.0151,21.0151,8354
2024-09-26,21.15,21.15,21.0281,21.0586,7700
2024-09-27,21.14,21.1921,21.1116,21.1116,1990
2024-09-30,21.08,21.1337,21.08,21.1337,1258
2024-10-01,21.14,21.14,20.95,21.0199,14351
2024-10-02,20.945,21.03,20.9399,21.02,40094
2024-10-03,20.96,20.99,20.87,20.9001,64415
2024-10-04,21.08,21.08,20.9715,21.03,5724
2024-10-07,20.99,21.0206,20.89,20.9675,3637
2024-10-08,20.9615,21.03,20.93,21.03,3081
2024-10-09,21.02,21.11,21.02,21.05,11070
2024-10-10,20.95,20.97,20.911,20.9693,5710
2024-10-11,21.0889,21.19,21.0889,21.1803,4099
2024-10-14,21.18,21.31,21.18,21.2398,72486
2024-10-15,21.25,21.33,21.215,21.2459,8259
2024-10-16,21.33,21.3925,21.33,21.3925,673
2024-10-17,21.34,21.39,21.33,21.362,8351
2024-10-18,21.399,21.4,21.35,21.3552,9745
2024-10-21,21.3,21.3,21.1934,21.25,6413
2024-10-22,21.19,21.22,21.1899,21.1928,4804
2024-10-23,21.18,21.18,21.07,21.1255,3331
2024-10-24,21.12,21.17,21.11,21.165,3637
2024-10-25,21.17,21.215,21.105,21.1174,9352
2024-10-28,21.2301,21.31,21.2301,21.3,45419
2024-10-29,21.22,21.25,21.2152,21.2339,14095
2024-10-30,21.3189,21.3189,21.2214,21.2214,1755
2024-10-31,21.24,21.24,21.0758,21.0758,1819
2024-11-01,21.1535,21.18,21.11,21.11,94452
2024-11-04,21.1174,21.24,21.1174,21.1571,50232
2024-11-05,21.26,21.3253,21.26,21.32,2981
2024-11-06,21.72,21.82,21.72,21.7945,4244
2024-11-07,21.81,21.85,21.74,21.785,682666
2024-11-08,21.7942,21.86,21.7942,21.8411,7094
2024-11-11,21.93,21.9598,21.89,21.93,87556
2024-11-12,21.949,21.949,21.8079,21.85,7962
2024-11-13,21.86,21.91,21.75,21.7676,13511
2024-11-14,21.8,21.83,21.6764,21.71,19908
2024-11-15,21.6603,21.6603,21.53,21.562,9218
2024-11-18,21.61,21.66,21.55,21.61,15505
2024-11-19,21.53,21.7,21.45,21.7,31292
2024-11-20,21.66,21.71,21.58,21.69,17398
2024-11-21,21.72,21.87,21.685,21.85,14111
2024-11-22,21.939,22.02,21.9215,22.0047,17972
2024-11-25,22.15,22.21,22.12,22.13,28332
2024-11-26,22.079,22.11,22.0,22.0725,129532
2024-11-27,22.08,22.1,22.06,22.0798,7515
2024-11-29,22.07,22.13,22.07,22.1157,4883
2024-12-02,22.08,22.14,22.07,22.1111,58289
2024-12-03,22.12,22.12,22.03,22.09,8963
2024-12-04,22.15,22.159,22.0351,22.15,14897
2024-12-05,22.035,22.12,22.02,22.02,11400
2024-12-06,22.0501,22.1,22.0251,22.09,29697
2024-12-09,22.085,22.14,21.9945,22.02,14871
2024-12-10,21.98,22.06,21.9345,21.9601,24317
2024-12-11,22.06,22.12,21.98,22.04,41784
2024-12-12,21.945,21.99,21.89,21.9,24329
2024-12-13,21.8986,21.8986,21.74,21.84,73788
2024-12-16,21.895,21.9092,21.85,21.8744,2736
2024-12-17,21.84,21.84,21.7396,21.7756,8139
2024-12-18,21.8299,21.8299,21.235,21.2577,10488
2024-12-19,21.4,21.4,21.18,21.24,49423
2024-12-20,21.15,21.45,21.15,21.35,22305
2024-12-23,21.24,21.3293,21.2101,21.309,34058
2024-12-24,21.319,21.46,21.278,21.46,5269
2024-12-26,21.38,21.59,21.38,21.59,113678
2024-12-27,21.47,21.505,21.2461,21.41,19271
2024-12-30,21.26,21.3512,21.1657,21.26,246224
2024-12-31,21.38,21.4099,21.2703,21.33,16102
2025-01-02,21.45,21.45,21.27,21.34,28963
2025-01-03,21.39,21.57,21.36,21.56,267667
2025-01-06,21.61,21.66,21.51,21.51,23280
2025-01-07,21.51,21.56,21.3657,21.4,6070
2025-01-08,21.25,21.4199,21.25,21.3606,46197
2025-01-10,21.089,21.23,21.0001,21.1007,193358
2025-01-13,21.0,21.1338,20.9201,21.1194,6236
2025-01-14,21.299,21.3,21.1133,21.26,47360
2025-01-15,21.56,21.61,21.4601,21.55,14528
2025-01-16,21.51,21.61,21.51,21.58,23223
2025-01-17,21.649,21.679,21.6159,21.6379,12577
2025-01-21,21.7283,21.89,21.723,21.8607,15532
2025-01-22,21.81,21.86,21.74,21.7806,13352
2025-01-23,21.7213,21.87,21.7213,21.8473,13218
2025-01-24,21.84,21.9082,21.79,21.811,22925
2025-01-27,21.805,21.82,21.65,21.6843,12947
2025-01-28,21.7,21.76,21.65,21.7274,4851
2025-01-29,21.81,21.81,21.655,21.6877,12477
2025-01-30,21.89,21.94,21.8315,21.85,37964
2025-01-31,21.87,21.97,21.6937,21.76,36763
2025-02-03,21.42,21.63,21.42,21.58,20332
2025-02-04,21.665,21.79,21.665,21.78,28755
2025-02-05,21.785,21.94,21.7601,21.94,40291
2025-02-06,21.936,21.94,21.822,21.89,17361
2025-02-07,21.77,21.92,21.685,21.74,8367
2025-02-10,21.712,21.8,21.712,21.79,15064
