Date,Open,High,Low,Close,Volume
2023-08-22,10.18,10.25,10.18,10.18,112613
2023-08-23,10.17,10.21,10.17,10.2,612487
2023-08-24,10.2001,10.21,10.2,10.205,555286
2023-08-25,10.21,10.21,10.2,10.2,51594
2023-08-28,10.205,10.215,10.2,10.2,187259
2023-08-29,10.21,10.22,10.21,10.22,204603
2023-08-30,10.22,10.22,10.22,10.22,672
2023-08-31,10.21,10.21,10.21,10.21,597
2023-09-01,10.21,10.25,10.21,10.25,8643
2023-09-05,10.21,10.21,10.21,10.21,2906
2023-09-06,10.2258,10.25,10.22,10.25,5324
2023-09-07,10.25,10.25,10.2315,10.2315,4621
2023-09-11,10.29,10.29,10.23,10.23,3560
2023-09-14,10.24,10.24,10.24,10.24,523
2023-09-15,10.2497,10.3,10.24,10.3,903
2023-09-18,10.24,10.24,10.24,10.24,439
2023-09-20,10.24,10.2696,10.24,10.2696,361
2023-09-21,10.24,10.24,10.24,10.24,278
2023-09-22,10.3,10.3,10.3,10.3,100
2023-09-25,10.59,10.72,10.32,10.49,612
2023-09-26,10.35,10.35,10.35,10.35,405
2023-10-17,10.28,10.28,10.28,10.28,434
2023-10-18,10.3038,10.335,10.29,10.29,1090
2023-10-23,10.3,10.3,10.3,10.3,3240
2023-10-24,10.3,10.34,10.3,10.302,3422
2023-10-30,10.3,10.3,10.3,10.3,147
2023-10-31,10.3,10.31,10.3,10.31,10343
2023-11-01,10.31,10.31,10.3,10.3,1895
2023-11-06,10.31,10.31,10.31,10.31,210
2023-11-07,10.31,10.31,10.31,10.31,2575
2023-11-08,10.38,10.38,10.31,10.32,3801
2023-11-13,10.32,10.33,10.32,10.33,680
2023-11-15,10.33,10.33,10.33,10.33,689
2023-11-16,10.32,10.33,10.32,10.32,1140
2023-11-17,10.32,10.32,10.32,10.32,2000
2023-11-20,10.34,10.34,10.33,10.33,1009
2023-11-21,10.34,10.34,10.32,10.32,116301
2023-11-22,10.335,10.335,10.33,10.33,1041
2023-11-27,10.3269,10.3269,10.3269,10.3269,210
2023-11-28,10.32,10.35,10.32,10.32,126039
2023-11-29,10.33,10.33,10.33,10.33,423032
2023-11-30,10.34,10.34,10.34,10.34,1423
2023-12-01,10.345,10.35,10.345,10.35,23210
2023-12-05,10.3454,10.3454,10.3454,10.3454,4170
2023-12-07,10.34,10.35,10.34,10.35,38239
2023-12-11,10.36,10.36,10.36,10.36,5013
2023-12-12,10.3602,10.37,10.36,10.37,7841
2023-12-13,10.36,10.38,10.36,10.3799,5233
2023-12-14,10.37,10.37,10.37,10.37,10506
2023-12-15,10.37,10.37,10.37,10.37,24029
2023-12-18,10.4236,10.4236,10.4236,10.4236,138
2023-12-19,10.37,10.37,10.37,10.37,878
2023-12-21,10.37,10.375,10.37,10.37,6679
2023-12-22,10.37,10.38,10.37,10.38,11203
2023-12-27,10.39,10.39,10.39,10.39,681
2024-01-02,10.4,10.4,10.4,10.4,49000
2024-01-08,10.42,10.42,10.42,10.42,598
2024-01-12,10.41,10.41,10.41,10.41,1304
2024-01-16,10.41,10.41,10.41,10.41,4180
2024-01-18,10.42,10.42,10.42,10.42,4473
2024-01-22,10.425,10.43,10.425,10.43,16588
2024-01-25,10.44,10.4425,10.43,10.44,150182
2024-01-26,10.46,10.46,10.46,10.46,2700
2024-01-29,10.451,10.46,10.45,10.46,91450
2024-01-30,10.46,10.46,10.45,10.45,25249
2024-01-31,10.45,10.45,10.45,10.45,1404
2024-02-01,10.46,10.47,10.46,10.47,367820
2024-02-05,10.451,10.451,10.45,10.4501,1720
2024-02-07,10.451,10.47,10.451,10.47,690
2024-02-09,10.46,10.47,10.4504,10.47,1760
2024-02-23,10.45,10.45,10.45,10.45,1038
2024-02-26,10.45,10.4501,10.44,10.44,5361
2024-02-27,10.44,10.44,10.44,10.44,1246
2024-02-29,10.41,10.4103,10.41,10.41,2092
2024-03-01,10.44,10.44,10.44,10.44,600
2024-03-04,10.44,10.4401,10.44,10.4401,884
2024-03-05,10.47,10.48,10.47,10.48,17200
2024-03-06,10.48,10.49,10.4701,10.4701,17563
2024-03-07,10.45,10.45,10.45,10.45,428
2024-03-08,10.4571,10.4571,10.45,10.45,220
2024-03-11,10.49,10.49,10.49,10.49,576
2024-03-14,10.47,10.49,10.47,10.49,150162
2024-03-15,10.4801,10.51,10.48,10.48,12400
2024-03-18,10.48,10.48,10.48,10.48,3025
2024-03-19,10.5,10.5,10.5,10.5,5578
