Date,Open,High,Low,Close,Volume
2023-06-28,10.18,10.2099,10.17,10.17,3962811
2023-06-29,10.18,10.19,10.18,10.18,108657
2023-06-30,10.1815,10.19,10.17,10.19,202854
2023-07-03,10.19,10.2,10.185,10.19,218892
2023-07-05,10.2,10.2,10.2,10.2,41079
2023-07-06,10.19,10.22,10.19,10.22,59892
2023-07-07,10.2279,10.2279,10.2279,10.2279,260
2023-07-10,10.2499,10.2499,10.2499,10.2499,2069
2023-07-12,10.25,10.25,10.25,10.25,2776
2023-07-13,10.2,10.2,10.2,10.2,104
2023-07-14,10.1899,10.19,10.1899,10.19,19847
2023-07-17,10.25,10.25,10.25,10.25,299
2023-07-18,10.25,10.25,10.25,10.25,255
2023-07-20,10.25,10.25,10.25,10.25,3015
2023-07-24,10.17,10.19,10.17,10.19,202
2023-07-25,10.3,10.3,10.1801,10.241,533
2023-07-26,10.25,10.25,10.25,10.25,46549
2023-07-27,10.25,10.25,10.225,10.23,47096
2023-07-31,10.2388,10.24,10.2305,10.2305,1100
2023-08-02,10.24,10.24,10.22,10.24,835
2023-08-03,10.2501,10.275,10.2501,10.275,1701
2023-08-07,10.22,10.24,10.22,10.24,1501
2023-08-10,10.24,10.24,10.24,10.24,11041
2023-08-14,10.24,10.24,10.24,10.24,301
2023-08-15,10.24,10.24,10.24,10.24,100001
2023-08-16,10.75,10.75,10.24,10.24,4809
2023-08-17,10.31,10.31,10.25,10.25,7380
2023-08-18,10.475,10.475,10.24,10.24,214
2023-08-21,10.25,10.44,10.25,10.41,202626
2023-08-22,10.43,10.58,10.36,10.42,7824
2023-08-23,10.36,10.56,10.36,10.3914,8063
2023-08-24,10.4,10.6,9.695,10.6,73318
2023-08-25,10.525,10.525,10.36,10.36,715
2023-08-28,10.555,10.555,10.555,10.555,114
2023-08-29,10.53,10.53,10.37,10.37,415
2023-08-30,10.565,10.565,10.39,10.39,1147
2023-08-31,10.38,10.38,10.38,10.38,214
2023-09-07,10.39,10.39,10.39,10.39,1256
2023-09-08,10.41,10.57,10.39,10.41,1535
2023-09-11,10.3903,10.3903,10.3903,10.3903,200
2023-09-12,10.74,10.75,10.74,10.75,552
2023-09-14,10.4101,10.512,10.41,10.42,1865
2023-09-15,10.42,10.42,10.39,10.39,468
2023-09-18,10.39,10.39,10.39,10.39,1368
2023-09-19,10.3901,10.3901,10.39,10.39,832
2023-09-20,10.39,10.39,10.39,10.39,996
2023-09-21,10.3901,10.3901,10.3901,10.3901,285
2023-09-28,10.45,10.45,10.4001,10.41,2248
2023-10-03,10.47,10.47,10.46,10.46,2900
2023-11-02,10.46,10.46,10.46,10.46,156
2023-11-13,10.47,10.4901,10.47,10.4901,2600
2023-11-14,10.5,10.5,10.5,10.5,553
2023-12-13,10.5,10.53,10.5,10.53,800
2023-12-14,10.53,10.5931,10.52,10.52,900
2024-01-12,10.56,10.56,10.51,10.51,4466
2024-04-09,10.9,10.9,10.9,10.9,359
2024-05-06,10.71,10.71,10.71,10.71,200
2024-07-12,10.99,11.0,10.99,11.0,700
2024-08-05,10.99,11.52,10.97,11.52,4690
2024-08-07,11.25,11.75,11.2,11.75,5081
2024-08-08,11.78,11.78,11.78,11.78,366
2024-08-12,11.78,11.98,11.3,11.98,1770
2024-08-15,11.4,11.6,11.27,11.59,1161
2024-08-19,11.5,11.5,11.4,11.49,308
2024-08-20,11.54,11.89,11.54,11.89,203
2024-08-23,12.0,12.0,11.13,11.54,709
2024-08-26,11.97,11.97,11.97,11.97,102
2024-08-27,11.24,11.55,11.2,11.55,552
2024-08-28,11.1,11.8,11.09,11.8,750
2024-08-30,11.8,11.8,11.8,11.8,350
2024-09-04,11.0,11.5,11.0,11.5,769
2024-09-10,11.9,11.9,11.9,11.9,100
2024-09-11,11.9,11.9,11.9,11.9,100
2024-09-19,12.6,12.6,12.04,12.04,702
2024-09-30,10.94,10.94,10.94,10.94,739
2024-10-08,11.06,11.06,11.04,11.04,605
2024-10-09,10.96,11.05,10.95,11.05,2500
2025-01-24,11.29,11.39,11.29,11.39,200
2025-01-27,11.5,11.6,11.3,11.34,1603
2025-01-28,11.21,11.5,11.21,11.31,1097
2025-01-30,11.5,12.0,11.31,11.36,14046
2025-01-31,12.4,12.99,12.4,12.99,678
2025-02-04,12.8,12.8,12.8,12.8,247
2025-02-10,12.1,13.0,12.1,13.0,203
