Date,Open,High,Low,Close,Volume
2015-04-22,1275.0,2812.5,1237.5,2375.0,452.308
2015-04-23,2400.0,2562.5,2250.0,2375.0,79.76
2015-04-24,2350.0,2437.5,2287.5,2362.5,38.4
2015-04-27,2300.0,2437.5,1975.0,2412.5,93.04
2015-04-28,2400.0,2400.0,2262.5,2387.5,46.32
2015-04-29,2487.5,2487.5,2250.0,2312.5,6.8
2015-04-30,2412.5,2412.5,2175.0,2375.0,46.32
2015-05-01,2200.0,2250.0,2000.0,2012.5,23.92
2015-05-04,2062.5,2325.0,2062.5,2100.0,3.36
2015-05-05,2187.5,2187.5,2062.5,2125.0,34.24
2015-05-06,2125.0,2300.0,2050.0,2125.0,17.412
2015-05-07,2000.0,2237.5,2000.0,2125.0,19.596
2015-05-08,2150.0,2150.0,2000.0,2000.0,19.04
2015-05-11,2000.0,2050.0,1900.0,2012.5,10.8
2015-05-12,1925.0,1925.0,1887.5,1887.5,3.96
2015-05-13,1887.5,1900.0,1762.5,1762.5,29.6
2015-05-14,1737.5,1850.0,1737.5,1787.5,7.76
2015-05-15,1787.38,1787.38,1750.0,1750.0,0.896
2015-05-18,1737.5,1750.0,1537.5,1625.0,21.812
2015-05-19,1562.5,1700.0,1387.5,1475.0,32.32
2015-05-20,1400.0,1712.5,1400.0,1675.0,50.64
2015-05-21,1725.0,2125.0,1725.0,2050.0,72.4
2015-05-22,2112.5,2437.5,2050.0,2062.5,103.36
2015-05-26,2150.0,2200.0,2000.0,2062.5,29.624
2015-05-27,2062.5,2062.5,1887.5,2012.5,17.36
2015-05-28,1851.25,2037.5,1851.25,1887.5,10.876
2015-05-29,1825.0,1825.0,1637.5,1750.0,9.44
2015-06-01,1962.5,2112.5,1812.5,1962.5,22.88
2015-06-02,1862.5,1981.25,1812.5,1812.5,3.9
2015-06-03,1800.0,1887.5,1775.0,1887.5,9.76
2015-06-04,2050.0,2050.0,1825.0,1962.5,12.56
2015-06-05,1912.5,2250.0,1750.0,2025.0,59.84
2015-06-08,2037.5,2137.5,2000.0,2050.0,7.76
2015-06-09,1875.12,2024.88,1875.12,2024.88,3.36
2015-06-10,2000.0,2212.5,1900.0,1987.5,28.368
2015-06-11,1937.5,2250.0,1937.5,2068.12,69.924
2015-06-12,2112.5,2125.0,1987.5,2012.5,10.0
2015-06-15,2000.0,2087.5,1987.5,2062.5,6.72
2015-06-16,2025.0,2037.5,1937.5,2025.0,3.04
2015-06-17,1937.5,1950.0,1887.5,1900.0,12.72
2015-06-18,1837.5,1987.5,1775.0,1875.0,15.52
2015-06-19,1762.5,1937.5,1737.5,1775.0,9.92
2015-06-22,1775.0,1925.0,1750.0,1925.0,11.84
2015-06-23,1844.0,1847.0,1800.0,1837.5,7.24
2015-06-24,1775.0,1925.0,1775.0,1925.0,6.56
2015-06-25,1925.0,1925.0,1750.0,1800.0,17.92
2015-06-26,1850.0,1875.0,1537.5,1637.5,14.08
2015-06-29,1575.0,1787.5,1475.0,1475.0,5.6
2015-06-30,1700.0,1887.5,1525.0,1550.0,15.608
2015-07-01,1537.5,1737.5,1475.0,1612.5,8.72
2015-07-02,1612.5,1612.5,1512.5,1550.0,3.36
2015-07-06,1387.5,1512.5,1387.5,1500.0,6.32
2015-07-07,1400.0,1400.0,1125.0,1250.0,29.2
2015-07-08,1187.5,1350.0,950.0,1350.0,41.84
2015-07-09,1325.0,1712.5,1325.0,1350.0,26.96
2015-07-10,1400.0,1400.0,1275.0,1400.0,15.28
2015-07-13,1387.5,1462.5,1312.5,1387.5,2.0
2015-07-14,1187.5,1312.38,1187.5,1312.38,12.368
2015-07-15,1187.5,1225.0,1187.5,1187.5,1.872
2015-07-16,1212.5,1225.0,1100.0,1100.0,8.32
2015-07-17,1100.0,1150.0,1100.0,1112.5,4.72
2015-07-20,1187.5,1187.5,1112.5,1125.0,2.56
2015-07-21,1137.5,1137.5,1125.0,1125.0,7.44
2015-07-22,1112.5,1112.5,1100.0,1100.0,2.0
2015-07-23,1125.0,1125.0,1087.5,1100.0,19.2
2015-07-24,987.5,1050.0,975.0,1050.0,4.72
2015-07-27,1025.0,1025.0,1000.0,1000.0,3.04
2015-07-28,1050.0,1050.0,875.0,887.5,19.92
2015-07-29,875.0,1025.0,875.0,1025.0,0.64
2015-07-30,912.5,912.5,912.5,912.5,1.04
2015-07-31,887.5,900.0,825.0,900.0,4.88
2015-08-03,900.0,950.0,900.0,900.125,2.56
2015-08-04,900.0,937.5,875.0,937.5,2.8
2015-08-05,900.0,1000.0,900.0,950.0,1.36
2015-08-06,900.125,900.125,812.5,812.5,6.0
2015-08-07,825.0,1037.5,825.0,1025.0,16.96
2015-08-10,1062.5,1062.5,825.0,912.5,17.04
2015-08-11,925.0,925.0,875.125,887.5,18.64
2015-08-12,875.0,875.0,875.0,875.0,0.48
2015-08-17,875.0,887.5,812.5,825.0,27.36
2015-08-18,825.0,862.5,825.0,825.0,16.64
2015-08-19,762.5,1025.0,762.5,1012.5,19.28
2015-08-20,1000.0,1025.0,1000.0,1000.0,11.28
2015-08-21,937.5,1112.5,937.5,1075.0,40.08
2015-08-24,912.5,1000.0,912.5,1000.0,1.204
2015-08-25,1012.5,1075.0,1012.5,1025.0,18.72
2015-08-26,912.5,1075.0,912.5,962.5,14.24
2015-08-27,925.0,975.0,775.0,887.5,14.32
2015-08-28,812.5,1000.0,812.5,1000.0,0.8
2015-08-31,1000.0,1000.0,812.5,925.0,38.56
2015-09-01,925.0,925.0,825.0,862.5,1.76
2015-09-02,912.5,925.0,900.0,925.0,2.72
2015-09-03,875.0,875.0,825.0,825.0,2.4
2015-09-04,900.0,912.5,800.0,825.0,2.16
2015-09-08,862.5,862.5,850.0,850.0,0.48
2015-09-09,862.5,900.0,812.5,812.5,5.04
2015-09-10,839.5,839.5,821.25,821.25,0.328
2015-09-11,800.0,862.5,800.0,800.0,8.72
2015-09-14,812.5,887.5,800.0,812.5,0.72
2015-09-15,812.5,812.5,812.5,812.5,0.8
2015-09-16,825.0,862.5,825.0,837.5,1.44
2015-09-18,825.0,837.5,825.0,837.5,0.56
2015-09-22,800.0,800.0,800.0,800.0,0.72
2015-09-23,800.0,825.0,750.0,750.0,5.76
2015-09-25,750.0,787.5,750.0,787.5,1.28
2015-09-28,861.25,861.25,750.0,750.0,1.636
2015-09-29,750.0,750.0,750.0,750.0,1.36
2015-10-02,725.0,737.5,687.5,687.5,13.28
2015-10-05,748.75,748.75,625.0,650.125,12.568
2015-10-06,650.0,650.0,625.0,625.0,1.84
2015-10-07,625.0,625.0,625.0,625.0,3.52
2015-10-08,625.0,625.0,600.0,600.0,3.44
2015-10-09,625.0,625.0,625.0,625.0,4.56
2015-10-12,625.0,625.0,590.25,590.25,4.08
2015-10-13,662.5,687.5,625.0,625.0,2.24
2015-10-14,612.5,662.5,612.5,612.5,5.2
2015-10-15,600.0,612.5,600.0,612.5,15.84
2015-10-16,725.0,725.0,625.0,625.0,2.8
2015-10-19,625.0,712.5,625.0,625.0,0.56
2015-10-20,625.125,712.375,625.0,662.5,3.88
2015-10-21,662.5,662.5,600.0,662.5,3.6
2015-10-22,650.0,787.5,650.0,750.0,53.36
2015-10-23,787.5,887.5,675.0,825.0,50.88
