Date,Open,High,Low,Close,Volume
2023-12-19,25.27,25.28,25.265,25.265,2502
2023-12-20,25.31,25.34,25.3096,25.325,1702
2023-12-21,25.34,25.34,25.325,25.325,1310
2023-12-22,25.33,25.33,25.315,25.315,900
2023-12-26,25.33,25.34,25.325,25.325,1423
2023-12-27,25.38,25.41,25.38,25.405,4801
2023-12-28,25.36,25.36,25.36,25.36,260
2023-12-29,25.395,25.395,25.395,25.395,200
2024-01-02,25.35,25.37,25.35,25.35,101
2024-01-03,25.3688,25.41,25.3688,25.395,861
2024-01-04,25.35,25.36,25.345,25.345,321
2024-01-05,25.31,25.34,25.31,25.34,502
2024-01-08,25.42,25.42,25.405,25.405,204
2024-01-09,25.42,25.42,25.39,25.39,200
2024-01-10,25.39,25.4,25.37,25.37,6519
2024-01-11,25.4,25.4,25.4,25.4,18
2024-01-12,25.39,25.39,25.39,25.39,18
2024-01-16,25.325,25.325,25.325,25.325,1
2024-01-17,25.28,25.28,25.265,25.265,500203
2024-01-18,25.24,25.25,25.1965,25.2051,1401
2024-01-19,25.17,25.17,25.17,25.17,2
2024-01-22,25.19,25.1942,25.19,25.19,404
2024-01-23,25.15,25.15,25.15,25.15,1
2024-01-24,25.15,25.17,25.14,25.16,901
2024-01-25,25.175,25.19,25.175,25.175,148
2024-01-26,25.165,25.165,25.165,25.165,12
2024-01-29,25.25,25.26,25.2455,25.2455,702
2024-01-30,25.27,25.3,25.26,25.28,1200
2024-01-31,25.425,25.425,25.425,25.425,2
2024-02-01,25.505,25.505,25.505,25.505,10
2024-02-02,25.32,25.32,25.32,25.32,5
2024-02-05,25.21,25.21,25.21,25.21,2
2024-02-06,25.26,25.26,25.26,25.26,10
2024-02-07,25.25,25.25,25.25,25.25,101
2024-02-08,25.25,25.25,25.25,25.25,1
2024-02-09,25.245,25.245,25.245,25.245,44
2024-02-12,25.3,25.3,25.3,25.3,1
2024-02-13,25.1999,25.1999,25.17,25.17,3100
2024-02-14,25.24,25.24,25.24,25.24,1
2024-02-15,25.26,25.26,25.26,25.26,10
2024-02-16,25.23,25.26,25.23,25.24,2215
2024-02-20,25.28,25.28,25.27,25.27,102
2024-02-21,25.27,25.27,25.27,25.27,30
2024-02-22,25.26,25.26,25.26,25.26,2
2024-02-23,25.3,25.3,25.3,25.3,38
2024-02-26,25.32,25.33,25.3,25.3,406
2024-02-27,25.245,25.26,25.245,25.245,220
2024-02-28,25.2801,25.34,25.2801,25.31,1015
2024-02-29,25.31,25.34,25.31,25.31,103
2024-03-01,25.31,25.31,25.28,25.28,419
2024-03-04,25.15,25.2751,25.15,25.2751,672
2024-03-05,25.31,25.31,25.3,25.3,361
2024-03-06,25.33,25.33,25.3069,25.3069,191
2024-03-07,25.33,25.33,25.33,25.33,1
2024-03-08,25.35,25.35,25.35,25.35,53
2024-03-11,25.35,25.35,25.35,25.35,1
2024-03-12,25.33,25.33,25.33,25.33,1
2024-03-13,25.3388,25.36,25.3388,25.3388,305
2024-03-14,25.28,25.28,25.28,25.28,16
2024-03-15,25.24,25.2679,25.24,25.2679,1006
2024-03-18,25.29,25.29,25.27,25.27,227
2024-03-19,25.31,25.31,25.28,25.28,342
2024-03-20,25.28,26.77,25.25,25.25,6720
2024-03-21,25.24,25.24,25.24,25.24,9
2024-03-22,25.27,25.3,25.27,25.27,100
2024-03-25,25.61,25.61,25.23,25.23,911
