Date,Open,High,Low,Close,Volume
2023-05-03,19.955,19.955,19.8738,19.8738,225
2023-05-04,19.53,19.6796,19.53,19.6796,5011
2023-05-05,20.0082,20.17,20.0082,20.1575,2064
2023-05-08,20.21,20.26,20.18,20.2464,3480
2023-05-09,20.12,20.12,20.06,20.0827,412
2023-05-10,20.24,20.3067,20.23,20.3067,344
2023-05-11,20.2124,20.2124,20.2124,20.2124,39
2023-05-12,20.21,20.21,20.1475,20.1475,111
2023-05-15,20.3595,20.3595,20.3595,20.3595,2
2023-05-16,20.2823,20.2823,20.2823,20.2823,16
2023-05-17,20.5771,20.5771,20.5771,20.5771,2
2023-05-18,20.8355,20.8355,20.8355,20.8355,19
2023-05-19,20.7649,20.7649,20.7649,20.7649,38
2023-05-22,20.848,20.848,20.848,20.848,40
2023-05-23,20.7677,20.7677,20.7677,20.7677,15
2023-05-24,20.63,20.63,20.6187,20.6187,102
2023-05-25,20.79,20.8144,20.79,20.8144,200
2023-05-26,21.0926,21.0926,21.0926,21.0926,25
2023-05-30,21.04,22.26,20.99,21.015,28732
2023-05-31,20.91,20.91,20.6615,20.7862,1152
2023-06-01,20.775,20.995,20.775,20.9797,764
2023-06-02,21.31,21.5391,21.31,21.5391,2161
2023-06-05,21.34,21.34,21.03,21.1547,4330
2023-06-06,21.22,21.66,21.22,21.6237,43754
2023-06-07,22.085,22.1,21.9703,21.9703,2728
2023-06-08,21.82,21.94,21.75,21.8983,6044
2023-06-09,22.0,22.0,21.7388,21.7388,718
2023-06-12,21.86,21.93,21.815,21.8939,2465
2023-06-13,22.09,22.1,22.0713,22.0713,1248
2023-06-14,22.1,22.18,21.82,21.8625,12453
2023-06-15,21.85,21.9747,21.8,21.9747,7177
2023-06-16,21.99,21.99,21.86,21.9256,1454
2023-06-20,21.92,22.06,21.9172,22.0094,21940
2023-06-21,22.0699,22.16,22.0,22.0845,1878
2023-06-22,21.88,21.9673,21.88,21.9673,367
2023-06-23,21.78,21.78,21.559,21.559,293
2023-06-26,21.67,21.72,21.48,21.48,1349
2023-06-27,21.63,21.91,21.6257,21.91,1768
2023-06-28,21.9,21.95,21.88,21.935,1960
2023-06-29,22.3499,22.3676,22.3483,22.35,1936
2023-06-30,22.54,22.59,22.5067,22.5067,1676
2023-07-03,22.58,22.58,22.4146,22.535,4666
2023-07-05,22.52,22.52,22.1852,22.1852,1719
2023-07-06,21.935,21.935,21.6399,21.7529,1546
2023-07-07,21.9702,21.9703,21.8,21.8,446
2023-07-10,22.085,22.15,22.08,22.145,3972
2023-07-11,22.31,22.31,22.1299,22.23,3058
2023-07-12,22.4806,22.58,22.48,22.5024,3152
2023-07-13,22.675,22.775,22.675,22.775,658
2023-07-14,22.58,22.62,22.52,22.595,490
2023-07-17,22.7,22.98,22.7,22.93,1121
2023-07-18,23.01,23.125,22.9954,23.125,3052
2023-07-19,23.08,23.08,22.92,23.03,2119
2023-07-20,23.12,23.12,22.695,22.695,474
2023-07-21,22.82,22.82,22.66,22.6708,1539
2023-07-24,22.65,22.68,22.62,22.68,258
2023-07-25,22.83,22.83,22.8,22.8,493
2023-07-26,22.724,22.845,22.66,22.7824,23567
2023-07-27,22.856,22.88,22.5736,22.5736,4051
2023-07-28,22.8797,22.96,22.8797,22.9337,1752
2023-07-31,23.0576,23.185,23.0576,23.185,1165
2023-08-01,22.94,23.08,22.94,23.08,617
2023-08-02,23.215,23.215,23.215,23.215,88
2023-08-03,22.96,22.9702,22.92,22.935,2275
2023-08-04,22.96,23.09,22.825,22.825,685
2023-08-07,22.85,22.96,22.835,22.96,416
2023-08-08,22.84,22.8689,22.8399,22.8689,1591
2023-08-09,22.63,22.71,22.61,22.6816,4260
2023-08-10,22.6898,22.84,22.38,22.38,1124
2023-08-11,22.36,22.36,22.345,22.345,742
2023-08-14,22.21,22.375,22.21,22.375,10333
2023-08-15,22.34,22.34,22.3192,22.3192,1847
2023-08-16,22.1901,22.1901,22.0214,22.0214,906
2023-08-17,22.01,22.01,21.5302,21.5302,4526
2023-08-18,21.5317,21.63,21.5317,21.57,6786
2023-08-21,21.6301,21.69,21.63,21.6402,1668
2023-08-22,21.6645,21.6645,21.6645,21.6645,202
2023-08-23,21.92,21.99,21.92,21.9535,3067
2023-08-24,21.694,21.694,21.6038,21.6038,906
2023-08-25,21.643,21.643,21.643,21.643,21
2023-08-28,21.87,21.87,21.771,21.771,909
2023-08-29,22.0901,22.21,22.0901,22.2003,2606
2023-08-30,22.35,22.47,22.35,22.4058,80526
2023-08-31,22.44,22.52,22.34,22.3718,4206
2023-09-01,22.515,22.55,22.5,22.5365,2563
2023-09-05,21.96,21.96,21.89,21.9418,1173
2023-09-06,21.79,21.9174,21.765,21.9174,534
2023-09-07,21.6899,21.6899,21.65,21.6888,272
2023-09-08,21.61,21.61,21.5458,21.5458,212
2023-09-11,21.6402,21.65,21.41,21.5159,43374
2023-09-12,21.4406,21.4406,21.4406,21.4406,26
2023-09-13,21.48,21.48,21.32,21.3229,642
2023-09-14,21.47,21.6053,21.47,21.6053,256
2023-09-15,21.28,21.28,21.08,21.1757,2254
2023-09-18,21.224,21.224,21.1926,21.1926,138
2023-09-19,21.08,21.17,21.03,21.1384,2024
2023-09-20,21.1,21.1,20.8856,20.8856,408
2023-09-21,20.5,20.5729,20.5,20.5729,362
2023-09-22,20.5501,20.5619,20.55,20.5619,578
2023-09-25,20.4,20.78,20.4,20.7354,3606
2023-09-26,20.7,20.7,20.4936,20.5037,1319
2023-09-27,20.73,20.7716,20.73,20.7716,1038
2023-09-28,21.1,21.1,21.0599,21.0599,2132
2023-09-29,21.13,21.13,20.68,20.68,1372
2023-10-02,20.71,20.73,20.5582,20.5582,794
2023-10-03,20.1963,20.1963,20.1963,20.1963,12
2023-10-04,20.19,20.19,20.19,20.19,223
2023-10-05,20.1643,20.1643,20.1643,20.1643,166
2023-10-06,20.4804,20.5,20.4151,20.4151,1594
2023-10-09,20.52,20.62,20.52,20.62,137
2023-10-10,20.95,20.95,20.87,20.87,1130
2023-10-11,20.955,20.955,20.955,20.955,10
2023-10-12,20.705,20.705,20.4743,20.535,816
2023-10-13,20.35,20.35,20.2984,20.2984,1080
2023-10-16,20.5,20.5114,20.5,20.5114,235
2023-10-17,20.44,20.6261,20.44,20.6261,246
2023-10-18,20.31,20.3834,20.2513,20.2513,1279
2023-10-19,20.1204,20.1204,19.84,19.8891,2026
2023-10-20,19.652,19.652,19.652,19.652,183
2023-10-23,19.5422,19.5422,19.5422,19.5422,1
2023-10-24,19.84,19.84,19.84,19.84,18
2023-10-25,19.6668,19.6668,19.5795,19.5795,3342
2023-10-26,19.5,19.53,19.35,19.3793,1908
2023-10-27,19.34,19.34,19.3191,19.3191,437
2023-10-30,19.27,19.38,19.26,19.337,1011
2023-10-31,19.44,19.49,19.44,19.4577,915
2023-11-01,19.4599,19.5911,19.4599,19.5911,1102
2023-11-02,19.895,19.9953,19.845,19.9953,2930
2023-11-03,20.51,20.51,20.3471,20.4095,6003
2023-11-06,20.2201,20.26,20.22,20.25,5439
2023-11-07,20.2852,20.3,20.2603,20.2603,1720
2023-11-08,20.25,20.25,20.13,20.13,1774
2023-11-09,20.3697,20.3697,20.1426,20.1426,2460
2023-11-10,20.23,20.469,20.23,20.469,87027
2023-11-13,20.5,20.51,20.4603,20.4603,287
2023-11-14,20.9849,21.4384,20.9849,21.3943,5172
2023-11-15,21.48,21.64,21.3748,21.3748,1177
2023-11-16,21.25,21.25,21.13,21.13,2653
2023-11-17,21.3799,21.3799,21.3499,21.3503,783
2023-11-20,21.43,21.48,21.43,21.4531,5792
2023-11-21,21.45,21.45,21.2873,21.2873,647
2023-11-22,21.39,21.42,21.3899,21.3969,5212
2023-11-24,21.5119,21.5119,21.5119,21.5119,82
2023-11-27,21.438,21.57,21.438,21.5024,6695
2023-11-28,21.42,21.47,21.2279,21.2279,5049
2023-11-29,21.39,21.4,21.25,21.2526,4915
2023-11-30,21.35,21.35,21.24,21.3135,1736
2023-12-01,21.46,21.87,21.43,21.8308,8750
2023-12-04,21.88,22.0892,21.88,22.0892,8156
2023-12-05,21.87,21.8762,21.8262,21.8541,3419
2023-12-06,22.185,22.185,21.7847,21.7847,2849
2023-12-07,21.9,21.9192,21.745,21.8791,3338
2023-12-08,22.0,22.1255,21.99,22.0152,3441
2023-12-11,22.09,22.1706,22.09,22.1703,807
2023-12-12,22.23,22.23,22.0294,22.1345,2383
2023-12-13,22.1432,22.79,22.14,22.7316,4502
2023-12-14,22.95,23.4,22.95,23.29,10189
2023-12-15,23.3,23.34,23.1856,23.2681,3622
2023-12-18,23.27,23.33,22.42,23.2428,104803
2023-12-19,23.59,23.8805,23.59,23.8805,6055
2023-12-20,23.94,24.1298,23.5388,23.5388,5257
2023-12-21,23.86,23.9233,23.745,23.9233,5273
2023-12-22,24.03,24.15,23.993,24.0716,21994
2023-12-26,24.165,24.33,24.14,24.2825,14383
2023-12-27,24.36,24.36,24.23,24.2765,6890
2023-12-28,24.1796,24.1797,24.13,24.1688,16680
2023-12-29,24.2,24.2,23.85,23.8869,13662
2024-01-02,23.6902,23.715,23.6008,23.715,3150
2024-01-03,23.6148,23.6148,23.26,23.2974,854
2024-01-04,23.5205,23.6,23.4506,23.4506,16922
2024-01-05,23.5,23.5,23.27,23.275,3351
2024-01-08,23.44,23.6,23.2,23.55,10704
2024-01-09,23.4,23.402,23.24,23.3556,2247
2024-01-10,23.27,23.42,23.27,23.42,3260
2024-01-11,23.04,23.2841,22.98,23.2841,5689
2024-01-12,23.43,23.43,23.2457,23.3006,8045
2024-01-16,23.29,23.29,23.0702,23.119,5304
2024-01-17,23.04,23.0991,23.0027,23.0991,4786
2024-01-18,23.42,23.42,23.181,23.3936,5194
2024-01-19,23.4152,23.64,23.3027,23.5981,1819
2024-01-22,23.77,24.0,23.7489,23.9447,7760
2024-01-23,24.18,24.18,23.739,23.7546,19954
2024-01-24,24.17,24.17,23.54,23.62,16568
2024-01-25,23.78,23.82,23.51,23.7,9487
2024-01-26,23.64,23.73,23.6,23.72,1394
2024-01-29,23.63,23.96,23.63,23.96,6186
2024-01-30,23.59,23.9,23.59,23.9,2407
2024-01-31,23.705,23.8755,23.3358,23.3358,14732
2024-02-01,23.46,23.62,23.4232,23.5653,4107
2024-02-02,23.41,23.57,23.28,23.4966,13659
2024-02-05,23.17,23.17,22.9399,23.1534,3777
2024-02-06,23.135,23.2499,23.11,23.1526,4729
2024-02-07,23.22,23.25,23.13,23.201,1375
2024-02-08,23.39,23.54,23.39,23.5251,6588
2024-02-09,23.495,23.77,23.495,23.7394,3107
2024-02-12,23.978,24.19,23.978,24.0858,4616
2024-02-13,23.3504,23.3504,23.2407,23.32,1298
2024-02-14,23.57,23.7724,23.57,23.7724,4890
2024-02-15,23.82,24.08,23.76,24.08,1503
2024-02-16,24.03,24.03,23.76,23.7964,4412
2024-02-20,23.63,23.769,23.4327,23.4457,1862
2024-02-21,23.34,23.46,23.34,23.4134,4736
2024-02-22,23.47,23.6,23.3862,23.5665,2508
2024-02-23,23.5,23.82,23.5,23.7818,6193
2024-02-26,23.84,24.115,23.84,24.1119,1346
2024-02-27,24.27,24.27,24.16,24.2402,13120
2024-02-28,23.95,23.96,23.85,23.8662,5446
2024-02-29,24.0085,24.1247,24.0085,24.1247,617
2024-03-01,24.25,24.3,24.235,24.3,1370
2024-03-04,24.37,24.37,24.1291,24.1291,3953
2024-03-05,23.99,23.99,23.8094,23.8698,3764
2024-03-06,24.11,24.11,23.88,23.9042,2723
2024-03-07,24.18,24.21,24.0378,24.047,3683
2024-03-08,24.28,24.28,23.8,23.8022,6870
2024-03-11,23.63,23.63,23.41,23.56,1052
2024-03-12,23.61,23.61,23.3,23.5257,13184
2024-03-13,23.69,23.74,23.6367,23.6367,765
2024-03-14,23.54,23.54,23.23,23.2771,576
2024-03-15,23.37,23.393,23.28,23.393,3942
2024-03-18,23.42,23.47,23.3524,23.3524,1469
2024-03-19,23.31,23.5172,23.31,23.4857,2709
2024-03-20,23.38,23.7408,23.37,23.7408,26398
2024-03-21,23.8985,24.025,23.8985,24.025,942
2024-03-22,23.9,23.9,23.8031,23.8031,7850
2024-03-25,23.7455,23.7455,23.5727,23.5727,584
2024-03-26,23.6434,23.6434,23.5524,23.5524,1429
2024-03-27,23.8,23.88,23.79,23.8716,3720
2024-03-28,24.0478,24.095,24.01,24.0706,4671
2024-04-01,24.11,24.11,23.8727,23.9216,19424
2024-04-02,23.5199,23.5199,23.39,23.4832,1813
2024-04-03,23.67,23.68,23.6368,23.6418,1132
2024-04-04,23.83,23.86,23.3975,23.3975,12041
2024-04-05,23.41,23.5713,23.41,23.5713,5501
2024-04-08,23.67,23.67,23.6071,23.629,696
2024-04-09,23.4899,23.58,23.4458,23.5275,3458
2024-04-10,23.07,23.07,22.895,22.9679,5869
2024-04-11,23.06,23.0735,22.9241,23.0735,1282
2024-04-12,22.77,22.77,22.68,22.7199,1925
2024-04-15,22.93,22.93,22.568,22.6042,1152
2024-04-16,22.66,22.665,22.65,22.665,5270
2024-04-17,22.42,22.4961,22.3657,22.3872,2036
2024-04-18,22.55,22.55,22.3,22.3074,2314
2024-04-19,22.44,22.44,22.3995,22.3995,1069
2024-04-22,22.4201,22.6738,22.4201,22.6738,1083
2024-04-23,22.82,23.2037,22.82,23.2037,541
2024-04-24,23.345,23.345,23.1284,23.1284,641
2024-04-25,22.86,23.0025,22.86,23.0025,250
2024-04-26,23.24,23.24,23.218,23.2353,1413
2024-04-29,23.345,23.4222,23.345,23.4222,158
2024-04-30,23.03,23.03,22.9354,22.9354,273
2024-05-01,23.15,23.1536,23.15,23.1536,204
