Date,Open,High,Low,Close,Volume
2023-07-18,50.049,50.05,50.035,50.035,1318
2023-07-20,50.09,50.09,50.06,50.06,315
2023-07-24,50.0683,50.0683,50.05,50.05,1004
2023-07-26,50.07,50.07,50.07,50.07,4
2023-07-27,50.075,50.075,50.075,50.075,1
2023-07-28,50.045,50.045,50.045,50.045,4
2023-07-31,50.05,50.05,50.05,50.05,4
2023-08-01,50.06,50.06,50.06,50.06,4
2023-08-02,50.05,50.05,50.05,50.05,4
2023-08-03,50.06,50.06,50.03,50.03,600
2023-08-04,50.0786,50.0786,50.055,50.055,2798
2023-08-07,50.06,50.06,50.06,50.06,4
2023-08-08,50.0475,50.075,50.0475,50.075,101
2023-08-09,50.085,50.085,50.085,50.085,4
2023-08-10,50.11,50.23,50.1099,50.1099,5270
2023-08-11,50.085,50.085,50.085,50.085,5
2023-08-14,50.1,50.1,50.07,50.07,111
2023-08-15,50.12,50.129,50.105,50.105,650
2023-08-16,50.1294,50.1294,50.105,50.105,1000
2023-08-17,50.115,50.115,50.115,50.115,4
2023-08-18,50.12,50.12,50.12,50.12,1
2023-08-21,50.085,50.085,50.085,50.085,2
2023-08-22,50.085,50.085,50.085,50.085,20
2023-08-23,50.13,50.1393,50.13,50.13,445
2023-08-24,50.105,50.105,50.105,50.105,150
2023-08-25,50.11,50.11,50.11,50.11,20
2023-08-28,50.14,50.14,50.14,50.14,20
2023-08-29,50.09,50.16,50.09,50.16,200
2023-08-30,50.18,50.18,50.145,50.145,2521
2023-08-31,50.185,50.185,50.185,50.185,20
2023-09-01,50.05,50.05,50.05,50.05,59
2023-09-05,50.005,50.005,50.005,50.005,20
2023-09-06,50.0,50.0,50.0,50.0,81
2023-09-07,50.035,50.035,50.035,50.035,19
2023-09-08,50.03,50.03,50.03,50.03,49
2023-09-11,50.04,50.04,50.04,50.04,15
2023-09-12,50.069,50.08,50.05,50.05,1528
2023-09-13,50.065,50.065,50.065,50.065,2
2023-09-14,50.06,50.06,50.06,50.06,2
2023-09-15,50.05,50.05,50.05,50.05,2
2023-09-18,50.06,50.06,50.06,50.06,20
2023-09-19,50.05,50.05,50.05,50.05,1
2023-09-20,50.015,50.015,50.015,50.015,10
2023-09-21,50.015,50.015,50.015,50.015,4
2023-09-22,49.98,49.98,49.98,49.98,1
2023-09-25,49.999,50.01,49.925,49.925,8342
2023-09-26,49.95,49.9589,49.94,49.9545,3193
2023-09-27,49.91,49.91,49.89,49.89,1400
2023-09-28,49.87,49.89,49.86,49.86,1904
2023-09-29,49.845,49.845,49.845,49.845,1
2023-10-02,49.705,49.705,49.705,49.705,225
2023-10-03,49.695,49.695,49.695,49.695,2
2023-10-04,49.74,49.74,49.715,49.715,280
2023-10-05,49.735,49.735,49.735,49.735,2
2023-10-06,49.715,49.715,49.715,49.715,52
2023-10-09,49.72,49.73,49.72,49.73,106
2023-10-10,49.7989,49.85,49.7325,49.85,15793
2023-10-11,49.84,49.85,49.83,49.83,3613
2023-10-12,49.84,49.84,49.825,49.825,166
2023-10-13,49.85,49.85,49.845,49.845,443
2023-10-16,49.85,49.85,49.815,49.815,1201
2023-10-17,49.88,49.96,49.78,49.7862,12618
2023-10-18,49.69,49.78,49.69,49.78,467
2023-10-19,49.8,49.8,49.755,49.755,356
2023-10-20,49.85,49.85,49.7354,49.7403,4206
2023-10-23,49.73,49.78,49.73,49.75,2488
2023-10-24,49.76,49.76,49.76,49.76,162
2023-10-25,49.745,49.745,49.745,49.745,120
2023-10-26,49.765,49.765,49.765,49.765,9
2023-10-27,49.77,49.78,49.76,49.775,661
2023-10-30,49.775,49.775,49.775,49.775,51
2023-10-31,49.79,49.79,49.73,49.765,3211
2023-11-01,49.7199,49.7199,49.6767,49.685,2677
2023-11-02,49.77,49.87,49.765,49.765,4030
2023-11-03,49.8232,49.9,49.8232,49.835,33289
2023-11-06,49.77,49.8492,49.77,49.835,1742
2023-11-07,49.9,49.91,49.87,49.87,1404
2023-11-08,49.87,49.87,49.87,49.87,25
2023-11-09,49.9,49.949,49.8987,49.91,3799
2023-11-10,49.8601,49.91,49.8601,49.905,558
2023-11-13,49.98,49.98,49.98,49.98,600
2023-11-14,50.21,50.21,49.98,49.98,577
2023-11-15,49.95,50.03,49.95,49.995,601
2023-11-16,50.025,50.025,50.025,50.025,2
2023-11-17,49.97,50.08,49.97,50.08,1431
2023-11-20,49.99,50.075,49.971,50.075,1300
2023-11-21,50.09,50.17,50.081,50.09,3648
2023-11-22,50.11,50.11,50.1,50.11,410
2023-11-24,50.04,50.095,50.04,50.095,602
2023-11-27,50.15,50.25,50.15,50.17,13123
2023-11-28,50.19,50.2,50.18,50.18,438
2023-11-29,50.24,50.2699,50.2379,50.25,3356
2023-11-30,50.28,50.28,50.265,50.265,157
2023-12-01,50.14,50.195,50.14,50.195,3052
2023-12-04,50.2,50.2124,50.12,50.175,6080
2023-12-05,50.22,50.25,50.2199,50.23,2908
2023-12-06,50.24,50.24,50.24,50.24,81
2023-12-07,50.23,50.26,50.23,50.245,300
2023-12-08,50.22,50.2544,50.22,50.2544,212
2023-12-11,50.22,50.22,50.22,50.22,8
2023-12-12,50.27,50.27,50.245,50.245,1838
2023-12-13,50.2666,50.275,50.2666,50.275,325
2023-12-14,50.23,50.27,50.23,50.235,2708
2023-12-15,50.23,50.23,50.23,50.23,1
2023-12-18,50.27,50.3082,50.27,50.27,2792
2023-12-19,50.265,50.3199,50.265,50.275,1488
2023-12-20,50.34,50.34,50.25,50.295,2822
2023-12-21,50.2884,50.31,50.275,50.275,3236
2023-12-22,50.29,50.3399,50.29,50.3,2221
2023-12-26,50.32,50.33,50.29,50.295,1506
2023-12-27,50.35,50.37,50.325,50.35,3547
2023-12-28,50.29,50.29,50.29,50.29,391
2023-12-29,50.3242,50.35,50.3242,50.33,68203
2024-01-02,50.33,50.33,50.326,50.3265,460
2024-01-03,50.33,50.37,50.33,50.34,717
2024-01-04,50.3656,50.3656,50.33,50.33,1065
2024-01-05,50.3494,50.3494,50.3494,50.3494,40
2024-01-08,50.35,50.355,50.35,50.355,2124
2024-01-09,50.36,50.395,50.35,50.37,8080
2024-01-10,50.35,50.36,50.28,50.28,4768
2024-01-11,50.31,50.33,50.3,50.33,730
2024-01-12,50.32,50.36,50.29,50.335,7297
2024-01-16,50.29,50.335,50.25,50.335,7426
