Date,Open,High,Low,Close,Volume
2024-10-11,11.16,11.5,10.25,10.72,849300
2024-10-14,11.23,12.3,9.51,9.75,309208
2024-10-15,9.72,11.47,9.395,10.75,178007
2024-10-16,11.15,11.795,9.52,10.92,168481
2024-10-17,10.37,11.24,10.37,10.86,75781
2024-10-18,11.25,11.25,10.3985,11.0,40725
2024-10-21,11.4,11.6,10.57,10.9,58754
2024-10-22,11.63,11.63,10.54,10.9,103895
2024-10-23,10.78,11.18,10.7501,11.0,63651
2024-10-24,11.225,11.225,10.71,11.0,37486
2024-10-25,11.24,11.24,10.835,11.19,25102
2024-10-28,11.43,11.6,10.6901,11.11,49927
2024-10-29,11.05,11.4699,10.76,11.37,57551
2024-10-30,11.285,11.285,10.53,10.8,37889
2024-10-31,10.89,10.9,10.11,10.63,32488
2024-11-01,10.4999,10.55,9.75,10.05,28451
2024-11-04,9.93,10.05,7.8,8.22,114741
2024-11-05,8.3,9.8099,8.26,9.32,113274
2024-11-06,10.05,11.0,8.11,9.1,91445
2024-11-07,8.96,10.845,8.95,10.5,80027
2024-11-08,10.6,10.63,9.35,10.59,42020
2024-11-11,10.54,11.0049,9.7,10.51,42412
2024-11-12,10.13,12.26,9.88,11.74,95917
2024-11-13,11.8,12.01,10.145,10.18,58463
2024-11-14,10.2,10.6,9.5,9.61,80352
2024-11-15,9.96,9.99,7.97,8.12,40753
2024-11-18,8.27,8.27,6.71,6.82,62830
2024-11-19,6.92,7.18,6.35,6.61,69147
2024-11-20,6.54,6.71,5.15,5.33,65453
2024-11-21,6.0,6.47,5.49,5.78,65122
2024-11-22,5.61,6.49,5.0,5.41,80863
2024-11-25,5.33,5.71,4.0601,4.46,158732
2024-11-26,4.53,4.95,4.3578,4.94,55728
2024-11-27,5.02,5.04,4.42,4.69,48701
2024-11-29,4.835,5.19,4.5179,4.79,38238
2024-12-02,4.87,5.1436,4.23,5.07,95216
2024-12-03,5.1,5.16,4.66,4.85,33022
2024-12-04,4.92,5.99,4.85,5.91,89882
2024-12-05,5.93,10.8,5.3147,9.81,533037
2024-12-06,7.61,8.75,7.02,7.81,147278
2024-12-09,7.93,9.39,7.325,9.03,95923
2024-12-10,8.89,9.7125,8.0,8.3,76849
2024-12-11,8.35,9.39,8.0,8.48,169589
2024-12-12,8.93,9.77,8.43,8.88,103931
2024-12-13,8.85,9.71,7.1857,7.63,108233
2024-12-16,7.52,7.79,6.12,6.36,101884
2024-12-17,6.28,7.1299,5.42,5.81,146463
2024-12-18,6.6,6.6865,4.86,4.87,124662
2024-12-19,5.02,5.74,4.67,5.34,122183
2024-12-20,5.2,6.31,4.61,5.2,984317
2024-12-23,5.2,7.69,5.2,7.58,202752
2024-12-24,7.1,7.5,6.77,6.9,66797
2024-12-26,6.92,7.03,6.01,6.49,77378
2024-12-27,6.46,6.7,5.4052,5.43,88679
2024-12-30,5.71,5.9625,5.225,5.41,93656
2024-12-31,5.53,5.74,5.1,5.22,28669
2025-01-02,5.2315,5.64,4.89,4.93,65265
2025-01-03,5.05,5.24,4.74,4.95,64533
2025-01-06,5.1,5.64,4.5,4.5,63912
2025-01-07,4.6,4.94,4.35,4.58,71876
2025-01-08,4.47,4.88,4.41,4.45,38216
2025-01-10,4.36,4.5099,4.04,4.06,192772
2025-01-13,4.3,4.46,3.69,3.95,113924
2025-01-14,4.01,4.12,3.5,3.74,50952
2025-01-15,3.93,4.67,3.52,4.41,58479
2025-01-16,4.34,4.7,4.21,4.45,57684
2025-01-17,4.52,4.625,4.42,4.62,22314
2025-01-21,4.62,6.7899,4.62,6.54,327515
2025-01-22,6.49,6.49,5.01,5.8,139903
2025-01-23,5.88,5.88,5.0,5.44,55726
2025-01-24,5.38,5.38,5.01,5.11,22953
2025-01-27,4.87,5.08,4.5,5.06,66737
2025-01-28,4.85,5.1,4.67,4.98,25080
2025-01-29,4.83,5.19,4.76,4.97,37660
2025-01-30,5.48,6.4,4.97,5.9,91884
2025-01-31,5.9,5.9,4.5,4.81,121667
2025-02-03,4.55,4.695,4.22,4.44,66584
2025-02-04,4.5,5.03,4.5,5.03,31712
2025-02-05,5.0,5.6,4.8531,5.18,35567
2025-02-06,4.82,5.22,4.7,4.82,43161
2025-02-07,4.98,4.98,4.28,4.37,25874
2025-02-10,4.31,4.55,4.27,4.51,23035
