Date,Open,High,Low,Close,Volume
2023-08-17,24.77,24.77,24.4741,24.4741,4327
2023-08-18,24.42,24.5561,24.42,24.5561,4327
2023-08-21,24.57,24.8634,24.57,24.8634,8205
2023-08-22,24.97,24.97,24.76,24.7935,10215
2023-08-23,25.2,25.2,25.0872,25.0872,8209
2023-08-24,25.11,25.11,24.7,24.7615,5600
2023-08-25,24.98,24.98,24.9341,24.9341,4005
2023-08-28,25.15,25.15,24.9519,24.9519,8002
2023-08-29,25.13,25.18,25.09,25.1238,14101
2023-08-30,25.15,25.15,25.1405,25.1405,8006
2023-08-31,25.21,25.21,25.0766,25.0766,4048
2023-09-01,25.39,25.39,25.3194,25.3194,4003
2023-09-05,25.29,25.29,24.8743,24.8743,10008
2023-09-06,24.89,24.89,24.6759,24.6759,8001
2023-09-07,24.72,24.72,24.5397,24.5397,4001
2023-09-08,24.65,24.65,24.515,24.515,4003
2023-09-11,24.66,24.66,24.612,24.612,8001
2023-09-12,24.71,24.71,24.5009,24.5009,10004
2023-09-13,24.53,24.53,24.2388,24.2388,8000
2023-09-14,24.41,24.43,24.3523,24.3523,4400
2023-09-15,24.43,24.43,24.1713,24.1713,4015
2023-09-18,24.15,24.15,23.8073,23.8073,8101
2023-09-19,23.84,23.86,23.825,23.825,8000
2023-09-20,23.93,23.93,23.4414,23.4414,8000
2023-09-21,23.18,23.1852,23.18,23.1852,4001
2023-09-22,23.3,23.3,23.1249,23.1249,4001
2023-09-25,23.04,23.1299,23.04,23.1299,6009
2023-09-26,22.96,22.96,22.96,22.96,1
2023-09-27,23.31,23.31,23.1382,23.1382,11409
2023-09-28,23.3063,23.3063,23.3063,23.3063,32
2023-09-29,23.4,23.4,23.1698,23.1698,407
2023-10-02,22.7161,22.7161,22.7161,22.7161,66
2023-10-03,22.6077,22.6077,22.6077,22.6077,1
2023-10-04,22.45,22.5115,22.45,22.5115,436
2023-10-05,23.115,23.115,23.115,23.115,2
2023-10-06,23.16,23.16,23.16,23.16,46
2023-10-09,22.9574,22.9574,22.9574,22.9574,44
2023-10-10,23.2004,23.2004,23.2004,23.2004,44
2023-10-11,23.1047,23.1047,23.1047,23.1047,2
2023-10-12,22.97,22.97,22.5896,22.5896,438
2023-10-13,22.7561,22.7561,22.7561,22.7561,1
2023-10-16,23.044,23.044,23.044,23.044,1
2023-10-17,23.15,23.15,23.1269,23.1269,127
2023-10-18,22.5747,22.5747,22.5747,22.5747,1
2023-10-19,22.0614,22.0614,22.0477,22.0477,316
2023-10-20,22.18,22.18,22.18,22.18,1
2023-10-23,21.8346,21.8346,21.8346,21.8346,1
2023-10-24,22.1153,22.1153,22.1153,22.1153,1
2023-10-25,22.02,22.02,21.6037,21.605,870
2023-10-26,21.7588,21.7588,21.6241,21.6241,118
2023-10-27,21.2571,21.2571,21.2571,21.2571,1
2023-10-30,21.47,21.47,21.47,21.47,350
2023-10-31,21.81,22.0092,21.81,22.0092,1101
2023-11-01,22.09,22.27,22.09,22.2075,22737
2023-11-02,22.56,22.63,22.5,22.5,22526
2023-11-03,23.22,23.33,23.17,23.225,22502
2023-11-06,23.31,23.31,23.0042,23.0042,21001
2023-11-07,22.99,23.26,22.99,23.2265,22002
2023-11-08,23.19,23.19,22.81,22.8122,21300
2023-11-09,22.75,22.75,22.1538,22.1538,33870
2023-11-10,21.7,22.0694,21.7,22.0694,108
2023-11-13,22.0,22.123,21.96,22.123,34500
2023-11-14,22.54,22.8456,22.54,22.8456,102
2023-11-15,23.07,23.07,22.8491,22.8491,239027
2023-11-16,22.57,22.5711,22.57,22.5711,100
2023-11-17,23.0278,23.0278,23.0278,23.0278,2
2023-11-20,23.15,23.15,23.105,23.1244,1350
2023-11-21,22.91,22.91,22.8526,22.8526,465
2023-11-22,22.91,23.0666,22.9,23.0666,500
2023-11-24,23.27,23.33,23.27,23.33,262
2023-11-27,23.105,23.1494,23.02,23.1494,1821
2023-11-28,22.92,23.0,22.92,22.98,1902
2023-11-29,23.37,23.4999,23.12,23.2,2903
2023-11-30,23.73,24.03,23.73,24.03,803
2023-12-01,24.4599,24.4858,24.4599,24.4858,354
2023-12-04,24.14,24.62,24.12,24.62,403
2023-12-05,24.48,24.48,24.35,24.35,527
2023-12-06,24.61,24.61,24.61,24.61,44
2023-12-07,24.73,24.79,24.72,24.79,478
2023-12-08,24.57,24.57,24.57,24.57,52
2023-12-11,24.46,24.6,24.46,24.6,412
2023-12-12,24.7806,24.7806,24.7806,24.7806,4
2023-12-13,24.7655,25.3716,24.7655,25.3716,405
2023-12-14,25.8074,25.8074,25.725,25.7785,1032
2023-12-15,25.44,25.44,25.44,25.44,50
2023-12-18,25.29,25.34,25.2899,25.34,1094
2023-12-19,25.804,25.82,25.804,25.82,217
2023-12-20,24.94,24.94,24.94,24.94,60
2023-12-21,25.22,25.38,25.22,25.38,184
2023-12-22,25.93,25.96,25.93,25.96,102
2023-12-26,26.38,26.38,26.37,26.37,104
2023-12-27,26.33,26.61,26.33,26.61,909
2023-12-28,26.71,26.72,26.6195,26.6195,2063
2023-12-29,26.3972,26.3972,26.3972,26.3972,250
2024-01-02,26.6097,26.6097,26.6097,26.6097,9
2024-01-03,26.1988,26.46,26.1988,26.295,900
2024-01-04,26.4704,26.4704,26.419,26.419,200
2024-01-05,26.2,26.2072,26.2,26.2072,254
2024-01-08,26.01,26.79,26.01,26.79,322
2024-01-09,26.7041,26.7041,26.7041,26.7041,93
2024-01-10,26.59,26.6589,26.59,26.6446,579
2024-01-11,26.4198,26.53,26.2999,26.4941,1230
2024-01-12,26.56,26.56,26.51,26.51,370
2024-01-16,26.299,26.3,26.2667,26.2984,487
2024-01-17,25.87,25.9388,25.869,25.9388,510
2024-01-18,25.7047,25.7047,25.7047,25.7047,22
2024-01-19,25.4546,25.8241,25.4546,25.8241,513
2024-01-22,25.87,25.97,25.87,25.97,104
2024-01-23,26.0,26.0,26.0,26.0,178
2024-01-24,25.9,25.91,25.9,25.91,195
2024-01-25,26.16,26.16,26.16,26.16,54
2024-01-26,26.2352,26.2352,26.22,26.22,508
2024-01-29,26.82,26.82,26.82,26.82,24
2024-01-30,26.39,26.39,26.39,26.39,116
2024-01-31,26.3,26.3,26.15,26.15,203
2024-02-01,26.42,26.72,26.42,26.72,552
2024-02-02,26.49,26.49,26.207,26.44,2378
2024-02-05,26.54,26.54,26.54,26.54,15
2024-02-06,27.1,27.1,27.1,27.1,22
2024-02-07,26.9,26.9,26.78,26.78,641
2024-02-08,26.9,26.94,26.9,26.94,102
