Date,Open,High,Low,Close,Volume
2013-11-19,1093.5,1099.5,1029.0,1042.5,232.0
2013-11-20,1011.0,1024.5,979.5,994.5,146.5
2013-11-21,948.0,982.5,945.0,982.5,94.7
2013-11-22,978.0,988.5,945.0,984.0,84.3
2013-11-25,982.5,982.5,963.0,967.5,111.2
2013-11-26,922.5,925.5,907.5,918.0,70.6
2013-11-27,930.0,990.0,930.0,949.5,83.3
2013-11-29,927.0,946.5,925.5,925.5,18.3
2013-12-02,882.0,891.0,874.5,883.5,135.0
2013-12-03,904.5,904.5,898.5,901.5,176.9
2013-12-04,910.5,934.5,900.0,916.5,144.6
2013-12-05,969.0,988.5,954.0,975.0,270.3
2013-12-06,990.0,1047.0,990.0,1011.0,491.4
2013-12-09,997.5,1027.5,975.0,1024.5,428.7
2013-12-10,975.0,988.5,969.0,969.0,161.5
2013-12-11,997.5,1050.0,966.0,975.0,405.7
2013-12-12,966.0,973.5,927.0,969.0,123.6
2013-12-13,964.5,972.0,934.5,969.0,136.0
2013-12-16,952.5,952.5,906.0,906.0,190.5
2013-12-17,898.5,942.0,898.5,910.5,167.3
2013-12-18,943.5,1059.0,943.5,1005.0,279.6
2013-12-19,1057.5,1072.5,1032.0,1057.5,431.8
2013-12-20,1063.5,1152.0,1063.5,1098.0,471.9
2013-12-23,1404.0,1419.0,1290.0,1290.0,5667.7
2013-12-24,1290.0,1290.0,1230.0,1237.5,1086.6
2013-12-26,1227.0,1281.0,1209.0,1266.0,539.7
2013-12-27,1237.5,1312.5,1219.5,1230.0,441.9
2013-12-30,801.0,919.5,795.0,831.0,2234.8
2013-12-31,885.0,927.0,847.5,901.5,1218.9
2014-01-02,904.5,906.0,882.0,897.0,535.6
2014-01-03,900.0,930.0,885.0,892.5,451.8
2014-01-06,868.5,868.5,852.0,855.0,376.2
2014-01-07,858.0,895.5,855.0,873.0,441.9
2014-01-08,870.0,888.0,867.0,871.5,292.6
2014-01-09,879.0,915.0,861.0,910.5,586.3
2014-01-10,945.0,945.0,891.0,891.0,429.2
2014-01-13,915.0,927.0,903.0,915.0,1342.0
2014-01-14,949.5,949.5,931.5,943.5,347.4
2014-01-15,967.5,1012.5,951.0,975.0,193.2
2014-01-16,945.0,963.0,930.0,954.0,152.2
2014-01-17,969.0,969.0,915.0,921.0,169.7
2014-01-21,895.5,895.5,840.0,870.0,566.3
2014-01-22,880.5,880.5,865.5,873.0,254.1
2014-01-23,870.0,870.0,832.5,846.0,163.6
2014-01-24,840.0,862.5,828.0,837.0,268.4
2014-01-27,825.0,831.0,825.0,826.5,85.0
2014-01-28,823.5,823.5,781.5,787.5,162.0
2014-01-29,769.5,783.0,753.0,754.5,176.3
2014-01-30,753.0,765.0,703.5,757.5,320.2
2014-01-31,772.5,772.5,726.0,727.5,202.8
2014-02-03,751.5,769.5,727.5,738.0,152.6
2014-02-04,784.5,880.5,729.0,765.0,158.1
2014-02-05,751.5,775.5,747.0,751.5,160.6
2014-02-06,780.0,877.5,748.5,828.0,497.1
2014-02-07,829.5,829.5,754.5,798.0,193.1
2014-02-10,832.5,835.5,768.0,813.0,461.2
2014-02-11,847.5,889.5,847.5,862.5,272.6
2014-02-12,855.0,870.0,855.0,861.0,65.2
2014-02-13,870.0,870.0,844.5,867.0,167.1
2014-02-14,864.0,868.5,862.5,864.0,25.3
2014-02-18,889.5,889.5,865.5,868.5,104.9
2014-02-19,892.5,892.5,864.0,870.0,105.6
2014-02-20,865.5,886.5,865.5,885.0,61.1
2014-02-21,883.5,925.5,882.0,901.5,172.8
2014-02-24,892.5,907.5,885.0,900.0,127.0
2014-02-25,913.5,951.0,897.0,915.0,248.4
2014-02-26,927.0,927.0,892.5,895.5,85.5
2014-02-27,880.5,921.0,879.0,921.0,156.4
2014-02-28,925.5,943.5,894.0,903.0,175.1
2014-03-03,892.5,913.5,856.5,894.0,119.1
2014-03-04,892.5,898.5,871.5,889.5,108.8
2014-03-05,880.5,883.5,868.5,874.5,80.7
2014-03-06,874.5,897.0,867.0,888.0,165.4
2014-03-07,895.5,895.5,870.0,877.5,138.8
2014-03-10,870.0,879.0,805.5,829.5,238.8
2014-03-11,831.0,895.5,823.5,867.0,212.2
2014-03-12,870.0,894.0,847.5,888.0,53.9
2014-03-13,882.0,885.0,865.5,882.0,109.4
2014-03-14,874.5,888.0,837.0,841.5,83.6
