Date,Open,High,Low,Close,Volume
2024-10-28,0.11,0.12,0.11,0.11,250951
2024-10-31,0.11,0.113,0.11,0.1125,109512
2024-11-05,0.1201,0.1201,0.1201,0.1201,51678
2024-11-18,0.126,0.126,0.126,0.126,400
2024-11-19,0.1352,0.1352,0.1201,0.128551,19000
2024-11-21,0.126,0.126,0.12,0.1201,210648
2024-11-22,0.12,0.12,0.12,0.12,3700
2024-11-27,0.124,0.124,0.12,0.12,1000
2024-12-02,0.12,0.121,0.12,0.1201,150916
2024-12-09,0.12,0.12,0.12,0.12,449
2025-01-02,0.12,0.12,0.12,0.12,16656
2025-01-31,0.12,0.12,0.12,0.12,989
2025-02-06,0.1211,0.1211,0.1211,0.1211,452
2025-02-07,0.1148,0.13,0.1147,0.1151,17925
2025-02-10,0.13,0.13,0.1255,0.13,26300
